dz_2011,total,owned,nonowned
S01006506,747,582,165
S01006507,1092,761,331
S01006508,858,738,120
S01006509,715,475,240
S01006510,702,506,196
S01006511,959,777,182
S01006512,383,333,50
S01006513,1006,955,51
S01006514,1076,901,175
S01006515,1168,1031,137
S01006516,886,622,264
S01006517,1049,884,165
S01006518,1045,788,257
S01006519,850,747,103
S01006520,897,670,227
S01006521,490,441,49
S01006522,560,522,38
S01006523,1337,1209,128
S01006524,1223,784,439
S01006525,1305,1014,291
S01006526,1487,779,708
S01006527,1346,661,685
S01006528,1125,586,539
S01006529,1028,597,431
S01006530,1179,598,581
S01006531,1273,583,690
S01006532,776,666,110
S01006533,823,742,81
S01006534,944,803,141
S01006535,1062,863,199
S01006536,1245,956,289
S01006537,847,821,26
S01006538,686,658,28
S01006539,951,891,60
S01006540,1254,1099,155
S01006541,990,860,130
S01006542,955,855,100
S01006543,1007,939,68
S01006544,902,809,93
S01006545,1108,894,214
S01006546,1131,1058,73
S01006547,1409,849,560
S01006548,770,760,10
S01006549,808,762,46
S01006550,1222,1144,78
S01006551,921,483,438
S01006552,1099,943,156
S01006553,978,718,260
S01006554,907,522,385
S01006555,840,363,477
S01006556,1032,501,531
S01006557,862,338,524
S01006558,880,713,167
S01006559,639,552,87
S01006560,987,849,138
S01006561,891,841,50
S01006562,1008,777,231
S01006563,1026,826,200
S01006564,1172,473,699
S01006565,1201,571,630
S01006566,843,616,227
S01006567,1149,413,736
S01006568,1096,716,380
S01006569,749,485,264
S01006570,867,698,169
S01006571,1168,894,274
S01006572,1284,1100,184
S01006573,706,580,126
S01006574,929,761,168
S01006575,1137,1025,112
S01006576,869,678,191
S01006577,919,714,205
S01006578,1455,973,482
S01006579,1299,833,466
S01006580,806,625,181
S01006581,1222,1111,111
S01006582,526,254,272
S01006583,964,542,422
S01006584,872,571,301
S01006585,809,245,564
S01006586,793,303,490
S01006587,464,167,297
S01006588,650,298,352
S01006589,1003,321,682
S01006590,543,335,208
S01006591,530,359,171
S01006592,434,352,82
S01006593,551,356,195
S01006594,761,535,226
S01006595,722,494,228
S01006596,882,647,235
S01006597,810,537,273
S01006598,1053,920,133
S01006599,1036,616,420
S01006600,1283,958,325
S01006601,947,680,267
S01006602,934,814,120
S01006603,1369,772,597
S01006604,936,632,304
S01006605,868,342,526
S01006606,1367,1066,301
S01006607,1302,829,473
S01006608,869,799,70
S01006609,1343,862,481
S01006610,752,323,429
S01006611,1183,625,558
S01006612,995,724,271
S01006613,474,449,25
S01006614,929,889,40
S01006615,445,426,19
S01006616,811,789,22
S01006617,1018,875,143
S01006618,568,549,19
S01006619,995,847,148
S01006620,1146,987,159
S01006621,831,719,112
S01006622,655,629,26
S01006623,1436,820,616
S01006624,750,463,287
S01006625,858,479,379
S01006626,839,343,496
S01006627,665,405,260
S01006628,1110,640,470
S01006629,882,354,528
S01006630,824,404,420
S01006631,1129,542,587
S01006632,960,218,742
S01006633,967,352,615
S01006634,804,145,659
S01006635,975,294,681
S01006636,980,188,792
