name01	label01	datazone	name	add	add_source	gctwt
60QA000001	60QA000001	S01006608	Kincorth, Leggart and Nigg South - 01	33	34	.970588235294118
60QA000001	60QA000001	S01006621	Cove North - 03	1	34	.0294117647058824
60QA000002	60QA000002	S01006732	Kingswells - 01	53	61	.868852459016393
60QA000002	60QA000002	S01006736	Kingswells - 05	1	61	.0163934426229508
60QA000002	60QA000002	S01006737	Kingswells - 06	7	61	.114754098360656
60QA000003	60QA000003	S01006710	Sheddocksley - 03	1	33	.0303030303030303
60QA000003	60QA000003	S01006737	Kingswells - 06	32	33	.96969696969697
60QA000004	60QA000004	S01006516	Cults, Bieldside and Milltimber West - 04	24	25	.96
60QA000004	60QA000004	S01006518	Cults, Bieldside and Milltimber East - 01	1	25	.04
60QA000005	60QA000005	S01006518	Cults, Bieldside and Milltimber East - 01	23	24	.958333333333333
60QA000005	60QA000005	S01006520	Cults, Bieldside and Milltimber East - 03	1	24	.0416666666666667
60QA000006	60QA000006	S01006524	Cults, Bieldside and Milltimber East - 07	47	48	.979166666666667
60QA000006	60QA000006	S01006525	Cults, Bieldside and Milltimber East - 08	1	48	.0208333333333333
60QA000007	60QA000007	S01006517	Cults, Bieldside and Milltimber West - 05	35	36	.972222222222222
60QA000007	60QA000007	S01006520	Cults, Bieldside and Milltimber East - 03	1	36	.0277777777777778
60QA000008	60QA000008	S01006506	Culter - 01	31	37	.837837837837838
60QA000008	60QA000008	S01006508	Culter - 03	6	37	.162162162162162
60QA000009	60QA000009	S01006748	Bucksburn North - 06	72	148	.486486486486487
60QA000009	60QA000009	S01006755	Dyce - 07	76	148	.513513513513513
60QA000010	60QA000010	S01006732	Kingswells - 01	51	52	.980769230769231
60QA000010	60QA000010	S01006928	Blackburn - 04	1	52	.0192307692307692
60QA000011	60QA000011	S01006755	Dyce - 07	28	29	.96551724137931
60QA000011	60QA000011	S01006927	Blackburn - 03	1	29	.0344827586206897
60QA000012	60QA000012	S01006732	Kingswells - 01	24	25	.96
60QA000012	60QA000012	S01006928	Blackburn - 04	1	25	.04
60QA000013	60QA000013	S01006763	Oldmachar West - 02	4	101	.0396039603960396
60QA000013	60QA000013	S01006772	Oldmachar East - 05	8	101	.0792079207920792
60QA000013	60QA000013	S01006788	Denmore - 04	83	101	.821782178217822
60QA000013	60QA000013	S01006952	Balmedie and Potterton - 01	6	101	.0594059405940594
60QA000014	60QA000014	S01006571	West End North - 01	57	58	.982758620689655
60QA000014	60QA000014	S01006584	City Centre West - 03	1	58	.0172413793103448
60QA000015	60QA000015	S01006584	City Centre West - 03	46	46	1
