"dz_2001","la_name","year","total","none"
"S01000001","Aberdeen City",2001,461,75
"S01000002","Aberdeen City",2001,267,10
"S01000003","Aberdeen City",2001,333,29
"S01000004","Aberdeen City",2001,258,9
"S01000005","Aberdeen City",2001,312,38
"S01000006","Aberdeen City",2001,269,71
"S01000007","Aberdeen City",2001,385,50
"S01000008","Aberdeen City",2001,277,65
"S01000009","Aberdeen City",2001,284,59
"S01000010","Aberdeen City",2001,244,35
"S01000011","Aberdeen City",2001,279,13
"S01000012","Aberdeen City",2001,500,38
"S01000013","Aberdeen City",2001,351,83
"S01000014","Aberdeen City",2001,445,65
"S01000015","Aberdeen City",2001,374,40
"S01000016","Aberdeen City",2001,232,8
"S01000017","Aberdeen City",2001,393,72
"S01000018","Aberdeen City",2001,241,38
"S01000019","Aberdeen City",2001,203,6
"S01000020","Aberdeen City",2001,441,122
"S01000021","Aberdeen City",2001,350,76
"S01000022","Aberdeen City",2001,249,12
"S01000023","Aberdeen City",2001,267,2
"S01000024","Aberdeen City",2001,171,3
"S01000025","Aberdeen City",2001,269,3
"S01000026","Aberdeen City",2001,494,252
"S01000027","Aberdeen City",2001,332,26
"S01000028","Aberdeen City",2001,426,163
"S01000029","Aberdeen City",2001,211,1
"S01000030","Aberdeen City",2001,231,94
"S01000031","Aberdeen City",2001,431,47
"S01000032","Aberdeen City",2001,487,183
"S01000033","Aberdeen City",2001,389,206
"S01000034","Aberdeen City",2001,372,18
"S01000035","Aberdeen City",2001,447,142
"S01000036","Aberdeen City",2001,291,118
"S01000037","Aberdeen City",2001,350,141
"S01000038","Aberdeen City",2001,277,88
"S01000039","Aberdeen City",2001,429,193
"S01000040","Aberdeen City",2001,392,147
"S01000041","Aberdeen City",2001,369,96
"S01000042","Aberdeen City",2001,407,148
"S01000043","Aberdeen City",2001,596,198
"S01000044","Aberdeen City",2001,441,202
"S01000045","Aberdeen City",2001,244,21
"S01000046","Aberdeen City",2001,332,33
"S01000047","Aberdeen City",2001,485,224
"S01000048","Aberdeen City",2001,422,64
"S01000049","Aberdeen City",2001,336,50
"S01000050","Aberdeen City",2001,316,51
"S01000051","Aberdeen City",2001,364,51
"S01000052","Aberdeen City",2001,260,101
"S01000053","Aberdeen City",2001,644,189
"S01000054","Aberdeen City",2001,387,117
"S01000055","Aberdeen City",2001,319,162
"S01000056","Aberdeen City",2001,397,35
"S01000057","Aberdeen City",2001,284,156
"S01000058","Aberdeen City",2001,386,17
"S01000059","Aberdeen City",2001,454,47
"S01000060","Aberdeen City",2001,268,155
"S01000061","Aberdeen City",2001,453,69
"S01000062","Aberdeen City",2001,628,161
"S01000063","Aberdeen City",2001,412,57
"S01000064","Aberdeen City",2001,284,109
"S01000065","Aberdeen City",2001,634,181
"S01000066","Aberdeen City",2001,531,249
"S01000067","Aberdeen City",2001,568,156
"S01000068","Aberdeen City",2001,465,135
"S01000069","Aberdeen City",2001,378,224
"S01000070","Aberdeen City",2001,284,130
"S01000071","Aberdeen City",2001,483,294
"S01000072","Aberdeen City",2001,537,110
"S01000073","Aberdeen City",2001,264,29
"S01000074","Aberdeen City",2001,519,333
"S01000075","Aberdeen City",2001,352,131
"S01000076","Aberdeen City",2001,316,31
"S01000077","Aberdeen City",2001,398,55
"S01000078","Aberdeen City",2001,763,433
"S01000079","Aberdeen City",2001,898,232
"S01000080","Aberdeen City",2001,558,192
"S01000081","Aberdeen City",2001,409,58
"S01000082","Aberdeen City",2001,491,274
"S01000083","Aberdeen City",2001,440,122
"S01000084","Aberdeen City",2001,508,269
"S01000085","Aberdeen City",2001,373,154
"S01000086","Aberdeen City",2001,367,97
