"output_area","ALL PEOPLE","In an unshared dwelling","House or bungalow","     Detached","     Semi-detached","     Terraced (including end-terrace)","  Flat, maisonette or apartment","     In a purpose-built block of flats","     Part of a converted or shared house","     In a commercial building","  Caravan or other mobile or temporary structure","In a shared dwelling"
"60QM000181",123,123,94,0,70,24,29,29,0,0,0,0
"60QM000182",111,111,108,0,45,63,3,3,0,0,0,0
"60QM000183",146,146,145,6,82,57,1,1,0,0,0,0
"60QM000184",104,104,39,0,11,28,65,65,0,0,0,0
"60QM000185",101,101,99,0,66,33,2,2,0,0,0,0
"60QM000186",135,135,22,8,4,10,113,113,0,0,0,0
"60QM000187",164,164,94,14,31,49,69,69,0,0,1,0
"60QM000188",115,115,4,2,2,0,111,111,0,0,0,0
"60QM000189",126,126,70,8,21,41,56,56,0,0,0,0
"60QM000190",104,104,77,0,10,67,27,27,0,0,0,0
"60QM000191",121,121,121,16,19,86,0,0,0,0,0,0
"60QM000192",108,108,105,5,28,72,3,2,1,0,0,0
"60QM000193",156,156,137,6,62,69,19,19,0,0,0,0
"60QM000194",146,146,91,6,21,64,55,55,0,0,0,0
"60QM000195",122,122,79,0,21,58,43,43,0,0,0,0
"60QM000196",97,97,36,2,6,28,61,59,2,0,0,0
"60QM000197",150,150,149,3,68,78,1,1,0,0,0,0
"60QM000198",130,130,78,10,36,32,52,52,0,0,0,0
"60QM000199",116,116,100,12,64,24,16,16,0,0,0,0
"60QM000200",105,105,98,3,57,38,7,0,0,7,0,0
"60QM000201",120,120,120,4,66,50,0,0,0,0,0,0
"60QM000202",124,124,124,5,67,52,0,0,0,0,0,0
"60QM000203",103,103,103,0,74,29,0,0,0,0,0,0
"60QM000204",142,142,142,63,33,46,0,0,0,0,0,0
"60QM000205",137,137,135,20,89,26,2,0,2,0,0,0
"60QM000206",156,156,140,17,113,10,16,6,10,0,0,0
"60QM000207",98,98,98,33,60,5,0,0,0,0,0,0
"60QM000208",103,103,103,2,101,0,0,0,0,0,0,0
"60QM000209",157,157,144,144,0,0,13,9,0,4,0,0
"60QM000210",270,270,267,267,0,0,3,3,0,0,0,0
"60QM000211",131,131,122,102,18,2,9,5,4,0,0,0
"60QM000212",181,181,179,9,96,74,2,2,0,0,0,0
"60QM000213",128,128,128,8,30,90,0,0,0,0,0,0
"60QM000214",177,177,177,0,144,33,0,0,0,0,0,0
"60QM000215",134,134,134,16,78,40,0,0,0,0,0,0
"60QM000216",168,168,115,69,34,12,53,19,27,7,0,0
"60QM000217",162,162,159,23,113,23,3,0,3,0,0,0
"60QM000218",155,155,134,15,116,3,21,8,13,0,0,0
"60QM000219",149,149,107,7,14,86,42,41,1,0,0,0
"60QM000220",183,183,181,110,60,11,2,2,0,0,0,0
"60QM000221",144,144,144,11,129,4,0,0,0,0,0,0
"60QM000222",108,108,87,4,65,18,21,21,0,0,0,0
"60QM000223",168,168,151,97,28,26,17,9,7,1,0,0
"60QM000224",109,109,109,109,0,0,0,0,0,0,0,0
"60QM000225",86,86,72,20,21,31,14,0,4,10,0,0
"60QM000226",195,195,67,7,24,36,105,102,0,3,23,0
"60QM000227",142,142,52,0,25,27,90,90,0,0,0,0
"60QM000228",152,152,141,0,84,57,11,9,0,2,0,0
"60QM000229",96,96,95,2,43,50,1,1,0,0,0,0
"60QM000230",165,165,160,11,39,110,5,5,0,0,0,0
"60QM000231",162,162,43,0,29,14,119,113,6,0,0,0
"60QM000232",128,128,92,4,38,50,36,36,0,0,0,0
"60QM000233",132,132,111,11,47,53,21,21,0,0,0,0
"60QM000234",118,118,114,29,57,28,4,0,4,0,0,0
"60QM000235",104,104,104,17,77,10,0,0,0,0,0,0
"60QM000236",170,170,168,46,107,15,2,0,2,0,0,0
"60QM000237",134,134,75,26,3,46,59,59,0,0,0,0
"60QM000238",90,90,86,77,7,2,4,4,0,0,0,0
"60QM000239",116,116,67,48,8,11,48,43,2,3,1,0
"60QM000240",171,171,169,31,72,66,2,2,0,0,0,0
"60QM000241",143,143,137,25,34,78,6,6,0,0,0,0
"60QM000242",109,109,104,59,43,2,5,5,0,0,0,0
"60QM000243",80,80,59,39,8,12,21,19,2,0,0,0
"60QM000244",120,120,93,57,30,6,27,24,3,0,0,0
"60QM000245",169,169,118,25,66,27,49,24,2,23,2,0
"60QM000246",73,73,20,6,0,14,53,25,4,24,0,0
"60QM000247",62,62,48,0,15,33,14,14,0,0,0,0
"60QM000248",178,178,136,2,44,90,42,36,6,0,0,0
"60QM000249",151,151,148,14,61,73,3,3,0,0,0,0
"60QM000250",192,192,181,25,101,55,11,10,1,0,0,0
"60QM000251",161,161,155,5,88,62,6,4,2,0,0,0
"60QM000252",177,177,45,10,15,20,132,132,0,0,0,0
"60QM000253",158,158,41,7,10,24,117,117,0,0,0,0
"60QM000254",78,78,34,3,24,7,44,44,0,0,0,0
"60QM000255",100,100,46,5,34,7,54,54,0,0,0,0
"60QM000256",131,131,60,10,48,2,71,71,0,0,0,0
"60QM000257",112,112,112,6,17,89,0,0,0,0,0,0
"60QM000258",96,96,94,8,11,75,2,2,0,0,0,0
"60QM000259",116,116,116,5,44,67,0,0,0,0,0,0
"60QM000260",87,87,77,0,18,59,10,10,0,0,0,0
"60QM000261",108,108,108,1,31,76,0,0,0,0,0,0
"60QM000262",105,105,105,2,24,79,0,0,0,0,0,0
"60QM000263",163,163,156,10,37,109,7,7,0,0,0,0
"60QM000264",131,131,128,5,29,94,3,3,0,0,0,0
"60QM000265",77,77,52,6,7,39,25,25,0,0,0,0
"60QM000266",71,71,57,10,16,31,14,14,0,0,0,0
"60QM000267",70,70,39,0,12,27,31,31,0,0,0,0
"60QM000268",92,92,92,13,17,62,0,0,0,0,0,0
"60QM000269",142,142,134,5,8,121,8,8,0,0,0,0
"60QM000270",114,114,114,3,65,46,0,0,0,0,0,0
"60QM000271",83,83,63,0,38,25,20,20,0,0,0,0
"60QM000272",109,109,98,2,24,72,11,11,0,0,0,0
"60QM000273",76,76,67,9,13,45,9,8,0,1,0,0
"60QM000274",135,135,135,1,34,100,0,0,0,0,0,0
"60QM000275",89,89,88,2,19,67,1,1,0,0,0,0
"60QM000276",125,125,125,4,26,95,0,0,0,0,0,0
"60QM000277",148,148,139,11,40,88,9,9,0,0,0,0
"60QM000278",120,120,100,11,48,41,20,20,0,0,0,0
"60QM000279",107,107,87,10,59,18,20,20,0,0,0,0
"60QM000280",83,83,76,4,66,6,7,7,0,0,0,0
"60QM000281",116,116,113,0,89,24,3,3,0,0,0,0
"60QM000282",131,131,126,0,91,35,5,5,0,0,0,0
"60QM000283",154,154,154,11,34,109,0,0,0,0,0,0
"60QM000284",156,156,144,21,62,61,12,10,0,2,0,0
"60QM000285",170,170,170,23,45,102,0,0,0,0,0,0
"60QM000286",124,124,124,4,75,45,0,0,0,0,0,0
"60QM000287",121,121,112,2,60,50,9,9,0,0,0,0
"60QM000288",98,98,98,1,31,66,0,0,0,0,0,0
"60QM000289",126,126,85,6,10,69,41,41,0,0,0,0
"60QM000290",147,147,143,121,21,1,4,4,0,0,0,0
"60QM000291",137,137,136,2,43,91,1,1,0,0,0,0
"60QM000292",118,118,118,21,22,75,0,0,0,0,0,0
"60QM000293",129,129,129,65,59,5,0,0,0,0,0,0
"60QM000294",110,110,77,3,33,41,33,33,0,0,0,0
"60QM000295",127,127,124,22,86,16,3,3,0,0,0,0
"60QM000296",125,125,125,3,101,21,0,0,0,0,0,0
"60QM000297",136,136,128,0,21,107,8,8,0,0,0,0
"60QM000298",102,102,102,13,67,22,0,0,0,0,0,0
"60QM000299",132,132,131,2,40,89,1,1,0,0,0,0
"60QM000300",99,99,94,0,37,57,5,5,0,0,0,0
"60QM000301",102,102,99,10,45,44,3,3,0,0,0,0
"60QM000302",88,88,88,2,27,59,0,0,0,0,0,0
"60QM000303",91,91,88,2,32,54,3,3,0,0,0,0
"60QM000304",102,102,99,3,28,68,3,3,0,0,0,0
"60QM000305",124,124,96,10,24,62,28,28,0,0,0,0
"60QM000306",153,153,140,9,19,112,13,11,2,0,0,0
"60QM000307",78,78,59,8,23,28,19,15,3,1,0,0
"60QM000308",145,145,140,2,87,51,5,5,0,0,0,0
"60QM000309",94,94,90,0,51,39,4,4,0,0,0,0
"60QM000310",120,120,111,3,101,7,9,9,0,0,0,0
"60QM000311",195,195,184,16,85,83,11,11,0,0,0,0
"60QM000312",117,117,92,0,28,64,25,20,0,5,0,0
"60QM000313",160,160,156,11,80,65,4,4,0,0,0,0
"60QM000314",141,141,141,2,32,107,0,0,0,0,0,0
"60QM000315",196,196,188,1,45,142,8,4,0,4,0,0
"60QM000316",169,169,153,4,37,112,16,16,0,0,0,0
"60QM000317",114,114,80,1,15,64,34,31,3,0,0,0
"60QM000318",125,125,117,5,34,78,8,8,0,0,0,0
"60QM000319",111,111,102,40,57,5,9,5,4,0,0,0
"60QM000320",148,148,142,14,48,80,6,6,0,0,0,0
"60QM000321",103,103,103,6,37,60,0,0,0,0,0,0
"60QM000322",108,108,108,1,37,70,0,0,0,0,0,0
"60QM000323",121,121,108,7,39,62,13,7,6,0,0,0
"60QM000324",109,109,94,3,36,55,15,15,0,0,0,0
"60QM000325",124,124,45,11,17,17,79,63,0,16,0,0
"60QM000326",143,143,53,12,23,18,90,76,13,1,0,0
"60QM000327",90,90,88,4,58,26,0,0,0,0,2,0
"60QM000328",80,80,53,4,22,27,27,27,0,0,0,0
"60QM000329",88,88,46,2,23,21,42,39,0,3,0,0
"60QM000330",60,60,52,4,15,33,8,6,2,0,0,0
"60QM000331",75,75,39,3,19,17,36,36,0,0,0,0
"60QM000332",63,63,57,3,21,33,6,6,0,0,0,0
"60QM000333",76,76,59,3,22,34,17,15,2,0,0,0
"60QM000334",120,120,112,9,59,44,8,1,3,4,0,0
"60QM000335",108,108,104,38,48,18,4,2,2,0,0,0
"60QM000336",74,74,74,6,63,5,0,0,0,0,0,0
"60QM000337",109,109,109,0,105,4,0,0,0,0,0,0
"60QM000338",151,151,151,6,127,18,0,0,0,0,0,0
"60QM000339",141,141,138,19,107,12,3,3,0,0,0,0
"60QM000340",107,107,107,11,86,10,0,0,0,0,0,0
"60QM000341",102,102,97,2,3,92,5,5,0,0,0,0
"60QM000342",153,153,149,8,13,128,4,4,0,0,0,0
"60QM000343",82,82,79,6,21,52,3,3,0,0,0,0
"60QM000344",113,113,112,12,25,75,1,1,0,0,0,0
"60QM000345",132,132,132,0,78,54,0,0,0,0,0,0
"60QM000346",101,101,101,0,11,90,0,0,0,0,0,0
"60QM000347",73,73,20,0,13,7,53,53,0,0,0,0
"60QM000348",149,149,145,9,59,77,4,2,0,2,0,0
"60QM000349",121,121,117,6,33,78,4,4,0,0,0,0
"60QM000350",105,105,105,5,68,32,0,0,0,0,0,0
"60QM000351",130,130,130,2,110,18,0,0,0,0,0,0
"60QM000352",119,119,108,4,82,22,11,1,0,10,0,0
"60QM000353",100,100,95,0,60,35,5,5,0,0,0,0
"60QM000354",102,102,94,1,40,53,8,8,0,0,0,0
"60QM000355",86,86,82,0,75,7,4,4,0,0,0,0
"60QM000356",107,107,11,8,2,1,96,88,8,0,0,0
"60QM000357",127,127,97,8,73,16,30,30,0,0,0,0
"60QM000358",136,136,136,134,0,2,0,0,0,0,0,0
"60QM000359",133,133,98,95,3,0,35,35,0,0,0,0
"60QM000360",49,49,13,2,8,3,36,25,11,0,0,0
"60QM000361",71,71,71,5,65,1,0,0,0,0,0,0
"60QM000362",67,67,67,31,36,0,0,0,0,0,0,0
"60QM000363",114,114,108,16,48,44,6,3,3,0,0,0
"60QM000364",116,116,80,21,59,0,36,28,8,0,0,0
"60QM000365",87,87,87,2,54,31,0,0,0,0,0,0
"60QM000366",151,151,146,7,71,68,5,5,0,0,0,0
"60QM000367",115,115,115,3,67,45,0,0,0,0,0,0
"60QM000368",112,112,107,0,54,53,5,5,0,0,0,0
"60QM000369",63,63,58,0,53,5,5,5,0,0,0,0
"60QM000370",135,135,118,30,47,41,17,17,0,0,0,0
"60QM000371",93,93,87,9,29,49,6,6,0,0,0,0
"60QM000372",112,112,110,0,52,58,2,2,0,0,0,0
"60QM000373",98,98,96,12,81,3,2,0,2,0,0,0
"60QM000374",114,114,113,1,28,84,1,1,0,0,0,0
"60QM000375",105,105,103,4,50,49,2,2,0,0,0,0
"60QM000376",106,106,97,5,37,55,9,9,0,0,0,0
"60QM000377",60,60,7,1,2,4,53,53,0,0,0,0
"60QM000378",52,52,33,2,16,15,19,14,5,0,0,0
"60QM000379",87,87,16,4,9,3,71,42,18,11,0,0
"60QM000380",115,115,32,19,1,12,83,32,28,23,0,0
"60QM000381",144,144,144,5,111,28,0,0,0,0,0,0
"60QM000382",101,101,101,41,39,21,0,0,0,0,0,0
"60QM000383",139,139,115,12,83,20,24,9,15,0,0,0
"60QM000384",137,137,137,67,43,27,0,0,0,0,0,0
"60QM000385",223,223,162,0,84,78,61,61,0,0,0,0
"60QM000386",182,182,178,7,56,115,4,3,1,0,0,0
"60QM000387",104,104,98,0,43,55,6,6,0,0,0,0
"60QM000388",143,143,143,10,60,73,0,0,0,0,0,0
"60QM000389",95,95,86,3,39,44,9,9,0,0,0,0
"60QM000390",82,82,19,15,1,3,63,52,11,0,0,0
"60QM000391",158,158,37,6,17,14,121,115,4,2,0,0
"60QM000392",222,222,222,6,90,126,0,0,0,0,0,0
"60QM000393",51,51,38,11,6,21,13,9,1,3,0,0
"60QM000394",204,204,204,116,88,0,0,0,0,0,0,0
"60QM000395",90,90,90,21,44,25,0,0,0,0,0,0
"60QM000396",184,184,184,25,158,1,0,0,0,0,0,0
"60QM000397",108,108,108,97,6,5,0,0,0,0,0,0
"60QM000398",134,134,118,33,83,2,16,16,0,0,0,0
"60QM000399",133,133,107,53,54,0,26,21,5,0,0,0
"60QM000400",140,140,123,17,65,41,17,16,1,0,0,0
"60QM000401",107,107,85,29,18,38,22,22,0,0,0,0
"60QM000402",62,62,23,13,10,0,39,37,2,0,0,0
"60QM000403",65,65,38,4,10,24,27,27,0,0,0,0
"60QM000404",132,132,132,87,36,9,0,0,0,0,0,0
"60QM000405",88,88,71,58,9,4,17,2,15,0,0,0
"60QM000406",59,59,40,20,0,20,19,11,5,3,0,0
"60QM000407",100,100,91,17,15,59,9,8,0,1,0,0
"60QM000408",113,113,107,12,29,66,6,6,0,0,0,0
"60QM000409",115,115,101,10,60,31,14,13,1,0,0,0
"60QM000410",139,139,124,15,31,78,15,15,0,0,0,0
"60QM000411",179,179,177,13,86,78,2,2,0,0,0,0
"60QM000412",184,184,181,10,31,140,3,0,3,0,0,0
"60QM000413",152,152,152,2,9,141,0,0,0,0,0,0
"60QM000414",143,143,128,8,47,73,15,15,0,0,0,0
"60QM000415",112,112,107,2,27,78,5,5,0,0,0,0
"60QM000416",110,110,108,7,100,1,2,0,2,0,0,0
"60QM000417",112,112,98,23,58,17,14,12,2,0,0,0
"60QM000418",183,183,176,16,45,115,7,7,0,0,0,0
"60QM000419",132,132,132,4,38,90,0,0,0,0,0,0
"60QM000420",80,80,51,8,21,22,29,27,2,0,0,0
"60QM000421",167,167,98,62,7,29,69,69,0,0,0,0
"60QM000422",96,96,23,1,5,17,73,73,0,0,0,0
"60QM000423",109,109,109,1,8,100,0,0,0,0,0,0
"60QM000424",89,89,71,4,3,64,18,18,0,0,0,0
"60QM000425",64,64,6,0,0,6,58,58,0,0,0,0
"60QM000426",80,80,73,13,14,46,7,7,0,0,0,0
"60QM000427",53,53,37,9,16,12,16,14,2,0,0,0
"60QM000428",123,123,79,15,16,48,44,24,17,3,0,0
"60QM000429",136,136,25,0,4,21,111,93,14,4,0,0
"60QM000430",64,64,20,0,8,12,44,33,8,3,0,0
"60QM000431",133,133,130,10,51,69,2,2,0,0,1,0
"60QM000432",106,106,92,21,15,56,14,8,6,0,0,0
"60QM000433",160,160,146,29,69,48,14,13,0,1,0,0
"60QM000434",105,105,63,9,10,44,42,42,0,0,0,0
"60QM000435",110,110,105,8,9,88,5,5,0,0,0,0
"60QM000436",152,152,150,3,17,130,2,2,0,0,0,0
"60QM000437",115,115,115,32,27,56,0,0,0,0,0,0
"60QM000438",132,132,130,13,46,71,2,2,0,0,0,0
"60QM000439",159,159,148,4,39,105,11,11,0,0,0,0
"60QM000440",96,96,96,58,15,23,0,0,0,0,0,0
"60QM000441",102,102,102,71,25,6,0,0,0,0,0,0
"60QM000442",103,103,103,52,45,6,0,0,0,0,0,0
"60QM000443",116,116,112,24,88,0,4,1,0,3,0,0
"60QM000444",107,107,107,27,62,18,0,0,0,0,0,0
"60QM000445",212,212,212,34,158,20,0,0,0,0,0,0
"60QM000446",144,144,144,24,43,77,0,0,0,0,0,0
"60QM000447",86,86,72,19,2,51,14,14,0,0,0,0
"60QM000448",98,98,97,3,19,75,1,1,0,0,0,0
"60QM000449",201,201,179,57,71,51,5,3,0,2,17,0
"60QM000450",136,136,136,77,59,0,0,0,0,0,0,0
"60QM000451",93,93,92,66,17,9,1,1,0,0,0,0
"60QM000452",116,116,115,57,58,0,1,1,0,0,0,0
"60QM000453",144,144,144,101,41,2,0,0,0,0,0,0
"60QM000454",110,110,110,58,27,25,0,0,0,0,0,0
"60QM000455",185,185,185,160,10,15,0,0,0,0,0,0
"60QM000456",162,162,158,98,60,0,4,0,4,0,0,0
"60QM000457",129,129,127,120,7,0,2,0,2,0,0,0
"60QM000458",107,107,97,74,23,0,10,3,0,7,0,0
"60QM000459",112,112,112,15,87,10,0,0,0,0,0,0
"60QM000460",128,128,121,1,80,40,7,7,0,0,0,0
"60QM000461",92,92,86,16,64,6,6,4,2,0,0,0
"60QM000462",105,105,105,0,98,7,0,0,0,0,0,0
"60QM000463",168,168,168,98,68,2,0,0,0,0,0,0
"60QM000464",167,167,165,139,26,0,2,2,0,0,0,0
"60QM000465",184,184,182,176,1,5,2,2,0,0,0,0
"60QM000466",158,158,154,87,2,65,4,4,0,0,0,0
"60QM000467",107,107,106,72,32,2,0,0,0,0,1,0
"60QM000468",69,69,61,22,18,21,8,3,5,0,0,0
"60QM000469",91,87,57,24,11,22,30,11,10,9,0,4
"60QM000470",105,105,65,12,18,35,40,8,24,8,0,0
"60QM000471",127,127,98,16,66,16,29,2,27,0,0,0
"60QM000472",127,127,127,123,1,3,0,0,0,0,0,0
"60QM000473",132,132,101,21,36,44,31,15,12,4,0,0
"60QM000474",111,111,73,35,15,23,38,35,3,0,0,0
"60QM000475",123,123,80,0,21,59,43,37,6,0,0,0
"60QM000476",113,113,112,7,24,81,1,1,0,0,0,0
"60QM000477",123,123,123,79,43,1,0,0,0,0,0,0
"60QM000478",134,134,106,30,68,8,28,28,0,0,0,0
"60QM000479",146,146,135,12,97,26,11,11,0,0,0,0
"60QM000480",156,156,156,8,36,112,0,0,0,0,0,0
"60QM000481",178,178,52,2,39,11,126,120,6,0,0,0
"60QM000482",121,121,93,3,73,17,28,26,2,0,0,0
"60QM000483",64,64,33,4,17,12,31,31,0,0,0,0
"60QM000484",113,113,113,0,15,98,0,0,0,0,0,0
"60QM000485",144,144,142,56,77,9,2,0,2,0,0,0
"60QM000486",160,160,141,27,24,90,19,19,0,0,0,0
"60QM000487",145,145,95,0,20,75,50,50,0,0,0,0
"60QM000488",67,67,48,0,32,16,19,19,0,0,0,0
"60QM000489",161,161,117,58,14,45,44,35,9,0,0,0
"60QM000490",109,109,85,18,56,11,24,1,23,0,0,0
"60QM000491",120,120,90,24,61,5,30,5,20,5,0,0
"60QM000492",134,134,134,23,57,54,0,0,0,0,0,0
"60QM000493",151,151,97,17,66,14,54,54,0,0,0,0
"60QM000494",148,148,123,58,65,0,25,25,0,0,0,0
"60QM000495",100,100,99,73,24,2,1,0,0,1,0,0
"60QM000496",138,138,110,7,92,11,27,27,0,0,1,0
"60QM000497",67,67,13,3,9,1,54,54,0,0,0,0
"60QM000498",122,122,112,61,39,12,10,10,0,0,0,0
"60QM000499",113,113,89,82,7,0,24,24,0,0,0,0
"60QM000500",106,106,86,75,7,4,20,20,0,0,0,0
"60QM000501",91,91,72,51,20,1,19,19,0,0,0,0
"60QM000502",100,100,55,22,19,14,45,45,0,0,0,0
"60QM000503",127,127,113,99,13,1,14,14,0,0,0,0
"60QM000504",81,81,73,65,8,0,8,5,3,0,0,0
"60QM000505",88,88,36,11,12,13,52,32,0,20,0,0
"60QM000506",78,78,18,2,3,13,60,27,0,33,0,0
"60QM000507",136,136,11,3,6,2,125,94,9,22,0,0
"60QM000508",110,110,43,16,22,5,67,24,11,32,0,0
"60QM000509",176,176,125,2,36,87,51,50,1,0,0,0
"60QM000510",101,101,46,2,9,35,55,45,4,6,0,0
"60QM000511",151,151,65,7,20,38,86,61,22,3,0,0
"60QM000512",116,116,69,27,4,38,47,11,28,8,0,0
"60QM000513",83,83,67,17,30,20,16,0,16,0,0,0
"60QM000514",96,96,82,25,7,50,14,12,2,0,0,0
"60QM000515",93,93,93,0,89,4,0,0,0,0,0,0
"60QM000516",80,80,80,4,70,6,0,0,0,0,0,0
"60QM000517",168,168,156,80,45,31,12,1,9,2,0,0
"60QM000518",110,110,110,13,75,22,0,0,0,0,0,0
"60QM000519",153,153,132,14,88,30,21,7,10,4,0,0
"60QM000520",85,85,58,22,23,13,27,12,13,2,0,0
"60QM000521",95,95,92,6,51,35,3,3,0,0,0,0
"60QM000522",103,103,98,5,69,24,5,5,0,0,0,0
"60QM000523",131,131,130,23,32,75,1,1,0,0,0,0
"60QM000524",134,134,114,68,20,26,20,12,4,4,0,0
"60QM000525",59,59,59,50,9,0,0,0,0,0,0,0
"60QM000526",78,78,62,44,18,0,16,3,13,0,0,0
"60QM000527",63,63,59,53,6,0,4,0,4,0,0,0
"60QM000528",91,91,87,58,20,9,4,1,3,0,0,0
"60QM000529",96,96,41,25,14,2,55,35,7,13,0,0
"60QM000530",146,146,87,35,38,14,59,42,13,4,0,0
"60QM000531",99,99,83,36,42,5,16,14,2,0,0,0
"60QM000532",129,129,120,5,104,11,9,9,0,0,0,0
"60QM000533",98,98,96,49,41,6,2,2,0,0,0,0
"60QM000534",84,84,84,38,17,29,0,0,0,0,0,0
"60QM000535",87,87,81,23,25,33,6,3,3,0,0,0
"60QM000536",91,91,81,55,18,8,10,1,9,0,0,0
"60QM000537",142,142,142,124,10,8,0,0,0,0,0,0
"60QM000538",84,84,84,84,0,0,0,0,0,0,0,0
"60QM000539",151,151,137,43,70,24,14,8,6,0,0,0
"60QM000540",127,127,110,33,42,35,17,17,0,0,0,0
"60QM000541",115,115,108,96,12,0,7,7,0,0,0,0
"60QM000542",89,89,47,36,9,2,42,41,1,0,0,0
"60QM000543",76,76,56,46,7,3,20,17,3,0,0,0
"60QM000544",184,184,182,182,0,0,2,0,2,0,0,0
"60QM000545",79,79,53,38,15,0,26,9,17,0,0,0
"60QM000546",125,125,55,1,54,0,70,10,60,0,0,0
"60QM000547",78,78,42,24,12,6,36,0,36,0,0,0
"60QM000548",58,58,14,11,2,1,44,8,36,0,0,0
"60QM000549",91,91,69,47,11,11,22,13,9,0,0,0
"60QM000550",106,106,63,9,32,22,43,23,20,0,0,0
"60QM000551",103,103,42,23,8,11,61,0,61,0,0,0
"60QM000552",110,110,108,98,7,3,2,0,2,0,0,0
"60QM000553",87,87,78,61,11,6,9,0,8,1,0,0
"60QM000554",181,181,178,135,14,29,3,1,2,0,0,0
"60QM000555",194,194,193,153,8,32,1,1,0,0,0,0
"60QM000556",141,141,70,29,41,0,71,27,44,0,0,0
"60QM000557",124,124,81,42,39,0,43,21,19,3,0,0
"60QM000558",107,107,87,58,29,0,20,0,20,0,0,0
"60QM000559",154,154,89,52,24,13,65,18,40,7,0,0
"60QM000560",98,98,21,7,5,9,77,63,9,5,0,0
"60QM000561",53,53,4,0,4,0,49,40,2,7,0,0
"60QM000562",79,79,23,16,1,6,56,38,11,7,0,0
"60QM000563",63,63,33,8,11,14,30,21,9,0,0,0
"60QM000564",114,114,33,4,14,15,81,54,9,18,0,0
"60QM000565",120,120,5,3,2,0,115,78,4,33,0,0
"60QM000566",100,100,73,19,8,46,27,10,14,3,0,0
"60QM000567",107,107,38,12,10,16,69,56,13,0,0,0
"60QM000568",170,170,86,9,47,30,84,6,74,4,0,0
"60QM000569",102,102,31,9,7,15,71,60,11,0,0,0
"60QM000570",160,160,158,38,17,103,2,2,0,0,0,0
"60QM000571",89,89,88,49,28,11,1,1,0,0,0,0
"60QM000572",59,59,33,26,5,2,26,10,16,0,0,0
"60QM000573",118,118,47,0,41,6,71,71,0,0,0,0
"60QM000574",88,88,82,0,19,63,6,6,0,0,0,0
"60QM000575",97,97,92,4,6,82,5,5,0,0,0,0
"60QM000576",98,98,56,6,43,7,42,42,0,0,0,0
"60QM000577",116,116,64,0,41,23,52,52,0,0,0,0
"60QM000578",111,111,102,4,43,55,9,9,0,0,0,0
"60QM000579",151,151,132,7,65,60,19,19,0,0,0,0
"60QM000580",133,133,126,10,62,54,7,7,0,0,0,0
"60QM000581",100,100,100,100,0,0,0,0,0,0,0,0
"60QM000582",67,67,63,62,1,0,4,0,4,0,0,0
"60QM000583",98,98,98,59,19,20,0,0,0,0,0,0
"60QM000584",124,124,123,76,36,11,1,1,0,0,0,0
"60QM000585",122,122,122,39,66,17,0,0,0,0,0,0
"60QM000586",114,114,110,74,21,15,4,4,0,0,0,0
"60QM000587",99,99,97,76,21,0,2,0,2,0,0,0
"60QM000588",186,186,186,115,71,0,0,0,0,0,0,0
"60QM000589",67,67,23,5,12,6,44,44,0,0,0,0
"60QM000590",120,120,110,88,18,4,10,7,3,0,0,0
"60QM000591",103,103,82,12,18,52,21,21,0,0,0,0
"60QM000592",125,125,98,49,23,26,27,10,17,0,0,0
"60QM000593",60,60,20,3,12,5,40,23,6,11,0,0
"60QM000594",120,120,27,8,9,10,93,75,13,5,0,0
"60QM000595",96,96,96,44,31,21,0,0,0,0,0,0
"60QM000596",66,66,26,9,9,8,40,36,4,0,0,0
"60QM000597",117,117,101,0,23,78,16,15,1,0,0,0
"60QM000598",60,60,60,48,8,4,0,0,0,0,0,0
"60QM000599",65,65,61,5,13,43,4,3,0,1,0,0
"60QM000600",54,54,32,0,25,7,22,22,0,0,0,0
"60QM000601",118,118,116,90,19,7,2,0,2,0,0,0
"60QM000602",158,158,59,5,10,44,99,94,3,2,0,0
"60QM000603",115,115,111,9,28,74,4,4,0,0,0,0
"60QM000604",105,105,105,0,26,79,0,0,0,0,0,0
"60QM000605",77,77,77,4,67,6,0,0,0,0,0,0
"60QM000606",106,106,91,0,82,9,15,13,0,2,0,0
"60QM000607",122,122,117,2,95,20,5,5,0,0,0,0
"60QM000608",85,85,47,13,13,21,38,31,5,2,0,0
"60QM000609",183,183,175,61,96,18,8,4,4,0,0,0
"60QM000610",128,128,83,2,26,55,45,45,0,0,0,0
"60QM000611",76,76,74,41,17,16,2,2,0,0,0,0
"60QM000612",136,136,133,45,45,43,3,3,0,0,0,0
"60QM000613",112,112,66,5,37,24,46,36,9,1,0,0
"60QM000614",104,104,104,0,101,3,0,0,0,0,0,0
"60QM000615",127,127,25,14,6,5,102,46,25,31,0,0
"60QM000616",68,68,53,43,7,3,15,5,10,0,0,0
"60QM000617",110,110,49,19,27,3,61,55,6,0,0,0
"60QM000618",59,59,47,10,11,26,12,10,1,1,0,0
"60QM000619",64,64,43,13,15,15,21,14,7,0,0,0
"60QM000620",88,88,32,6,7,19,56,51,5,0,0,0
"60QM000621",156,156,151,2,23,126,5,5,0,0,0,0
"60QM000622",86,86,86,83,3,0,0,0,0,0,0,0
"60QM000623",106,106,75,54,18,3,31,20,6,5,0,0
"60QM000624",122,122,104,54,36,14,18,7,11,0,0,0
"60QM000625",152,152,145,84,55,6,7,0,5,2,0,0
"60QM000626",55,55,35,7,24,4,20,20,0,0,0,0
"60QM000627",68,68,55,34,14,7,13,0,13,0,0,0
