"output_area","ALL PEOPLE","In an unshared dwelling","House or bungalow","     Detached","     Semi-detached","     Terraced (including end-terrace)","  Flat, maisonette or apartment","     In a purpose-built block of flats","     Part of a converted or shared house","     In a commercial building","  Caravan or other mobile or temporary structure","In a shared dwelling"
"60QA000099",93,93,1,1,0,0,92,91,1,0,0,0
"60QA000100",63,63,3,1,0,2,60,59,1,0,0,0
"60QA000101",62,62,3,1,0,2,59,54,1,4,0,0
"60QA000102",75,75,10,3,7,0,65,56,6,3,0,0
"60QA000103",76,76,2,0,1,1,74,68,2,4,0,0
"60QA000104",74,74,0,0,0,0,74,61,0,13,0,0
"60QA000105",76,76,5,0,5,0,70,64,6,0,1,0
"60QA000106",70,70,7,2,2,3,63,58,5,0,0,0
"60QA000107",77,77,5,2,0,3,72,56,16,0,0,0
"60QA000108",119,119,8,1,7,0,110,106,4,0,1,0
"60QA000109",62,62,1,0,1,0,61,56,3,2,0,0
"60QA000110",123,123,3,0,2,1,120,118,2,0,0,0
"60QA000111",71,71,4,0,0,4,67,59,6,2,0,0
"60QA000112",54,54,10,3,4,3,44,44,0,0,0,0
"60QA000113",56,56,10,0,1,9,46,46,0,0,0,0
"60QA000114",92,92,2,2,0,0,90,90,0,0,0,0
"60QA000115",73,73,4,0,1,3,69,69,0,0,0,0
"60QA000116",79,79,5,0,3,2,74,74,0,0,0,0
"60QA000117",133,133,41,8,28,5,92,92,0,0,0,0
"60QA000118",108,108,81,1,80,0,27,27,0,0,0,0
"60QA000119",103,103,43,3,38,2,60,60,0,0,0,0
"60QA000120",107,107,86,9,72,5,21,19,2,0,0,0
"60QA000121",129,129,25,1,16,8,104,104,0,0,0,0
"60QA000122",101,101,76,4,5,67,25,25,0,0,0,0
"60QA000123",106,106,53,6,27,20,53,38,11,4,0,0
"60QA000124",128,128,89,10,28,51,39,37,2,0,0,0
"60QA000125",160,160,151,14,61,76,9,9,0,0,0,0
"60QA000126",156,156,141,38,39,64,15,15,0,0,0,0
"60QA000127",133,133,62,3,31,28,71,70,1,0,0,0
"60QA000128",100,100,63,5,29,29,37,33,4,0,0,0
"60QA000129",108,108,20,1,10,9,88,88,0,0,0,0
"60QA000130",89,89,50,0,14,36,39,38,1,0,0,0
"60QA000131",147,147,0,0,0,0,147,147,0,0,0,0
"60QA000132",110,110,1,0,1,0,109,109,0,0,0,0
"60QA000133",101,99,75,8,35,32,24,7,17,0,0,2
"60QA000134",74,74,4,0,2,2,70,70,0,0,0,0
"60QA000135",68,68,0,0,0,0,68,68,0,0,0,0
"60QA000136",78,78,3,0,2,1,75,67,7,1,0,0
"60QA000137",79,79,24,3,17,4,55,52,3,0,0,0
"60QA000138",110,110,12,2,0,10,98,78,20,0,0,0
"60QA000139",106,106,50,16,15,19,56,39,17,0,0,0
"60QA000140",81,81,19,2,7,10,62,59,3,0,0,0
"60QA000141",88,88,14,9,3,2,74,74,0,0,0,0
"60QA000142",54,54,2,0,2,0,52,48,4,0,0,0
"60QA000143",95,95,62,1,25,36,33,29,3,1,0,0
"60QA000144",153,153,58,1,33,24,95,90,5,0,0,0
"60QA000145",121,121,21,4,4,13,100,98,2,0,0,0
"60QA000146",59,59,5,2,0,3,54,54,0,0,0,0
"60QA000147",119,119,48,5,6,37,71,63,0,8,0,0
"60QA000148",145,145,68,0,20,48,77,69,8,0,0,0
"60QA000149",103,103,1,0,1,0,102,101,1,0,0,0
"60QA000150",111,111,3,2,1,0,108,107,1,0,0,0
"60QA000151",168,168,168,94,73,1,0,0,0,0,0,0
"60QA000152",64,64,64,47,12,5,0,0,0,0,0,0
"60QA000153",86,86,82,36,42,4,4,1,3,0,0,0
"60QA000154",92,92,44,22,15,7,29,19,10,0,19,0
"60QA000155",69,69,13,0,7,6,56,56,0,0,0,0
"60QA000156",159,159,123,15,84,24,36,36,0,0,0,0
"60QA000157",107,107,52,6,27,19,55,55,0,0,0,0
"60QA000158",178,178,96,16,58,22,82,80,2,0,0,0
"60QA000159",133,133,37,7,16,14,89,89,0,0,7,0
"60QA000160",96,96,78,9,14,55,18,18,0,0,0,0
"60QA000161",113,113,81,6,49,26,32,32,0,0,0,0
"60QA000162",134,134,127,111,16,0,7,7,0,0,0,0
"60QA000163",101,101,97,5,20,72,4,4,0,0,0,0
"60QA000164",111,111,101,44,25,32,10,10,0,0,0,0
"60QA000165",99,99,89,58,3,28,10,9,1,0,0,0
"60QA000166",143,143,137,17,52,68,6,3,3,0,0,0
"60QA000167",143,143,142,0,30,112,1,1,0,0,0,0
"60QA000168",121,121,121,4,117,0,0,0,0,0,0,0
"60QA000169",112,112,111,9,102,0,1,1,0,0,0,0
"60QA000170",108,108,106,56,50,0,2,2,0,0,0,0
"60QA000171",57,57,4,2,1,1,53,53,0,0,0,0
"60QA000172",96,96,24,1,15,8,72,72,0,0,0,0
"60QA000173",110,110,30,7,20,3,80,80,0,0,0,0
"60QA000174",117,117,82,10,68,4,35,35,0,0,0,0
"60QA000175",161,161,118,6,37,75,43,43,0,0,0,0
"60QA000176",106,106,54,23,29,2,52,52,0,0,0,0
"60QA000177",119,119,118,3,17,98,1,1,0,0,0,0
"60QA000178",64,64,48,0,44,4,16,16,0,0,0,0
"60QA000179",72,72,72,1,26,45,0,0,0,0,0,0
"60QA000180",108,108,104,0,32,72,4,4,0,0,0,0
"60QA000181",108,108,80,1,18,61,28,28,0,0,0,0
"60QA000182",110,110,6,0,2,4,104,100,4,0,0,0
"60QA000183",145,145,36,2,18,16,109,109,0,0,0,0
"60QA000184",122,122,8,5,2,1,114,114,0,0,0,0
"60QA000185",120,120,13,0,12,1,107,107,0,0,0,0
"60QA000186",75,75,7,3,4,0,68,68,0,0,0,0
"60QA000187",123,123,84,5,20,59,39,38,1,0,0,0
"60QA000188",76,76,13,1,12,0,63,63,0,0,0,0
"60QA000189",90,90,90,0,29,61,0,0,0,0,0,0
"60QA000190",113,113,93,0,36,57,20,12,0,8,0,0
"60QA000191",131,131,131,0,28,103,0,0,0,0,0,0
"60QA000192",133,133,132,12,31,89,1,1,0,0,0,0
"60QA000193",89,89,89,0,17,72,0,0,0,0,0,0
"60QA000194",116,116,113,6,47,60,3,3,0,0,0,0
"60QA000195",100,100,100,0,42,58,0,0,0,0,0,0
"60QA000196",107,107,61,0,35,26,46,46,0,0,0,0
"60QA000197",123,123,91,2,17,72,32,32,0,0,0,0
"60QA000198",92,92,92,2,17,73,0,0,0,0,0,0
"60QA000199",112,112,107,2,36,69,5,0,5,0,0,0
"60QA000200",160,160,109,3,21,85,51,51,0,0,0,0
"60QA000201",126,126,38,0,16,22,88,87,1,0,0,0
"60QA000202",76,76,27,2,6,19,49,49,0,0,0,0
"60QA000203",131,131,131,19,67,45,0,0,0,0,0,0
"60QA000204",81,81,16,6,7,3,65,64,1,0,0,0
"60QA000205",90,90,4,4,0,0,86,85,1,0,0,0
"60QA000206",68,68,16,8,0,8,52,52,0,0,0,0
"60QA000207",62,62,4,4,0,0,58,58,0,0,0,0
"60QA000208",179,179,67,7,29,31,112,111,1,0,0,0
"60QA000209",146,146,22,7,5,10,124,123,1,0,0,0
"60QA000210",103,103,46,3,39,4,57,57,0,0,0,0
"60QA000211",139,139,42,6,6,30,97,97,0,0,0,0
"60QA000212",150,150,147,3,55,89,3,3,0,0,0,0
"60QA000213",177,177,175,6,47,122,2,2,0,0,0,0
"60QA000214",151,151,66,5,30,31,85,82,0,3,0,0
"60QA000215",101,101,34,7,24,3,67,67,0,0,0,0
"60QA000216",126,126,79,2,65,12,47,47,0,0,0,0
"60QA000217",117,117,36,5,15,16,81,81,0,0,0,0
"60QA000218",123,121,114,13,80,21,7,0,7,0,0,2
"60QA000219",136,136,132,51,68,13,4,0,4,0,0,0
"60QA000220",90,90,69,55,9,5,21,15,6,0,0,0
"60QA000221",138,138,90,39,49,2,48,36,12,0,0,0
"60QA000222",180,180,158,19,116,23,22,17,5,0,0,0
"60QA000223",137,135,78,57,0,21,57,49,8,0,0,2
"60QA000224",119,119,64,35,15,14,55,19,36,0,0,0
"60QA000225",119,119,94,17,34,43,25,9,16,0,0,0
"60QA000226",135,135,83,65,7,11,52,29,17,6,0,0
"60QA000227",129,129,100,3,37,60,29,19,9,1,0,0
"60QA000228",83,83,18,0,10,8,65,62,3,0,0,0
"60QA000229",91,91,70,8,8,54,21,0,15,6,0,0
"60QA000230",73,73,61,5,56,0,12,10,0,2,0,0
"60QA000231",106,106,105,28,65,12,1,0,1,0,0,0
"60QA000232",165,165,122,19,76,27,43,42,1,0,0,0
"60QA000233",182,182,133,16,52,65,49,27,22,0,0,0
"60QA000234",140,140,114,11,54,49,26,4,22,0,0,0
"60QA000235",104,97,59,13,39,7,38,17,21,0,0,7
"60QA000236",127,127,122,5,109,8,5,3,2,0,0,0
"60QA000237",106,106,106,6,98,2,0,0,0,0,0,0
"60QA000238",78,78,4,3,0,1,74,67,7,0,0,0
"60QA000239",61,61,0,0,0,0,61,53,8,0,0,0
"60QA000240",67,67,2,0,2,0,65,63,2,0,0,0
"60QA000241",56,56,2,0,2,0,54,48,4,2,0,0
