"output_area","ALL PEOPLE","Good Health","Fairly Good Health","Not Good Health"
"60QA000001",58,42,12,4
"60QA000002",174,143,24,7
"60QA000003",76,52,16,8
"60QA000004",66,60,3,3
"60QA000005",82,78,4,0
"60QA000006",198,160,31,7
"60QA000007",73,65,8,0
"60QA000008",108,90,14,4
"60QA000009",153,111,34,8
"60QA000010",65,48,15,2
"60QA000011",71,62,6,3
"60QA000012",84,73,8,3
"60QA000013",212,166,40,6
"60QA000014",99,82,16,1
"60QA000015",77,59,14,4
"60QA000016",130,110,19,1
"60QA000017",144,81,47,16
"60QA000018",123,83,24,16
"60QA000019",62,52,8,2
"60QA000020",65,54,9,2
"60QA000021",55,43,11,1
"60QA000022",54,40,10,4
"60QA000023",85,65,10,10
"60QA000024",90,57,25,8
"60QA000025",72,31,32,9
"60QA000026",59,31,16,12
"60QA000027",73,50,14,9
"60QA000028",119,97,18,4
"60QA000029",56,38,9,9
"60QA000030",63,31,19,13
"60QA000031",71,51,14,6
"60QA000032",92,74,10,8
"60QA000033",115,101,12,2
"60QA000034",170,134,33,3
"60QA000035",164,131,28,5
"60QA000036",124,88,25,11
"60QA000037",62,43,14,5
"60QA000038",100,58,32,10
"60QA000039",178,148,26,4
"60QA000040",129,99,25,5
"60QA000041",71,51,15,5
"60QA000042",57,46,9,2
"60QA000043",121,77,33,11
"60QA000044",143,119,20,4
"60QA000045",117,66,23,28
"60QA000046",101,91,6,4
"60QA000047",137,110,19,8
"60QA000048",112,85,24,3
"60QA000049",114,83,25,6
"60QA000050",131,111,15,5
"60QA000051",71,35,23,13
"60QA000052",98,70,17,11
"60QA000053",85,69,13,3
"60QA000054",116,89,19,8
"60QA000055",164,131,25,8
"60QA000056",128,102,17,9
"60QA000057",69,56,12,1
"60QA000058",95,75,15,5
"60QA000059",81,52,18,11
"60QA000060",97,79,15,3
"60QA000061",82,62,14,6
"60QA000062",68,46,18,4
"60QA000063",67,55,11,1
"60QA000064",99,80,18,1
"60QA000065",96,80,13,3
"60QA000066",81,61,16,4
"60QA000067",71,54,13,4
"60QA000068",68,56,10,2
"60QA000069",120,72,39,9
"60QA000070",60,43,13,4
"60QA000071",69,51,16,2
"60QA000072",61,50,9,2
"60QA000073",87,56,22,9
"60QA000074",97,62,25,10
"60QA000075",59,45,11,3
"60QA000076",160,107,33,20
"60QA000077",82,52,20,10
"60QA000078",190,102,54,34
"60QA000079",66,35,21,10
"60QA000080",123,80,31,12
"60QA000081",78,45,23,10
"60QA000082",211,120,64,27
"60QA000083",94,72,13,9
"60QA000084",102,58,31,13
"60QA000085",131,86,32,13
"60QA000086",119,79,23,17
"60QA000087",141,93,36,12
"60QA000088",155,93,42,20
"60QA000089",90,60,21,9
"60QA000090",80,60,13,7
"60QA000091",88,48,27,13
"60QA000092",62,48,13,1
"60QA000093",104,57,32,15
"60QA000094",71,44,20,7
"60QA000095",64,46,11,7
"60QA000096",104,67,27,10
"60QA000097",90,52,31,7
"60QA000098",84,55,25,4
"60QA000099",93,54,28,11
"60QA000100",63,38,19,6
"60QA000101",62,36,23,3
"60QA000102",75,51,20,4
"60QA000103",76,59,10,7
"60QA000104",74,50,19,5
"60QA000105",76,38,23,15
"60QA000106",70,47,12,11
"60QA000107",77,51,18,8
"60QA000108",119,94,18,7
"60QA000109",62,34,23,5
"60QA000110",123,68,33,22
"60QA000111",71,38,24,9
"60QA000112",54,27,18,9
"60QA000113",56,40,11,5
"60QA000114",92,53,30,9
"60QA000115",73,32,27,14
"60QA000116",79,32,32,15
"60QA000117",133,90,27,16
"60QA000118",108,66,30,12
"60QA000119",103,57,34,12
"60QA000120",107,69,33,5
"60QA000121",129,70,35,24
"60QA000122",101,61,22,18
"60QA000123",106,76,22,8
"60QA000124",128,97,21,10
"60QA000125",160,101,42,17
"60QA000126",156,108,43,5
"60QA000127",133,81,32,20
"60QA000128",100,52,32,16
"60QA000129",108,74,20,14
"60QA000130",89,60,18,11
"60QA000131",147,91,43,13
"60QA000132",110,77,20,13
"60QA000133",101,66,21,14
"60QA000134",74,49,15,10
"60QA000135",68,44,18,6
"60QA000136",78,53,21,4
"60QA000137",79,65,11,3
"60QA000138",110,81,22,7
"60QA000139",106,72,23,11
"60QA000140",81,52,19,10
"60QA000141",88,52,28,8
"60QA000142",54,39,8,7
"60QA000143",95,57,23,15
"60QA000144",153,99,38,16
"60QA000145",121,57,35,29
"60QA000146",59,17,23,19
"60QA000147",119,77,31,11
"60QA000148",145,92,34,19
"60QA000149",103,75,20,8
"60QA000150",111,60,41,10
"60QA000151",168,124,35,9
"60QA000152",64,47,12,5
"60QA000153",93,60,25,8
"60QA000154",149,65,61,23
"60QA000155",69,35,18,16
"60QA000156",159,106,33,20
"60QA000157",107,64,20,23
"60QA000158",178,100,53,25
"60QA000159",133,79,41,13
"60QA000160",96,54,28,14
"60QA000161",113,72,26,15
"60QA000162",134,122,9,3
"60QA000163",101,65,28,8
"60QA000164",111,83,20,8
"60QA000165",99,75,18,6
"60QA000166",143,91,41,11
"60QA000167",143,80,52,11
"60QA000168",121,93,23,5
"60QA000169",112,75,33,4
"60QA000170",116,79,25,12
"60QA000171",57,14,25,18
"60QA000172",96,69,18,9
"60QA000173",110,77,22,11
"60QA000174",117,83,24,10
"60QA000175",163,109,35,19
"60QA000176",109,77,17,15
"60QA000177",119,80,25,14
"60QA000178",69,39,21,9
"60QA000179",72,37,25,10
"60QA000180",108,73,27,8
"60QA000181",108,76,22,10
"60QA000182",110,72,26,12
"60QA000183",145,103,27,15
"60QA000184",122,80,34,8
"60QA000185",120,76,32,12
"60QA000186",75,37,27,11
"60QA000187",123,65,34,24
"60QA000188",76,42,25,9
"60QA000189",90,41,37,12
"60QA000190",113,72,31,10
"60QA000191",131,84,34,13
"60QA000192",133,87,39,7
"60QA000193",89,49,30,10
"60QA000194",116,69,36,11
"60QA000195",100,51,38,11
"60QA000196",107,74,22,11
"60QA000197",123,86,25,12
"60QA000198",92,53,27,12
"60QA000199",112,57,41,14
"60QA000200",160,98,38,24
"60QA000201",126,88,28,10
"60QA000202",76,12,41,23
"60QA000203",131,84,34,13
"60QA000204",81,42,20,19
"60QA000205",90,59,21,10
"60QA000206",68,35,22,11
"60QA000207",62,41,17,4
"60QA000208",179,108,49,22
"60QA000209",146,94,32,20
"60QA000210",103,73,24,6
"60QA000211",139,86,38,15
"60QA000212",150,106,27,17
"60QA000213",177,113,46,18
"60QA000214",151,96,39,16
"60QA000215",101,55,34,12
"60QA000216",126,82,30,14
"60QA000217",117,81,25,11
"60QA000218",123,98,20,5
"60QA000219",136,107,22,7
"60QA000220",94,77,11,6
"60QA000221",138,103,24,11
"60QA000222",180,146,28,6
"60QA000223",315,261,50,4
"60QA000224",147,86,34,27
"60QA000225",125,102,20,3
"60QA000226",135,112,20,3
"60QA000227",129,101,18,10
"60QA000228",83,55,25,3
"60QA000229",91,72,16,3
"60QA000230",73,56,11,6
"60QA000231",106,90,11,5
"60QA000232",165,132,29,4
"60QA000233",190,159,21,10
"60QA000234",140,124,13,3
"60QA000235",104,82,15,7
"60QA000236",127,98,26,3
"60QA000237",106,75,22,9
"60QA000238",78,65,12,1
"60QA000239",61,54,7,0
"60QA000240",67,53,12,2
"60QA000241",56,37,15,4
"60QA000242",117,97,15,5
"60QA000243",65,56,7,2
"60QA000244",75,57,15,3
"60QA000245",67,49,16,2
"60QA000246",103,80,21,2
"60QA000247",68,52,15,1
"60QA000248",105,74,23,8
"60QA000249",63,50,9,4
"60QA000250",71,60,8,3
"60QA000251",65,56,8,1
"60QA000252",84,58,20,6
"60QA000253",92,65,20,7
"60QA000254",199,140,35,24
"60QA000255",113,87,20,6
"60QA000256",114,86,22,6
"60QA000257",89,68,18,3
"60QA000258",91,64,19,8
"60QA000259",96,76,15,5
"60QA000260",69,56,12,1
"60QA000261",210,189,15,6
"60QA000262",98,83,10,5
"60QA000263",87,63,16,8
"60QA000264",86,65,17,4
"60QA000265",145,125,18,2
"60QA000266",131,106,15,10
"60QA000267",115,99,14,2
"60QA000268",178,148,23,7
"60QA000269",179,148,24,7
"60QA000270",144,115,22,7
"60QA000271",121,101,15,5
"60QA000272",82,59,13,10
"60QA000273",81,64,15,2
"60QA000274",149,107,32,10
"60QA000275",144,94,40,10
"60QA000276",147,122,17,8
"60QA000277",127,90,28,9
"60QA000278",126,111,10,5
"60QA000279",124,97,19,8
"60QA000280",133,108,19,6
"60QA000281",101,74,20,7
"60QA000282",97,85,8,4
"60QA000283",126,111,9,6
"60QA000284",91,79,8,4
"60QA000285",100,54,33,13
"60QA000286",145,117,22,6
"60QA000287",152,124,19,9
"60QA000288",86,57,21,8
"60QA000289",56,41,12,3
"60QA000290",119,95,19,5
"60QA000291",85,74,10,1
"60QA000292",109,76,27,6
"60QA000293",65,49,12,4
"60QA000294",111,89,18,4
"60QA000295",82,64,14,4
"60QA000296",119,94,19,6
"60QA000297",93,79,9,5
"60QA000298",65,46,14,5
"60QA000299",75,61,10,4
"60QA000300",140,112,23,5
"60QA000301",55,13,23,19
"60QA000302",51,32,15,4
"60QA000303",183,137,36,10
"60QA000304",65,13,30,22
"60QA000305",70,57,10,3
"60QA000306",70,60,7,3
"60QA000307",84,59,21,4
"60QA000308",51,37,7,7
"60QA000309",161,132,19,10
"60QA000310",128,97,17,14
"60QA000311",95,74,20,1
"60QA000312",88,40,36,12
"60QA000313",113,72,31,10
"60QA000314",128,80,28,20
"60QA000315",115,80,25,10
"60QA000316",117,86,19,12
"60QA000317",94,62,22,10
"60QA000318",143,93,35,15
"60QA000319",156,104,36,16
"60QA000320",182,104,59,19
"60QA000321",163,95,58,10
"60QA000322",102,61,27,14
"60QA000323",114,66,30,18
"60QA000324",69,42,18,9
"60QA000325",109,71,29,9
"60QA000326",112,72,31,9
"60QA000327",123,90,24,9
"60QA000328",186,129,38,19
"60QA000329",173,107,47,19
"60QA000330",76,40,27,9
"60QA000331",129,50,50,29
"60QA000332",75,36,23,16
"60QA000333",63,34,23,6
"60QA000334",146,88,49,9
"60QA000335",163,94,48,21
"60QA000336",107,64,29,14
"60QA000337",126,105,16,5
"60QA000338",138,90,33,15
"60QA000339",120,102,14,4
"60QA000340",116,94,16,6
"60QA000341",107,83,16,8
"60QA000342",99,83,13,3
"60QA000343",106,84,12,10
"60QA000344",151,109,34,8
"60QA000345",113,90,20,3
"60QA000346",86,69,13,4
"60QA000347",117,71,33,13
"60QA000348",80,46,21,13
"60QA000349",89,65,20,4
"60QA000350",102,74,22,6
"60QA000351",121,98,16,7
"60QA000352",108,83,20,5
"60QA000353",114,80,29,5
"60QA000354",105,80,19,6
"60QA000355",100,75,19,6
"60QA000356",164,128,31,5
"60QA000357",185,151,28,6
"60QA000358",166,125,31,10
"60QA000359",159,121,25,13
"60QA000360",109,80,23,6
"60QA000361",84,65,14,5
"60QA000362",100,82,16,2
"60QA000363",171,120,43,8
"60QA000364",155,119,33,3
"60QA000365",140,98,28,14
"60QA000366",67,43,18,6
"60QA000367",77,55,15,7
"60QA000368",57,38,13,6
"60QA000369",92,64,22,6
"60QA000370",158,133,20,5
"60QA000371",111,88,20,3
"60QA000372",103,81,17,5
"60QA000373",101,69,26,6
"60QA000374",119,92,23,4
"60QA000375",88,62,21,5
"60QA000376",152,111,33,8
"60QA000377",122,98,20,4
"60QA000378",92,66,24,2
"60QA000379",165,136,25,4
"60QA000380",70,60,8,2
"60QA000381",112,82,21,9
"60QA000382",101,74,18,9
"60QA000383",144,88,37,19
"60QA000384",112,51,45,16
"60QA000385",159,90,48,21
"60QA000386",162,117,33,12
"60QA000387",80,61,14,5
"60QA000388",95,82,12,1
"60QA000389",90,64,21,5
"60QA000390",104,60,31,13
"60QA000391",139,101,26,12
"60QA000392",117,52,47,18
"60QA000393",124,75,26,23
"60QA000394",68,38,17,13
"60QA000395",187,122,51,14
"60QA000396",136,90,34,12
"60QA000397",143,100,33,10
"60QA000398",82,58,20,4
"60QA000399",104,81,19,4
"60QA000400",194,167,25,2
"60QA000401",164,132,26,6
"60QA000402",103,81,17,5
"60QA000403",133,100,24,9
"60QA000404",127,99,23,5
"60QA000405",166,137,20,9
"60QA000406",124,69,52,3
"60QA000407",228,157,45,26
"60QA000408",176,143,24,9
"60QA000409",182,130,40,12
"60QA000410",102,74,23,5
"60QA000411",85,52,27,6
"60QA000412",101,40,36,25
"60QA000413",79,40,29,10
"60QA000414",75,47,20,8
"60QA000415",70,32,27,11
"60QA000416",128,78,36,14
"60QA000417",65,28,26,11
"60QA000418",93,62,20,11
"60QA000419",111,91,18,2
"60QA000420",64,11,29,24
"60QA000421",98,76,19,3
"60QA000422",81,38,31,12
"60QA000423",91,50,29,12
"60QA000424",114,94,17,3
