"dz_2001","la_name","year","total","nonwhite"
"S01000001","Aberdeen City",2001,1008,12
"S01000002","Aberdeen City",2001,687,14
"S01000003","Aberdeen City",2001,838,15
"S01000004","Aberdeen City",2001,641,19
"S01000005","Aberdeen City",2001,663,35
"S01000006","Aberdeen City",2001,626,9
"S01000007","Aberdeen City",2001,924,11
"S01000008","Aberdeen City",2001,584,15
"S01000009","Aberdeen City",2001,710,8
"S01000010","Aberdeen City",2001,568,8
"S01000011","Aberdeen City",2001,918,37
"S01000012","Aberdeen City",2001,1332,17
"S01000013","Aberdeen City",2001,898,26
"S01000014","Aberdeen City",2001,1097,12
"S01000015","Aberdeen City",2001,869,12
"S01000016","Aberdeen City",2001,763,25
"S01000017","Aberdeen City",2001,937,4
"S01000018","Aberdeen City",2001,577,3
"S01000019","Aberdeen City",2001,531,12
"S01000020","Aberdeen City",2001,1065,41
"S01000021","Aberdeen City",2001,862,31
"S01000022","Aberdeen City",2001,663,20
"S01000023","Aberdeen City",2001,805,15
"S01000024","Aberdeen City",2001,512,11
"S01000025","Aberdeen City",2001,874,45
"S01000026","Aberdeen City",2001,1053,3
"S01000027","Aberdeen City",2001,815,18
"S01000028","Aberdeen City",2001,969,5
"S01000029","Aberdeen City",2001,742,44
"S01000030","Aberdeen City",2001,500,6
"S01000031","Aberdeen City",2001,1029,18
"S01000032","Aberdeen City",2001,1089,12
"S01000033","Aberdeen City",2001,796,7
"S01000034","Aberdeen City",2001,1194,31
"S01000035","Aberdeen City",2001,1009,21
"S01000036","Aberdeen City",2001,744,17
"S01000037","Aberdeen City",2001,800,12
"S01000038","Aberdeen City",2001,684,6
"S01000039","Aberdeen City",2001,942,16
"S01000040","Aberdeen City",2001,970,5
"S01000041","Aberdeen City",2001,838,11
"S01000042","Aberdeen City",2001,951,22
"S01000043","Aberdeen City",2001,976,18
"S01000044","Aberdeen City",2001,951,12
"S01000045","Aberdeen City",2001,581,19
"S01000046","Aberdeen City",2001,768,7
"S01000047","Aberdeen City",2001,835,37
"S01000048","Aberdeen City",2001,925,25
"S01000049","Aberdeen City",2001,764,11
"S01000050","Aberdeen City",2001,780,15
"S01000051","Aberdeen City",2001,788,12
"S01000052","Aberdeen City",2001,677,2
"S01000053","Aberdeen City",2001,1285,70
"S01000054","Aberdeen City",2001,777,11
"S01000055","Aberdeen City",2001,754,16
"S01000056","Aberdeen City",2001,1049,34
"S01000057","Aberdeen City",2001,700,16
"S01000058","Aberdeen City",2001,1016,19
"S01000059","Aberdeen City",2001,1055,20
"S01000060","Aberdeen City",2001,577,0
"S01000061","Aberdeen City",2001,963,45
"S01000062","Aberdeen City",2001,1112,27
"S01000063","Aberdeen City",2001,983,17
"S01000064","Aberdeen City",2001,648,5
"S01000065","Aberdeen City",2001,1114,26
"S01000066","Aberdeen City",2001,1011,10
"S01000067","Aberdeen City",2001,1068,30
"S01000068","Aberdeen City",2001,1021,27
"S01000069","Aberdeen City",2001,684,4
"S01000070","Aberdeen City",2001,646,8
"S01000071","Aberdeen City",2001,887,12
"S01000072","Aberdeen City",2001,1262,36
"S01000073","Aberdeen City",2001,619,13
"S01000074","Aberdeen City",2001,1058,7
"S01000075","Aberdeen City",2001,547,2
"S01000076","Aberdeen City",2001,770,19
"S01000077","Aberdeen City",2001,917,44
"S01000078","Aberdeen City",2001,1087,14
"S01000079","Aberdeen City",2001,1666,48
"S01000080","Aberdeen City",2001,927,27
"S01000081","Aberdeen City",2001,924,9
"S01000082","Aberdeen City",2001,954,3
"S01000083","Aberdeen City",2001,870,21
"S01000084","Aberdeen City",2001,791,12
"S01000085","Aberdeen City",2001,555,16
"S01000086","Aberdeen City",2001,745,32
"S01000087","Aberdeen City",2001,1765,116
"S01000088","Aberdeen City",2001,715,26
"S01000089","Aberdeen City",2001,1003,21
"S01000090","Aberdeen City",2001,1010,31
"S01000091","Aberdeen City",2001,1021,50
"S01000092","Aberdeen City",2001,851,44
"S01000093","Aberdeen City",2001,499,45
