"output_area","All people","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"S00096689",97,17,12,68
"S00096690",76,3,9,64
"S00096691",96,4,6,86
"S00096692",206,7,11,188
"S00096693",156,7,6,143
"S00096694",157,55,18,84
"S00096695",80,5,14,61
"S00096696",131,21,9,101
"S00096697",102,10,13,79
"S00096698",67,7,6,54
"S00096699",77,9,8,60
"S00096700",85,17,18,50
"S00096701",94,15,5,74
"S00096702",106,7,11,88
"S00096703",128,13,15,100
"S00096704",98,18,15,65
"S00096705",163,14,18,131
"S00096706",86,5,13,68
"S00096707",85,3,4,78
"S00096708",52,8,3,41
"S00096709",87,7,14,66
"S00096710",83,19,9,55
"S00096711",90,15,6,69
"S00096712",127,19,31,77
"S00096713",121,40,9,72
"S00096714",70,19,12,39
"S00096715",170,19,15,136
"S00096716",63,12,11,40
"S00096717",97,17,6,74
"S00096718",100,5,10,85
"S00096719",153,20,21,112
"S00096720",65,2,3,60
"S00096721",71,20,5,46
"S00096722",78,18,9,51
"S00096723",129,18,12,99
"S00096724",80,10,4,66
"S00096725",110,11,9,90
"S00096726",84,18,9,57
"S00096727",153,20,19,114
"S00096728",155,23,19,113
"S00096729",121,19,20,82
"S00096730",115,22,12,81
"S00096731",70,15,10,45
"S00096732",155,20,18,117
"S00096733",149,28,20,101
"S00096734",77,9,8,60
"S00096735",120,19,14,87
"S00096736",73,21,8,44
"S00096737",59,6,8,45
"S00096738",117,16,12,89
"S00096739",137,6,6,125
"S00096740",121,14,14,93
"S00096741",181,88,33,60
"S00096742",132,21,21,90
"S00096743",133,4,6,123
"S00096744",120,11,20,89
"S00096745",98,15,9,74
"S00096746",96,21,19,56
"S00096747",184,23,15,146
"S00096748",154,30,20,104
"S00096749",169,23,24,122
"S00096750",167,26,30,111
"S00096751",107,11,11,85
"S00096752",115,20,16,79
"S00096753",94,13,11,70
"S00096754",106,25,10,71
"S00096755",136,20,26,90
"S00096756",109,12,12,85
"S00096757",69,14,12,43
"S00096758",137,18,14,105
"S00096759",85,9,8,68
"S00096760",128,16,9,103
"S00096761",92,9,10,73
"S00096762",82,3,3,76
"S00096763",86,19,5,62
"S00096764",55,7,10,38
"S00096765",98,25,16,57
"S00096766",134,15,10,109
"S00096767",128,13,7,108
"S00096768",100,11,13,76
"S00096769",74,11,8,55
"S00096770",70,12,9,49
"S00096771",110,11,14,85
"S00096772",104,9,14,81
"S00096773",115,13,12,90
"S00096774",117,24,12,81
"S00096775",68,20,12,36
"S00096776",65,16,18,31
"S00096777",66,12,10,44
"S00096778",62,15,10,37
"S00096779",68,6,7,55
"S00096780",56,14,10,32
"S00096781",109,10,7,92
"S00096782",122,21,18,83
"S00096783",68,18,12,38
"S00096784",110,28,13,69
"S00096785",134,26,17,91
"S00096786",128,17,14,97
"S00096787",152,27,11,114
"S00096788",92,15,12,65
"S00096789",73,17,13,43
"S00096790",96,13,12,71
"S00096791",76,26,15,35
"S00096792",85,22,15,48
"S00096793",77,24,19,34
"S00096794",185,24,23,138
"S00096795",106,29,18,59
"S00096796",76,20,13,43
"S00096797",77,30,18,29
"S00096798",86,20,18,48
"S00096799",71,24,15,32
"S00096800",82,14,13,55
"S00096801",105,15,19,71
"S00096802",97,15,11,71
"S00096803",162,32,18,112
"S00096804",114,18,13,83
"S00096805",60,8,4,48
"S00096806",160,18,14,128
"S00096807",77,4,5,68
"S00096808",136,13,11,112
"S00096809",108,17,7,84
"S00096810",81,15,17,49
"S00096811",80,10,8,62
"S00096812",139,23,16,100
"S00096813",112,17,16,79
"S00096814",119,21,14,84
"S00096815",156,24,18,114
"S00096816",152,23,15,114
"S00096817",106,8,11,87
"S00096818",99,17,17,65
"S00096819",117,14,10,93
"S00096820",123,11,16,96
"S00096821",82,24,10,48
"S00096822",99,12,15,72
"S00096823",77,15,10,52
"S00096824",118,16,13,89
"S00096825",112,19,16,77
"S00096826",103,15,13,75
"S00096827",96,19,6,71
"S00096828",109,10,10,89
"S00096829",81,15,10,56
"S00096830",119,10,13,96
"S00096831",146,30,20,96
"S00096832",85,17,11,57
"S00096833",122,13,11,98
"S00096834",128,22,16,90
"S00096835",132,21,18,93
"S00096836",87,14,14,59
"S00096837",100,9,11,80
"S00096838",154,25,25,104
"S00096839",151,24,27,100
"S00096840",145,21,20,104
"S00096841",141,28,21,92
"S00096842",131,17,23,91
"S00096843",85,11,10,64
"S00096844",123,9,5,109
"S00096845",97,21,11,65
"S00096846",99,11,20,68
"S00096847",55,9,7,39
"S00096848",90,16,16,58
"S00096849",104,10,9,85
"S00096850",91,11,22,58
"S00096851",83,13,9,61
"S00096852",72,12,11,49
"S00096853",134,22,14,98
"S00096854",93,14,10,69
"S00096855",173,8,14,151
"S00096856",166,16,19,131
"S00096857",68,25,17,26
"S00096858",75,16,8,51
"S00096859",160,21,8,131
"S00096860",95,20,13,62
"S00096861",78,23,11,44
"S00096862",106,6,7,93
"S00096863",130,10,11,109
"S00096864",92,13,7,72
"S00096865",58,17,14,27
"S00096866",96,27,13,56
"S00096867",86,4,11,71
"S00096868",56,9,9,38
"S00096869",75,14,11,50
"S00096870",53,12,6,35
"S00096871",118,20,19,79
"S00096872",275,140,10,125
"S00096873",141,6,7,128
"S00096874",56,22,16,18
"S00096875",84,10,10,64
"S00096876",111,15,17,79
"S00096877",96,15,4,77
"S00096878",141,26,20,95
"S00096879",109,9,8,92
"S00096880",116,15,16,85
"S00096881",123,12,10,101
"S00096882",104,11,8,85
"S00096883",90,7,4,79
"S00096884",87,12,17,58
"S00096885",136,8,8,120
"S00096886",97,15,8,74
"S00096887",94,10,9,75
"S00096888",104,16,14,74
"S00096889",179,9,15,155
"S00096890",155,20,27,108
"S00096891",132,18,20,94
"S00096892",82,10,11,61
"S00096893",61,14,7,40
"S00096894",87,15,9,63
"S00096895",100,23,15,62
"S00096896",129,32,17,80
"S00096897",97,7,8,82
"S00096898",98,1,3,94
"S00096899",107,2,13,92
"S00096900",107,6,14,87
"S00096901",119,8,9,102
"S00096902",82,7,12,63
"S00096903",69,8,12,49
"S00096904",129,11,10,108
"S00096905",114,10,9,95
"S00096906",123,14,9,100
"S00096907",98,18,10,70
"S00096908",169,20,22,127
"S00096909",119,9,15,95
"S00096910",131,9,5,117
"S00096911",118,4,9,105
"S00096912",155,4,8,143
"S00096913",146,4,9,133
"S00096914",121,3,9,109
"S00096915",105,10,5,90
"S00096916",157,5,14,138
"S00096917",65,2,9,54
"S00096918",85,3,5,77
"S00096919",129,7,5,117
"S00096920",122,11,8,103
"S00096921",91,7,6,78
"S00096922",107,4,6,97
"S00096923",78,4,4,70
"S00096924",62,1,9,52
"S00096925",165,4,9,152
"S00096926",114,8,11,95
"S00096927",112,16,9,87
"S00096928",100,16,10,74
"S00096929",108,10,14,84
"S00096930",80,4,2,74
"S00096931",94,7,6,81
"S00096932",173,25,20,128
"S00096933",138,12,16,110
"S00096934",124,9,13,102
"S00096935",89,7,14,68
"S00096936",122,9,8,105
"S00096937",127,20,14,93
"S00096938",131,15,19,97
"S00096939",59,9,10,40
"S00096940",87,11,2,74
"S00096941",137,12,10,115
"S00096942",180,17,9,154
"S00096943",130,14,12,104
"S00096944",112,13,12,87
"S00096945",114,8,13,93
"S00096946",80,2,5,73
"S00096947",114,14,9,91
"S00096948",108,8,17,83
"S00096949",87,12,12,63
"S00096950",109,13,11,85
"S00096951",94,18,18,58
"S00096952",148,13,13,122
"S00096953",79,9,7,63
"S00096954",69,8,5,56
"S00096955",137,27,19,91
"S00096956",123,15,21,87
"S00096957",177,20,11,146
"S00096958",142,26,21,95
"S00096959",63,11,3,49
"S00096960",100,7,13,80
"S00096961",91,11,12,68
"S00096962",115,5,14,96
"S00096963",118,10,7,101
"S00096964",156,17,17,122
"S00096965",86,3,8,75
"S00096966",55,4,5,46
"S00096967",122,23,18,81
"S00096968",135,9,7,119
"S00096969",112,22,11,79
"S00096970",137,16,20,101
"S00096971",53,7,5,41
"S00096972",122,17,17,88
"S00096973",133,21,14,98
"S00096974",94,9,8,77
"S00096975",156,11,11,134
"S00096976",85,18,9,58
"S00096977",70,16,12,42
"S00096978",111,29,10,72
"S00096979",76,10,12,54
"S00096980",119,20,24,75
"S00096981",152,12,13,127
"S00096982",121,7,4,110
"S00096983",97,5,7,85
"S00096984",116,15,11,90
"S00096985",79,11,8,60
"S00096986",103,13,13,77
"S00096987",68,15,14,39
"S00096988",75,14,6,55
"S00096989",149,16,18,115
"S00096990",85,9,9,67
"S00096991",58,9,6,43
"S00096992",59,7,12,40
"S00096993",103,18,15,70
"S00096994",52,12,6,34
"S00096995",102,12,5,85
"S00096996",61,4,4,53
"S00096997",52,8,8,36
"S00096998",93,10,18,65
"S00096999",119,10,13,96
"S00097000",99,6,10,83
"S00097001",93,15,6,72
"S00097002",58,4,10,44
"S00097003",66,5,6,55
"S00097004",109,22,12,75
"S00097005",127,21,11,95
"S00097006",75,14,6,55
"S00097007",133,15,11,107
"S00097008",78,0,6,72
"S00097009",120,9,16,95
"S00097010",82,3,9,70
"S00097011",95,9,11,75
"S00097012",85,12,13,60
"S00097013",120,28,15,77
"S00097014",95,8,20,67
"S00097015",63,11,7,45
"S00097016",63,13,18,32
"S00097017",71,19,11,41
"S00097018",67,9,8,50
"S00097019",77,12,7,58
"S00097020",62,17,8,37
"S00097021",87,18,13,56
"S00097022",103,17,14,72
"S00097023",131,10,11,110
"S00097024",79,1,1,77
"S00097025",261,8,20,233
"S00097026",107,3,7,97
"S00097027",103,2,6,95
"S00097028",97,9,6,82
"S00097029",141,4,5,132
"S00097030",104,4,6,94
"S00097031",96,5,11,80
"S00097032",183,6,10,167
"S00097033",73,9,5,59
"S00097034",73,5,6,62
"S00097035",52,6,10,36
"S00097036",52,10,11,31
"S00097037",97,20,21,56
"S00097038",165,5,4,156
"S00097039",85,18,13,54
"S00097040",62,14,11,37
"S00097041",55,12,5,38
"S00097042",92,19,10,63
"S00097043",82,12,7,63
"S00097044",181,19,21,141
"S00097045",156,31,24,101
"S00097046",75,12,4,59
"S00097047",129,13,9,107
"S00097048",137,24,16,97
"S00097049",74,11,5,58
"S00097050",78,3,9,66
"S00097051",109,12,11,86
"S00097052",142,13,13,116
"S00097053",146,7,10,129
"S00097054",161,17,15,129
"S00097055",63,10,5,48
"S00097056",152,26,20,106
"S00097057",85,12,8,65
"S00097058",101,10,10,81
"S00097059",54,17,7,30
"S00097060",58,9,3,46
"S00097061",93,4,14,75
"S00097062",142,19,12,111
"S00097063",87,16,16,55
"S00097064",56,10,9,37
"S00097065",87,14,11,62
"S00097066",88,14,15,59
"S00097067",88,11,8,69
"S00097068",102,26,22,54
"S00097069",187,14,12,161
"S00097070",83,8,0,75
"S00097071",169,4,11,154
"S00097072",57,15,8,34
"S00097073",89,9,10,70
"S00097074",121,12,22,87
"S00097075",64,8,7,49
"S00097076",86,16,10,60
"S00097077",55,14,7,34
"S00097078",97,3,7,87
"S00097079",121,6,10,105
"S00097080",99,3,4,92
"S00097081",102,6,10,86
"S00097082",77,4,4,69
"S00097083",68,19,5,44
"S00097084",94,10,18,66
"S00097085",112,11,15,86
"S00097086",68,13,4,51
"S00097087",105,20,8,77
"S00097088",93,6,7,80
"S00097089",73,5,5,63
"S00097090",139,13,22,104
"S00097091",106,9,10,87
"S00097092",90,9,9,72
"S00097093",98,3,10,85
"S00097094",69,22,12,35
"S00097095",206,7,16,183
"S00097096",130,4,6,120
"S00097097",103,6,6,91
"S00097098",83,13,8,62
"S00097099",97,7,12,78
"S00097100",84,18,11,55
"S00097101",66,11,3,52
"S00097102",68,8,14,46
"S00097103",81,9,6,66
"S00097104",172,8,8,156
"S00097105",60,4,6,50
"S00097106",161,12,4,145
"S00097107",112,5,6,101
"S00097108",73,5,4,64
"S00097109",154,5,14,135
"S00097110",102,6,7,89
"S00097111",73,9,11,53
"S00097112",135,8,5,122
"S00097113",102,14,16,72
"S00097114",107,9,13,85
"S00097115",114,13,15,86
"S00097116",144,7,9,128
"S00097117",78,2,13,63
"S00097118",174,8,13,153
"S00097119",114,9,11,94
"S00097120",116,10,10,96
"S00097121",146,11,11,124
"S00097122",116,8,7,101
"S00097123",127,4,16,107
"S00097124",93,3,5,85
"S00097125",111,6,9,96
"S00097126",93,3,9,81
"S00097127",90,9,7,74
"S00097128",157,1,26,130
"S00097129",57,2,6,49
"S00097130",72,3,11,58
"S00097131",100,8,10,82
"S00097132",98,7,6,85
"S00097133",136,13,17,106
"S00097134",175,16,23,136
"S00097135",106,9,13,84
"S00097136",165,23,22,120
"S00097137",85,3,9,73
"S00097138",88,13,9,66
"S00097139",144,11,25,108
"S00097140",113,8,14,91
"S00097141",179,9,21,149
"S00097142",195,11,25,159
"S00097143",87,4,11,72
"S00097144",110,4,8,98
"S00097145",170,13,21,136
"S00097146",117,14,15,88
"S00097147",147,9,18,120
"S00097148",174,11,12,151
"S00097149",123,13,12,98
"S00097150",180,18,20,142
"S00097151",97,9,8,80
"S00097152",141,14,18,109
"S00097153",184,15,11,158
"S00097154",152,22,18,112
"S00097155",94,7,14,73
"S00097156",146,12,15,119
"S00097157",176,23,17,136
"S00097158",108,5,9,94
"S00097159",192,46,24,122
"S00097160",91,2,3,86
"S00097161",195,12,34,149
"S00097162",142,10,17,115
"S00097163",128,19,11,98
"S00097164",144,12,13,119
"S00097165",60,5,4,51
"S00097166",121,18,13,90
"S00097167",177,38,21,118
"S00097168",124,9,11,104
"S00097169",51,6,8,37
"S00097170",230,16,18,196
"S00097171",135,9,21,105
"S00097172",137,17,17,103
"S00097173",154,10,12,132
"S00097174",119,12,10,97
"S00097175",97,11,11,75
"S00097176",118,3,10,105
"S00097177",110,12,10,88
"S00097178",118,17,17,84
"S00097179",78,8,4,66
"S00097180",123,20,19,84
"S00097181",176,23,18,135
"S00097182",97,9,9,79
"S00097183",130,17,11,102
"S00097184",118,8,22,88
"S00097185",121,10,18,93
"S00097186",86,6,8,72
"S00097187",114,7,11,96
"S00097188",104,14,6,84
"S00097189",124,11,3,110
"S00097190",82,3,6,73
"S00097191",55,6,5,44
"S00097192",90,13,6,71
"S00097193",162,19,17,126
"S00097194",208,8,20,180
"S00097195",106,3,9,94
"S00097196",130,11,4,115
"S00097197",101,7,14,80
"S00097198",136,8,18,110
"S00097199",105,14,20,71
"S00097200",141,5,14,122
"S00097201",90,8,13,69
"S00097202",79,11,12,56
"S00097203",114,8,6,100
"S00097204",100,4,6,90
"S00097205",122,7,11,104
"S00097206",143,4,3,136
"S00097207",143,12,16,115
"S00097208",152,17,15,120
"S00097209",150,15,13,122
"S00097210",136,5,17,114
"S00097211",199,17,11,171
"S00097212",183,13,13,157
"S00097213",139,6,14,119
"S00097214",159,9,19,131
"S00097215",140,15,10,115
"S00097216",136,11,13,112
"S00097217",186,9,23,154
"S00097218",182,20,22,140
"S00097219",144,10,12,122
"S00097220",106,12,7,87
"S00097221",83,7,20,56
"S00097222",87,4,8,75
"S00097223",161,8,14,139
"S00097224",185,10,18,157
"S00097225",82,5,8,69
"S00097226",88,7,7,74
"S00097227",107,13,15,79
"S00097228",163,11,15,137
"S00097229",77,11,12,54
"S00097230",137,9,20,108
"S00097231",83,20,13,50
"S00097232",167,15,10,142
"S00097233",105,35,25,45
"S00097234",163,13,21,129
"S00097235",173,36,33,104
"S00097236",157,6,12,139
"S00097237",148,17,21,110
"S00097238",126,1,12,113
"S00097239",134,13,13,108
"S00097240",95,9,11,75
"S00097241",76,7,11,58
"S00097242",125,15,13,97
"S00097243",197,2,7,188
"S00097244",128,5,11,112
"S00097245",163,3,5,155
"S00097246",66,4,3,59
"S00097247",117,5,6,106
"S00097248",142,10,14,118
"S00097249",125,3,8,114
"S00097250",165,5,4,156
"S00097251",182,12,27,143
"S00097252",202,21,24,157
"S00097253",163,22,17,124
"S00097254",133,16,16,101
"S00097255",131,12,5,114
"S00097256",99,12,14,73
"S00097257",78,11,7,60
"S00097258",89,29,17,43
"S00097259",165,9,18,138
"S00097260",77,7,16,54
"S00097261",78,2,5,71
"S00097262",101,16,21,64
"S00097263",101,16,17,68
"S00097264",95,9,10,76
"S00097265",88,13,6,69
"S00097266",76,4,5,67
"S00097267",60,10,7,43
"S00097268",150,7,10,133
"S00097269",143,17,30,96
"S00097270",59,4,1,54
"S00097271",94,7,15,72
"S00097272",79,16,9,54
"S00097273",70,7,9,54
"S00097274",101,6,7,88
"S00097275",87,13,15,59
"S00097276",107,3,8,96
"S00097277",135,9,19,107
"S00097278",114,10,7,97
"S00097279",117,7,7,103
"S00097280",92,3,13,76
"S00097281",119,14,17,88
"S00097282",126,12,12,102
"S00097283",70,6,8,56
"S00097284",129,8,9,112
"S00097285",86,8,5,73
"S00097286",81,2,7,72
"S00097287",166,10,15,141
"S00097288",159,16,22,121
"S00097289",113,6,16,91
"S00097290",109,13,11,85
"S00097291",73,5,6,62
"S00097292",75,12,12,51
"S00097293",122,9,10,103
"S00097294",136,8,14,114
"S00097295",81,4,5,72
"S00097296",105,7,11,87
"S00097297",52,23,4,25
"S00097298",127,8,18,101
"S00097299",92,5,9,78
"S00097300",187,12,12,163
"S00097301",65,10,11,44
"S00097302",85,10,10,65
"S00097303",164,11,8,145
"S00097304",98,8,13,77
"S00097305",101,6,16,79
"S00097306",139,2,7,130
"S00097307",174,13,20,141
"S00097308",83,11,10,62
"S00097309",138,10,14,114
"S00097310",170,9,8,153
"S00097311",171,9,21,141
"S00097312",56,6,8,42
"S00097313",72,3,12,57
"S00097314",75,6,16,53
"S00097315",140,17,24,99
"S00097316",58,8,7,43
"S00097317",89,8,16,65
"S00097318",52,2,9,41
"S00097319",71,9,7,55
"S00097320",79,0,9,70
"S00097321",98,9,7,82
"S00097322",67,4,3,60
"S00097323",127,9,18,100
"S00097324",122,10,25,87
"S00097325",120,13,13,94
"S00097326",100,11,12,77
"S00097327",105,5,10,90
"S00097328",131,9,13,109
"S00097329",167,15,24,128
"S00097330",109,5,14,90
"S00097331",137,9,14,114
"S00097332",80,5,8,67
"S00097333",139,8,24,107
"S00097334",102,18,14,70
"S00097335",132,12,18,102
"S00097336",75,10,5,60
"S00097337",89,5,12,72
"S00097338",97,6,14,77
"S00097339",186,11,15,160
"S00097340",172,12,19,141
"S00097341",119,6,23,90
"S00097342",136,9,9,118
"S00097343",119,10,10,99
"S00097344",190,17,15,158
"S00097345",77,11,9,57
"S00097346",140,12,17,111
"S00097347",61,6,10,45
"S00097348",169,10,20,139
"S00097349",118,24,7,87
"S00097350",131,7,15,109
"S00097351",88,6,12,70
"S00097352",87,15,14,58
"S00097353",135,16,7,112
"S00097354",148,12,36,100
"S00097355",69,0,6,63
"S00097356",121,16,17,88
"S00097357",85,8,17,60
"S00097358",81,3,4,74
"S00097359",96,7,6,83
"S00097360",178,5,16,157
"S00097361",69,5,6,58
"S00097362",64,6,4,54
"S00097363",137,13,20,104
"S00097364",144,15,13,116
"S00097365",100,7,9,84
"S00097366",114,11,7,96
"S00097367",145,13,33,99
"S00097368",129,10,26,93
"S00097369",146,12,6,128
"S00097370",68,9,7,52
"S00097371",112,6,9,97
"S00097372",57,4,6,47
"S00097373",78,5,5,68
"S00097374",119,5,15,99
"S00097375",121,8,20,93
"S00097376",93,13,12,68
"S00097377",125,20,21,84
"S00097378",137,10,20,107
"S00097379",114,21,23,70
"S00097380",105,11,15,79
"S00097381",112,18,18,76
"S00097382",120,7,9,104
"S00097383",120,8,15,97
"S00097384",70,4,5,61
"S00097385",102,6,16,80
"S00097386",114,18,13,83
"S00097387",97,7,21,69
"S00097388",118,19,9,90
"S00097389",102,13,19,70
"S00097390",135,5,16,114
"S00097391",109,9,10,90
"S00097392",151,13,24,114
"S00097393",94,9,15,70
"S00097394",64,3,6,55
"S00097395",134,5,20,109
"S00097396",70,5,12,53
"S00097397",98,13,20,65
"S00097398",88,12,15,61
"S00097399",86,8,7,71
"S00097400",143,16,21,106
"S00097401",61,6,15,40
"S00097402",104,8,18,78
"S00097403",83,15,15,53
"S00097404",135,10,18,107
"S00097405",101,11,14,76
"S00097406",77,15,11,51
"S00097407",56,12,8,36
"S00097408",72,2,4,66
"S00097409",72,6,14,52
"S00097410",87,15,8,64
"S00097411",103,17,11,75
"S00097412",99,6,12,81
"S00097413",132,25,28,79
"S00097414",121,7,7,107
"S00097415",127,12,17,98
"S00097416",111,11,15,85
"S00097417",155,20,15,120
"S00097418",180,17,16,147
"S00097419",93,12,11,70
"S00097420",116,11,12,93
"S00097421",103,7,15,81
"S00097422",144,18,13,113
"S00097423",56,7,6,43
"S00097424",127,9,17,101
"S00097425",134,11,17,106
"S00097426",87,13,9,65
"S00097427",76,9,10,57
"S00097428",112,11,15,86
"S00097429",126,17,17,92
"S00097430",74,9,10,55
"S00097431",138,19,28,91
"S00097432",80,6,12,62
"S00097433",129,11,14,104
"S00097434",152,13,19,120
"S00097435",111,10,17,84
"S00097436",174,20,14,140
"S00097437",104,13,13,78
"S00097438",162,9,26,127
"S00097439",146,7,15,124
"S00097440",69,9,5,55
"S00097441",92,18,16,58
"S00097442",130,17,19,94
"S00097443",146,18,17,111
"S00097444",121,23,12,86
"S00097445",63,6,8,49
"S00097446",158,29,22,107
"S00097447",111,20,16,75
"S00097448",118,24,12,82
"S00097449",108,9,14,85
"S00097450",121,13,13,95
"S00097451",100,18,13,69
"S00097452",63,6,3,54
"S00097453",168,20,34,114
"S00097454",107,9,22,76
"S00097455",97,22,18,57
"S00097456",180,13,16,151
"S00097457",96,9,21,66
"S00097458",118,8,18,92
"S00097459",138,24,20,94
"S00097460",184,29,16,139
"S00097461",54,6,9,39
"S00097462",158,12,8,138
"S00097463",69,2,12,55
"S00097464",121,17,12,92
"S00097465",203,11,18,174
"S00097466",158,15,19,124
"S00097467",100,13,13,74
"S00097468",85,9,13,63
"S00097469",122,14,16,92
"S00097470",156,17,23,116
"S00097471",135,9,13,113
"S00097472",92,16,7,69
"S00097473",96,20,19,57
"S00097474",93,11,8,74
"S00097475",92,12,18,62
"S00097476",108,9,9,90
"S00097477",124,10,20,94
"S00097478",90,17,14,59
"S00097479",134,20,27,87
"S00097480",60,8,8,44
"S00097481",104,19,16,69
"S00097482",70,15,10,45
"S00097483",92,13,17,62
"S00097484",71,8,9,54
"S00097485",126,19,15,92
"S00097486",114,6,14,94
"S00097487",111,7,12,92
"S00097488",86,12,10,64
"S00097489",92,9,13,70
"S00097490",168,20,24,124
"S00097491",65,6,10,49
"S00097492",139,12,22,105
"S00097493",95,16,8,71
"S00097494",84,4,14,66
"S00097495",86,4,4,78
"S00097496",99,11,14,74
"S00097497",110,7,15,88
"S00097498",96,4,14,78
"S00097499",116,21,19,76
"S00097500",134,7,14,113
"S00097501",74,8,13,53
"S00097502",138,11,15,112
"S00097503",109,10,12,87
"S00097504",129,13,13,103
"S00097505",115,8,13,94
"S00097506",120,11,15,94
"S00097507",78,7,13,58
"S00097508",115,11,16,88
"S00097509",83,2,7,74
"S00097510",133,18,11,104
"S00097511",189,36,28,125
"S00097512",92,11,14,67
"S00097513",74,7,8,59
"S00097514",75,7,5,63
"S00097515",146,12,17,117
"S00097516",133,26,17,90
"S00097517",69,2,12,55
"S00097518",85,9,12,64
"S00097519",123,15,20,88
"S00097520",99,13,10,76
"S00097521",138,19,20,99
"S00097522",60,5,7,48
"S00097523",68,7,14,47
"S00097524",132,13,15,104
"S00097525",100,9,18,73
"S00097526",138,7,21,110
"S00097527",119,3,20,96
"S00097528",152,14,20,118
"S00097529",160,16,23,121
"S00097530",118,21,13,84
"S00097531",140,14,15,111
"S00097532",115,14,6,95
"S00097533",123,9,12,102
"S00097534",108,13,15,80
"S00097535",172,23,17,132
"S00097536",88,15,5,68
"S00097537",132,22,11,99
"S00097538",140,17,15,108
"S00097539",209,24,25,160
"S00097540",143,26,13,104
"S00097541",61,9,11,41
"S00097542",65,14,14,37
"S00097543",98,8,11,79
"S00097544",102,14,10,78
"S00097545",119,21,26,72
"S00097546",73,23,7,43
"S00097547",104,12,14,78
"S00097548",116,14,8,94
"S00097549",159,19,16,124
"S00097550",93,6,9,78
"S00097551",67,7,12,48
"S00097552",72,7,8,57
"S00097553",106,12,10,84
"S00097554",118,11,10,97
"S00097555",69,8,8,53
"S00097556",145,10,14,121
"S00097557",61,19,12,30
"S00097558",174,15,20,139
"S00097559",113,10,10,93
"S00097560",90,13,16,61
"S00097561",150,20,9,121
"S00097562",155,22,19,114
"S00097563",71,18,3,50
"S00097564",101,15,19,67
"S00097565",112,32,15,65
"S00097566",138,19,24,95
"S00097567",133,20,19,94
"S00097568",128,22,17,89
"S00097569",85,9,7,69
"S00097570",178,15,20,143
"S00097571",144,14,22,108
"S00097572",73,11,13,49
"S00097573",72,14,7,51
"S00097574",97,17,8,72
"S00097575",138,20,11,107
"S00097576",151,17,14,120
"S00097577",99,10,14,75
"S00097578",89,7,12,70
"S00097579",101,12,9,80
"S00097580",117,21,16,80
"S00097581",100,13,14,73
"S00097582",111,17,17,77
"S00097583",158,13,18,127
"S00097584",97,14,11,72
"S00097585",107,7,5,95
"S00097586",146,9,19,118
"S00097587",118,6,6,106
"S00097588",121,10,14,97
"S00097589",96,11,12,73
"S00097590",71,12,17,42
"S00097591",101,12,8,81
"S00097592",67,12,10,45
"S00097593",84,14,15,55
"S00097594",65,9,8,48
"S00097595",105,18,11,76
"S00097596",88,19,8,61
"S00097597",106,12,15,79
"S00097598",86,9,8,69
"S00097599",72,12,17,43
"S00097600",92,17,14,61
"S00097601",131,4,16,111
"S00097602",127,14,16,97
"S00097603",118,2,13,103
"S00097604",148,18,23,107
"S00097605",127,19,28,80
"S00097606",152,13,24,115
"S00097607",130,15,13,102
"S00097608",122,9,18,95
"S00097609",133,18,24,91
"S00097610",141,7,9,125
"S00097611",158,16,15,127
"S00097612",141,9,16,116
"S00097613",113,14,8,91
"S00097614",73,4,8,61
"S00097615",101,12,11,78
"S00097616",114,4,18,92
"S00097617",104,17,15,72
"S00097618",99,18,16,65
"S00097619",125,13,10,102
"S00097620",159,13,20,126
"S00097621",130,12,9,109
"S00097622",118,6,11,101
"S00097623",129,12,11,106
"S00097624",114,26,12,76
"S00097625",89,7,17,65
"S00097626",97,8,10,79
"S00097627",114,8,7,99
"S00097628",83,9,5,69
"S00097629",62,9,4,49
"S00097630",130,12,12,106
"S00097631",108,18,18,72
"S00097632",123,13,15,95
"S00097633",113,7,15,91
"S00097634",155,15,14,126
"S00097635",104,25,19,60
"S00097636",186,44,20,122
"S00097637",163,9,19,135
"S00097638",70,4,10,56
"S00097639",70,8,13,49
"S00097640",130,5,17,108
"S00097641",143,15,15,113
"S00097642",173,36,30,107
"S00097643",161,17,34,110
"S00097644",163,10,15,138
"S00097645",149,20,14,115
"S00097646",103,12,15,76
"S00097647",136,8,24,104
"S00097648",71,5,8,58
"S00097649",77,9,10,58
"S00097650",60,9,7,44
"S00097651",78,5,9,64
"S00097652",96,7,9,80
"S00097653",96,9,17,70
"S00097654",64,12,16,36
"S00097655",100,10,11,79
"S00097656",130,8,17,105
"S00097657",152,19,12,121
"S00097658",127,4,14,109
"S00097659",106,12,21,73
"S00097660",93,6,20,67
"S00097661",131,5,12,114
"S00097662",98,15,13,70
"S00097663",156,16,16,124
"S00097664",85,6,9,70
"S00097665",89,11,12,66
"S00097666",112,11,13,88
"S00097667",78,11,14,53
"S00097668",103,7,14,82
"S00097669",81,4,12,65
"S00097670",145,20,16,109
"S00097671",108,5,13,90
"S00097672",89,10,9,70
"S00097673",111,12,9,90
"S00097674",112,11,9,92
"S00097675",86,13,6,67
"S00097676",117,11,21,85
"S00097677",88,6,13,69
"S00097678",127,13,10,104
"S00097679",99,13,12,74
"S00097680",120,7,17,96
"S00097681",83,5,7,71
"S00097682",158,16,20,122
"S00097683",73,9,14,50
"S00097684",139,23,17,99
