"output_area","All people","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"S00089181",101,12,13,76
"S00089182",114,9,4,101
"S00089183",98,10,10,78
"S00089184",137,5,9,123
"S00089185",136,6,9,121
"S00089186",114,2,4,108
"S00089187",67,5,4,58
"S00089188",146,7,9,130
"S00089189",152,5,14,133
"S00089190",113,3,4,106
"S00089191",137,4,5,128
"S00089192",111,0,2,109
"S00089193",132,2,5,125
"S00089194",153,30,11,112
"S00089195",135,5,10,120
"S00089196",119,3,12,104
"S00089197",116,3,11,102
"S00089198",83,4,10,69
"S00089199",100,6,9,85
"S00089200",69,4,5,60
"S00089201",98,3,9,86
"S00089202",152,10,7,135
"S00089203",214,8,13,193
"S00089204",149,6,8,135
"S00089205",117,3,8,106
"S00089206",122,8,11,103
"S00089207",100,6,5,89
"S00089208",76,1,10,65
"S00089209",73,1,3,69
"S00089210",76,1,8,67
"S00089211",71,1,8,62
"S00089212",106,0,5,101
"S00089213",68,0,2,66
"S00089214",61,0,4,57
"S00089215",67,3,4,60
"S00089216",97,3,7,87
"S00089217",79,2,6,71
"S00089218",126,7,8,111
"S00089219",84,2,3,79
"S00089220",60,0,2,58
"S00089221",146,9,13,124
"S00089222",89,2,1,86
"S00089223",70,5,13,52
"S00089224",191,16,42,133
"S00089225",58,2,1,55
"S00089226",57,0,1,56
"S00089227",128,7,12,109
"S00089228",95,3,1,91
"S00089229",97,1,6,90
"S00089230",100,11,7,82
"S00089231",87,3,4,80
"S00089232",93,0,3,90
"S00089233",80,0,4,76
"S00089234",97,2,6,89
"S00089235",104,1,5,98
"S00089236",81,3,0,78
"S00089237",117,6,8,103
"S00089238",135,8,8,119
"S00089239",98,0,9,89
"S00089240",179,4,11,164
"S00089241",65,5,12,48
"S00089242",123,2,13,108
"S00089243",115,1,11,103
"S00089244",117,5,15,97
"S00089245",84,7,11,66
"S00089246",95,3,11,81
"S00089247",166,8,15,143
"S00089248",205,11,14,180
"S00089249",105,2,7,96
"S00089250",88,0,9,79
"S00089251",106,2,7,97
"S00089252",118,1,5,112
"S00089253",129,8,11,110
"S00089254",137,2,11,124
"S00089255",119,3,6,110
"S00089256",109,2,9,98
"S00089257",97,0,6,91
"S00089258",100,3,6,91
"S00089259",84,4,4,76
"S00089260",136,2,13,121
"S00089261",158,2,13,143
"S00089262",108,8,6,94
"S00089263",92,6,2,84
"S00089264",139,4,4,131
"S00089265",84,3,6,75
"S00089266",100,2,6,92
"S00089267",79,0,3,76
"S00089268",113,1,2,110
"S00089269",101,1,5,95
"S00089270",120,0,11,109
"S00089271",90,5,3,82
"S00089272",69,2,6,61
"S00089273",101,0,5,96
"S00089274",129,2,2,125
"S00089275",64,25,20,19
"S00089276",59,6,7,46
"S00089277",177,11,18,148
"S00089278",66,22,25,19
"S00089279",67,0,1,66
"S00089280",59,3,5,51
"S00089281",75,2,3,70
"S00089282",69,3,3,63
"S00089283",54,4,5,45
"S00089284",105,8,20,77
"S00089285",128,1,5,122
"S00089286",106,3,2,101
"S00089287",87,16,25,46
"S00089288",151,10,18,123
"S00089289",124,14,16,94
"S00089290",69,8,7,54
"S00089291",99,8,5,86
"S00089292",90,3,10,77
"S00089293",153,5,15,133
"S00089294",148,5,13,130
"S00089295",190,13,29,148
"S00089296",161,20,18,123
"S00089297",93,8,9,76
"S00089298",98,15,9,74
"S00089299",64,12,12,40
"S00089300",99,9,8,82
"S00089301",116,8,10,98
"S00089302",104,8,7,89
"S00089303",167,14,22,131
"S00089304",159,8,24,127
"S00089305",71,15,15,41
"S00089306",141,32,24,85
"S00089307",88,11,12,65
"S00089308",77,7,3,67
"S00089309",148,11,15,122
"S00089310",171,9,22,140
"S00089311",101,11,15,75
"S00089312",164,7,14,143
"S00089313",150,6,21,123
"S00089314",125,4,8,113
"S00089315",108,4,16,88
"S00089316",106,3,11,92
"S00089317",94,0,8,86
"S00089318",107,4,12,91
"S00089319",134,6,14,114
"S00089320",125,3,10,112
"S00089321",85,4,9,72
"S00089322",124,10,14,100
"S00089323",83,9,11,63
"S00089324",94,6,12,76
"S00089325",102,1,13,88
"S00089326",130,1,18,111
"S00089327",108,5,15,88
"S00089328",111,7,14,90
"S00089329",95,6,11,78
"S00089330",151,7,9,135
"S00089331",168,6,15,147
"S00089332",172,5,16,151
"S00089333",176,9,12,155
"S00089334",150,10,13,127
"S00089335",144,5,10,129
"S00089336",93,5,6,82
"S00089337",57,5,6,46
"S00089338",156,9,24,123
"S00089339",150,4,16,130
"S00089340",125,16,15,94
"S00089341",77,11,6,60
"S00089342",75,22,21,32
"S00089343",71,3,3,65
"S00089344",70,4,12,54
"S00089345",98,7,5,86
"S00089346",145,5,9,131
"S00089347",108,6,9,93
"S00089348",92,5,9,78
"S00089349",97,10,4,83
"S00089350",123,7,13,103
"S00089351",175,6,15,154
"S00089352",158,15,19,124
"S00089353",111,7,13,91
"S00089354",89,1,11,77
"S00089355",165,8,11,146
"S00089356",61,4,5,52
"S00089357",118,10,17,91
"S00089358",85,7,9,69
"S00089359",129,7,16,106
"S00089360",113,15,15,83
"S00089361",151,19,33,99
"S00089362",134,51,25,58
"S00089363",60,2,3,55
"S00089364",96,0,3,93
"S00089365",132,1,5,126
"S00089366",105,4,3,98
"S00089367",102,12,8,82
"S00089368",58,0,5,53
"S00089369",120,4,6,110
