"dz_2001","la_name","year","total","not_good"
"S01000001","Aberdeen City",2001,1008,57
"S01000002","Aberdeen City",2001,687,13
"S01000003","Aberdeen City",2001,838,30
"S01000004","Aberdeen City",2001,641,15
"S01000005","Aberdeen City",2001,663,34
"S01000006","Aberdeen City",2001,626,53
"S01000007","Aberdeen City",2001,924,97
"S01000008","Aberdeen City",2001,584,49
"S01000009","Aberdeen City",2001,710,46
"S01000010","Aberdeen City",2001,568,25
"S01000011","Aberdeen City",2001,918,43
"S01000012","Aberdeen City",2001,1332,77
"S01000013","Aberdeen City",2001,898,49
"S01000014","Aberdeen City",2001,1097,70
"S01000015","Aberdeen City",2001,869,26
"S01000016","Aberdeen City",2001,763,27
"S01000017","Aberdeen City",2001,937,53
"S01000018","Aberdeen City",2001,577,37
"S01000019","Aberdeen City",2001,531,25
"S01000020","Aberdeen City",2001,1065,76
"S01000021","Aberdeen City",2001,862,74
"S01000022","Aberdeen City",2001,663,23
"S01000023","Aberdeen City",2001,805,24
"S01000024","Aberdeen City",2001,512,16
"S01000025","Aberdeen City",2001,874,34
"S01000026","Aberdeen City",2001,1053,119
"S01000027","Aberdeen City",2001,815,36
"S01000028","Aberdeen City",2001,969,105
"S01000029","Aberdeen City",2001,742,13
"S01000030","Aberdeen City",2001,500,58
"S01000031","Aberdeen City",2001,1029,71
"S01000032","Aberdeen City",2001,1089,124
"S01000033","Aberdeen City",2001,796,111
"S01000034","Aberdeen City",2001,1194,83
"S01000035","Aberdeen City",2001,1009,94
"S01000036","Aberdeen City",2001,744,91
"S01000037","Aberdeen City",2001,800,90
"S01000038","Aberdeen City",2001,684,72
"S01000039","Aberdeen City",2001,942,101
"S01000040","Aberdeen City",2001,970,92
"S01000041","Aberdeen City",2001,838,84
"S01000042","Aberdeen City",2001,951,90
"S01000043","Aberdeen City",2001,976,106
"S01000044","Aberdeen City",2001,951,125
"S01000045","Aberdeen City",2001,581,35
"S01000046","Aberdeen City",2001,768,30
"S01000047","Aberdeen City",2001,835,115
"S01000048","Aberdeen City",2001,925,51
"S01000049","Aberdeen City",2001,764,66
"S01000050","Aberdeen City",2001,780,56
"S01000051","Aberdeen City",2001,788,56
"S01000052","Aberdeen City",2001,677,101
"S01000053","Aberdeen City",2001,1285,104
"S01000054","Aberdeen City",2001,777,65
"S01000055","Aberdeen City",2001,754,93
"S01000056","Aberdeen City",2001,1049,32
"S01000057","Aberdeen City",2001,700,90
"S01000058","Aberdeen City",2001,1016,43
"S01000059","Aberdeen City",2001,1055,50
"S01000060","Aberdeen City",2001,577,71
"S01000061","Aberdeen City",2001,963,51
"S01000062","Aberdeen City",2001,1112,49
"S01000063","Aberdeen City",2001,983,53
"S01000064","Aberdeen City",2001,648,75
"S01000065","Aberdeen City",2001,1114,71
"S01000066","Aberdeen City",2001,1011,115
"S01000067","Aberdeen City",2001,1068,63
"S01000068","Aberdeen City",2001,1021,96
"S01000069","Aberdeen City",2001,684,101
"S01000070","Aberdeen City",2001,646,67
"S01000071","Aberdeen City",2001,887,108
"S01000072","Aberdeen City",2001,1262,98
"S01000073","Aberdeen City",2001,619,22
"S01000074","Aberdeen City",2001,1058,145
"S01000075","Aberdeen City",2001,547,34
"S01000076","Aberdeen City",2001,770,27
"S01000077","Aberdeen City",2001,917,36
"S01000078","Aberdeen City",2001,1087,91
"S01000079","Aberdeen City",2001,1666,89
"S01000080","Aberdeen City",2001,927,50
"S01000081","Aberdeen City",2001,924,45
"S01000082","Aberdeen City",2001,954,126
"S01000083","Aberdeen City",2001,870,38
"S01000084","Aberdeen City",2001,791,83
"S01000085","Aberdeen City",2001,555,26
"S01000086","Aberdeen City",2001,745,59
"S01000087","Aberdeen City",2001,1765,38
"S01000088","Aberdeen City",2001,715,35
"S01000089","Aberdeen City",2001,1003,53
"S01000090","Aberdeen City",2001,1010,36
"S01000091","Aberdeen City",2001,1021,70
"S01000092","Aberdeen City",2001,851,33
"S01000093","Aberdeen City",2001,499,19
"S01000094","Aberdeen City",2001,637,26
"S01000095","Aberdeen City",2001,703,38
"S01000096","Aberdeen City",2001,706,87
"S01000097","Aberdeen City",2001,1291,57
"S01000098","Aberdeen City",2001,1539,147
"S01000099","Aberdeen City",2001,916,40
"S01000100","Aberdeen City",2001,760,43
"S01000101","Aberdeen City",2001,988,42
"S01000102","Aberdeen City",2001,832,105
"S01000103","Aberdeen City",2001,603,15
"S01000104","Aberdeen City",2001,1015,62
"S01000105","Aberdeen City",2001,1114,34
"S01000106","Aberdeen City",2001,706,20
"S01000107","Aberdeen City",2001,1039,54
"S01000108","Aberdeen City",2001,845,64
"S01000109","Aberdeen City",2001,985,99
"S01000110","Aberdeen City",2001,986,101
"S01000111","Aberdeen City",2001,762,36
"S01000112","Aberdeen City",2001,1159,129
"S01000113","Aberdeen City",2001,646,37
"S01000114","Aberdeen City",2001,1230,400
"S01000115","Aberdeen City",2001,873,111
"S01000116","Aberdeen City",2001,901,41
"S01000117","Aberdeen City",2001,1056,57
"S01000118","Aberdeen City",2001,788,81
"S01000119","Aberdeen City",2001,916,83
"S01000120","Aberdeen City",2001,742,39
"S01000121","Aberdeen City",2001,796,76
"S01000122","Aberdeen City",2001,764,94
"S01000123","Aberdeen City",2001,831,34
"S01000124","Aberdeen City",2001,1118,88
"S01000125","Aberdeen City",2001,859,104
"S01000126","Aberdeen City",2001,867,145
"S01000127","Aberdeen City",2001,798,23
"S01000128","Aberdeen City",2001,1645,124
"S01000129","Aberdeen City",2001,549,12
"S01000130","Aberdeen City",2001,1335,139
"S01000131","Aberdeen City",2001,659,37
"S01000132","Aberdeen City",2001,784,37
"S01000133","Aberdeen City",2001,874,95
"S01000134","Aberdeen City",2001,762,81
"S01000135","Aberdeen City",2001,721,130
"S01000136","Aberdeen City",2001,706,89
"S01000137","Aberdeen City",2001,1208,69
"S01000138","Aberdeen City",2001,901,67
"S01000139","Aberdeen City",2001,817,122
"S01000140","Aberdeen City",2001,943,101
"S01000141","Aberdeen City",2001,945,70
"S01000142","Aberdeen City",2001,772,81
"S01000143","Aberdeen City",2001,633,24
"S01000144","Aberdeen City",2001,711,39
"S01000145","Aberdeen City",2001,905,137
"S01000146","Aberdeen City",2001,1466,151
"S01000147","Aberdeen City",2001,1447,335
"S01000148","Aberdeen City",2001,694,88
"S01000149","Aberdeen City",2001,1076,102
"S01000150","Aberdeen City",2001,636,65
"S01000151","Aberdeen City",2001,907,137
"S01000152","Aberdeen City",2001,1799,578
"S01000153","Aberdeen City",2001,900,91
"S01000154","Aberdeen City",2001,557,71
"S01000155","Aberdeen City",2001,784,85
"S01000156","Aberdeen City",2001,970,83
"S01000157","Aberdeen City",2001,692,131
"S01000158","Aberdeen City",2001,933,91
"S01000159","Aberdeen City",2001,1014,24
"S01000160","Aberdeen City",2001,813,91
"S01000161","Aberdeen City",2001,1153,43
"S01000162","Aberdeen City",2001,886,87
"S01000163","Aberdeen City",2001,1169,119
"S01000164","Aberdeen City",2001,547,104
"S01000165","Aberdeen City",2001,861,131
"S01000166","Aberdeen City",2001,1274,77
"S01000167","Aberdeen City",2001,712,87
"S01000168","Aberdeen City",2001,1080,108
"S01000169","Aberdeen City",2001,761,101
"S01000170","Aberdeen City",2001,1336,85
"S01000171","Aberdeen City",2001,1007,16
"S01000172","Aberdeen City",2001,501,31
"S01000173","Aberdeen City",2001,811,90
"S01000174","Aberdeen City",2001,873,16
"S01000175","Aberdeen City",2001,528,32
"S01000176","Aberdeen City",2001,744,55
"S01000177","Aberdeen City",2001,554,26
"S01000178","Aberdeen City",2001,760,82
"S01000179","Aberdeen City",2001,757,143
"S01000180","Aberdeen City",2001,900,88
"S01000181","Aberdeen City",2001,654,53
"S01000182","Aberdeen City",2001,873,110
"S01000183","Aberdeen City",2001,1180,123
"S01000184","Aberdeen City",2001,793,78
"S01000185","Aberdeen City",2001,787,137
"S01000186","Aberdeen City",2001,957,125
"S01000187","Aberdeen City",2001,713,73
"S01000188","Aberdeen City",2001,1203,197
"S01000189","Aberdeen City",2001,624,59
