"output_area","All people aged 16 - 74","Number of people aged 16 - 74 Economically active Employees Part-time","Number of people aged 16 - 74 Economically active Employees Full-time","Number of people aged 16 - 74 Economically active Self employed","Number of people aged 16 - 74 Economically active Unemployed","Number of people aged 16 - 74 Economically active Full-time student","Number of people aged 16 - 74 Economically inactive Retired","Number of people aged 16 - 74 Economically inactive Student","Number of people aged 16 - 74 Economically inactive Looking after home/family","Number of people aged 16 - 74 Economically inactive Permanently sick/disabled","Number of people aged 16 - 74 Economically inactive Other","Number of unemployed people aged 16-74: Aged 16-24 years","Number of unemployed people aged 16-74: Aged 50 years and over","Number of unemployed people aged 16-74 who have never worked","Number of unemployed people aged 16-74 who are long-term unemployed"
"60QA000087",113,8,61,5,2,7,13,2,8,6,1,56,0,0,0
"60QA000088",128,19,57,7,1,9,19,3,5,6,2,0,0,0,0
"60QA000089",73,6,41,4,4,1,5,0,3,7,2,0,18,0,55
"60QA000090",70,5,47,4,1,0,5,0,1,3,4,70,0,0,70
"60QA000091",77,3,44,0,5,4,6,3,3,1,8,31,0,0,0
"60QA000092",58,3,42,3,2,2,1,2,1,1,1,0,0,0,0
"60QA000093",88,6,44,2,7,4,5,3,0,6,11,25,25,0,13
"60QA000094",66,1,47,0,1,3,3,2,1,5,3,0,0,0,0
"60QA000095",58,1,41,1,3,2,1,1,0,5,3,39,0,0,0
"60QA000096",100,7,60,5,5,6,2,4,2,6,3,60,0,20,20
"60QA000097",78,4,52,2,5,0,4,0,3,1,7,16,31,0,47
"60QA000098",71,7,41,0,7,1,7,1,1,4,2,41,0,30,10
"60QA000099",87,5,53,0,4,1,3,5,3,6,7,22,0,0,44
"60QA000100",55,5,24,2,5,2,6,0,1,4,6,33,0,0,0
"60QA000101",54,4,30,2,3,2,1,0,4,4,4,36,0,0,0
"60QA000102",65,9,35,5,3,0,3,1,1,4,4,22,0,0,0
"60QA000103",68,4,44,1,3,0,7,4,0,4,1,0,0,0,23
"60QA000104",64,5,31,0,4,6,1,5,4,2,6,32,0,0,16
"60QA000105",50,3,30,1,1,2,7,1,2,2,1,0,0,0,0
"60QA000106",67,4,43,2,1,1,4,2,1,4,5,0,67,0,67
"60QA000107",70,7,34,1,7,3,5,3,2,6,2,30,10,0,10
"60QA000108",98,10,64,4,3,2,6,2,2,2,3,33,0,33,0
"60QA000109",59,4,42,1,3,3,1,2,0,3,0,0,0,0,20
"60QA000110",102,11,42,0,6,1,17,0,4,8,13,51,17,17,34
"60QA000111",69,4,42,2,4,2,4,3,1,4,3,34,0,0,0
"60QA000112",43,8,13,1,0,0,19,0,0,2,0,0,0,0,0
"60QA000113",39,9,18,0,0,0,5,0,1,4,2,0,0,0,0
"60QA000114",57,3,22,1,6,3,3,4,7,3,5,0,0,0,19
"60QA000115",54,7,14,0,1,1,13,0,4,6,8,0,54,0,0
"60QA000116",65,7,12,0,3,0,24,0,4,9,6,43,22,22,22
"60QA000117",84,14,31,3,2,3,9,2,9,8,3,42,0,42,0
"60QA000118",82,14,36,1,1,5,13,1,4,6,1,82,0,0,0
"60QA000119",76,7,28,1,6,3,12,0,3,8,8,13,0,13,25
"60QA000120",74,10,34,3,2,2,8,0,3,6,6,0,0,0,0
"60QA000121",100,9,39,6,3,0,11,3,5,13,11,0,33,0,67
"60QA000122",75,7,33,2,4,0,9,2,6,7,5,19,19,0,19
"60QA000123",83,17,34,6,6,2,13,0,3,2,0,14,14,0,42
"60QA000124",92,13,42,2,4,3,8,3,6,7,4,23,23,0,46
"60QA000125",91,11,29,1,7,2,9,5,13,11,3,52,13,13,39
"60QA000126",89,9,33,3,8,7,5,0,16,4,4,33,0,11,33
"60QA000127",98,12,43,1,7,0,6,3,9,9,8,28,28,0,28
"60QA000128",72,3,22,1,11,2,7,3,5,10,8,20,7,0,13
"60QA000129",80,15,31,2,6,2,3,3,7,5,6,40,0,13,0
"60QA000130",67,11,30,1,3,1,1,2,3,9,6,67,0,0,0
"60QA000131",107,20,40,0,16,3,4,1,10,6,7,40,13,7,67
"60QA000132",70,13,19,0,3,2,4,1,13,7,8,23,0,0,23
"60QA000133",84,8,36,3,1,1,25,0,2,5,3,84,0,0,0
"60QA000134",52,4,24,1,3,0,2,0,11,4,3,35,17,0,17
"60QA000135",45,7,14,1,3,0,4,1,8,4,3,30,15,0,15
"60QA000136",70,4,49,7,0,1,4,1,3,1,0,0,0,0,0
"60QA000137",68,6,47,5,1,3,2,2,0,2,0,68,0,0,0
"60QA000138",89,11,56,2,1,0,8,3,3,3,2,0,0,0,0
"60QA000139",88,9,56,6,0,4,6,0,3,3,1,0,0,0,0
"60QA000140",63,6,32,1,4,1,6,1,2,5,5,32,16,0,16
"60QA000141",63,9,21,0,2,0,13,6,3,5,4,32,32,0,32
"60QA000142",48,3,22,1,3,2,9,0,0,3,5,0,16,0,16
"60QA000143",67,12,33,0,1,1,5,0,4,9,2,0,67,0,0
"60QA000144",101,14,38,1,6,4,12,7,6,7,6,17,17,0,17
"60QA000145",107,8,33,0,7,5,15,4,9,18,8,31,61,0,46
"60QA000146",39,1,6,0,0,0,23,0,0,7,2,0,0,0,0
"60QA000147",71,11,26,1,1,3,4,3,12,8,2,0,71,0,0
"60QA000148",114,14,39,1,14,2,10,4,8,18,4,65,24,8,16
"60QA000149",63,14,16,2,5,0,4,4,5,5,8,0,13,13,25
"60QA000150",78,10,34,0,8,2,6,3,6,5,4,29,0,0,20
"60QA000151",130,15,55,14,2,3,21,1,7,7,5,0,0,0,0
"60QA000152",55,5,21,3,2,2,14,1,4,1,2,28,0,0,28
"60QA000153",76,6,37,5,2,3,8,1,4,8,2,38,0,0,0
"60QA000154",73,11,31,4,5,0,11,2,0,7,2,0,15,0,58
"60QA000155",57,8,19,3,1,0,14,0,2,8,2,0,0,0,0
"60QA000156",122,16,48,2,9,5,17,3,8,10,4,54,41,0,27
"60QA000157",82,8,31,1,4,0,17,3,4,10,4,0,20,0,20
"60QA000158",127,17,45,2,5,8,16,4,5,13,12,102,25,0,0
"60QA000159",89,12,37,7,4,0,9,2,2,10,6,22,0,22,22
"60QA000160",75,12,27,2,5,0,13,1,2,11,2,60,15,15,15
"60QA000161",77,7,36,3,5,0,10,0,5,7,4,15,15,15,31
"60QA000162",87,9,46,3,3,5,5,3,11,0,2,29,0,0,0
"60QA000163",72,9,32,4,5,0,13,2,3,4,0,43,0,0,0
"60QA000164",77,16,31,5,2,2,6,4,4,5,2,0,0,0,38
"60QA000165",75,7,47,7,1,0,3,2,6,1,1,0,75,0,75
"60QA000166",100,12,43,5,3,2,22,0,3,7,3,100,0,33,0
"60QA000167",114,20,47,5,4,4,21,1,1,2,9,57,0,0,0
"60QA000168",101,11,38,5,0,5,30,4,4,2,2,0,0,0,0
"60QA000169",85,11,38,9,0,2,14,4,4,1,2,0,0,0,0
"60QA000170",96,9,41,6,1,3,13,5,8,8,2,0,0,0,0
"60QA000171",21,0,3,0,0,0,16,0,0,0,2,0,0,0,0
"60QA000172",71,8,34,4,0,1,8,1,5,6,4,0,0,0,0
"60QA000173",87,9,40,5,1,2,13,4,3,9,1,87,0,0,0
"60QA000174",89,12,33,5,2,4,19,3,2,5,4,0,0,0,0
"60QA000175",115,20,48,3,3,7,14,3,4,7,6,38,38,0,0
"60QA000176",84,12,26,4,7,2,19,2,2,9,1,24,0,0,24
"60QA000177",86,17,36,4,2,3,10,3,3,7,1,43,0,0,43
"60QA000178",51,7,18,1,2,2,9,0,5,6,1,26,0,0,26
"60QA000179",52,10,22,5,0,3,6,0,2,4,0,0,0,0,0
"60QA000180",83,11,47,7,2,2,8,1,3,1,1,42,42,0,0
"60QA000181",70,8,29,3,3,1,13,1,4,4,4,0,23,0,47
"60QA000182",78,9,35,0,3,2,7,3,7,7,5,52,26,26,52
"60QA000183",85,17,33,1,3,3,8,4,7,5,4,57,0,0,0
"60QA000184",78,13,36,3,5,2,6,2,4,6,1,16,0,0,16
"60QA000185",90,15,39,5,2,0,14,0,3,3,9,90,0,0,45
"60QA000186",59,6,17,2,2,2,18,3,0,7,2,0,0,0,30
"60QA000187",94,11,25,0,2,2,33,1,2,12,6,0,0,0,47
"60QA000188",55,8,23,0,1,3,11,1,2,6,0,0,0,0,0
"60QA000189",72,11,29,4,0,6,13,0,2,5,2,0,0,0,0
"60QA000190",88,16,32,2,4,3,24,1,1,4,1,22,0,0,44
"60QA000191",109,17,48,6,0,3,20,1,6,4,4,0,0,0,0
"60QA000192",101,21,38,3,4,0,20,2,2,6,5,0,25,25,0
"60QA000193",63,7,22,3,2,0,21,1,0,5,2,0,0,0,32
"60QA000194",82,10,27,4,1,1,23,4,2,7,3,82,0,0,0
"60QA000195",73,10,30,3,0,3,16,3,3,3,2,0,0,0,0
"60QA000196",80,8,34,1,5,3,15,1,4,5,4,32,0,0,64
"60QA000197",87,15,36,5,3,4,11,0,3,4,6,29,0,58,29
"60QA000198",67,10,26,0,1,2,16,2,2,4,4,67,0,67,0
"60QA000199",89,6,31,3,0,3,30,1,2,9,4,0,0,0,0
"60QA000200",112,16,37,4,3,2,31,3,5,9,2,0,37,0,0
"60QA000201",91,10,32,5,4,0,23,1,7,5,4,23,0,0,23
"60QA000202",24,0,6,2,0,0,11,1,0,3,1,0,0,0,0
"60QA000203",102,17,39,2,8,2,16,4,3,9,2,89,0,13,0
"60QA000204",57,6,23,0,0,0,13,0,2,8,5,0,0,0,0
"60QA000205",62,8,16,1,1,1,19,2,5,6,3,62,0,0,0
"60QA000206",48,7,11,4,1,1,12,0,4,6,2,0,0,0,0
"60QA000207",43,11,17,2,0,0,5,0,3,2,3,0,0,0,0
"60QA000208",122,15,49,7,6,2,17,4,7,10,5,41,0,41,20
"60QA000209",98,14,37,4,5,0,15,1,9,8,5,20,20,20,20
"60QA000210",75,11,32,2,4,1,8,2,4,6,5,38,19,19,19
"60QA000211",95,9,43,3,2,2,18,1,7,8,2,0,0,0,48
"60QA000212",121,16,50,4,2,1,33,0,5,7,3,0,0,0,60
"60QA000213",135,24,45,7,3,0,31,3,4,9,9,45,0,0,0
"60QA000214",117,18,46,9,1,4,20,4,2,8,5,117,0,0,0
"60QA000215",79,7,35,4,2,2,14,1,2,8,4,40,0,0,0
"60QA000216",94,19,39,2,5,3,5,7,4,7,3,56,0,19,38
"60QA000217",85,20,28,6,3,7,6,3,3,6,3,28,57,0,0
"60QA000218",86,8,43,15,1,1,9,4,3,2,0,0,86,0,86
"60QA000219",105,8,30,21,1,4,26,7,6,2,0,0,0,0,0
"60QA000220",69,5,29,7,0,3,10,5,8,2,0,0,0,0,0
"60QA000221",102,10,45,13,1,4,17,0,5,4,3,0,0,0,0
"60QA000222",131,20,49,12,2,6,16,11,9,2,4,0,0,0,66
"60QA000223",275,10,45,18,3,53,11,122,11,0,2,0,183,0,0
"60QA000224",97,10,30,20,3,4,19,0,4,2,5,0,32,0,32
"60QA000225",90,5,35,14,1,1,18,3,11,0,2,0,90,0,0
"60QA000226",98,11,40,12,2,7,11,5,8,1,1,49,0,0,0
"60QA000227",92,11,42,10,0,3,13,3,6,3,1,0,0,0,0
"60QA000228",61,3,29,3,1,1,12,2,5,2,3,0,0,0,0
"60QA000229",72,6,28,17,2,5,2,5,3,3,1,0,72,0,36
"60QA000230",55,6,27,6,0,1,10,1,3,1,0,0,0,0,0
"60QA000231",77,6,33,9,2,2,12,1,9,2,1,0,38,0,0
"60QA000232",132,15,64,13,5,5,13,9,2,3,3,0,53,0,79
"60QA000233",136,15,59,21,3,5,8,4,9,9,3,45,0,0,136
"60QA000234",92,11,46,6,4,3,11,2,7,1,1,23,23,0,0
"60QA000235",80,8,43,10,4,0,7,1,3,2,2,40,20,0,20
"60QA000236",88,10,38,5,4,4,11,7,7,0,2,66,22,22,22
"60QA000237",72,10,30,9,0,5,11,3,3,0,1,0,0,0,0
"60QA000238",72,6,49,2,0,4,4,3,2,1,1,0,0,0,0
"60QA000239",58,4,32,6,1,4,0,10,0,0,1,0,58,0,0
"60QA000240",64,4,41,1,4,9,0,3,0,1,1,64,0,0,16
"60QA000241",55,2,38,1,4,3,1,2,1,2,1,41,0,0,0
"60QA000242",109,2,47,4,4,28,0,17,2,1,4,27,27,0,27
"60QA000243",58,1,42,3,1,5,0,4,1,0,1,58,0,0,0
"60QA000244",69,4,43,4,0,8,4,3,1,0,2,0,0,0,0
"60QA000245",64,2,26,4,4,6,3,18,0,0,1,0,0,0,32
"60QA000246",99,2,75,4,1,9,2,3,2,0,1,99,0,0,0
"60QA000247",64,5,37,1,2,5,1,7,1,3,2,32,0,0,0
"60QA000248",97,4,52,4,9,7,2,6,1,7,5,65,0,11,22
"60QA000249",62,2,29,1,2,12,1,9,1,1,4,0,31,0,62
"60QA000250",70,5,46,3,5,4,1,3,1,0,2,0,14,0,28
"60QA000251",57,2,28,1,4,5,1,5,1,8,2,14,0,0,43
"60QA000252",67,4,42,1,2,1,9,4,2,2,0,34,0,0,0
"60QA000253",82,5,45,3,5,7,4,3,2,6,2,16,0,0,49
"60QA000254",126,18,61,3,1,8,10,15,3,3,4,126,0,0,126
"60QA000255",105,7,74,4,1,4,3,5,0,4,3,0,0,0,0
"60QA000256",106,2,72,5,4,2,5,5,5,2,4,26,53,0,0
"60QA000257",71,5,40,5,0,10,4,4,1,0,2,0,0,0,0
"60QA000258",75,5,45,5,1,3,9,2,3,0,2,0,0,0,0
"60QA000259",80,2,41,3,2,4,7,5,6,8,2,0,0,0,40
"60QA000260",65,2,44,4,0,8,3,3,0,0,1,0,0,0,0
"60QA000261",160,15,83,14,3,10,6,16,10,1,2,53,0,0,107
"60QA000262",82,11,37,12,1,5,7,2,3,1,3,0,82,0,0
"60QA000263",81,3,51,1,3,3,2,10,1,4,3,0,0,0,27
"60QA000264",76,1,52,4,1,6,5,2,2,2,1,0,0,0,76
"60QA000265",108,16,48,10,2,5,15,5,3,3,1,54,54,0,0
"60QA000266",87,12,32,9,1,4,20,2,3,1,3,0,87,0,0
"60QA000267",79,13,36,8,1,3,10,3,5,0,0,0,79,0,0
"60QA000268",130,21,65,12,3,3,12,7,2,3,2,0,43,0,43
"60QA000269",125,16,57,8,2,5,25,1,7,3,1,0,125,0,0
"60QA000270",98,14,34,13,2,3,18,5,7,1,1,0,0,0,98
"60QA000271",89,11,42,5,2,3,20,0,4,2,0,0,0,0,0
"60QA000272",61,6,17,5,0,1,20,1,6,4,1,0,0,0,0
"60QA000273",55,8,19,7,1,2,9,0,6,2,1,0,0,0,55
"60QA000274",120,14,52,12,3,1,24,4,4,4,2,0,0,0,40
"60QA000275",112,20,39,9,5,0,19,2,1,11,6,67,0,22,22
"60QA000276",124,8,63,18,3,3,16,6,3,0,4,0,41,0,0
"60QA000277",103,8,37,15,2,5,11,7,6,8,4,0,52,0,0
"60QA000278",83,7,36,13,2,4,4,2,13,0,2,0,0,0,83
"60QA000279",97,11,41,9,2,6,16,5,2,3,2,0,0,0,0
"60QA000280",96,9,36,11,1,1,19,7,8,4,0,0,96,0,96
"60QA000281",86,8,53,4,4,2,6,5,2,0,2,0,0,0,22
"60QA000282",83,11,44,9,2,3,7,2,5,0,0,0,0,0,0
"60QA000283",83,8,41,8,1,2,7,3,11,0,2,0,0,0,0
"60QA000284",72,8,32,7,0,3,6,8,7,1,0,0,0,0,0
"60QA000285",48,2,28,6,0,0,4,3,1,3,1,0,0,0,0
"60QA000286",114,11,51,18,1,14,9,4,3,1,2,114,0,0,114
"60QA000287",121,10,63,11,4,8,5,11,6,2,1,30,0,0,0
"60QA000288",69,3,50,4,1,3,7,0,0,1,0,0,0,0,0
"60QA000289",53,2,38,1,1,2,2,1,0,3,3,0,0,0,0
"60QA000290",105,5,65,7,4,5,10,2,5,2,0,0,26,0,52
"60QA000291",79,6,46,5,1,7,1,8,3,0,2,0,0,0,0
"60QA000292",93,2,61,1,6,3,7,5,1,1,6,16,16,0,0
"60QA000293",62,5,36,5,6,3,0,3,0,4,0,21,31,0,10
"60QA000294",101,2,78,3,3,6,2,1,3,3,0,67,0,0,0
"60QA000295",70,3,55,5,0,2,0,2,0,0,3,0,0,0,0
"60QA000296",99,8,66,5,1,2,8,0,4,1,4,0,0,0,0
"60QA000297",71,9,36,7,0,2,7,2,5,0,3,0,0,0,0
"60QA000298",52,3,25,7,2,2,1,1,7,4,0,0,0,0,0
"60QA000299",72,3,48,1,0,6,3,3,3,2,3,0,0,0,0
"60QA000300",120,9,66,19,2,7,3,9,2,2,1,60,0,0,0
"60QA000301",9,0,1,0,0,0,6,0,0,1,1,0,0,0,0
"60QA000302",50,1,25,1,2,6,5,6,0,3,1,25,0,0,25
"60QA000303",137,17,68,6,2,6,25,4,5,2,2,0,68,0,68
"60QA000304",15,2,2,0,0,0,8,0,0,2,1,0,0,0,0
"60QA000305",57,6,28,3,1,4,7,7,0,0,1,0,0,0,0
"60QA000306",58,8,36,2,2,0,7,1,1,1,0,0,0,0,29
"60QA000307",59,7,25,2,1,1,9,3,5,3,3,0,0,0,59
"60QA000308",43,2,20,1,1,5,4,7,1,1,1,43,0,0,43
"60QA000309",137,14,71,9,0,5,26,1,6,3,2,0,0,0,0
"60QA000310",105,9,57,5,2,3,9,9,3,3,5,0,0,0,0
"60QA000311",91,3,52,3,4,11,2,11,0,2,3,0,0,0,68
"60QA000312",52,1,10,4,3,0,30,2,1,1,0,0,52,0,17
"60QA000313",96,9,32,4,5,3,22,4,5,6,6,19,77,0,58
"60QA000314",96,16,37,4,2,1,16,3,2,10,5,48,48,48,0
"60QA000315",98,9,25,1,3,14,11,31,1,1,2,0,33,0,33
"60QA000316",74,14,27,2,5,0,9,3,3,5,6,0,15,0,30
"60QA000317",68,10,32,2,1,0,15,2,2,3,1,0,0,0,0
"60QA000318",110,14,45,3,5,7,16,8,4,5,3,44,0,0,22
"60QA000319",128,13,65,0,0,21,7,11,4,5,2,0,0,0,0
"60QA000320",138,18,47,3,6,6,28,8,8,6,8,23,0,23,23
"60QA000321",122,26,42,8,3,6,15,3,6,9,4,41,0,0,41
"60QA000322",69,10,22,1,3,2,9,3,6,7,6,0,0,0,23
"60QA000323",78,15,22,5,0,1,19,3,3,8,2,0,0,0,0
"60QA000324",46,3,18,0,0,1,20,0,2,2,0,0,0,0,0
"60QA000325",80,9,35,2,2,5,12,6,3,4,2,40,0,40,40
"60QA000326",91,15,35,6,2,3,10,1,6,10,3,91,0,46,0
"60QA000327",86,13,36,5,2,1,14,2,3,8,2,43,43,0,0
"60QA000328",142,28,50,5,2,13,12,10,4,15,3,0,0,0,0
"60QA000329",131,20,43,3,4,7,25,5,7,10,7,33,33,0,66
"60QA000330",39,4,15,2,1,2,7,1,5,1,1,0,0,0,0
"60QA000331",88,12,27,1,4,5,11,5,3,18,2,66,0,44,22
"60QA000332",63,7,16,3,4,4,13,2,2,11,1,16,16,0,16
"60QA000333",45,5,20,0,1,3,9,2,2,3,0,0,0,0,0
"60QA000334",100,16,40,2,4,3,14,5,6,7,3,50,25,0,25
"60QA000335",118,15,39,1,4,7,17,5,12,12,6,59,0,30,30
"60QA000336",88,10,34,5,4,0,17,2,3,8,5,0,44,0,22
"60QA000337",89,17,38,6,0,5,11,2,7,2,1,0,0,0,0
"60QA000338",106,7,41,10,1,3,34,2,3,2,3,0,0,0,106
"60QA000339",101,8,63,7,4,1,5,3,4,2,4,50,50,0,0
"60QA000340",83,11,40,10,0,1,16,3,1,0,1,0,0,0,0
"60QA000341",81,10,30,8,0,1,22,1,4,3,2,0,0,0,0
"60QA000342",75,8,41,3,0,4,13,0,4,0,2,0,0,0,0
"60QA000343",82,7,32,6,0,4,24,3,2,2,2,0,0,0,0
"60QA000344",114,17,55,8,3,1,16,3,5,4,2,0,114,0,38
"60QA000345",82,9,32,9,1,2,18,5,4,1,1,0,0,0,0
"60QA000346",74,11,20,7,2,2,25,1,3,2,1,37,0,0,0
"60QA000347",78,8,23,8,2,2,25,2,3,5,0,0,0,0,0
"60QA000348",52,3,15,4,0,0,21,0,6,1,2,0,0,0,0
"60QA000349",71,7,25,4,2,0,24,1,1,3,4,0,71,0,0
"60QA000350",76,12,36,5,0,1,15,2,4,1,0,0,0,0,0
"60QA000351",91,16,39,4,2,3,25,0,0,1,1,46,0,0,46
"60QA000352",76,6,28,9,3,3,21,0,5,1,0,0,25,0,25
"60QA000353",81,11,28,7,0,3,23,2,4,0,3,0,0,0,0
"60QA000354",72,16,19,7,0,2,23,1,1,1,2,0,0,0,0
"60QA000355",72,4,28,5,4,1,20,1,4,2,3,18,0,0,18
"60QA000356",117,14,41,11,0,3,31,4,7,3,3,0,0,0,0
"60QA000357",132,16,63,13,0,6,20,1,6,4,3,0,0,0,0
"60QA000358",113,13,46,9,0,2,26,3,9,4,1,0,0,0,0
"60QA000359",115,15,56,8,0,6,18,3,4,3,2,0,0,0,0
