"output_area","All people aged 16 - 74","Number of people aged 16 - 74 Economically active Employees Part-time","Number of people aged 16 - 74 Economically active Employees Full-time","Number of people aged 16 - 74 Economically active Self employed","Number of people aged 16 - 74 Economically active Unemployed","Number of people aged 16 - 74 Economically active Full-time student","Number of people aged 16 - 74 Economically inactive Retired","Number of people aged 16 - 74 Economically inactive Student","Number of people aged 16 - 74 Economically inactive Looking after home/family","Number of people aged 16 - 74 Economically inactive Permanently sick/disabled","Number of people aged 16 - 74 Economically inactive Other","Number of unemployed people aged 16-74: Aged 16-24 years","Number of unemployed people aged 16-74: Aged 50 years and over","Number of unemployed people aged 16-74 who have never worked","Number of unemployed people aged 16-74 who are long-term unemployed"
"60QA000001",47,3,18,7,1,1,11,1,3,1,1,0,0,0,47
"60QA000002",128,17,47,26,3,1,12,6,11,3,2,43,43,43,85
"60QA000003",56,6,26,8,2,3,2,0,4,4,1,0,28,0,28
"60QA000004",51,4,16,4,1,2,9,5,9,0,1,0,0,0,51
"60QA000005",54,5,19,6,0,2,4,3,13,0,2,0,0,0,0
"60QA000006",162,9,32,57,1,3,10,5,8,25,12,0,0,162,0
"60QA000007",53,5,16,10,0,0,3,7,9,0,3,0,0,0,0
"60QA000008",76,3,36,13,1,5,7,2,7,1,1,0,76,0,0
"60QA000009",122,6,55,31,0,4,16,2,3,4,1,0,0,0,0
"60QA000010",54,8,26,6,1,3,3,2,3,0,2,0,0,0,0
"60QA000011",46,5,20,11,1,0,3,1,4,1,0,0,0,0,0
"60QA000012",65,6,33,14,0,1,3,2,5,1,0,0,0,0,0
"60QA000013",165,21,80,25,2,6,11,3,8,5,4,0,0,0,0
"60QA000014",82,7,30,17,6,0,9,7,3,0,3,14,14,14,0
"60QA000015",57,2,33,7,2,4,4,2,1,2,0,28,0,0,0
"60QA000016",114,8,69,9,5,4,5,10,1,1,2,91,0,23,23
"60QA000017",109,18,33,2,8,2,30,0,3,5,8,27,41,27,41
"60QA000018",96,10,50,2,2,3,7,0,6,7,9,96,0,0,0
"60QA000019",56,3,29,3,3,6,2,8,1,0,1,0,19,0,0
"60QA000020",64,2,38,4,2,6,1,9,0,0,2,32,0,0,0
"60QA000021",55,2,33,1,2,4,1,11,0,0,1,0,0,0,0
"60QA000022",52,4,33,1,1,3,0,9,0,1,0,52,0,0,52
"60QA000023",81,3,51,4,3,5,4,2,0,4,5,27,27,0,54
"60QA000024",85,4,33,11,4,5,13,6,0,6,3,42,0,0,42
"60QA000025",50,5,12,0,1,2,17,1,3,8,1,0,0,0,0
"60QA000026",45,2,18,1,2,4,9,2,0,3,4,0,0,0,0
"60QA000027",67,3,40,1,2,8,5,5,2,1,0,0,34,0,0
"60QA000028",119,4,59,1,2,19,1,30,0,1,2,60,0,0,0
"60QA000029",56,1,24,2,3,10,0,10,2,3,1,37,0,0,0
"60QA000030",62,3,26,0,6,2,3,2,0,16,4,21,10,0,10
"60QA000031",66,3,21,1,2,14,3,19,1,1,1,0,33,0,0
"60QA000032",86,3,48,4,3,7,1,12,0,4,4,57,0,0,29
"60QA000033",111,3,71,4,2,18,1,9,1,1,1,0,56,0,56
"60QA000034",170,0,5,0,1,60,0,103,0,0,1,0,0,0,170
"60QA000035",162,6,68,1,1,28,0,51,0,4,3,162,0,0,0
"60QA000036",107,7,48,2,5,16,2,13,4,5,5,21,0,0,64
"60QA000037",60,1,28,0,2,7,1,21,0,0,0,30,30,0,30
"60QA000038",79,10,27,2,3,3,12,2,8,5,7,53,0,0,26
"60QA000039",131,13,66,17,3,4,10,9,7,1,1,44,0,0,87
"60QA000040",104,17,49,9,1,2,8,5,5,6,2,0,0,0,0
"60QA000041",63,5,42,6,3,1,2,0,0,2,2,0,0,21,0
"60QA000042",50,2,37,0,4,2,2,1,1,0,1,12,25,0,0
"60QA000043",89,7,36,5,6,2,18,4,5,4,2,15,44,0,44
"60QA000044",105,5,48,8,0,12,5,12,7,5,3,0,0,0,0
"60QA000045",62,3,42,7,1,0,5,0,2,2,0,0,62,0,62
"60QA000046",87,4,49,18,1,5,1,5,2,1,1,87,0,0,0
"60QA000047",105,9,49,10,2,5,15,5,8,1,1,0,105,0,0
"60QA000048",90,9,41,9,3,2,7,5,7,6,1,60,0,0,0
"60QA000049",94,12,59,2,2,1,5,2,4,3,4,0,0,0,47
"60QA000050",109,10,66,11,5,1,5,7,1,0,3,44,22,0,0
"60QA000051",61,4,19,3,2,5,7,5,1,10,5,0,30,0,30
"60QA000052",88,4,48,3,5,6,5,13,1,1,2,35,0,0,0
"60QA000053",70,4,49,3,2,3,2,2,4,0,1,70,0,0,0
"60QA000054",101,4,70,6,4,7,1,3,2,4,0,0,25,0,0
"60QA000055",121,11,52,18,1,5,12,16,5,0,1,0,0,0,121
"60QA000056",98,7,60,8,4,2,6,1,3,3,4,24,0,0,24
"60QA000057",66,4,42,5,0,4,1,7,0,0,3,0,0,0,0
"60QA000058",80,2,43,9,3,6,5,5,6,0,1,80,0,27,0
"60QA000059",74,5,43,3,0,0,15,2,0,5,1,0,0,0,0
"60QA000060",76,18,41,5,0,4,6,0,2,0,0,0,0,0,0
"60QA000061",77,1,39,5,1,9,4,11,3,1,3,0,0,0,0
"60QA000062",60,2,47,0,2,1,2,1,1,3,1,0,30,0,0
"60QA000063",65,0,37,1,3,9,3,11,0,1,0,22,0,0,0
"60QA000064",93,4,58,6,6,5,2,7,1,0,4,0,16,0,16
"60QA000065",96,0,68,5,3,6,4,7,1,1,1,32,0,0,64
"60QA000066",78,3,53,6,3,3,4,2,1,1,2,0,26,0,0
"60QA000067",68,3,55,0,2,1,2,2,0,1,2,0,0,0,68
"60QA000068",65,2,36,4,4,9,0,9,0,1,0,16,32,0,16
"60QA000069",104,2,47,10,5,6,7,6,6,5,10,21,42,0,62
"60QA000070",48,2,23,6,4,1,4,2,2,2,2,12,12,0,12
"60QA000071",64,2,43,7,1,2,4,4,0,0,1,64,0,0,0
"60QA000072",59,6,34,4,0,5,3,4,1,2,0,0,0,0,0
"60QA000073",73,5,39,2,4,2,3,5,4,4,5,36,0,0,18
"60QA000074",89,2,44,7,4,6,3,9,1,7,6,22,0,0,0
"60QA000075",59,2,38,2,0,7,2,5,0,3,0,0,0,0,0
"60QA000076",151,7,50,4,8,24,3,25,1,20,9,38,19,0,76
"60QA000077",56,15,22,1,4,2,5,0,1,4,2,14,0,0,0
"60QA000078",118,18,56,4,4,5,10,3,1,11,6,30,0,30,0
"60QA000079",46,5,13,2,8,2,1,1,2,7,5,6,6,0,23
"60QA000080",85,11,35,3,4,2,4,1,12,9,4,42,0,0,21
"60QA000081",55,5,25,1,2,3,5,1,3,6,4,0,55,0,28
"60QA000082",178,15,60,5,6,3,24,2,6,15,42,0,30,0,148
"60QA000083",82,9,49,4,1,1,13,1,1,1,2,0,82,0,0
"60QA000084",76,12,29,3,3,1,15,0,1,4,8,25,25,0,0
"60QA000085",93,11,39,3,1,2,13,4,7,7,6,0,0,0,93
"60QA000086",88,14,40,0,0,6,14,0,5,7,2,0,0,0,0
