"output_area","ALL PEOPLE","Number White Scottish","Number Other White British","Number White Irish","Number Other White","Number Indian","Number Pakistani","Number Bangladeshi","Number Other South Asian","Number Chinese","Number Caribbean","Number African","Number Black Scottish or Other Black","Number Any Mixed Background","Number Other Ethnic Group","Number of people aged 3 and over, who understand, speak, read or write Gaelic and who were born in Scotland","Number of people aged 3 and over, who understand, speak, read or write Gaelic and who were not born in Scotland"
"60QA000001",58,46,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000002",174,128,28,0,9,4,0,0,0,0,0,0,0,0,5,0,0
"60QA000003",76,62,6,0,5,0,0,0,0,0,0,0,0,2,1,3,0
"60QA000004",66,34,18,0,12,0,0,0,0,0,0,0,0,0,2,1,0
"60QA000005",82,35,10,2,29,0,0,0,0,4,0,0,1,1,0,0,0
"60QA000006",198,62,80,1,45,2,0,0,1,3,0,0,0,3,1,2,0
"60QA000007",73,45,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000008",108,83,15,0,9,0,0,1,0,0,0,0,0,0,0,1,0
"60QA000009",153,121,28,1,3,0,0,0,0,0,0,0,0,0,0,3,0
"60QA000010",65,42,19,0,1,0,0,0,0,0,0,0,0,2,1,0,0
"60QA000011",71,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000012",84,77,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"60QA000013",212,195,6,1,2,0,6,0,1,0,0,0,1,0,0,1,0
"60QA000014",99,64,20,2,8,0,0,0,0,0,1,0,0,3,1,0,2
"60QA000015",77,51,16,1,9,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000016",130,105,19,0,4,0,0,0,0,0,0,1,0,1,0,2,0
"60QA000017",144,126,1,0,0,0,0,10,0,4,0,0,0,0,3,0,0
"60QA000018",123,105,6,3,3,0,0,0,0,4,1,0,1,0,0,0,0
"60QA000019",62,53,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"60QA000020",65,52,7,0,2,3,0,0,0,0,0,0,0,1,0,1,0
"60QA000021",55,33,7,1,10,1,0,2,0,0,0,0,0,0,1,0,0
"60QA000022",54,30,17,2,3,1,0,0,0,0,0,0,0,1,0,0,0
"60QA000023",85,58,16,0,5,1,0,0,0,1,0,0,0,1,3,3,0
"60QA000024",90,74,9,2,3,0,1,0,0,1,0,0,0,0,0,1,0
"60QA000025",72,65,2,0,2,0,0,0,0,3,0,0,0,0,0,1,0
"60QA000026",59,52,3,0,3,0,0,0,0,0,0,1,0,0,0,2,0
"60QA000027",73,62,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000028",119,82,22,2,4,5,2,0,1,0,0,1,0,0,0,5,1
"60QA000029",56,33,17,0,4,1,0,0,0,0,0,0,0,1,0,1,0
"60QA000030",63,58,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000031",71,53,8,3,2,2,0,0,1,2,0,0,0,0,0,0,1
"60QA000032",92,80,11,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000033",115,98,9,1,4,0,0,0,1,0,0,0,0,0,2,6,1
"60QA000034",170,94,30,25,5,3,1,1,4,3,1,0,0,1,2,3,6
"60QA000035",164,103,22,3,6,6,2,0,2,9,0,2,1,2,6,0,1
"60QA000036",124,98,10,4,6,0,3,0,0,0,0,0,0,1,2,1,2
"60QA000037",62,45,5,5,2,0,0,0,3,1,0,1,0,0,0,3,0
"60QA000038",100,92,1,0,1,3,0,0,1,0,0,2,0,0,0,2,1
"60QA000039",178,128,22,3,21,2,0,1,0,0,0,0,0,0,1,2,0
"60QA000040",129,109,14,1,2,1,0,0,1,1,0,0,0,0,0,0,1
"60QA000041",71,56,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"60QA000042",57,53,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"60QA000043",121,108,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000044",143,94,32,0,10,2,0,0,0,0,0,0,0,0,5,5,0
"60QA000045",117,86,15,1,11,0,0,0,0,3,0,0,0,1,0,1,0
"60QA000046",101,63,18,4,11,2,0,0,0,0,0,0,0,1,2,3,0
"60QA000047",137,110,19,1,7,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000048",112,95,12,1,3,1,0,0,0,0,0,0,0,0,0,1,0
"60QA000049",114,86,16,3,6,0,0,0,0,0,0,0,0,2,1,2,0
"60QA000050",131,107,16,1,7,0,0,0,0,0,0,0,0,0,0,2,1
"60QA000051",71,50,7,0,2,1,0,8,0,0,0,1,0,1,1,1,0
"60QA000052",98,64,17,0,8,3,1,0,0,0,0,0,0,2,3,1,0
"60QA000053",85,60,5,1,10,0,0,0,1,0,0,0,0,0,8,1,0
"60QA000054",116,95,13,1,6,0,0,0,0,1,0,0,0,0,0,4,1
"60QA000055",164,122,18,0,9,1,0,0,5,3,0,1,0,2,3,2,0
"60QA000056",128,99,17,1,11,0,0,0,0,0,0,0,0,0,0,1,1
"60QA000057",69,51,10,0,5,0,0,0,0,1,1,1,0,0,0,1,1
"60QA000058",95,72,9,2,9,0,0,0,0,0,0,0,0,3,0,0,0
"60QA000059",81,64,9,0,5,0,0,0,0,2,1,0,0,0,0,0,0
"60QA000060",97,80,9,0,1,4,0,0,1,2,0,0,0,0,0,1,0
"60QA000061",82,63,11,1,4,0,0,0,0,1,0,0,0,2,0,3,0
"60QA000062",68,61,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"60QA000063",67,58,4,1,3,0,0,0,0,0,0,0,0,0,1,4,0
"60QA000064",99,83,10,3,3,0,0,0,0,0,0,0,0,0,0,0,1
"60QA000065",96,73,19,0,2,0,1,0,0,0,0,0,0,1,0,2,0
"60QA000066",81,68,9,1,3,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000067",71,54,12,0,3,0,1,0,0,0,1,0,0,0,0,0,0
"60QA000068",68,54,7,1,3,0,0,0,0,2,0,0,0,1,0,3,1
"60QA000069",120,88,8,1,6,0,4,9,0,4,0,0,0,0,0,1,0
"60QA000070",60,52,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0
"60QA000071",69,48,14,1,4,0,0,0,0,1,1,0,0,0,0,1,1
"60QA000072",61,42,11,2,5,0,0,0,0,0,0,1,0,0,0,2,2
"60QA000073",87,68,10,0,2,6,0,0,0,1,0,0,0,0,0,1,0
"60QA000074",97,77,14,2,3,0,0,0,0,0,0,0,0,0,1,1,0
"60QA000075",59,41,9,2,4,0,0,1,0,1,0,1,0,0,0,2,0
"60QA000076",160,104,13,2,2,10,1,0,5,2,2,6,0,3,10,3,1
"60QA000077",82,81,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000078",190,168,13,1,0,0,0,5,0,0,0,0,0,1,2,0,1
"60QA000079",66,57,6,0,2,1,0,0,0,0,0,0,0,0,0,3,0
"60QA000080",123,110,10,0,1,0,0,0,0,0,0,0,0,2,0,1,0
"60QA000081",78,68,9,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"60QA000082",211,198,9,1,1,0,0,0,1,0,1,0,0,0,0,5,0
"60QA000083",94,85,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000084",102,98,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000085",131,128,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000086",119,117,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"60QA000087",141,127,8,3,2,0,0,0,0,0,0,0,1,0,0,1,1
"60QA000088",155,141,7,0,4,0,0,0,0,0,0,0,0,0,3,2,0
"60QA000089",90,78,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000090",80,73,3,1,2,0,0,0,0,0,0,0,0,1,0,0,1
"60QA000091",88,75,9,0,1,0,0,0,1,0,0,0,0,2,0,1,0
"60QA000092",62,46,13,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000093",104,96,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0
"60QA000094",71,61,5,0,4,0,0,0,0,0,0,0,0,1,0,1,0
"60QA000095",64,55,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0
"60QA000096",104,91,10,1,1,0,0,0,0,0,0,1,0,0,0,1,2
"60QA000097",90,80,4,1,4,0,0,0,0,0,0,0,0,0,1,3,0
"60QA000098",84,76,6,1,1,0,0,0,0,0,0,0,0,0,0,3,1
"60QA000099",93,77,14,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000100",63,58,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000101",62,55,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"60QA000102",75,70,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"60QA000103",76,62,9,1,2,0,0,0,1,0,0,0,0,0,1,0,0
"60QA000104",74,63,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1
"60QA000105",76,73,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0
"60QA000106",70,54,10,3,1,0,0,0,0,0,0,0,0,2,0,3,2
"60QA000107",77,68,4,0,4,0,0,0,0,0,1,0,0,0,0,3,0
"60QA000108",119,104,12,1,0,0,0,0,0,0,0,0,0,0,2,2,0
"60QA000109",62,54,5,0,2,0,0,0,1,0,0,0,0,0,0,0,1
"60QA000110",123,117,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000111",71,63,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000112",54,52,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000113",56,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000114",92,82,9,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"60QA000115",73,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000116",79,72,4,0,1,0,0,0,0,0,0,0,0,2,0,1,0
"60QA000117",133,121,7,0,1,0,0,0,1,0,0,0,0,0,3,1,0
"60QA000118",108,106,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60QA000119",103,95,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000120",107,101,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1
"60QA000121",129,117,5,0,0,0,4,0,0,0,0,0,0,2,1,1,0
"60QA000122",101,97,NA,0,4,0,0,0,0,0,0,0,0,0,0,5,0
"60QA000123",106,101,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"60QA000124",128,122,3,2,1,0,0,0,0,0,0,0,0,0,0,1,1
"60QA000125",160,153,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0
"60QA000126",156,143,10,1,2,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000127",133,125,2,1,0,0,0,5,0,0,0,0,0,0,0,4,0
"60QA000128",100,98,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000129",108,100,2,2,1,1,1,0,0,0,0,0,0,0,1,1,0
"60QA000130",89,84,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000131",147,139,5,1,1,0,0,0,0,0,0,0,0,1,0,4,0
"60QA000132",110,105,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000133",101,96,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000134",74,68,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000135",68,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000136",78,66,7,2,3,0,0,0,0,0,0,0,0,0,0,1,1
"60QA000137",79,69,4,0,5,0,0,0,1,0,0,0,0,0,0,1,0
"60QA000138",110,100,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000139",106,98,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"60QA000140",81,75,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"60QA000141",88,81,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000142",54,50,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000143",95,88,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000144",153,137,12,1,1,0,0,0,1,0,0,0,0,0,1,1,0
"60QA000145",121,114,3,2,2,0,0,0,0,0,0,0,0,0,0,3,0
"60QA000146",59,56,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60QA000147",119,114,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000148",145,133,7,1,1,0,0,0,0,0,0,0,0,2,1,0,0
"60QA000149",103,98,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"60QA000150",111,106,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000151",168,155,8,0,1,0,0,0,0,0,0,0,0,2,2,0,0
"60QA000152",64,58,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"60QA000153",93,84,4,1,1,0,3,0,0,0,0,0,0,0,0,1,0
"60QA000154",149,142,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000155",69,63,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000156",159,153,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"60QA000157",107,105,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000158",178,165,5,0,0,0,0,7,0,0,0,0,0,1,0,3,0
"60QA000159",133,130,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000160",96,89,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000161",113,108,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"60QA000162",134,74,9,0,31,0,0,0,0,4,0,10,4,1,1,3,0
"60QA000163",101,99,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000164",111,98,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"60QA000165",99,82,4,0,3,0,0,0,0,0,0,2,1,0,7,0,0
"60QA000166",143,135,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000167",143,139,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"60QA000168",121,106,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0
"60QA000169",112,98,4,3,2,0,0,0,1,1,0,0,0,3,0,0,2
"60QA000170",116,97,15,2,1,0,0,0,0,0,0,0,0,0,1,3,0
"60QA000171",57,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000172",96,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000173",110,105,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000174",117,112,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0
"60QA000175",163,157,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000176",109,100,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0
"60QA000177",119,112,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"60QA000178",69,66,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000179",72,72,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000180",108,104,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"60QA000181",108,101,4,1,0,0,0,2,0,0,0,0,0,0,0,1,0
"60QA000182",110,99,8,2,0,0,0,0,0,0,0,0,0,0,1,1,0
"60QA000183",145,140,4,0,0,0,0,0,0,0,0,0,0,0,1,3,1
"60QA000184",122,112,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000185",120,114,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"60QA000186",75,74,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000187",123,116,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"60QA000188",76,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000189",90,89,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000190",113,111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000191",131,126,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000192",133,132,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000193",89,86,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"60QA000194",116,115,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"60QA000195",100,96,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000196",107,105,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"60QA000197",123,121,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"60QA000198",92,85,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000199",112,109,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000200",160,155,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"60QA000201",126,122,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"60QA000202",76,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000203",131,123,5,0,3,0,0,0,0,0,0,0,0,0,0,3,0
"60QA000204",81,78,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"60QA000205",90,81,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"60QA000206",68,68,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000207",62,57,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0
"60QA000208",179,166,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"60QA000209",146,140,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000210",103,88,7,2,2,0,0,0,0,0,0,0,0,4,0,1,0
"60QA000211",139,127,2,0,3,5,0,0,0,1,0,0,0,1,0,3,1
