"dz_2001","la_name","year","total","rest_uk","rest_eu","outside_europe"
"S01000001","Aberdeen City",2001,1008,165,25,53
"S01000002","Aberdeen City",2001,687,70,7,19
"S01000003","Aberdeen City",2001,838,60,2,17
"S01000004","Aberdeen City",2001,641,53,7,24
"S01000005","Aberdeen City",2001,663,89,13,37
"S01000006","Aberdeen City",2001,626,60,7,17
"S01000007","Aberdeen City",2001,924,123,14,38
"S01000008","Aberdeen City",2001,584,44,3,14
"S01000009","Aberdeen City",2001,710,49,1,12
"S01000010","Aberdeen City",2001,568,39,5,18
"S01000011","Aberdeen City",2001,918,156,62,116
"S01000012","Aberdeen City",2001,1332,80,14,35
"S01000013","Aberdeen City",2001,898,87,19,48
"S01000014","Aberdeen City",2001,1097,94,12,26
"S01000015","Aberdeen City",2001,869,65,5,16
"S01000016","Aberdeen City",2001,763,141,80,121
"S01000017","Aberdeen City",2001,937,54,3,16
"S01000018","Aberdeen City",2001,577,25,9,3
"S01000019","Aberdeen City",2001,531,66,8,28
"S01000020","Aberdeen City",2001,1065,206,85,96
"S01000021","Aberdeen City",2001,862,41,22,36
"S01000022","Aberdeen City",2001,663,128,23,77
"S01000023","Aberdeen City",2001,805,158,35,91
"S01000024","Aberdeen City",2001,512,108,20,34
"S01000025","Aberdeen City",2001,874,202,55,103
"S01000026","Aberdeen City",2001,1053,NA,6,14
"S01000027","Aberdeen City",2001,815,96,8,63
"S01000028","Aberdeen City",2001,969,NA,1,10
"S01000029","Aberdeen City",2001,742,140,81,121
"S01000030","Aberdeen City",2001,500,11,1,12
"S01000031","Aberdeen City",2001,1029,164,32,99
"S01000032","Aberdeen City",2001,1089,43,5,7
"S01000033","Aberdeen City",2001,796,NA,9,12
"S01000034","Aberdeen City",2001,1194,221,37,91
"S01000035","Aberdeen City",2001,1009,NA,8,40
"S01000036","Aberdeen City",2001,744,32,8,17
"S01000037","Aberdeen City",2001,800,46,8,22
"S01000038","Aberdeen City",2001,684,NA,6,8
"S01000039","Aberdeen City",2001,942,42,16,15
"S01000040","Aberdeen City",2001,970,44,6,13
"S01000041","Aberdeen City",2001,838,55,9,20
"S01000042","Aberdeen City",2001,951,NA,7,32
"S01000043","Aberdeen City",2001,976,90,14,46
"S01000044","Aberdeen City",2001,951,NA,11,13
"S01000045","Aberdeen City",2001,581,51,3,31
"S01000046","Aberdeen City",2001,768,66,17,26
"S01000047","Aberdeen City",2001,835,83,12,37
"S01000048","Aberdeen City",2001,925,92,10,54
"S01000049","Aberdeen City",2001,764,77,17,32
"S01000050","Aberdeen City",2001,780,71,10,30
"S01000051","Aberdeen City",2001,788,60,2,20
"S01000052","Aberdeen City",2001,677,23,4,4
"S01000053","Aberdeen City",2001,1285,120,38,80
"S01000054","Aberdeen City",2001,777,57,14,37
"S01000055","Aberdeen City",2001,754,51,5,14
"S01000056","Aberdeen City",2001,1049,207,29,94
"S01000057","Aberdeen City",2001,700,29,6,13
"S01000058","Aberdeen City",2001,1016,100,28,80
"S01000059","Aberdeen City",2001,1055,153,30,46
"S01000060","Aberdeen City",2001,577,31,9,8
"S01000061","Aberdeen City",2001,963,117,16,87
"S01000062","Aberdeen City",2001,1112,142,26,39
"S01000063","Aberdeen City",2001,983,132,26,41
"S01000064","Aberdeen City",2001,648,36,6,12
"S01000065","Aberdeen City",2001,1114,131,20,41
"S01000066","Aberdeen City",2001,1011,90,13,14
"S01000067","Aberdeen City",2001,1068,108,20,70
"S01000068","Aberdeen City",2001,1021,152,25,75
"S01000069","Aberdeen City",2001,684,NA,8,8
"S01000070","Aberdeen City",2001,646,36,5,10
"S01000071","Aberdeen City",2001,887,48,11,18
"S01000072","Aberdeen City",2001,1262,179,36,83
"S01000073","Aberdeen City",2001,619,39,3,23
"S01000074","Aberdeen City",2001,1058,72,8,11
"S01000075","Aberdeen City",2001,547,75,13,13
"S01000076","Aberdeen City",2001,770,65,4,33
"S01000077","Aberdeen City",2001,917,132,18,48
"S01000078","Aberdeen City",2001,1087,112,30,22
"S01000079","Aberdeen City",2001,1666,286,73,121
"S01000080","Aberdeen City",2001,927,113,23,46
"S01000081","Aberdeen City",2001,924,105,22,44
"S01000082","Aberdeen City",2001,954,70,12,14
"S01000083","Aberdeen City",2001,870,133,36,43
"S01000084","Aberdeen City",2001,791,52,24,16
"S01000085","Aberdeen City",2001,555,60,13,27
"S01000086","Aberdeen City",2001,745,117,32,64
"S01000087","Aberdeen City",2001,1765,273,134,148
"S01000088","Aberdeen City",2001,715,115,28,61
"S01000089","Aberdeen City",2001,1003,108,20,67
"S01000090","Aberdeen City",2001,1010,190,40,87
"S01000091","Aberdeen City",2001,1021,140,34,65
"S01000092","Aberdeen City",2001,851,132,20,68
"S01000093","Aberdeen City",2001,499,55,14,65
"S01000094","Aberdeen City",2001,637,134,15,38
"S01000095","Aberdeen City",2001,703,92,22,58
"S01000096","Aberdeen City",2001,706,45,6,28
"S01000097","Aberdeen City",2001,1291,199,51,143
"S01000098","Aberdeen City",2001,1539,271,33,159
"S01000099","Aberdeen City",2001,916,91,14,42
"S01000100","Aberdeen City",2001,760,125,22,52
"S01000101","Aberdeen City",2001,988,181,51,77
"S01000102","Aberdeen City",2001,832,93,15,62
"S01000103","Aberdeen City",2001,603,109,19,56
"S01000104","Aberdeen City",2001,1015,138,39,82
"S01000105","Aberdeen City",2001,1114,86,8,59
"S01000106","Aberdeen City",2001,706,145,45,74
"S01000107","Aberdeen City",2001,1039,159,21,56
"S01000108","Aberdeen City",2001,845,97,28,61
"S01000109","Aberdeen City",2001,985,137,20,73
"S01000110","Aberdeen City",2001,986,65,11,34
"S01000111","Aberdeen City",2001,762,121,33,52
"S01000112","Aberdeen City",2001,1159,138,19,112
"S01000113","Aberdeen City",2001,646,87,12,56
"S01000114","Aberdeen City",2001,1230,92,30,24
"S01000115","Aberdeen City",2001,873,47,5,17
"S01000116","Aberdeen City",2001,901,167,48,49
"S01000117","Aberdeen City",2001,1056,148,15,63
"S01000118","Aberdeen City",2001,788,67,8,26
"S01000119","Aberdeen City",2001,916,136,19,46
"S01000120","Aberdeen City",2001,742,121,21,47
"S01000121","Aberdeen City",2001,796,NA,3,25
"S01000122","Aberdeen City",2001,764,44,4,15
"S01000123","Aberdeen City",2001,831,99,19,44
"S01000124","Aberdeen City",2001,1118,156,41,88
"S01000125","Aberdeen City",2001,859,67,14,48
"S01000126","Aberdeen City",2001,867,90,26,38
"S01000127","Aberdeen City",2001,798,81,13,33
"S01000128","Aberdeen City",2001,1645,169,96,153
