"output_area","ALL PEOPLE","Economically active","   Employee total","     Employee Part-time","     Employee Full-time","   Self-employed with employees total","     Self-employed with employees - Part-time","     Self-employed with employees - Full-time","   Self-employed without employees total","     Self-employed without employees - Part-time","     Self-employed without employees - Full-time","     Unemployed","     Full-time students","Economically inactive","     Retired","     Student","     Looking after home/family","     Permanently sick/disabled","     Other"
"60QA000001",47,30,21,3,18,3,0,3,4,0,4,1,1,17,11,1,3,1,1
"60QA000002",128,94,64,17,47,14,2,12,12,2,10,3,1,34,12,6,11,3,2
"60QA000003",56,45,32,6,26,2,0,2,6,1,5,2,3,11,2,0,4,4,1
"60QA000004",51,27,20,4,16,0,0,0,4,0,4,1,2,24,9,5,9,0,1
"60QA000005",54,32,24,5,19,5,2,3,1,1,0,0,2,22,4,3,13,0,2
"60QA000006",162,102,41,9,32,11,2,9,46,1,45,1,3,60,10,5,8,25,12
"60QA000007",53,31,21,5,16,4,0,4,6,1,5,0,0,22,3,7,9,0,3
"60QA000008",76,58,39,3,36,6,2,4,7,0,7,1,5,18,7,2,7,1,1
"60QA000009",122,96,61,6,55,12,2,10,19,3,16,0,4,26,16,2,3,4,1
"60QA000010",54,44,34,8,26,3,0,3,3,1,2,1,3,10,3,2,3,0,2
"60QA000011",46,37,25,5,20,4,1,3,7,2,5,1,0,9,3,1,4,1,0
"60QA000012",65,54,39,6,33,4,1,3,10,4,6,0,1,11,3,2,5,1,0
"60QA000013",165,134,101,21,80,16,2,14,9,2,7,2,6,31,11,3,8,5,4
"60QA000014",82,60,37,7,30,5,0,5,12,5,7,6,0,22,9,7,3,0,3
"60QA000015",57,48,35,2,33,2,0,2,5,1,4,2,4,9,4,2,1,2,0
"60QA000016",114,95,77,8,69,7,3,4,2,0,2,5,4,19,5,10,1,1,2
"60QA000017",109,63,51,18,33,0,0,0,2,0,2,8,2,46,30,0,3,5,8
"60QA000018",96,67,60,10,50,1,0,1,1,1,0,2,3,29,7,0,6,7,9
"60QA000019",56,44,32,3,29,2,0,2,1,0,1,3,6,12,2,8,1,0,1
"60QA000020",64,52,40,2,38,1,0,1,3,2,1,2,6,12,1,9,0,0,2
"60QA000021",55,42,35,2,33,1,1,0,0,0,0,2,4,13,1,11,0,0,1
"60QA000022",52,42,37,4,33,0,0,0,1,0,1,1,3,10,0,9,0,1,0
"60QA000023",81,66,54,3,51,2,0,2,2,0,2,3,5,15,4,2,0,4,5
"60QA000024",85,57,37,4,33,1,0,1,10,1,9,4,5,28,13,6,0,6,3
"60QA000025",50,20,17,5,12,0,0,0,0,0,0,1,2,30,17,1,3,8,1
"60QA000026",45,27,20,2,18,0,0,0,1,1,0,2,4,18,9,2,0,3,4
"60QA000027",67,54,43,3,40,1,0,1,0,0,0,2,8,13,5,5,2,1,0
"60QA000028",119,85,63,4,59,1,0,1,0,0,0,2,19,34,1,30,0,1,2
