"output_area","All people","Number of people born in: England","Number of people born in: Scotland","Number of people born in: Wales","Number of people born in: Northern Ireland","Number of people born in: Republic of Ireland","Number of people born in: Other EU countries","Number of people born: Elsewhere"
"60QB000881",70,3,66,0,0,0,0,1
"60QB000882",106,10,94,0,0,0,0,2
"60QB000883",141,20,115,2,0,1,0,3
"60QB000884",133,14,115,0,1,0,0,3
"60QB000885",139,20,116,0,0,1,0,2
"60QB000886",102,10,91,1,0,0,0,0
"60QB000887",104,3,101,0,0,0,0,0
"60QB000888",68,9,59,0,0,0,0,0
"60QB000889",78,7,68,0,1,1,1,0
"60QB000890",179,18,155,2,0,0,1,3
"60QB000891",55,4,48,1,0,0,0,2
"60QB000892",178,19,156,2,1,0,0,0
"60QB000893",203,8,190,2,1,0,1,1
"60QB000894",119,7,106,2,3,0,0,1
"60QB000895",182,17,163,0,0,0,1,1
"60QB000896",78,5,68,0,2,1,1,1
"60QB000897",107,4,97,1,2,0,2,1
"60QB000898",99,9,80,2,0,0,1,7
"60QB000899",136,17,116,3,0,0,0,0
"60QB000900",125,13,111,0,0,0,1,0
"60QB000901",156,8,142,2,0,0,1,3
"60QB000902",191,9,177,2,0,0,0,3
"60QB000903",153,5,143,2,1,0,0,2
"60QB000904",75,7,66,0,0,0,1,1
"60QB000905",166,9,154,1,0,0,1,1
"60QB000906",136,16,119,0,0,0,0,1
"60QB000907",103,2,101,0,0,0,0,0
"60QB000908",161,6,145,0,1,1,3,5
"60QB000909",138,4,130,1,0,0,1,2
"60QB000910",94,9,82,0,0,0,1,2
"60QB000911",235,4,227,1,0,0,2,1
"60QB000912",197,6,191,0,0,0,0,0
"60QB000913",151,9,140,0,1,0,0,1
"60QB000914",125,10,113,0,0,0,1,1
"60QB000915",94,3,88,1,0,0,1,1
"60QB000916",143,14,126,0,0,0,1,2
"60QB000917",60,1,59,0,0,0,0,0
"60QB000918",120,6,111,0,0,0,1,2
"60QB000919",147,2,143,1,0,0,0,1
"60QB000920",149,2,147,0,0,0,0,0
"60QB000921",135,7,126,0,0,0,1,1
"60QB000922",131,4,120,0,0,0,0,7
"60QB000923",52,5,47,0,0,0,0,0
"60QB000924",137,15,116,1,2,1,2,0
"60QB000925",119,6,113,0,0,0,0,0
"60QB000926",87,3,83,0,0,0,1,0
"60QB000927",148,23,125,0,0,0,0,0
"60QB000928",89,10,78,0,0,0,1,0
"60QB000929",98,4,88,0,0,0,2,4
"60QB000930",198,20,176,0,0,0,0,2
"60QB000931",169,13,156,0,0,0,0,0
"60QB000932",178,18,158,1,0,0,1,0
"60QB000933",93,7,82,0,1,0,0,3
"60QB000934",154,22,131,0,0,0,0,1
"60QB000935",106,8,98,0,0,0,0,0
"60QB000936",146,7,138,0,0,0,0,1
"60QB000937",95,6,86,1,1,0,0,1
"60QB000938",144,5,136,0,0,0,3,0
"60QB000939",121,11,107,0,0,0,2,1
"60QB000940",98,2,94,0,0,0,1,1
"60QB000941",207,14,190,0,2,0,0,1
"60QB000942",193,14,178,0,0,0,0,1
"60QB000943",174,15,151,0,1,0,3,4
"60QB000944",177,15,158,2,0,2,0,0
"60QB000945",135,6,126,0,0,0,0,3
"60QB000946",90,6,83,0,0,0,1,0
"60QB000947",93,3,87,0,0,0,0,3
"60QB000948",94,6,87,0,0,0,0,1
"60QB000949",110,12,94,0,2,0,0,2
"60QB000950",98,7,90,0,0,0,1,0
"60QB000951",249,19,227,1,0,0,0,2
"60QB000952",138,5,129,1,0,0,2,1
"60QB000953",124,10,113,0,0,0,0,1
"60QB000954",91,2,89,0,0,0,0,0
"60QB000955",143,14,127,0,0,0,1,1
"60QB000956",137,2,132,0,0,0,1,2
"60QB000957",182,11,166,0,1,0,2,2
"60QB000958",141,4,133,2,0,0,1,1
"60QB000959",150,15,132,1,0,0,1,1
"60QB000960",109,7,102,0,0,0,0,0
"60QB000961",92,5,85,0,0,0,0,2
"60QB000962",112,16,94,0,0,0,0,2
"60QB000963",107,7,99,1,0,0,0,0
"60QB000964",89,8,80,0,0,0,0,1
"60QB000965",107,6,97,1,0,0,0,3
"60QB000966",99,6,91,0,0,1,0,1
"60QB000967",153,19,130,1,0,1,0,2
"60QB000968",115,15,99,0,0,1,0,0
"60QB000969",85,6,78,0,0,0,1,0
"60QB000970",64,7,55,0,0,0,1,1
"60QB000971",77,13,56,2,0,0,3,3
"60QB000972",118,12,98,0,0,0,0,8
"60QB000973",137,8,128,0,0,0,1,0
"60QB000974",78,8,68,1,0,0,0,1
"60QB000975",108,6,96,0,1,0,0,5
"60QB000976",193,6,183,3,0,0,0,1
"60QB000977",170,11,157,0,1,0,0,1
"60QB000978",114,10,103,1,0,0,0,0
"60QB000979",98,8,90,0,0,0,0,0
"60QB000980",147,12,128,0,4,1,2,0
"60QB000981",115,8,107,0,0,0,0,0
"60QB000982",92,6,82,0,0,0,2,2
"60QB000983",97,8,84,1,0,0,0,4
"60QB000984",152,11,137,0,1,1,1,1
"60QB000985",94,6,88,0,0,0,0,0
"60QB000986",105,3,99,1,0,2,0,0
"60QB000987",174,18,155,0,0,0,1,0
"60QB000988",122,8,110,1,1,0,0,2
"60QB000989",114,4,107,0,2,0,0,1
"60QB000990",110,3,106,0,0,1,0,0
"60QB000991",102,4,98,0,0,0,0,0
"60QB000992",117,5,108,0,0,0,1,3
"60QB000993",106,4,100,1,0,0,0,1
"60QB000994",100,3,95,0,0,0,0,2
"60QB000995",130,8,120,0,0,0,1,1
"60QB000996",104,5,99,0,0,0,0,0
"60QB000997",110,2,106,0,0,0,0,2
"60QB000998",123,7,115,0,0,0,1,0
"60QB000999",179,10,166,0,0,0,2,1
"60QB001000",125,1,123,0,0,0,1,0
"60QB001001",68,1,66,0,0,0,1,0
"60QB001002",107,26,79,0,1,0,0,1
"60QB001003",73,20,46,0,0,0,1,6
"60QB001004",125,8,115,1,0,0,1,0
"60QB001005",198,11,184,2,0,0,0,1
"60QB001006",94,5,85,0,0,0,1,3
"60QB001007",102,7,92,0,0,0,1,2
"60QB001008",81,4,76,0,0,0,0,1
"60QB001009",89,10,76,0,0,0,2,1
"60QB001010",107,22,84,0,0,0,0,1
"60QB001011",115,10,102,1,0,0,0,2
"60QB001012",136,12,119,1,0,0,0,4
"60QB001013",80,12,68,0,0,0,0,0
"60QB001014",110,6,102,0,0,0,0,2
"60QB001015",120,8,112,0,0,0,0,0
"60QB001016",89,10,78,0,0,0,0,1
"60QB001017",115,18,93,1,0,0,1,2
"60QB001018",156,14,138,0,0,0,0,4
"60QB001019",144,4,139,1,0,0,0,0
"60QB001020",104,15,88,0,1,0,0,0
"60QB001021",114,4,107,0,3,0,0,0
"60QB001022",162,5,156,0,0,0,0,1
"60QB001023",123,3,117,0,1,0,2,0
"60QB001024",183,6,173,1,1,0,0,2
"60QB001025",189,10,178,0,0,0,1,0
"60QB001026",163,6,155,0,0,0,0,2
"60QB001027",101,3,96,0,0,0,1,1
"60QB001028",207,13,191,0,0,0,1,2
"60QB001029",110,0,109,0,0,0,0,1
"60QB001030",101,2,99,0,0,0,0,0
"60QB001031",147,9,134,0,3,0,0,1
"60QB001032",83,1,81,0,0,0,0,1
"60QB001033",115,5,110,0,0,0,0,0
"60QB001034",145,6,137,0,0,0,1,1
"60QB001035",200,5,191,0,0,0,0,4
"60QB001036",183,1,179,0,0,0,1,2
"60QB001037",132,6,122,1,0,0,1,2
"60QB001038",75,6,69,0,0,0,0,0
"60QB001039",175,7,165,0,1,0,0,2
"60QB001040",90,1,89,0,0,0,0,0
"60QB001041",117,7,110,0,0,0,0,0
"60QB001042",71,2,66,0,0,0,1,2
"60QB001043",141,6,133,0,0,0,1,1
"60QB001044",172,5,166,0,0,0,1,0
"60QB001045",121,7,109,0,0,0,2,3
"60QB001046",111,2,106,0,0,0,1,2
"60QB001047",124,7,110,0,1,0,2,4
"60QB001048",139,10,123,0,0,0,5,1
"60QB001049",226,6,214,2,1,1,1,1
"60QB001050",87,6,79,0,0,0,0,2
"60QB001051",156,6,148,0,0,0,0,2
"60QB001052",123,4,115,0,1,0,0,3
"60QB001053",55,3,45,0,1,0,3,3
"60QB001054",138,7,129,0,0,0,1,1
"60QB001055",100,5,91,0,1,0,2,1
"60QB001056",119,13,103,0,0,1,1,1
"60QB001057",122,7,114,0,0,0,0,1
"60QB001058",81,10,69,0,1,0,0,1
"60QB001059",133,16,111,0,0,4,1,1
"60QB001060",95,10,81,0,0,0,0,4
"60QB001061",145,2,141,0,0,0,1,1
"60QB001062",159,12,146,0,0,0,1,0
"60QB001063",127,2,119,1,3,0,0,2
"60QB001064",102,1,100,0,0,1,0,0
"60QB001065",55,6,48,0,0,0,1,0
"60QB001066",157,6,145,0,0,0,1,5
"60QB001067",132,9,119,0,0,1,1,2
"60QB001068",60,2,58,0,0,0,0,0
"60QB001069",66,4,58,0,4,0,0,0
"60QB001070",109,8,97,0,0,1,3,0
"60QB001071",135,9,119,0,0,0,1,6
"60QB001072",78,11,58,2,0,1,0,6
"60QB001073",84,6,77,0,0,0,0,1
"60QB001074",162,3,153,0,6,0,0,0
"60QB001075",90,2,87,0,0,0,0,1
"60QB001076",70,2,67,0,0,0,0,1
"60QB001077",150,11,134,0,0,1,1,3
"60QB001078",168,7,152,0,6,0,0,3
"60QB001079",86,2,83,0,0,0,0,1
"60QB001080",141,5,130,0,0,0,0,6
"60QB001081",173,3,165,0,1,0,1,3
"60QB001082",161,1,156,0,0,1,0,3
"60QB001083",130,5,121,0,0,0,3,1
"60QB001084",165,8,153,1,1,0,0,2
"60QB001085",134,10,122,0,0,0,0,2
"60QB001086",56,0,49,1,0,0,0,6
"60QB001087",58,0,58,0,0,0,0,0
"60QB001088",81,1,80,0,0,0,0,0
"60QB001089",187,5,181,1,0,0,0,0
"60QB001090",167,4,163,0,0,0,0,0
"60QB001091",153,7,144,0,0,1,1,0
"60QB001092",110,3,105,0,0,0,2,0
"60QB001093",113,1,109,0,1,0,2,0
"60QB001094",245,3,240,0,0,0,1,1
"60QB001095",185,9,173,0,2,0,1,0
"60QB001096",124,7,113,2,1,0,1,0
"60QB001097",100,8,90,0,0,1,0,1
"60QB001098",100,7,91,0,1,0,0,1
"60QB001099",132,8,124,0,0,0,0,0
"60QB001100",196,6,189,0,0,0,0,1
"60QB001101",132,9,121,0,0,0,0,2
"60QB001102",135,8,122,0,0,0,0,5
"60QB001103",98,6,92,0,0,0,0,0
"60QB001104",145,13,128,0,0,0,2,2
"60QB001105",90,20,57,2,2,2,1,6
"60QB001106",69,12,48,2,0,0,0,7
"60QB001107",62,11,25,4,3,1,3,15
"60QB001108",134,12,118,0,0,0,1,3
"60QB001109",94,4,88,0,0,0,0,2
"60QB001110",76,7,67,0,0,1,0,1
"60QB001111",55,0,54,1,0,0,0,0
"60QB001112",209,11,187,1,1,0,0,9
"60QB001113",136,8,125,0,1,0,0,2
"60QB001114",233,24,203,1,0,1,1,3
"60QB001115",110,5,100,4,0,0,0,1
"60QB001116",143,10,125,0,0,0,1,7
"60QB001117",67,3,61,0,1,0,0,2
"60QB001118",93,20,67,0,1,1,1,3
"60QB001119",64,10,49,0,0,1,3,1
"60QB001120",104,22,78,2,0,0,1,1
"60QB001121",54,13,40,0,1,0,0,0
"60QB001122",74,17,55,0,0,0,0,2
"60QB001123",105,33,68,0,1,0,1,2
"60QB001124",227,32,187,0,1,0,2,5
"60QB001125",147,6,137,2,0,0,0,2
"60QB001126",110,14,92,0,0,1,0,3
"60QB001127",150,18,121,0,0,0,1,10
"60QB001128",58,2,49,0,0,1,5,1
"60QB001129",64,10,53,0,0,0,0,1
"60QB001130",125,8,114,0,0,0,0,3
"60QB001131",133,12,116,1,1,0,2,1
"60QB001132",89,2,87,0,0,0,0,0
"60QB001133",143,18,122,0,0,0,0,3
"60QB001134",60,1,57,0,0,0,2,0
"60QB001135",89,8,71,2,0,0,0,8
"60QB001136",74,2,68,1,1,1,0,1
"60QB001137",164,37,117,3,0,0,2,5
"60QB001138",123,15,104,0,1,0,0,3
"60QB001139",75,4,71,0,0,0,0,0
"60QB001140",142,2,136,2,0,0,1,1
"60QB001141",189,22,161,3,1,0,1,1
"60QB001142",57,9,45,0,0,0,0,3
"60QB001143",139,5,130,0,1,0,2,1
"60QB001144",145,11,128,0,0,0,4,2
"60QB001145",101,8,90,2,0,0,0,1
"60QB001146",117,5,109,1,0,0,1,1
"60QB001147",137,19,111,0,2,1,0,4
"60QB001148",92,14,71,0,0,0,3,4
"60QB001149",87,8,72,0,2,0,1,4
"60QB001150",125,17,99,1,2,0,0,6
"60QB001151",119,12,102,0,1,0,0,4
"60QB001152",121,13,100,3,0,1,1,3
"60QB001153",109,10,94,1,1,0,1,2
"60QB001154",108,8,97,2,0,0,0,1
"60QB001155",88,2,86,0,0,0,0,0
"60QB001156",64,6,58,0,0,0,0,0
"60QB001157",194,33,147,3,1,2,0,8
"60QB001158",92,4,87,1,0,0,0,0
"60QB001159",66,13,53,0,0,0,0,0
"60QB001160",109,35,69,2,0,0,0,3
"60QB001161",119,5,114,0,0,0,0,0
"60QB001162",73,3,70,0,0,0,0,0
"60QB001163",91,5,86,0,0,0,0,0
"60QB001164",82,4,75,0,1,0,0,2
"60QB001165",85,15,66,0,1,0,3,0
"60QB001166",177,7,166,0,0,0,1,3
"60QB001167",195,9,170,4,1,0,3,8
"60QB001168",90,3,87,0,0,0,0,0
"60QB001169",67,1,65,0,1,0,0,0
"60QB001170",81,6,73,1,0,0,0,1
"60QB001171",122,8,111,0,0,0,0,3
"60QB001172",62,3,59,0,0,0,0,0
"60QB001173",97,6,87,0,2,0,2,0
"60QB001174",88,9,78,0,1,0,0,0
"60QB001175",66,11,53,0,0,1,1,0
"60QB001176",67,3,59,0,0,0,1,4
"60QB001177",110,3,104,0,0,1,1,1
"60QB001178",96,5,89,0,2,0,0,0
"60QB001179",122,6,111,0,3,0,1,1
"60QB001180",88,4,80,1,0,0,0,3
"60QB001181",73,6,63,1,2,0,1,0
"60QB001182",65,2,63,0,0,0,0,0
"60QB001183",56,7,47,0,1,0,0,1
"60QB001184",92,9,78,0,1,0,1,3
"60QB001185",141,3,134,0,1,0,0,3
"60QB001186",154,1,151,0,0,0,0,2
"60QB001187",126,1,123,0,0,1,0,1
"60QB001188",51,2,49,0,0,0,0,0
"60QB001189",90,2,87,0,0,0,1,0
"60QB001190",165,12,152,0,1,0,0,0
"60QB001191",55,6,47,0,0,0,0,2
"60QB001192",61,2,59,0,0,0,0,0
"60QB001193",171,0,168,0,0,0,2,1
"60QB001194",117,32,81,3,0,0,0,1
"60QB001195",112,8,103,0,0,1,0,0
"60QB001196",61,13,46,0,1,0,1,0
"60QB001197",69,16,48,1,0,1,1,2
"60QB001198",122,2,119,0,0,0,0,1
"60QB001199",77,1,76,0,0,0,0,0
"60QB001200",124,2,121,0,0,0,0,1
"60QB001201",52,2,50,0,0,0,0,0
"60QB001202",87,2,81,0,2,1,0,1
"60QB001203",85,5,78,0,0,0,1,1
"60QB001204",167,12,153,0,1,0,0,1
"60QB001205",158,3,154,1,0,0,0,0
"60QB001206",85,22,55,0,1,1,1,5
"60QB001207",141,9,131,0,0,0,0,1
"60QB001208",134,17,109,1,0,0,0,7
"60QB001209",124,31,85,1,2,0,4,1
"60QB001210",147,31,108,0,0,0,0,8
"60QB001211",64,4,53,0,2,0,0,5
"60QB001212",141,19,116,0,0,0,1,5
"60QB001213",111,9,100,0,0,0,0,2
"60QB001214",87,9,77,0,0,0,0,1
"60QB001215",132,8,115,3,0,1,2,3
"60QB001216",86,9,76,1,0,0,0,0
"60QB001217",88,10,76,0,1,0,1,0
"60QB001218",106,9,90,1,1,0,1,4
"60QB001219",85,17,53,4,5,1,3,2
"60QB001220",119,25,89,0,1,0,2,2
"60QB001221",85,13,66,3,0,0,1,2
"60QB001222",127,11,111,0,0,0,1,4
"60QB001223",102,21,78,1,0,2,0,0
"60QB001224",152,25,117,1,3,0,2,4
"60QB001225",164,14,143,2,0,0,1,4
"60QB001226",88,4,81,0,2,0,1,0
"60QB001227",130,30,94,1,3,0,0,2
"60QB001228",143,36,99,2,0,0,2,4
"60QB001229",131,25,93,2,1,0,4,6
"60QB001230",125,24,98,0,1,0,0,2
"60QB001231",132,47,74,0,1,0,3,7
"60QB001232",108,15,88,0,1,0,0,4
"60QB001233",112,14,91,0,0,0,5,2
"60QB001234",209,26,173,2,7,0,0,1
"60QB001235",93,15,74,0,0,0,1,3
"60QB001236",154,29,117,0,1,1,1,5
"60QB001237",97,15,74,2,0,0,2,4
"60QB001238",100,13,81,3,0,0,0,3
"60QB001239",165,21,138,0,2,0,2,2
"60QB001240",160,41,113,2,1,0,1,2
"60QB001241",140,17,117,0,0,0,3,3
"60QB001242",98,12,84,0,0,0,1,1
"60QB001243",68,17,48,2,0,0,0,1
"60QB001244",152,26,119,3,3,0,1,0
"60QB001245",85,17,65,0,0,2,0,1
"60QB001246",143,16,115,1,0,0,5,6
"60QB001247",215,32,174,1,2,1,1,4
"60QB001248",195,33,157,0,0,0,0,5
"60QB001249",184,26,149,1,1,0,3,4
"60QB001250",140,22,113,0,2,0,0,3
"60QB001251",173,30,98,1,0,1,13,30
"60QB001252",101,23,64,1,2,0,6,5
"60QB001253",113,27,79,1,0,0,1,5
"60QB001254",51,5,44,0,0,1,0,1
"60QB001255",135,26,102,2,0,0,2,3
"60QB001256",137,24,110,0,0,0,0,3
"60QB001257",123,22,90,3,0,0,6,2
"60QB001258",129,12,116,0,0,0,0,1
"60QB001259",98,14,83,0,0,1,0,0
"60QB001260",105,24,68,0,6,0,1,6
"60QB001261",95,15,75,0,1,0,1,3
"60QB001262",101,24,71,1,0,0,0,5
"60QB001263",106,16,87,0,0,0,1,2
"60QB001264",98,31,61,2,0,0,1,3
"60QB001265",88,36,45,0,0,2,1,4
"60QB001266",72,13,56,0,0,0,0,3
"60QB001267",77,17,57,0,1,0,0,2
"60QB001268",75,8,62,1,0,0,0,4
"60QB001269",195,56,125,0,0,2,1,11
"60QB001270",88,24,54,1,3,0,3,3
"60QB001271",65,16,43,0,0,1,5,0
"60QB001272",110,14,86,4,0,0,0,6
"60QB001273",135,16,114,1,1,0,2,1
"60QB001274",67,11,53,0,0,0,1,2
"60QB001275",200,23,172,1,0,2,1,1
"60QB001276",150,10,132,0,1,0,2,5
"60QB001277",103,4,93,0,3,0,1,2
"60QB001278",113,6,106,0,0,0,0,1
"60QB001279",132,23,102,1,1,0,3,2
"60QB001280",76,20,51,1,0,0,0,4
"60QB001281",133,14,114,0,3,0,0,2
"60QB001282",76,7,67,1,0,1,0,0
"60QB001283",60,9,44,1,0,1,1,4
"60QB001284",150,8,137,0,1,1,0,3
"60QB001285",71,6,62,0,1,0,0,2
"60QB001286",214,32,168,5,1,1,1,6
"60QB001287",106,19,84,0,1,0,1,1
"60QB001288",107,4,101,1,1,0,0,0
"60QB001289",115,15,92,0,0,0,4,4
"60QB001290",74,7,66,1,0,0,0,0
"60QB001291",204,33,146,2,2,1,5,15
"60QB001292",78,1,75,0,0,1,1,0
"60QB001293",79,10,66,2,0,0,0,1
"60QB001294",93,27,62,0,0,0,1,3
"60QB001295",96,27,54,4,0,0,2,9
"60QB001296",98,7,87,0,0,0,4,0
"60QB001297",131,7,121,0,0,1,1,1
"60QB001298",116,13,102,0,0,0,1,0
"60QB001299",85,4,78,0,0,0,2,1
"60QB001300",120,10,102,0,0,0,1,7
"60QB001301",95,4,87,0,0,0,2,2
"60QB001302",98,8,87,1,0,1,0,1
"60QB001303",200,20,174,2,1,1,2,0
"60QB001304",199,14,178,1,2,0,2,2
"60QB001305",96,6,88,0,0,0,1,1
"60QB001306",71,4,63,0,0,0,1,3
"60QB001307",149,17,125,1,0,0,2,4
"60QB001308",89,6,79,0,1,1,2,0
"60QB001309",133,4,129,0,0,0,0,0
"60QB001310",98,3,95,0,0,0,0,0
"60QB001311",184,13,168,1,0,1,0,1
"60QB001312",165,17,142,0,1,0,0,5
"60QB001313",103,6,94,0,0,0,2,1
"60QB001314",77,3,73,0,1,0,0,0
"60QB001315",243,11,229,0,1,0,1,1
"60QB001316",226,13,212,0,0,0,0,1
"60QB001317",74,4,70,0,0,0,0,0
"60QB001318",102,9,90,2,0,0,0,1
"60QB001319",179,21,150,0,0,0,4,4
"60QB001320",150,5,144,0,0,0,0,1
"60QB001321",118,5,107,5,0,0,1,0
"60QB001322",174,2,169,0,1,0,1,1
"60QB001323",101,2,99,0,0,0,0,0
"60QB001324",112,23,82,3,0,0,0,4
"60QB001325",202,16,184,0,1,0,1,0
"60QB001326",93,21,69,0,0,0,0,3
"60QB001327",95,16,78,0,1,0,0,0
"60QB001328",152,18,130,0,0,0,2,2
"60QB001329",104,19,82,1,1,0,0,1
"60QB001330",170,40,126,1,0,0,0,3
"60QB001331",77,5,72,0,0,0,0,0
"60QB001332",153,65,81,1,1,1,1,3
"60QB001333",86,19,62,4,0,0,0,1
"60QB001334",123,15,101,0,0,1,3,3
"60QB001335",104,40,61,0,0,0,2,1
"60QB001336",153,10,140,1,0,0,1,1
"60QB001337",165,9,153,0,0,0,0,3
"60QB001338",130,22,105,1,1,1,0,0
"60QB001339",119,2,113,2,0,0,0,2
"60QB001340",131,17,111,0,0,0,1,2
"60QB001341",116,25,88,1,1,0,1,0
"60QB001342",122,11,109,0,1,0,1,0
"60QB001343",109,19,87,1,0,0,0,2
"60QB001344",83,36,44,0,0,0,0,3
"60QB001345",103,21,79,0,0,0,2,1
"60QB001346",133,28,100,3,1,0,0,1
"60QB001347",144,27,109,0,0,1,0,7
"60QB001348",127,33,87,0,1,0,4,2
"60QB001349",106,23,80,1,1,0,1,0
"60QB001350",136,33,83,5,2,0,1,12
"60QB001351",176,24,138,1,0,3,0,10
"60QB001352",128,28,92,3,0,1,3,1
"60QB001353",106,17,86,0,0,0,2,1
"60QB001354",162,30,123,0,2,2,2,3
"60QB001355",59,7,46,1,0,0,0,5
"60QB001356",136,14,121,0,0,0,0,1
"60QB001357",103,9,92,0,0,0,1,1
"60QB001358",57,2,53,0,0,0,1,1
"60QB001359",112,11,94,0,2,1,4,0
"60QB001360",127,28,97,0,0,0,0,2
"60QB001361",144,23,112,2,2,0,3,2
"60QB001362",93,18,71,0,0,0,0,4
"60QB001363",106,13,90,1,0,0,0,2
"60QB001364",178,12,158,3,3,0,1,1
"60QB001365",74,13,61,0,0,0,0,0
"60QB001366",165,24,132,0,4,0,3,2
"60QB001367",72,3,69,0,0,0,0,0
"60QB001368",128,14,112,0,0,1,0,1
"60QB001369",121,20,90,3,0,1,0,7
"60QB001370",126,23,99,2,0,0,0,2
"60QB001371",96,12,78,2,1,0,2,1
"60QB001372",116,26,80,2,3,1,1,3
"60QB001373",117,24,87,2,0,0,1,3
"60QB001374",167,40,113,2,0,0,4,8
"60QB001375",68,19,44,3,0,0,0,2
"60QB001376",100,15,77,2,1,0,1,4
"60QB001377",157,44,102,0,0,0,3,8
"60QB001378",122,26,85,2,2,0,3,4
"60QB001379",121,18,96,1,0,1,0,5
"60QB001380",113,4,105,0,0,0,2,2
"60QB001381",217,30,179,1,0,0,2,5
"60QB001382",209,23,171,3,2,0,2,8
"60QB001383",56,4,48,1,1,0,0,2
"60QB001384",116,9,103,0,1,0,0,3
"60QB001385",74,5,68,0,0,0,1,0
"60QB001386",87,19,67,0,0,0,0,1
"60QB001387",138,18,119,0,1,0,0,0
"60QB001388",95,6,89,0,0,0,0,0
"60QB001389",109,15,89,0,1,0,1,3
"60QB001390",104,21,80,0,1,2,0,0
"60QB001391",95,20,67,0,0,0,3,5
"60QB001392",125,5,117,0,2,0,0,1
"60QB001393",121,7,109,0,0,0,1,4
"60QB001394",118,15,94,6,0,0,2,1
"60QB001395",99,19,75,0,0,0,3,2
"60QB001396",119,29,82,1,0,0,3,4
"60QB001397",161,12,128,1,2,0,9,9
"60QB001398",134,17,112,3,0,0,1,1
"60QB001399",158,29,125,0,0,1,0,3
"60QB001400",111,28,78,1,0,0,2,2
"60QB001401",182,35,136,0,1,0,2,8
"60QB001402",106,25,70,0,1,0,2,8
"60QB001403",156,46,98,2,0,1,3,6
"60QB001404",64,12,48,0,0,0,1,3
"60QB001405",140,34,90,0,0,0,2,14
"60QB001406",104,19,79,3,0,0,0,3
"60QB001407",269,50,204,2,7,0,0,6
"60QB001408",116,10,102,2,0,0,2,0
"60QB001409",111,22,83,1,0,0,2,3
"60QB001410",183,41,123,1,6,2,2,8
"60QB001411",107,33,61,2,1,0,6,4
"60QB001412",93,20,66,1,2,0,2,2
"60QB001413",200,12,185,0,0,0,3,0
"60QB001414",132,20,109,0,0,1,1,1
"60QB001415",164,19,139,1,0,0,1,4
"60QB001416",90,9,78,0,0,0,0,3
"60QB001417",86,5,79,0,0,0,2,0
"60QB001418",101,13,85,0,0,0,2,1
"60QB001419",126,15,109,0,0,0,0,2
"60QB001420",232,41,186,3,0,0,2,0
"60QB001421",109,25,82,0,0,0,0,2
"60QB001422",142,25,99,4,0,0,5,9
"60QB001423",121,11,105,0,2,0,0,3
"60QB001424",112,22,83,1,1,1,0,4
"60QB001425",88,14,71,1,1,0,0,1
"60QB001426",117,18,97,0,0,0,0,2
"60QB001427",189,11,175,0,0,0,2,1
"60QB001428",210,27,180,0,0,0,0,3
"60QB001429",137,23,109,0,0,1,1,3
"60QB001430",144,37,94,0,4,0,2,7
"60QB001431",89,7,78,0,1,0,1,2
"60QB001432",105,15,87,0,0,0,1,2
"60QB001433",103,5,93,1,0,0,2,2
"60QB001434",161,21,134,1,1,0,1,3
"60QB001435",96,15,74,1,1,0,3,2
"60QB001436",106,17,88,0,0,0,0,1
"60QB001437",173,12,154,2,0,0,3,2
"60QB001438",225,34,172,3,0,0,5,11
"60QB001439",56,6,49,0,0,0,1,0
"60QB001440",93,16,68,1,1,3,1,3
"60QB001441",95,4,89,0,0,0,0,2
"60QB001442",160,17,132,1,1,0,0,9
"60QB001443",118,14,96,4,2,0,2,0
"60QB001444",95,7,84,0,2,0,0,2
"60QB001445",118,10,106,0,0,0,0,2
"60QB001446",61,14,43,0,1,0,0,3
"60QB001447",260,48,200,0,3,0,0,9
"60QB001448",80,5,72,0,0,0,2,1
"60QB001449",167,13,151,0,1,0,1,1
"60QB001450",101,6,91,0,2,0,0,2
"60QB001451",154,23,128,1,0,0,2,0
"60QB001452",61,7,54,0,0,0,0,0
"60QB001453",192,15,172,0,1,0,1,3
"60QB001454",130,15,111,0,0,0,0,4
"60QB001455",113,17,91,0,0,0,3,2
"60QB001456",211,43,157,0,2,0,4,5
"60QB001457",52,9,43,0,0,0,0,0
"60QB001458",104,11,87,0,2,0,0,4
"60QB001459",79,8,69,1,0,0,0,1
"60QB001460",135,37,84,2,1,0,0,11
"60QB001461",218,65,124,1,3,1,10,14
"60QB001462",159,64,85,2,2,0,1,5
"60QB001463",141,35,95,0,0,0,3,8
"60QB001464",220,66,150,1,0,0,0,3
"60QB001465",141,29,101,1,0,1,3,6
"60QB001466",88,6,78,1,0,0,1,2
"60QB001467",147,16,124,2,0,1,1,3
"60QB001468",134,7,125,0,0,0,0,2
"60QB001469",150,12,132,2,1,0,1,2
"60QB001470",114,5,102,2,0,0,0,5
"60QB001471",203,26,172,0,0,0,1,4
"60QB001472",88,15,68,1,0,0,0,4
"60QB001473",206,12,178,0,1,7,1,7
"60QB001474",118,13,102,0,1,0,0,2
"60QB001475",221,24,188,1,1,1,3,3
"60QB001476",112,7,96,1,0,0,1,7
"60QB001477",220,62,139,3,1,1,2,12
"60QB001478",198,22,168,1,3,0,0,4
"60QB001479",99,21,75,0,1,0,1,1
"60QB001480",162,24,133,0,1,0,0,4
"60QB001481",167,15,148,1,0,1,1,1
"60QB001482",71,18,43,1,1,0,0,8
"60QB001483",149,6,138,0,0,0,0,5
"60QB001484",123,15,100,0,0,1,1,6
