"output_area","All people","Number of people born in: England","Number of people born in: Scotland","Number of people born in: Wales","Number of people born in: Northern Ireland","Number of people born in: Republic of Ireland","Number of people born in: Other EU countries","Number of people born: Elsewhere"
"60QA000135",68,1,66,0,0,0,1,0
"60QA000136",78,9,62,0,1,1,3,2
"60QA000137",79,3,69,0,0,0,2,5
"60QA000138",110,9,95,0,0,0,0,6
"60QA000139",106,7,94,0,2,0,1,2
"60QA000140",81,8,72,0,0,1,0,0
"60QA000141",88,7,75,0,1,0,5,0
"60QA000142",54,4,47,0,0,0,2,1
"60QA000143",95,6,88,1,0,0,0,0
"60QA000144",153,10,136,2,0,0,2,3
"60QA000145",121,5,109,1,1,2,2,1
"60QA000146",59,2,57,0,0,0,0,0
"60QA000147",119,6,113,0,0,0,0,0
"60QA000148",145,11,131,0,0,0,1,2
"60QA000149",103,5,95,2,0,0,0,1
"60QA000150",111,3,103,0,0,0,0,5
"60QA000151",168,8,157,0,0,0,1,2
"60QA000152",64,6,57,0,0,0,1,0
"60QA000153",93,6,80,0,1,0,3,3
"60QA000154",149,3,142,1,0,0,0,3
"60QA000155",69,3,63,0,0,0,2,1
"60QA000156",159,6,151,0,1,0,0,1
"60QA000157",107,2,104,0,0,0,1,0
"60QA000158",178,5,162,1,1,0,0,9
"60QA000159",133,1,131,0,0,0,0,1
"60QA000160",96,6,88,0,0,0,1,1
"60QA000161",113,4,109,0,0,0,0,0
"60QA000162",134,11,78,0,0,0,18,27
"60QA000163",101,2,99,0,0,0,0,0
"60QA000164",111,11,99,1,0,0,0,0
"60QA000165",99,6,86,0,0,0,3,4
"60QA000166",143,8,133,0,0,0,0,2
"60QA000167",143,4,139,0,0,0,0,0
"60QA000168",121,12,103,1,0,0,0,5
"60QA000169",112,9,97,1,0,2,0,3
"60QA000170",116,14,95,0,1,2,0,4
"60QA000171",57,2,53,0,1,0,0,1
"60QA000172",96,7,89,0,0,0,0,0
"60QA000173",110,2,105,0,0,0,1,2
"60QA000174",117,2,112,0,0,0,0,3
"60QA000175",163,5,151,0,0,0,3,4
"60QA000176",109,2,100,0,1,0,4,2
"60QA000177",119,1,116,0,1,0,0,1
"60QA000178",69,2,65,0,1,0,1,0
"60QA000179",72,0,72,0,0,0,0,0
"60QA000180",108,1,103,0,1,0,0,3
"60QA000181",108,4,100,0,0,1,0,3
"60QA000182",110,8,99,0,2,0,0,1
"60QA000183",145,7,133,0,0,0,2,3
"60QA000184",122,8,111,0,0,0,1,2
"60QA000185",120,4,114,1,0,0,0,1
"60QA000186",75,0,73,0,0,0,1,1
"60QA000187",123,5,116,0,0,0,1,1
"60QA000188",76,3,72,0,0,0,0,1
"60QA000189",90,1,88,0,0,0,0,1
"60QA000190",113,4,108,0,0,0,0,1
"60QA000191",131,4,125,0,1,0,0,1
"60QA000192",133,2,129,0,0,0,0,2
"60QA000193",89,2,84,1,1,0,0,1
"60QA000194",116,0,115,0,0,0,0,1
"60QA000195",100,4,95,0,1,0,0,0
"60QA000196",107,4,103,0,0,0,0,0
"60QA000197",123,2,121,0,0,0,0,0
"60QA000198",92,3,79,2,1,1,0,6
"60QA000199",112,3,109,0,0,0,0,0
"60QA000200",160,3,155,0,0,0,0,2
"60QA000201",126,4,120,0,0,0,0,2
"60QA000202",76,5,70,0,0,0,0,1
"60QA000203",131,5,120,0,2,0,1,3
"60QA000204",81,3,76,0,0,1,0,1
"60QA000205",90,8,80,0,0,0,0,2
"60QA000206",68,0,67,0,0,0,1,0
"60QA000207",62,2,56,0,0,0,1,3
"60QA000208",179,14,163,0,0,0,1,1
"60QA000209",146,7,135,0,0,0,4,0
"60QA000210",103,4,92,0,2,0,0,5
"60QA000211",139,6,129,0,0,0,2,2
"60QA000212",150,3,143,0,3,0,0,1
"60QA000213",177,4,170,1,0,0,0,2
"60QA000214",151,6,144,0,0,0,0,1
"60QA000215",101,9,91,0,1,0,0,0
"60QA000216",126,4,121,0,0,0,1,0
"60QA000217",117,5,102,0,2,0,1,7
"60QA000218",123,17,96,0,2,1,1,6
"60QA000219",136,13,115,1,1,0,1,5
"60QA000220",94,9,72,1,1,0,4,7
"60QA000221",138,7,115,0,3,0,3,10
"60QA000222",180,13,151,4,2,2,7,1
"60QA000223",315,41,207,5,10,6,22,24
"60QA000224",147,17,117,0,1,0,4,8
"60QA000225",125,17,94,0,3,1,1,9
"60QA000226",135,10,109,1,0,1,4,10
"60QA000227",129,20,100,3,1,0,2,3
"60QA000228",83,7,67,0,0,0,0,9
"60QA000229",91,5,75,1,0,0,1,9
"60QA000230",73,4,63,1,0,0,1,4
"60QA000231",106,8,93,1,0,0,1,3
"60QA000232",165,16,137,2,1,0,1,8
"60QA000233",190,23,154,1,1,1,4,6
"60QA000234",140,32,95,0,0,2,4,7
"60QA000235",104,16,77,0,2,2,5,2
"60QA000236",127,9,96,1,1,1,8,11
"60QA000237",106,21,77,0,1,0,3,4
"60QA000238",78,6,60,0,1,2,4,5
"60QA000239",61,10,46,0,2,0,1,2
"60QA000240",67,12,52,0,0,0,2,1
"60QA000241",56,4,45,1,0,1,1,4
