"dz_2001","total","scotland","ruk","elsewhere"
"S01000224",846,775,43,28
"S01000225",576,502,42,32
"S01000226",608,473,66,69
"S01000227",1334,1087,106,141
"S01000228",829,674,72,83
"S01000229",822,734,39,49
"S01000230",618,536,38,44
"S01000231",694,618,45,31
"S01000232",615,542,33,40
"S01000233",496,426,28,42
"S01000234",697,631,42,24
"S01000235",837,740,49,48
"S01000236",672,584,42,46
"S01000237",816,725,51,40
"S01000238",493,428,34,31
"S01000239",691,606,39,46
"S01000240",634,578,37,19
"S01000241",599,516,50,33
"S01000242",744,590,58,96
"S01000243",649,598,29,22
"S01000244",1139,1007,66,66
"S01000245",959,834,74,51
"S01000246",689,607,45,37
"S01000247",655,578,48,29
"S01000248",741,652,42,47
"S01000249",650,544,54,52
"S01000250",832,701,59,72
"S01000251",465,377,38,50
"S01000252",790,660,62,68
"S01000253",651,559,39,53
"S01000254",832,689,61,82
"S01000255",586,513,41,32
"S01000256",805,697,57,51
"S01000257",917,785,56,76
"S01000258",608,523,55,30
"S01000259",611,507,57,47
"S01000260",865,704,62,99
"S01000261",900,775,86,39
"S01000262",913,800,73,40
"S01000263",820,686,64,70
"S01000264",909,766,61,82
"S01000265",712,632,33,47
"S01000266",1248,1062,96,90
"S01000267",720,635,48,37
"S01000268",816,646,133,37
"S01000269",628,480,116,32
"S01000270",1031,829,159,43
"S01000271",877,626,212,39
"S01000272",1122,881,132,109
"S01000273",620,471,101,48
"S01000274",678,548,98,32
"S01000275",1435,1237,142,56
"S01000276",786,608,144,34
"S01000277",723,600,100,23
"S01000278",577,489,61,27
"S01000279",956,748,164,44
"S01000280",761,597,114,50
"S01000281",675,529,100,46
"S01000282",750,593,113,44
"S01000283",1090,805,221,64
"S01000284",1266,975,220,71
"S01000285",719,575,120,24
"S01000286",916,727,128,61
"S01000287",732,556,131,45
"S01000288",807,695,76,36
"S01000289",888,743,103,42
"S01000290",822,718,66,38
"S01000291",951,797,124,30
"S01000292",1029,836,142,51
"S01000293",843,656,125,62
"S01000294",648,540,77,31
"S01000295",538,438,77,23
"S01000296",969,732,169,68
"S01000297",729,615,94,20
"S01000298",1131,928,128,75
"S01000299",1019,621,308,90
"S01000300",759,581,139,39
"S01000301",554,379,113,62
"S01000302",630,469,125,36
"S01000303",584,398,144,42
"S01000304",829,699,109,21
"S01000305",1040,880,118,42
"S01000306",790,565,168,57
"S01000307",922,735,130,57
"S01000308",1218,944,179,95
"S01000309",1203,819,283,101
"S01000310",946,818,93,35
"S01000311",938,598,221,119
"S01000312",539,404,90,45
"S01000313",681,494,132,55
"S01000314",551,477,44,30
"S01000315",667,446,162,59
"S01000316",901,688,168,45
"S01000317",542,432,70,40
"S01000318",549,357,152,40
"S01000319",712,629,54,29
"S01000320",671,586,52,33
"S01000321",595,489,78,28
"S01000322",996,675,240,81
"S01000323",879,719,122,38
"S01000324",835,731,71,33
"S01000325",1291,950,229,112
"S01000326",805,695,77,33
"S01000327",811,729,51,31
"S01000328",534,439,64,31
"S01000329",836,718,71,47
"S01000330",1322,969,279,74
"S01000331",560,432,95,33
"S01000332",745,510,170,65
"S01000333",948,638,185,125
"S01000334",903,714,149,40
"S01000335",792,628,109,55
"S01000336",1440,1109,161,170
"S01000337",841,567,213,61
"S01000338",495,361,98,36
"S01000339",1236,910,258,68
"S01000340",1058,843,138,77
"S01000341",1009,735,223,51
"S01000342",478,396,55,27
"S01000343",584,435,106,43
"S01000344",992,761,198,33
"S01000345",626,523,56,47
"S01000346",643,565,55,23
"S01000347",1606,1304,154,148
"S01000348",730,603,63,64
"S01000349",537,438,44,55
"S01000350",1082,894,102,86
"S01000351",939,748,107,84
"S01000352",699,596,64,39
"S01000353",508,417,58,33
"S01000354",1576,1238,215,123
"S01000355",615,507,74,34
"S01000356",642,475,106,61
"S01000357",580,484,66,30
"S01000358",889,726,117,46
"S01000359",836,629,117,90
"S01000360",536,372,144,20
"S01000361",678,535,108,35
"S01000362",971,772,107,92
"S01000363",1178,915,204,59
"S01000364",955,693,212,50
"S01000365",2070,1650,247,173
"S01000366",2125,1803,220,102
"S01000367",845,691,107,47
"S01000368",1286,1023,213,50
"S01000369",938,790,107,41
"S01000370",1511,1254,134,123
"S01000371",927,776,132,19
"S01000372",951,765,136,50
"S01000373",667,529,103,35
"S01000374",647,555,72,20
"S01000375",612,529,62,21
"S01000376",826,702,82,42
"S01000377",852,633,150,69
"S01000378",543,498,40,5
"S01000379",655,534,89,32
"S01000380",957,774,135,48
"S01000381",1621,1344,179,98
"S01000382",733,521,168,44
"S01000383",1166,994,109,63
