"dz_2001","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"S01001722",754,383,175,13,13,146,24
"S01001723",709,268,89,156,41,100,55
"S01001724",732,331,206,0,0,147,48
"S01001725",715,292,234,1,1,152,35
"S01001726",662,315,119,12,2,162,52
"S01001727",880,442,174,14,4,199,47
"S01001728",672,333,114,17,13,152,43
"S01001729",970,472,228,8,5,173,84
"S01001730",630,331,98,11,4,136,50
"S01001731",635,356,121,3,0,126,29
"S01001732",596,270,154,0,2,155,15
"S01001733",733,301,238,0,0,163,31
"S01001734",527,290,83,9,13,104,28
"S01001735",506,229,147,5,1,78,46
"S01001736",999,391,176,208,13,126,85
"S01001737",614,299,165,2,0,127,21
"S01001738",619,253,154,23,22,136,31
"S01001739",628,267,165,0,0,165,31
"S01001740",788,318,215,0,1,215,39
"S01001741",650,242,235,0,0,136,37
"S01001742",707,281,199,0,6,166,55
"S01001743",911,369,264,2,7,210,59
"S01001744",616,252,198,0,6,134,26
"S01001745",830,388,197,12,2,181,50
"S01001746",1019,510,200,43,23,189,54
"S01001747",874,370,289,0,0,171,44
"S01001748",640,355,99,8,5,138,35
"S01001749",761,382,180,1,0,162,36
"S01001750",731,330,184,0,2,195,20
"S01001751",914,372,254,0,5,237,46
"S01001752",994,518,172,12,24,231,37
"S01001753",851,299,268,0,0,228,56
"S01001754",820,344,197,75,16,144,44
"S01001755",918,364,206,42,67,155,84
"S01001756",653,387,97,10,12,113,34
"S01001757",762,324,191,4,10,185,48
"S01001758",766,419,107,27,5,168,40
"S01001759",609,204,184,1,0,189,31
"S01001760",698,248,282,2,0,134,32
"S01001761",691,259,224,2,0,140,66
"S01001762",987,402,177,103,70,175,60
"S01001763",840,430,161,14,15,180,40
"S01001764",530,209,109,7,50,125,30
"S01001765",993,360,362,1,0,213,57
"S01001766",696,288,141,46,45,152,24
"S01001767",628,315,135,22,17,124,15
"S01001768",617,267,144,8,16,150,32
"S01001769",718,319,128,29,81,125,36
"S01001770",542,185,186,0,2,136,33
"S01001771",804,307,159,63,81,140,54
"S01001772",539,196,77,94,40,80,52
"S01001773",956,437,175,5,32,231,76
"S01001774",631,256,138,28,18,153,38
"S01001775",751,386,192,8,11,114,40
"S01001776",613,274,179,1,3,124,32
"S01001777",924,358,260,1,19,241,45
"S01001778",904,267,383,0,4,159,91
"S01001779",538,224,101,67,17,84,45
"S01001780",807,350,186,10,23,184,54
"S01001781",669,269,154,21,50,118,57
"S01001782",936,384,270,34,44,157,47
"S01001783",638,175,197,0,2,184,80
"S01001784",587,195,105,45,84,97,61
"S01001785",679,352,139,0,0,153,35
"S01001786",629,298,157,0,3,156,15
"S01001787",642,351,170,3,8,94,16
"S01001788",874,450,176,0,0,207,41
"S01001789",531,216,140,0,5,142,28
"S01001790",762,446,44,0,7,237,28
"S01001791",748,437,59,0,0,218,34
"S01001792",736,452,50,1,1,207,25
"S01001793",851,483,38,3,5,277,45
"S01001794",924,534,85,1,3,269,32
"S01001795",875,343,55,0,1,221,255
"S01001796",813,481,70,0,1,228,33
"S01001797",701,429,55,0,2,184,31
"S01001798",909,519,77,4,7,251,51
"S01001799",1022,327,96,0,16,513,70
"S01001800",999,564,80,1,9,306,39
"S01001801",954,526,78,0,3,304,43
"S01001802",819,323,103,0,38,311,44
"S01001803",1003,424,129,1,43,353,53
"S01001804",1076,493,115,0,19,409,40
"S01001805",784,436,49,0,0,267,32
"S01001806",657,394,34,0,7,196,26
"S01001807",844,528,59,1,4,225,27
"S01001808",633,278,74,0,9,246,26
"S01001809",758,264,97,0,13,333,51
"S01001810",947,468,87,2,24,321,45
"S01001811",716,401,70,1,0,200,44
"S01001812",566,290,59,2,4,187,24
"S01001813",715,412,108,2,8,148,37
"S01001814",753,426,78,0,22,187,40
"S01001815",879,531,54,0,4,251,39
"S01001816",1076,640,60,2,0,332,42
"S01001817",694,291,97,0,14,249,43
"S01001818",767,423,93,0,11,196,44
"S01001819",1032,654,69,0,7,244,58
"S01001820",800,317,109,0,17,312,45
"S01001821",524,303,50,0,0,113,58
"S01001822",1014,493,135,0,18,321,47
"S01001823",798,339,111,0,23,259,66
"S01001824",780,391,108,0,5,229,47
"S01001825",815,382,89,0,21,263,60
"S01001826",571,198,100,0,5,205,63
"S01001827",922,384,98,1,0,345,94
"S01001828",791,403,88,1,31,232,36
"S01001829",705,366,47,0,10,222,60
"S01001830",936,508,69,0,33,290,36
"S01001831",765,408,96,0,5,227,29
"S01001832",677,294,97,1,0,265,20
"S01001833",969,529,94,0,1,300,45
"S01001834",576,287,67,0,2,185,35
"S01001835",645,342,67,0,17,176,43
"S01001836",740,444,60,0,1,207,28
"S01001837",938,510,83,6,8,285,46
"S01001838",583,265,76,0,5,204,33
"S01001839",956,399,124,1,7,390,35
"S01001840",736,458,37,0,6,213,22
"S01001841",740,304,119,0,31,261,25
"S01001842",814,373,114,0,18,263,46
"S01001843",755,311,106,1,9,273,55
"S01001844",2647,1194,295,0,61,851,246
"S01001845",848,433,63,0,38,266,48
"S01001846",943,469,87,2,24,327,34
"S01001847",823,339,111,1,2,288,82
"S01001848",788,387,88,0,5,257,51
"S01001849",631,336,89,1,0,176,29
"S01001850",784,341,129,0,7,274,33
"S01001851",786,366,75,0,17,282,46
"S01001852",808,477,66,0,18,224,23
"S01001853",776,425,60,2,4,253,32
"S01001854",1295,820,90,0,3,269,113
"S01001855",758,347,95,1,6,271,38
"S01001856",588,331,63,0,5,154,35
"S01001857",806,355,107,1,12,263,68
"S01001858",890,446,100,2,1,298,43
"S01001859",966,392,149,0,1,349,75
"S01001860",1074,586,86,0,9,328,65
"S01001861",895,382,104,0,5,347,57
"S01001862",909,508,88,0,28,252,33
"S01001863",916,460,104,0,12,314,26
"S01001864",894,309,99,0,50,342,94
"S01001865",707,220,55,0,30,323,79
"S01001866",704,375,65,0,8,234,22
"S01001867",548,216,61,0,11,213,47
"S01001868",673,330,99,3,13,198,30
"S01001869",845,420,99,0,13,262,51
"S01001870",733,263,93,0,1,345,31
"S01001871",864,400,135,0,18,278,33
"S01001872",809,383,108,1,5,273,39
"S01001873",809,425,97,2,14,231,40
"S01001874",720,192,63,0,24,359,82
"S01001875",880,465,85,0,7,298,25
"S01001876",1055,432,170,2,10,370,71
"S01001877",986,263,107,0,22,533,61
"S01001878",953,542,68,11,14,288,30
"S01001879",676,192,83,0,21,314,66
"S01001880",745,252,65,0,33,340,55
"S01001881",674,394,81,0,21,148,30
"S01001882",771,332,78,0,56,268,37
"S01001883",569,275,32,4,15,203,40
"S01001884",998,456,153,2,9,300,78
"S01001885",1098,639,87,1,15,285,71
"S01001886",548,233,41,0,5,209,60
"S01001887",795,404,38,0,3,306,44
"S01001888",907,487,114,0,29,255,22
"S01001889",577,274,52,3,32,173,43
"S01001890",927,424,84,0,27,346,46
"S01001891",665,261,122,0,4,210,68
"S01001892",769,279,71,0,5,354,60
"S01001893",973,452,93,0,6,376,46
"S01001894",739,245,81,1,9,357,46
"S01001895",756,296,118,5,7,244,86
"S01001896",844,382,82,0,0,348,32
"S01001897",884,283,87,2,5,443,64
"S01001898",590,292,49,0,8,204,37
"S01001899",796,380,79,0,12,281,44
"S01001900",783,416,92,1,6,212,56
"S01001901",982,520,94,2,2,306,58
"S01001902",902,417,115,0,5,303,62
"S01001903",588,196,115,0,6,222,49
"S01001904",637,307,74,0,0,221,35
"S01001905",920,426,67,2,14,355,56
"S01001906",429,191,68,0,3,138,29
"S01001907",794,323,157,0,11,238,65
"S01001908",884,359,141,10,32,285,57
"S01001909",669,254,66,0,11,297,41
"S01001910",766,350,55,0,11,307,43
"S01001911",760,355,58,3,0,306,38
"S01001912",793,372,93,0,1,300,27
"S01001913",983,530,97,0,5,317,34
"S01001914",603,310,69,6,7,184,27
"S01001915",849,489,86,0,2,246,26
"S01001916",815,336,94,4,8,317,56
"S01001917",724,384,52,3,10,232,43
"S01001918",866,383,96,2,9,334,42
"S01001919",908,473,91,2,2,304,36
"S01001920",720,347,80,1,21,219,52
"S01001921",602,336,84,0,0,154,28
"S01001922",782,398,41,0,4,312,27
"S01001923",341,147,50,0,21,101,22
"S01001924",729,343,85,5,8,252,36
"S01001925",807,384,77,4,29,268,45
"S01001926",644,235,77,0,9,269,54
"S01001927",913,468,75,8,0,290,72
"S01001928",1097,477,144,4,5,374,93
"S01001929",754,397,61,0,8,254,34
"S01001930",772,320,93,2,3,297,57
"S01001931",754,330,87,0,11,282,44
"S01001932",1338,587,200,1,10,411,129
"S01001933",866,451,68,0,18,277,52
"S01001934",793,377,98,0,30,238,50
"S01001935",720,214,112,0,2,308,84
"S01001936",945,454,80,3,29,323,56
"S01001937",900,439,100,0,20,285,56
"S01001938",595,225,81,4,10,214,61
"S01001939",475,147,54,0,5,223,46
"S01001940",740,317,71,4,20,276,52
"S01001941",947,441,83,6,26,340,51
"S01001942",562,247,78,0,4,194,39
"S01001943",621,257,70,0,22,229,43
"S01001944",680,362,83,2,3,197,33
"S01001945",729,384,79,2,10,227,27
"S01001946",838,269,96,0,10,359,104
"S01001947",843,458,61,6,12,249,57
"S01001948",766,224,71,0,2,396,73
"S01001949",724,302,71,0,13,265,73
"S01001950",907,377,141,2,18,311,58
"S01001951",833,379,133,1,22,243,55
"S01001952",764,297,70,0,15,325,57
"S01001953",795,342,85,0,6,309,53
"S01001954",447,236,33,0,6,146,26
"S01001955",800,390,70,0,8,280,52
"S01001956",789,249,109,0,12,338,81
"S01001957",292,86,38,1,0,146,21
"S01001958",876,379,169,0,6,264,58
"S01001959",624,326,52,0,7,216,23
"S01001960",879,332,82,0,29,382,54
"S01001961",955,368,71,3,10,456,47
"S01001962",833,344,109,0,44,245,91
"S01001963",766,314,112,3,14,247,76
"S01001964",778,372,64,0,2,306,34
"S01001965",830,408,90,0,7,237,88
"S01001966",773,247,90,0,20,322,94
"S01001967",675,248,44,0,11,324,48
"S01001968",836,430,68,6,22,274,36
"S01001969",648,303,74,0,16,230,25
"S01001970",614,296,47,3,8,227,33
"S01001971",774,383,84,0,10,244,53
"S01001972",765,266,66,0,1,397,35
"S01001973",704,319,83,0,2,264,36
"S01001974",797,309,78,2,31,319,58
"S01001975",845,420,76,4,8,270,67
"S01001976",753,305,64,2,26,292,64
"S01001977",783,386,65,0,32,236,64
"S01001978",741,263,96,0,10,294,78
"S01001979",630,263,51,5,8,270,33
"S01001980",685,239,64,1,8,330,43
"S01001981",724,257,98,2,8,309,50
"S01001982",302,97,41,0,1,126,37
"S01001983",765,269,62,10,10,361,53
"S01001984",531,180,54,1,7,256,33
"S01001985",777,352,67,1,4,308,45
"S01001986",622,262,63,0,3,267,27
"S01001987",825,310,80,4,11,333,87
"S01001988",794,378,61,2,2,312,39
"S01001989",879,439,120,5,8,241,66
"S01001990",999,378,110,15,17,388,91
"S01001991",792,368,63,0,15,302,44
"S01001992",916,387,130,3,18,319,59
"S01001993",761,284,66,9,42,302,58
"S01001994",845,294,59,0,5,430,57
"S01001995",687,332,53,0,3,276,23
"S01001996",867,277,107,4,13,378,88
"S01001997",744,377,70,0,17,227,53
"S01001998",716,295,63,0,17,311,30
"S01001999",748,219,89,5,8,331,96
"S01002000",762,307,91,0,35,271,58
"S01002001",766,300,71,0,23,325,47
"S01002002",738,235,75,5,28,339,56
"S01002003",827,420,119,1,6,241,40
"S01002004",799,284,94,2,16,347,56
"S01002005",796,427,73,0,2,228,66
"S01002006",938,356,115,1,25,385,56
"S01002007",934,317,88,2,9,443,75
"S01002008",863,314,87,5,10,372,75
"S01002009",799,291,87,2,8,345,66
"S01002010",514,194,50,1,11,223,35
"S01002011",1088,569,108,1,22,353,35
"S01002012",778,259,81,1,44,314,79
"S01002013",796,319,79,3,3,311,81
"S01002014",814,287,73,5,5,355,89
"S01002015",878,514,54,0,0,289,21
"S01002016",550,192,58,0,8,257,35
"S01002017",1069,408,134,0,7,433,87
"S01002018",832,502,91,1,3,206,29
"S01002019",788,240,77,1,33,351,86
"S01002020",431,115,47,1,2,212,54
"S01002021",965,471,110,0,5,323,56
"S01002022",765,422,70,0,1,224,48
"S01002023",760,224,68,5,16,390,57
"S01002024",745,241,69,0,18,369,48
"S01002025",828,261,82,1,26,386,72
"S01002026",680,415,54,0,0,184,27
"S01002027",1047,323,122,9,25,482,86
"S01002028",2692,1062,319,35,31,961,284
"S01002029",756,243,74,5,16,344,74
"S01002030",771,232,92,2,24,360,61
"S01002031",659,252,67,0,20,274,46
"S01002032",711,208,78,1,27,346,51
"S01002033",753,262,80,0,26,334,51
"S01002034",717,209,82,4,7,333,82
"S01002035",772,434,54,1,3,239,41
"S01002036",825,273,74,2,22,378,76
"S01002037",680,234,67,6,9,296,68
"S01002038",580,162,71,5,29,258,55
"S01002039",638,269,71,2,15,222,59
"S01002040",532,175,62,1,12,244,38
"S01002041",929,306,98,7,27,414,77
"S01002042",934,567,89,3,3,249,23
"S01002043",784,424,63,0,1,265,31
"S01002044",703,271,54,1,3,320,54
"S01002045",871,481,80,2,18,236,54
"S01002046",573,186,62,0,12,255,58
"S01002047",761,255,141,3,12,287,63
"S01002048",866,243,99,8,40,402,74
"S01002049",1096,314,111,6,21,543,101
"S01002050",710,329,120,1,23,201,36
"S01002051",818,375,117,1,1,264,60
"S01002052",752,219,80,1,7,366,79
"S01002053",760,219,107,1,23,344,66
"S01002054",595,240,65,5,31,202,52
"S01002055",902,418,123,0,10,307,44
"S01002056",942,510,72,0,6,288,66
"S01002057",858,441,74,0,1,309,33
"S01002058",668,236,93,0,24,259,56
"S01002059",711,212,64,2,35,339,59
"S01002060",742,226,97,4,14,323,78
"S01002061",663,206,61,2,13,317,64
"S01002062",625,257,105,0,5,226,32
"S01002063",984,310,125,2,23,415,109
"S01002064",803,301,80,0,11,348,63
"S01002065",764,231,97,2,10,373,51
"S01002066",703,228,76,5,28,304,62
"S01002067",809,441,60,2,17,240,49
"S01002068",896,273,111,3,21,383,105
"S01002069",600,306,56,1,0,191,46
"S01002070",662,219,82,4,40,253,64
"S01002071",605,168,81,2,8,269,77
"S01002072",1099,529,93,0,0,416,61
"S01002073",634,188,69,2,31,286,58
"S01002074",660,389,76,0,5,167,23
"S01002075",876,375,89,0,11,338,63
"S01002076",838,247,103,5,24,389,70
"S01002077",839,494,37,1,6,216,85
"S01002078",862,510,64,0,6,240,42
"S01002079",751,260,78,7,11,336,59
"S01002080",979,480,149,1,23,273,53
"S01002081",697,215,65,1,13,345,58
"S01002082",835,410,89,0,6,289,41
"S01002083",544,258,76,0,0,173,37
"S01002084",554,169,62,0,41,224,58
"S01002085",654,231,69,3,14,260,77
"S01002086",547,179,66,5,21,203,73
"S01002087",935,323,125,4,28,362,93
"S01002088",908,409,118,1,4,331,45
"S01002089",991,536,102,0,1,305,47
"S01002090",1076,582,121,1,5,315,52
"S01002091",796,211,123,1,18,353,90
"S01002092",1004,615,97,1,1,251,39
"S01002093",767,188,115,2,20,379,63
"S01002094",742,355,65,1,10,257,54
"S01002095",572,346,65,5,5,117,34
"S01002096",832,484,75,0,10,212,51
"S01002097",801,443,119,0,10,192,37
"S01002098",707,351,87,1,15,198,55
"S01002099",851,295,81,2,39,353,81
"S01002100",596,267,90,0,2,216,21
"S01002101",900,264,118,1,52,403,62
"S01002102",655,260,92,0,4,223,76
"S01002103",744,424,69,0,14,214,23
"S01002104",1031,313,166,5,57,378,112
"S01002105",1021,624,99,8,0,256,34
"S01002106",965,251,113,5,16,370,210
"S01002107",546,304,63,0,7,148,24
"S01002108",959,232,119,9,15,449,135
"S01002109",866,238,112,3,26,379,108
"S01002110",687,371,56,1,2,219,38
"S01002111",1023,591,102,0,8,294,28
"S01002112",1044,443,114,4,4,409,70
"S01002113",762,490,55,0,12,180,25
"S01002114",715,369,84,1,6,231,24
"S01002115",1055,460,102,4,3,407,79
"S01002116",804,346,91,0,1,297,69
"S01002117",631,200,92,4,4,284,47
"S01002118",895,258,123,5,15,349,145
"S01002119",602,282,67,1,4,192,56
"S01002120",762,386,61,1,16,272,26
"S01002121",705,334,89,0,0,215,67
"S01002122",986,679,62,3,1,179,62
"S01002123",1268,676,139,0,14,375,64
"S01002124",763,359,112,1,14,235,42
"S01002125",1093,438,110,3,6,479,57
"S01002126",669,328,100,0,11,203,27
"S01002127",728,273,109,1,4,294,47
"S01002128",738,240,85,4,8,287,114
"S01002129",835,339,122,6,15,265,88
"S01002130",656,347,83,0,37,146,43
"S01002131",652,204,95,3,7,257,86
"S01002132",790,370,107,1,8,265,39
"S01002133",1096,492,121,1,7,398,77
"S01002134",618,365,38,0,4,170,41
"S01002135",863,527,37,4,8,244,43
"S01002136",705,311,86,3,4,266,35
"S01002137",885,446,74,0,18,318,29
"S01002138",628,327,67,0,15,154,65
"S01002139",703,328,80,1,23,245,26
"S01002140",906,404,75,0,4,342,81
"S01002141",688,181,109,0,12,306,80
"S01002142",1050,585,109,0,1,303,52
"S01002143",763,456,78,0,21,180,28
"S01002144",721,453,44,3,4,179,38
"S01002145",976,459,92,6,5,350,64
"S01002146",913,333,119,2,15,370,74
"S01002147",965,445,79,0,10,361,70
"S01002148",864,446,104,5,19,235,55
"S01002149",1022,390,149,0,6,366,111
"S01002150",689,243,104,0,17,291,34
"S01002151",1106,334,132,1,16,541,82
"S01002152",821,396,57,4,9,311,44
"S01002153",540,276,66,1,3,154,40
"S01002154",895,425,131,0,4,274,61
"S01002155",1012,331,114,0,31,373,163
"S01002156",759,296,89,2,16,296,60
"S01002157",816,397,87,1,3,282,46
"S01002158",771,341,53,5,3,315,54
"S01002159",754,320,73,2,15,278,66
"S01002160",791,287,79,0,14,338,73
"S01002161",710,242,81,6,9,309,63
"S01002162",1018,463,92,0,23,391,49
"S01002163",1003,333,97,0,12,487,74
"S01002164",854,475,66,0,0,288,25
"S01002165",957,465,84,0,32,333,43
"S01002166",804,356,78,2,7,298,63
"S01002167",660,308,91,0,0,216,45
"S01002168",1005,399,99,3,2,428,74
"S01002169",783,362,74,2,12,278,55
"S01002170",871,498,85,1,12,243,32
"S01002171",624,302,115,0,4,184,19
"S01002172",736,411,103,0,5,171,46
"S01002173",953,516,64,1,4,326,42
"S01002174",913,316,91,2,19,421,64
"S01002175",973,356,100,1,18,417,81
"S01002176",800,479,69,0,0,210,42
"S01002177",790,366,55,3,10,326,30
"S01002178",916,340,105,2,3,410,56
"S01002179",692,369,97,0,2,195,29
"S01002180",504,158,62,4,7,225,48
"S01002181",762,277,94,0,4,324,63
"S01002182",731,224,73,2,13,347,72
"S01002183",842,296,72,0,14,397,63
"S01002184",792,429,66,0,25,245,27
"S01002185",802,316,111,1,10,296,68
"S01002186",737,234,96,1,6,342,58
"S01002187",903,332,119,1,8,366,77
"S01002188",783,404,62,2,18,270,27
"S01002189",732,220,95,0,23,322,72
"S01002190",780,222,128,1,45,307,77
"S01002191",801,329,120,0,3,275,74
"S01002192",866,419,84,0,14,308,41
"S01002193",916,487,61,0,22,310,36
"S01002194",744,391,68,0,11,238,36
"S01002195",909,369,98,2,2,375,63
"S01002196",667,282,76,2,23,235,49
"S01002197",566,200,72,0,3,232,59
"S01002198",852,250,96,0,13,401,92
"S01002199",745,207,92,3,22,336,85
"S01002200",795,497,55,0,0,205,38
"S01002201",888,298,88,2,4,410,86
"S01002202",688,181,76,8,34,310,79
"S01002203",475,143,42,2,30,218,40
"S01002204",711,276,143,1,7,214,70
"S01002205",767,309,87,2,7,313,49
"S01002206",546,177,50,0,17,253,49
"S01002207",844,443,63,0,10,252,76
"S01002208",557,176,77,1,6,247,50
"S01002209",916,269,128,0,18,422,79
"S01002210",610,240,65,2,0,269,34
"S01002211",570,225,117,2,8,167,51
"S01002212",1012,393,155,0,12,343,109
"S01002213",829,423,53,0,4,308,41
"S01002214",768,266,55,3,2,379,63
"S01002215",995,568,89,4,9,246,79
"S01002216",774,280,90,0,8,330,66
"S01002217",914,353,96,3,25,367,70
"S01002218",556,177,58,1,20,269,31
"S01002219",672,340,35,2,22,222,51
"S01002220",792,441,68,3,17,230,33
"S01002221",767,257,91,1,9,340,69
"S01002222",836,485,87,0,12,222,30
"S01002223",719,365,74,0,24,218,38
"S01002224",746,462,41,2,35,168,38
"S01002225",721,215,95,0,26,310,75
"S01002226",1037,398,109,4,26,433,67
"S01002227",835,342,141,2,9,265,76
"S01002228",978,505,138,0,35,241,59
"S01002229",785,476,47,0,33,177,52
"S01002230",972,344,99,1,8,426,94
"S01002231",1136,528,84,1,13,384,126
"S01002232",715,364,80,2,2,209,58
"S01002233",931,258,106,5,43,446,73
"S01002234",783,313,97,0,4,305,64
"S01002235",968,363,96,2,20,421,66
"S01002236",907,359,114,0,3,372,59
"S01002237",1103,510,140,1,16,387,49
"S01002238",567,259,97,0,4,164,43
"S01002239",939,271,151,0,28,344,145
"S01002240",748,272,100,1,31,277,67
"S01002241",890,403,78,0,8,341,60
"S01002242",788,436,83,1,4,199,65
"S01002243",767,230,91,1,37,321,87
"S01002244",724,263,98,0,14,288,61
"S01002245",949,340,124,1,30,381,73
"S01002246",834,340,77,0,10,341,66
"S01002247",866,345,94,0,6,349,72
"S01002248",1169,572,136,3,32,361,65
"S01002249",784,345,107,0,7,264,61
"S01002250",973,438,75,0,11,388,61
"S01002251",744,445,68,0,1,196,34
"S01002252",607,336,42,0,3,185,41
"S01002253",1005,465,113,0,6,363,58
"S01002254",788,249,88,1,13,347,90
"S01002255",1039,346,131,2,17,463,80
"S01002256",768,366,95,1,13,252,41
"S01002257",713,318,79,0,6,260,50
"S01002258",777,257,73,0,52,314,81
"S01002259",537,253,104,0,0,162,18
"S01002260",853,482,77,0,11,228,55
"S01002261",1022,533,116,1,1,285,86
"S01002262",789,459,51,2,25,228,24
"S01002263",794,480,45,2,15,220,32
"S01002264",867,318,120,0,14,360,55
"S01002265",1038,372,107,0,16,499,44
"S01002266",592,207,75,1,13,245,51
"S01002267",972,321,113,0,6,452,80
"S01002268",715,418,51,0,5,205,36
"S01002269",910,423,105,2,0,327,53
"S01002270",914,276,122,1,25,415,75
"S01002271",853,418,113,0,0,286,36
"S01002272",560,204,66,0,12,247,31
"S01002273",792,269,97,2,6,357,61
"S01002274",719,283,71,1,6,276,82
"S01002275",897,328,71,0,14,408,76
"S01002276",813,502,65,0,5,189,52
"S01002277",781,308,64,3,13,330,63
"S01002278",1064,317,124,0,3,507,113
"S01002279",961,285,127,0,11,427,111
"S01002280",797,371,70,1,19,287,49
"S01002281",709,235,48,0,3,343,80
"S01002282",341,122,38,0,2,146,33
"S01002283",744,386,67,0,10,220,61
"S01002284",1023,475,134,0,4,367,43
"S01002285",782,303,110,0,4,306,59
"S01002286",783,314,94,0,8,314,53
"S01002287",772,379,87,0,0,266,40
"S01002288",749,236,93,1,7,349,63
"S01002289",799,357,81,0,21,262,78
"S01002290",795,292,95,0,14,351,43
"S01002291",838,294,82,0,3,399,60
"S01002292",810,272,82,0,27,340,89
"S01002293",874,384,96,0,2,343,49
"S01002294",632,338,53,0,9,210,22
"S01002295",758,392,60,3,11,246,46
"S01002297",929,506,97,0,4,279,43
"S01002298",744,287,66,1,21,267,102
"S01002299",841,464,79,2,5,262,29
"S01002300",792,450,109,0,1,207,25
"S01002301",860,365,72,0,12,343,68
"S01002302",749,279,55,0,13,339,63
"S01002303",832,338,113,0,1,357,23
"S01002304",798,238,107,0,11,395,47
"S01002305",834,282,85,0,15,396,56
"S01002306",475,202,50,2,15,174,32
"S01002307",634,199,76,2,2,302,53
"S01002308",911,445,103,2,1,315,45
"S01002309",741,312,71,0,1,284,73
"S01002310",848,339,104,0,16,318,71
"S01002311",731,413,80,4,0,204,30
"S01002312",653,285,58,0,8,272,30
"S01002313",737,329,71,0,3,272,62
"S01002314",831,400,88,0,1,300,42
"S01002315",558,314,52,0,1,145,46
"S01002316",751,463,49,1,11,203,24
"S01002317",879,339,114,1,3,367,55
"S01002318",845,319,93,1,8,358,66
"S01002319",1105,493,128,2,9,418,55
"S01002320",638,306,74,1,0,228,29
"S01002321",892,265,114,0,11,443,59
"S01002322",689,276,81,0,0,296,36
"S01002323",785,380,75,5,3,279,43
"S01002324",761,269,85,0,3,334,70
"S01002325",577,269,72,0,1,206,29
"S01002326",827,326,88,1,8,347,57
"S01002327",682,387,54,0,0,201,40
"S01002328",765,361,101,4,9,244,46
"S01002329",708,351,56,0,2,266,33
"S01002330",798,392,105,0,1,246,54
"S01002331",709,401,84,0,5,181,38
"S01002332",958,445,155,1,2,315,40
"S01002333",834,435,84,0,4,277,34
"S01002334",827,428,98,2,1,266,32
"S01002335",983,516,121,0,4,301,41
"S01002336",1019,548,124,1,9,293,44
"S01002337",977,482,123,1,6,330,35
"S01002338",579,215,71,1,1,264,27
"S01002339",632,73,494,0,0,41,24
"S01002340",540,50,435,0,0,34,21
"S01002341",560,72,459,0,0,20,9
"S01002342",614,107,455,0,0,33,19
"S01002343",777,174,517,0,0,64,22
"S01002344",532,169,299,1,0,47,16
"S01002345",717,350,235,1,0,101,30
"S01002346",921,710,54,0,0,106,51
"S01002347",736,562,35,0,2,94,43
"S01002348",958,839,15,0,0,74,30
"S01002349",960,813,15,0,8,81,43
"S01002350",965,749,13,0,1,130,72
"S01002351",652,483,21,0,0,117,31
"S01002352",849,668,11,0,0,119,51
"S01002353",745,581,12,1,0,109,42
"S01002354",782,632,20,0,0,93,37
"S01002355",881,698,19,0,0,120,44
"S01002356",774,580,30,1,13,114,36
"S01002357",710,559,15,1,8,101,26
"S01002358",530,408,9,0,0,78,35
"S01002359",948,797,27,1,6,75,42
"S01002360",717,600,16,0,11,76,14
"S01002361",606,484,23,0,9,56,34
"S01002362",691,545,29,0,0,98,19
"S01002363",928,649,28,0,0,120,131
"S01002364",748,580,34,0,0,94,40
"S01002365",544,411,11,0,0,91,31
"S01002366",559,407,10,0,0,63,79
"S01002367",871,721,12,0,0,97,41
"S01002368",867,682,22,0,0,102,61
"S01002369",528,436,8,0,1,61,22
"S01002370",724,584,11,1,0,100,28
"S01002371",644,538,13,0,0,69,24
"S01002372",798,699,9,0,0,69,21
"S01002373",631,505,17,0,0,80,29
"S01002374",710,585,9,0,0,88,28
"S01002375",895,550,64,0,4,227,50
"S01002376",868,448,53,2,1,291,73
"S01002377",850,538,67,0,0,195,50
"S01002378",556,316,47,1,0,157,35
"S01002379",945,515,49,0,0,301,80
"S01002380",702,424,14,0,4,207,53
"S01002381",829,390,69,1,9,277,83
"S01002382",666,315,48,0,10,224,69
"S01002383",544,300,64,0,14,137,29
"S01002384",554,262,59,0,1,206,26
"S01002385",819,432,64,0,0,294,29
"S01002386",995,569,82,0,4,296,44
"S01002387",617,312,87,0,4,181,33
"S01002388",824,485,92,0,1,205,41
"S01002389",746,487,45,1,12,150,51
"S01002390",735,410,111,0,0,186,28
"S01002391",883,530,103,0,0,221,29
"S01002392",897,520,53,0,3,275,46
"S01002393",520,332,41,0,0,128,19
"S01002394",662,362,96,0,4,183,17
"S01002395",768,404,58,0,0,287,19
"S01002396",754,464,67,0,7,190,26
"S01002397",1120,599,142,0,7,335,37
"S01002398",834,500,76,0,1,238,19
"S01002399",1017,566,115,0,2,289,45
"S01002400",887,477,98,0,3,276,33
"S01002401",964,508,98,0,4,310,44
"S01002402",895,366,118,0,39,303,69
"S01002403",773,300,120,0,33,261,59
"S01002404",990,570,100,0,4,267,49
"S01002405",777,476,60,0,17,195,29
"S01002406",790,383,119,0,16,242,30
"S01002407",803,397,103,0,0,236,67
"S01002408",885,476,78,0,7,267,57
"S01002409",715,463,45,0,0,153,54
"S01002410",532,260,52,0,7,178,35
"S01002411",667,311,145,0,10,171,30
"S01002412",1006,478,174,0,5,301,48
"S01002413",703,399,43,0,8,228,25
"S01002414",613,310,39,0,0,241,23
"S01002415",773,341,183,0,10,172,67
"S01002416",533,321,49,0,0,143,20
"S01002417",722,445,54,0,0,178,45
