"dz_2001","total","employed","unemployed","student","retired","homemaker","sick","inactive_other"
"S01000001",692,486,13,44,84,28,26,11
"S01000002",484,402,11,20,16,17,8,10
"S01000003",655,543,11,45,34,12,8,2
"S01000004",472,395,9,21,37,4,4,2
"S01000005",530,411,8,29,49,18,7,8
"S01000006",455,279,10,34,77,19,30,6
"S01000007",551,322,16,51,122,18,17,5
"S01000008",420,300,14,17,60,11,7,11
"S01000009",520,387,14,24,68,13,7,7
"S01000010",443,329,6,20,63,9,10,6
"S01000011",709,441,8,90,100,56,3,11
"S01000012",1113,812,22,83,120,52,12,12
"S01000013",640,429,6,49,107,21,18,10
"S01000014",705,506,13,56,90,22,15,3
"S01000015",543,453,3,29,29,13,10,6
"S01000016",423,254,2,61,66,23,5,12
"S01000017",690,524,11,31,93,9,18,4
"S01000018",414,305,10,17,59,13,7,3
"S01000019",417,261,2,29,82,22,14,7
"S01000020",618,358,16,53,82,33,55,21
"S01000021",669,464,23,49,89,16,17,11
"S01000022",464,288,7,48,81,29,2,9
"S01000023",537,351,6,58,79,34,5,4
"S01000024",340,237,3,37,26,31,3,3
"S01000025",625,399,8,65,82,50,16,5
"S01000026",625,376,28,29,100,29,52,11
"S01000027",566,349,12,56,116,25,4,4
"S01000028",654,421,34,41,83,25,40,10
"S01000029",497,320,6,61,49,56,2,3
"S01000030",328,219,11,20,42,8,20,8
"S01000031",655,430,13,55,115,35,4,3
"S01000032",772,510,15,42,127,29,42,7
"S01000033",548,354,30,33,78,22,20,11
"S01000034",897,598,14,78,126,69,1,11
"S01000035",805,410,25,198,109,23,26,14
"S01000036",496,288,22,73,54,22,31,6
"S01000037",584,405,20,39,76,14,22,8
"S01000038",538,328,17,47,88,21,27,10
"S01000039",676,390,36,134,65,16,28,7
"S01000040",695,471,19,43,100,20,28,14
"S01000041",618,384,13,48,129,15,23,6
"S01000042",618,347,26,99,68,16,42,20
"S01000043",696,425,23,134,66,26,13,9
"S01000044",718,377,37,126,88,28,47,15
"S01000045",410,278,9,26,74,14,5,4
"S01000046",538,344,5,28,130,23,5,3
"S01000047",648,405,18,94,65,17,35,14
"S01000048",723,507,9,63,94,31,11,8
"S01000049",521,348,4,44,102,14,4,5
"S01000050",519,331,7,59,89,14,13,6
"S01000051",526,355,11,27,103,26,3,1
"S01000052",459,273,26,24,54,24,45,13
"S01000053",798,571,14,73,99,20,14,7
"S01000054",513,353,9,22,97,20,5,7
"S01000055",568,340,43,49,52,27,36,21
"S01000056",727,479,10,70,112,35,14,7
"S01000057",503,286,26,46,53,31,41,20
"S01000058",539,377,6,53,76,23,2,2
"S01000059",766,558,10,57,83,41,5,12
"S01000060",445,263,32,22,28,32,39,29
"S01000061",707,451,7,41,150,35,9,14
"S01000062",871,635,27,100,67,28,5,9
"S01000063",663,475,7,44,87,44,4,2
"S01000064",510,352,16,36,61,13,19,13
"S01000065",847,600,27,91,82,17,17,13
"S01000066",857,501,38,71,58,11,41,137
"S01000067",759,541,17,51,111,15,11,13
"S01000068",606,409,8,71,75,28,8,7
"S01000069",548,360,22,39,63,20,32,12
"S01000070",485,313,26,34,56,19,23,14
"S01000071",624,384,36,50,62,25,47,20
"S01000072",638,393,25,43,110,37,23,7
"S01000073",470,299,6,40,87,20,9,9
"S01000074",603,350,40,51,53,37,47,25
"S01000075",446,301,8,61,56,10,5,5
"S01000076",503,323,5,35,122,12,3,3
"S01000077",721,511,19,72,66,29,15,9
"S01000078",954,666,66,113,21,22,38,28
"S01000079",1277,985,21,171,43,33,8,16
"S01000080",882,673,22,100,54,18,8,7
"S01000081",670,453,13,58,99,34,0,13
"S01000082",711,477,33,29,90,25,42,15
