dz_2001,total,owned,social,rented,rentfree
S01000001,852,621,74,146,11
S01000002,678,628,9,39,2
S01000003,788,709,18,56,5
S01000004,612,555,3,48,6
S01000005,643,546,31,62,4
S01000006,577,401,132,38,6
S01000007,749,636,64,45,4
S01000008,580,430,109,37,4
S01000009,681,609,54,18,0
S01000010,514,485,3,20,6
S01000011,940,759,19,150,12
S01000012,1528,1332,73,110,13
S01000013,836,591,194,45,6
S01000014,881,779,64,28,10
S01000015,669,607,8,52,2
S01000016,467,378,12,45,32
S01000017,848,693,94,53,8
S01000018,520,460,44,16,0
S01000019,568,506,5,53,4
S01000020,711,534,18,131,28
S01000021,861,690,135,33,3
S01000022,627,563,3,57,4
S01000023,762,629,25,101,7
S01000024,496,398,11,76,11
S01000025,807,741,10,39,17
S01000026,820,414,352,50,4
S01000027,798,681,38,75,4
S01000028,919,536,330,47,6
S01000029,729,522,2,205,0
S01000030,449,267,159,23,0
S01000031,941,805,15,117,4
S01000032,1063,642,361,40,20
S01000033,802,384,377,37,4
S01000034,1237,1046,17,166,8
S01000035,981,479,271,223,8
S01000036,674,282,277,106,9
S01000037,705,437,185,79,4
S01000038,675,478,161,29,7
S01000039,902,409,343,146,4
S01000040,932,626,269,30,7
S01000041,818,632,117,52,17
S01000042,748,356,264,119,9
S01000043,892,390,169,313,20
S01000044,955,349,418,184,4
S01000045,569,542,9,17,1
S01000046,754,686,17,42,9
S01000047,805,385,188,221,11
S01000048,960,779,16,147,18
S01000049,713,635,19,53,6
S01000050,703,558,10,127,8
S01000051,797,754,12,27,4
S01000052,627,279,325,14,9
S01000053,1058,644,157,246,11
S01000054,801,665,80,54,2
S01000055,724,222,465,34,3
S01000056,1014,865,60,76,13
S01000057,699,212,435,51,1
S01000058,694,620,3,67,4
S01000059,957,716,5,219,17
S01000060,634,92,512,30,0
S01000061,1000,828,12,148,12
S01000062,1038,706,24,301,7
S01000063,910,781,12,103,14
S01000064,623,354,156,97,16
S01000065,1002,647,126,220,9
S01000066,806,355,174,269,8
S01000067,1065,822,52,179,12
S01000068,851,676,11,146,18
S01000069,718,260,370,80,8
S01000070,658,293,315,48,2
S01000071,812,190,532,82,8
S01000072,907,605,206,89,7
S01000073,626,588,0,35,3
S01000074,870,106,735,29,0
S01000075,539,270,72,188,9
S01000076,721,679,3,33,6
S01000077,909,686,11,194,18
S01000078,1097,332,225,536,4
S01000079,1422,825,18,567,12
S01000080,1013,611,30,360,12
S01000081,889,758,11,106,14
S01000082,904,360,436,98,10
S01000083,772,541,12,198,21
S01000084,843,304,261,262,16
S01000085,513,243,25,237,8
S01000086,678,404,32,239,3
S01000087,1020,730,25,251,14
S01000088,916,433,52,409,22
S01000089,909,822,2,66,19
S01000090,769,459,17,270,23
S01000091,1032,511,63,436,22
S01000092,906,367,22,505,12
S01000093,705,402,42,252,9
S01000094,712,264,23,410,15
S01000095,712,432,23,245,12
S01000096,690,344,278,59,9
S01000097,977,742,19,183,33
S01000098,1168,380,174,605,9
S01000099,811,675,24,106,6
S01000100,797,247,100,440,10
S01000101,886,616,38,214,18
S01000102,795,255,269,256,15
S01000103,628,299,21,300,8
