dz_2001,total,none,one,two,three,four,numcar
S01000001,424,73,197,116,29,9,556
S01000002,265,11,139,105,9,1,380
S01000003,337,21,189,91,27,9,489
S01000004,259,17,139,83,15,5,370
S01000005,340,38,191,85,20,6,445
S01000006,256,51,121,61,16,7,319
S01000007,315,33,131,112,30,9,488
S01000008,274,58,132,72,10,2,314
S01000009,297,53,126,92,21,5,395
S01000010,246,29,116,80,14,7,349
S01000011,339,12,84,183,44,16,648
S01000012,554,34,207,252,45,16,919
S01000013,364,66,153,119,18,8,477
S01000014,372,46,189,107,23,7,506
S01000015,292,22,163,88,16,3,401
S01000016,185,11,63,79,21,11,342
S01000017,390,77,192,102,15,4,459
S01000018,235,28,139,62,4,2,283
S01000019,230,19,98,84,23,6,361
S01000020,314,58,115,106,22,13,451
S01000021,373,87,172,95,17,2,422
S01000022,247,8,77,122,33,7,459
S01000023,271,8,82,137,33,11,512
S01000024,170,6,39,90,31,4,331
S01000025,281,1,83,142,41,14,547
S01000026,385,158,174,45,6,2,290
S01000027,339,18,159,123,32,7,530
S01000028,425,165,195,52,12,1,339
S01000029,222,3,46,134,27,12,443
S01000030,212,79,94,29,7,3,185
S01000031,427,57,185,154,24,7,594
S01000032,490,160,236,80,11,3,441
S01000033,409,183,187,34,5,0,270
S01000034,461,16,144,222,59,20,858
S01000035,433,142,211,65,8,7,394
S01000036,286,104,134,37,9,2,243
S01000037,359,104,183,55,15,2,346
S01000038,291,76,137,70,6,2,303
S01000039,439,185,186,58,6,4,338
S01000040,385,122,193,53,12,5,355
S01000041,390,101,164,108,13,4,440
S01000042,356,129,177,34,14,2,296
S01000043,496,191,241,58,6,0,375
S01000044,429,188,185,45,9,2,313
S01000045,240,22,112,85,18,3,348
S01000046,341,32,176,109,20,4,470
S01000047,499,212,227,55,4,1,353
S01000048,451,70,233,131,15,2,551
S01000049,330,40,159,121,8,2,434
S01000050,337,75,162,82,16,2,382
S01000051,363,46,174,121,18,4,486
S01000052,256,121,92,35,7,1,187
S01000053,587,190,279,97,17,4,540
S01000054,392,96,157,119,17,3,458
S01000055,315,150,128,29,5,3,214
S01000056,403,39,124,172,44,24,702
S01000057,288,134,130,19,4,1,184
S01000058,305,26,135,123,18,3,447
S01000059,435,34,239,139,21,2,588
S01000060,291,165,103,21,2,0,151
S01000061,496,61,272,132,21,10,642
S01000062,564,141,308,98,12,5,562
S01000063,398,51,208,120,11,8,514
S01000064,288,97,131,53,6,1,259
S01000065,572,170,300,92,7,3,520
S01000066,481,233,194,44,9,1,313
S01000067,586,149,293,113,24,7,632
S01000068,414,102,187,111,13,1,452
S01000069,377,203,135,33,5,1,220
S01000070,289,115,133,37,4,0,219
S01000071,423,226,169,27,1,0,226
S01000072,442,119,177,113,21,12,516
S01000073,262,16,104,117,14,11,433
S01000074,386,206,151,28,1,0,210
S01000075,345,122,174,46,3,0,275
