"dz_2001","total","employed","unemployed","student","retired","homemaker","sick","inactive_other"
"S01000126",688,346,22,149,77,10,56,28
"S01000127",589,405,9,62,79,21,3,10
"S01000128",1477,487,34,821,27,4,71,33
"S01000129",525,222,12,272,3,6,3,7
"S01000130",730,406,19,142,74,16,44,29
"S01000131",516,376,7,54,52,12,7,8
"S01000132",679,457,10,123,40,17,21,11
"S01000133",542,339,19,20,86,22,37,19
"S01000134",541,303,23,26,81,40,47,21
"S01000135",583,284,22,56,79,31,71,40
"S01000136",487,267,24,32,68,36,30,30
"S01000137",673,434,11,129,28,22,35,14
"S01000138",748,376,24,233,36,13,45,21
"S01000139",613,347,16,28,136,14,53,19
"S01000140",744,486,19,47,99,19,44,30
"S01000141",730,447,9,106,106,28,16,18
"S01000142",546,298,22,28,72,48,56,22
"S01000143",476,290,3,34,87,47,9,6
"S01000144",520,254,18,212,6,6,15,9
"S01000145",662,394,21,19,124,15,60,29
"S01000146",857,451,49,177,34,22,94,30
"S01000147",604,371,13,120,14,9,53,24
"S01000148",467,232,15,20,68,51,49,32
"S01000149",927,450,31,274,89,18,41,24
"S01000150",432,261,20,9,70,26,25,21
"S01000151",629,301,17,23,176,31,47,34
"S01000152",854,475,14,123,84,22,114,22
"S01000153",458,228,19,101,43,14,30,23
"S01000154",452,256,11,18,104,11,32,20
"S01000155",579,333,8,32,122,18,40,26
"S01000156",809,340,35,276,27,38,62,31
"S01000157",488,235,15,25,116,17,52,28
"S01000158",668,385,17,35,125,25,48,33
"S01000159",686,502,11,48,34,57,22,12
"S01000160",628,370,25,29,101,28,49,26
"S01000161",842,420,11,327,46,17,11,10
"S01000162",670,360,23,67,120,40,32,28
"S01000163",771,458,21,26,143,34,54,35
"S01000164",352,177,4,31,88,6,31,15
"S01000165",637,334,26,61,91,25,65,35
"S01000166",1034,458,13,420,64,20,37,22
"S01000167",526,296,16,29,82,22,53,28
"S01000168",709,433,29,30,96,34,55,32
"S01000169",599,341,11,28,116,20,57,26
"S01000170",910,439,13,321,70,19,29,19
"S01000171",635,545,12,26,8,34,3,7
"S01000172",364,231,7,19,72,17,13,5
"S01000173",570,325,16,53,86,21,37,32
"S01000174",586,433,7,32,23,69,9,13
"S01000175",470,268,14,123,16,14,26,9
"S01000176",684,264,9,335,36,8,15,17
"S01000177",466,297,2,79,52,17,8,11
"S01000178",560,338,15,31,66,30,51,29
"S01000179",519,243,17,46,88,27,64,34
"S01000180",502,301,12,30,73,23,43,20
"S01000181",464,269,20,24,43,38,36,34
"S01000182",648,398,20,32,71,35,64,28
"S01000183",798,332,38,243,28,49,57,51
"S01000184",633,349,9,84,108,29,39,15
"S01000185",637,299,27,66,103,29,65,48
"S01000186",665,349,26,50,163,21,39,17
"S01000187",499,296,20,23,70,30,43,17
"S01000188",982,255,13,465,142,15,71,21
"S01000189",426,221,24,21,39,43,44,34
"S01000190",656,392,18,38,93,38,44,33
"S01000191",891,394,12,296,111,19,34,25
"S01000192",599,254,26,152,59,35,45,28
"S01000193",581,358,21,28,61,29,53,31
"S01000194",553,240,36,126,24,49,40,38
"S01000195",576,300,41,60,62,30,59,24
"S01000196",572,291,32,32,33,83,59,42
"S01000197",461,282,21,31,58,22,29,18
"S01000198",530,271,29,35,68,37,56,34
"S01000199",487,207,36,58,36,54,52,44
