"dz_2001","total","owned","social","rented","rentfree"
"S01000001",747,582,74,83,8
"S01000002",687,653,3,23,8
"S01000003",838,820,3,14,1
"S01000004",641,611,0,24,6
"S01000005",663,571,63,23,6
"S01000006",593,408,152,22,11
"S01000007",708,611,61,23,13
"S01000008",584,402,159,13,10
"S01000009",706,592,94,17,3
"S01000010",568,549,1,17,1
"S01000011",877,722,34,90,31
"S01000012",814,792,14,8,0
"S01000013",898,617,242,30,9
"S01000014",919,788,93,28,10
"S01000015",655,629,1,23,2
"S01000016",560,370,0,55,135
"S01000017",937,785,130,11,11
"S01000018",577,497,68,8,4
"S01000019",531,514,0,17,0
"S01000020",805,550,57,85,113
"S01000021",862,628,129,51,54
"S01000022",663,609,3,50,1
"S01000023",805,703,7,85,10
"S01000024",488,425,14,48,1
"S01000025",850,747,7,42,54
"S01000026",930,453,434,8,35
"S01000027",815,705,50,49,11
"S01000028",969,521,393,7,48
"S01000029",742,558,16,135,33
"S01000030",500,253,233,3,11
"S01000031",866,774,23,62,7
"S01000032",1089,672,370,7,40
"S01000033",796,279,455,14,48
"S01000034",925,848,7,65,5
"S01000035",1009,565,342,69,33
"S01000036",702,283,383,18,18
"S01000037",736,476,190,45,25
"S01000038",682,461,192,10,19
"S01000039",942,406,464,52,20
"S01000040",970,614,325,7,24
"S01000041",827,671,112,21,23
"S01000042",790,407,315,33,35
"S01000043",837,478,193,143,23
"S01000044",946,411,464,32,39
"S01000045",581,556,8,5,12
"S01000046",763,739,6,10,8
"S01000047",751,398,254,73,26
"S01000048",925,839,20,62,4
"S01000049",737,688,4,35,10
"S01000050",588,554,15,14,5
"S01000051",788,756,5,25,2
"S01000052",677,292,368,3,14
"S01000053",971,700,137,121,13
"S01000054",777,652,89,30,6
"S01000055",711,279,398,5,29
"S01000056",1049,884,74,72,19
"S01000057",700,196,457,5,42
"S01000058",703,661,0,34,8
"S01000059",785,724,3,50,8
"S01000060",577,116,426,8,27
"S01000061",955,855,12,78,10
"S01000062",990,800,39,142,9
"S01000063",944,803,3,122,16
"S01000064",648,394,199,31,24
"S01000065",947,680,116,141,10
"S01000066",750,463,160,107,20
"S01000067",893,754,63,68,8
"S01000068",824,723,13,75,13
"S01000069",684,231,419,11,23
"S01000070",646,245,368,9,24
"S01000071",740,156,521,22,41
"S01000072",832,514,221,73,24
"S01000073",611,578,7,15,11
"S01000074",763,72,649,3,39
"S01000075",547,392,53,92,10
"S01000076",770,760,3,4,3
"S01000077",909,819,11,64,15
"S01000078",817,447,156,196,18
"S01000079",920,685,20,200,15
"S01000080",926,742,12,161,11
"S01000081",924,848,7,56,13
"S01000082",928,376,464,43,45
"S01000083",757,608,7,135,7
"S01000084",665,405,172,80,8
"S01000085",543,353,27,155,8
"S01000086",695,496,30,158,11
"S01000087",582,515,11,45,11
"S01000088",621,430,42,129,20
"S01000089",962,902,2,49,9
"S01000090",800,603,15,168,14
"S01000091",870,586,68,206,10
"S01000092",851,541,17,281,12
"S01000093",390,258,11,120,1
"S01000094",575,324,69,168,14
"S01000095",703,557,20,118,8
"S01000096",706,320,355,19,12
"S01000097",929,761,11,134,23
"S01000098",914,460,104,330,20
"S01000099",762,718,3,29,12
"S01000100",695,348,76,256,15
"S01000101",885,692,6,161,26
"S01000102",747,199,396,134,18
"S01000103",603,401,20,177,5
"S01000104",819,707,7,87,18
"S01000105",885,818,5,51,11
"S01000106",706,580,4,118,4
"S01000107",889,379,204,292,14
"S01000108",537,270,164,89,14
"S01000109",885,330,269,266,20
"S01000110",800,558,197,27,18
"S01000111",754,604,14,127,9
"S01000112",970,389,391,168,22
"S01000113",545,463,14,62,6
"S01000114",627,271,297,22,37
"S01000115",873,401,418,14,40
"S01000116",893,623,22,232,16
"S01000117",987,849,51,67,20
"S01000118",674,403,228,19,24
"S01000119",786,337,289,143,17
"S01000120",574,377,42,144,11
"S01000121",760,557,160,25,18
"S01000122",764,273,451,9,31
"S01000123",648,556,39,50,3
"S01000124",985,479,165,322,19
"S01000125",701,188,387,101,25
"S01000126",861,312,349,165,35
"S01000127",798,754,5,37,2
"S01000128",930,407,204,300,19
"S01000129",549,214,11,314,10
"S01000130",865,395,254,191,25
"S01000131",659,539,5,110,5
"S01000132",776,569,23,172,12
"S01000133",737,411,297,23,6
"S01000134",762,270,447,9,36
"S01000135",721,113,531,29,48
"S01000136",706,309,356,15,26
"S01000137",786,412,148,209,17
"S01000138",805,386,173,228,18
"S01000139",817,421,369,5,22
"S01000140",943,592,325,17,9
"S01000141",833,660,41,113,19
"S01000142",772,283,443,10,36
"S01000143",633,596,3,34,0
"S01000144",517,264,42,195,16
"S01000145",905,496,369,6,34
"S01000146",959,315,329,292,23
"S01000147",671,350,145,141,35
"S01000148",694,228,415,5,46
"S01000149",1011,440,234,312,25
"S01000150",636,301,305,10,20
"S01000151",907,245,614,7,41
"S01000152",835,632,85,104,14
"S01000153",529,182,241,85,21
"S01000154",557,346,196,10,5
"S01000155",784,370,391,2,21
"S01000156",967,207,483,245,32
"S01000157",667,187,420,18,42
"S01000158",933,401,451,22,59
"S01000159",956,883,8,62,3
"S01000160",813,474,312,12,15
"S01000161",958,715,6,221,16
"S01000162",886,483,337,43,23
"S01000163",1022,515,478,0,29
"S01000164",471,224,186,46,15
"S01000165",861,353,427,57,24
"S01000166",1047,552,95,374,26
"S01000167",712,415,265,17,15
"S01000168",954,500,424,7,23
"S01000169",750,507,214,14,15
"S01000170",1031,695,62,253,21
"S01000171",892,834,37,21,0
"S01000172",501,358,130,6,7
"S01000173",811,345,402,42,22
"S01000174",873,791,2,75,5
"S01000175",528,241,156,120,11
"S01000176",671,346,104,207,14
"S01000177",554,449,33,61,11
"S01000178",760,382,359,0,19
"S01000179",757,90,647,4,16
"S01000180",676,432,213,5,26
"S01000181",654,274,351,9,20
"S01000182",873,424,408,1,40
"S01000183",951,228,525,141,57
"S01000184",793,630,76,82,5
"S01000185",782,130,554,34,64
"S01000186",957,658,256,19,24
"S01000187",713,299,390,1,23
"S01000188",754,194,315,221,24
"S01000189",624,215,366,4,39
"S01000190",887,486,362,8,31
"S01000191",873,655,105,87,26
"S01000192",767,187,430,128,22
"S01000193",793,376,387,2,28
"S01000194",745,255,391,73,26
"S01000195",697,235,417,18,27
"S01000196",924,167,689,18,50
"S01000197",610,287,309,2,12
"S01000198",746,198,488,24,36
"S01000199",716,88,583,14,31
"S01000200",846,450,345,20,31
"S01000201",654,307,308,23,16
"S01000202",861,550,217,83,11
"S01000203",453,32,394,17,10
"S01000204",622,292,304,3,23
"S01000205",729,200,283,197,49
"S01000206",714,502,191,14,7
"S01000207",883,95,716,21,51
"S01000208",800,164,575,3,58
"S01000209",987,134,741,43,69
"S01000210",578,203,300,55,20
"S01000211",678,125,464,56,33
"S01000212",788,401,346,19,22
"S01000213",672,252,354,30,36
"S01000214",507,356,140,2,9
"S01000215",606,470,31,86,19
"S01000216",619,568,32,13,6
"S01000217",698,216,444,14,24
"S01000218",713,430,254,8,21
"S01000219",698,97,547,17,37
"S01000220",599,253,287,39,20
"S01000221",785,416,312,38,19
"S01000222",758,473,235,19,31
"S01000223",525,466,7,51,1
"S01000224",732,483,227,9,13
"S01000225",595,452,107,28,8
"S01000226",618,569,8,40,1
"S01000227",646,609,2,30,5
"S01000228",655,500,78,62,15
"S01000229",795,379,382,13,21
"S01000230",678,451,192,20,15
"S01000231",710,685,5,20,0
"S01000232",669,315,325,7,22
"S01000233",567,278,259,9,21
"S01000234",762,728,4,23,7
"S01000235",795,753,7,29,6
"S01000236",680,565,102,5,8
"S01000237",916,814,24,50,28
"S01000238",516,475,7,32,2
"S01000239",733,665,53,9,6
"S01000240",721,622,90,2,7
"S01000241",746,726,7,13,0
"S01000242",690,401,84,194,11
"S01000243",739,731,0,0,8
"S01000244",1045,788,208,34,15
"S01000245",953,804,111,25,13
"S01000246",750,618,115,6,11
"S01000247",767,738,11,9,9
"S01000248",868,853,2,12,1
"S01000249",738,641,82,11,4
"S01000250",805,787,4,13,1
"S01000251",501,488,9,2,2
"S01000252",867,844,9,14,0
"S01000253",745,737,0,6,2
"S01000254",808,783,12,10,3
"S01000255",632,611,3,17,1
"S01000256",919,721,100,68,30
"S01000257",817,708,77,26,6
"S01000258",666,642,5,15,4
"S01000259",614,600,4,10,0
"S01000260",890,821,8,56,5
"S01000261",999,941,31,17,10
"S01000262",946,816,97,22,11
"S01000263",794,694,9,73,18
"S01000264",1033,743,262,13,15
"S01000265",778,530,218,12,18
"S01000266",982,706,151,96,29
"S01000267",669,468,167,16,18
"S01000268",779,459,278,31,11
"S01000269",561,495,6,37,23
"S01000270",964,726,56,134,48
"S01000271",898,615,210,41,32
"S01000272",940,729,69,110,32
"S01000273",523,379,13,83,48
"S01000274",594,382,175,20,17
"S01000275",982,600,316,46,20
"S01000276",736,706,14,10,6
"S01000277",654,534,87,15,18
"S01000278",537,233,268,11,25
"S01000279",552,422,3,105,22
"S01000280",620,397,98,29,96
"S01000281",679,264,99,215,101
"S01000282",651,431,109,74,37
"S01000283",881,625,121,99,36
"S01000284",819,587,36,163,33
"S01000285",672,528,71,31,42
"S01000286",876,634,172,61,9
"S01000287",681,653,13,10,5
"S01000288",897,727,155,10,5
"S01000289",849,510,291,31,17
"S01000290",764,341,394,13,16
"S01000291",786,677,87,15,7
"S01000292",931,844,41,34,12
"S01000293",763,514,155,66,28
"S01000294",699,561,112,25,1
"S01000295",607,590,5,7,5
"S01000296",510,473,23,7,7
"S01000297",733,532,171,17,13
"S01000298",528,433,65,15,15
"S01000299",902,724,9,127,42
"S01000300",774,572,22,134,46
"S01000301",557,296,75,62,124
"S01000302",566,369,8,133,56
"S01000303",480,176,12,157,135
"S01000304",791,779,3,8,1
"S01000305",1040,808,207,13,12
"S01000306",746,536,25,153,32
"S01000307",991,923,50,18,0
"S01000308",991,819,28,95,49
"S01000309",628,347,14,180,87
"S01000310",899,865,3,25,6
"S01000311",914,805,21,70,18
"S01000312",571,441,38,64,28
"S01000313",709,575,117,13,4
"S01000314",572,492,67,9,4
"S01000315",631,534,48,41,8
"S01000316",794,475,272,28,19
"S01000317",551,287,237,16,11
"S01000318",577,558,2,10,7
"S01000319",685,676,4,5,0
"S01000320",722,707,4,11,0
"S01000321",581,547,16,11,7
"S01000322",1081,1024,2,49,6
"S01000323",888,559,292,29,8
"S01000324",870,853,3,6,8
"S01000325",618,446,135,25,12
"S01000326",763,514,228,5,16
"S01000327",898,874,4,16,4
"S01000328",601,481,102,18,0
"S01000329",545,422,108,13,2
"S01000330",705,503,10,127,65
"S01000331",621,428,167,14,12
"S01000332",683,630,5,34,14
"S01000333",828,627,28,160,13
"S01000334",791,507,239,23,22
"S01000335",652,484,156,7,5
"S01000336",802,606,8,178,10
"S01000337",685,457,26,160,42
"S01000338",480,268,36,161,15
"S01000339",1092,881,143,51,17
"S01000340",971,558,52,266,95
"S01000341",713,389,27,226,71
"S01000342",387,224,130,18,15
"S01000343",609,441,4,126,38
"S01000344",892,712,90,61,29
"S01000345",646,588,42,8,8
"S01000346",676,662,8,4,2
"S01000347",478,268,45,136,29
"S01000348",816,774,12,26,4
"S01000349",592,498,69,20,5
"S01000350",1002,936,50,12,4
"S01000351",1023,979,16,23,5
"S01000352",798,788,2,5,3
"S01000353",663,640,4,14,5
"S01000354",552,379,2,129,42
"S01000355",707,681,0,22,4
"S01000356",611,511,12,83,5
"S01000357",682,672,0,10,0
"S01000358",1030,1011,3,14,2
"S01000359",856,835,8,11,2
"S01000360",504,239,34,161,70
"S01000361",614,378,15,109,112
"S01000362",920,804,41,42,33
"S01000363",960,756,23,109,72
"S01000364",880,675,12,153,40
"S01000365",677,559,98,17,3
"S01000366",761,679,21,34,27
"S01000367",748,639,48,42,19
"S01000368",797,626,112,43,16
"S01000369",975,783,82,87,23
"S01000370",796,758,8,27,3
"S01000371",921,667,190,44,20
"S01000372",947,710,208,21,8
"S01000373",588,576,4,5,3
"S01000374",611,536,72,2,1
"S01000375",646,328,295,8,15
"S01000376",899,452,419,8,20
