dz_2011,total,owned,social,rented,rentfree
S01006711,1117,645,420,44,8
S01006712,631,445,167,14,5
S01006713,939,514,386,28,11
S01006714,881,565,262,49,5
S01006715,1123,350,732,36,5
S01006716,606,294,295,12,5
S01006717,1067,597,426,42,2
S01006718,627,323,266,28,10
S01006719,1031,585,399,44,3
S01006720,745,430,264,50,1
S01006721,942,510,395,25,12
S01006722,856,499,313,43,1
S01006723,969,600,317,43,9
S01006724,1316,282,983,48,3
S01006725,950,439,473,33,5
S01006726,1391,186,1134,71,0
S01006727,1311,285,964,62,0
S01006728,887,492,355,36,4
S01006729,986,269,671,46,0
S01006730,778,496,262,20,0
S01006731,503,296,202,5,0
S01006732,1369,1081,122,154,12
S01006733,911,818,19,71,3
S01006734,1081,936,9,114,22
S01006735,925,831,23,66,5
S01006736,1318,1171,44,101,2
S01006737,1055,891,42,106,16
S01006738,827,488,165,159,15
S01006739,607,470,13,117,7
S01006740,1039,701,285,39,14
S01006741,754,496,209,37,12
S01006742,460,306,130,22,2
S01006743,1073,720,178,159,16
S01006744,662,484,117,54,7
S01006745,1048,618,322,94,14
S01006746,806,508,256,30,12
S01006747,1016,824,48,126,18
S01006748,1144,877,111,137,19
S01006749,1264,940,243,73,8
S01006750,733,544,144,42,3
S01006751,509,312,152,36,9
S01006752,810,569,203,38,0
S01006753,913,775,79,45,14
S01006754,1124,1015,41,46,22
S01006755,1082,782,127,151,22
S01006756,909,653,88,158,10
S01006757,1206,1115,7,75,9
S01006758,694,654,1,38,1
S01006759,1253,1047,27,169,10
S01006760,593,535,3,50,5
S01006761,927,788,8,112,19
S01006762,939,711,101,112,15
S01006763,1100,990,12,90,8
S01006764,790,713,5,72,0
S01006765,725,599,5,112,9
S01006766,608,575,12,13,8
S01006767,869,662,157,34,16
S01006768,599,589,3,7,0
S01006769,1283,1158,85,37,3
S01006770,655,630,5,18,2
S01006771,563,508,7,27,21
S01006772,1218,1129,21,60,8
S01006773,672,630,11,31,0
S01006774,799,760,9,25,5
S01006775,758,547,148,54,9
S01006776,662,395,228,35,4
S01006777,918,878,12,24,4
S01006778,867,762,69,35,1
S01006779,1058,661,337,48,12
S01006780,868,623,192,41,12
S01006781,972,857,51,51,13
S01006782,1015,858,52,99,6
S01006783,672,555,97,15,5
S01006784,697,596,1,93,7
S01006785,712,660,10,42,0
S01006786,1087,967,62,52,6
S01006787,968,843,51,64,10
S01006788,645,552,6,81,6
S01006789,894,539,57,264,34
S01006790,968,570,232,143,23
S01006791,529,255,32,167,75
S01006792,658,341,9,217,91
S01006793,567,314,63,88,102
S01006794,775,609,115,43,8
S01006795,765,609,66,77,13
S01006796,795,613,77,78,27
S01006797,737,454,18,199,66
S01006798,733,459,13,193,68
S01006799,1025,715,200,78,32
S01006800,960,783,13,129,35
S01006801,1333,1123,17,167,26
S01006802,675,359,74,193,49
S01006803,766,473,186,88,19
S01006804,1274,970,137,153,14
S01006805,1346,995,146,193,12
S01006806,1088,827,48,158,55
S01006807,620,478,13,94,35
S01006808,968,838,32,83,15
S01006809,972,648,239,78,7
S01006810,1008,730,170,70,38
S01006811,1090,805,121,136,28
S01006812,820,602,100,87,31
S01006813,996,738,158,75,25
S01006814,1105,979,57,63,6
S01006815,753,484,223,36,10
S01006816,924,788,95,30,11
S01006817,853,587,135,78,53
S01006818,719,604,44,29,42
S01006819,1264,1084,27,124,29
S01006820,640,574,11,49,6
S01006821,1156,992,16,130,18
S01006822,759,594,11,136,18
S01006823,827,707,15,92,13
S01006824,727,363,338,18,8
S01006825,1017,835,124,52,6
S01006826,1243,1052,96,79,16
S01006827,1025,673,263,76,13
S01006828,1009,675,156,158,20
S01006829,706,605,13,81,7
S01006830,634,495,119,16,4
S01006831,1229,1090,73,52,14
S01006832,1003,822,87,92,2
S01006833,712,588,54,67,3
S01006834,336,299,17,14,6
S01006835,1287,817,187,265,18
S01006836,514,395,62,57,0
S01006837,1004,834,107,58,5
S01006838,979,812,106,48,13
S01006839,933,782,93,45,13
S01006840,1211,1132,29,40,10
S01006841,1332,1165,123,42,2
S01006842,994,888,79,20,7
S01006843,965,921,10,33,1
S01006844,671,625,6,39,1
S01006845,1028,942,13,60,13
S01006846,837,760,45,28,4
S01006847,754,727,0,21,6
S01006848,1336,1036,143,148,9
S01006849,1300,1020,161,115,4
S01006850,1119,905,166,35,13
S01006851,805,585,191,22,7
S01006852,595,535,12,42,6
S01006853,938,729,6,189,14
S01006854,1601,1261,149,155,36
S01006855,790,612,24,136,18
S01006856,942,547,19,289,87
S01006857,1052,666,35,324,27
S01006858,642,553,5,77,7
S01006859,1435,1122,166,136,11
S01006860,692,425,177,87,3
S01006861,861,741,6,112,2
S01006862,933,705,123,96,9
S01006863,1291,1042,101,145,3
S01006864,148,83,56,8,1
S01006865,902,693,26,173,10
S01006866,636,564,12,52,8
S01006867,1192,1033,34,114,11
S01006868,879,606,206,62,5
S01006869,573,342,35,180,16
S01006870,627,528,35,59,5
S01006871,967,789,112,63,3
S01006872,1634,1115,174,299,46
S01006873,1198,901,29,237,31
S01006874,566,383,16,144,23
S01006875,958,569,172,184,33
S01006876,1121,872,108,116,25
S01006877,1074,828,22,185,39
S01006878,956,566,76,276,38
S01006879,1086,647,49,334,56
S01006880,787,645,22,107,13
S01006881,578,469,8,68,33
S01006882,841,585,202,42,12
S01006883,635,491,62,76,6
S01006884,1050,781,151,103,15
S01006885,743,632,33,76,2
S01006886,733,514,48,139,32
S01006887,905,776,55,64,10
S01006888,939,801,52,75,11
S01006889,647,424,187,32,4
S01006890,1031,866,118,43,4
S01006891,644,530,79,31,4
S01006892,584,334,238,11,1
S01006893,1004,569,400,35,0
S01006894,597,412,164,20,1
S01006895,474,279,123,67,5
S01006896,745,629,77,38,1
S01006897,988,862,66,52,8
S01006898,548,452,59,33,4
S01006899,510,475,7,28,0
S01006900,455,410,10,33,2
S01006901,793,522,207,57,7
S01006902,693,411,222,55,5
S01006903,894,559,265,54,16
S01006904,537,337,114,79,7
S01006905,997,768,133,93,3
S01006906,948,507,381,36,24
S01006907,712,374,131,202,5
S01006908,911,595,202,102,12
S01006909,428,378,7,33,10
S01006910,501,400,12,81,8
