dz_2011,total,owned,social,rented,rentfree
S01006506,747,582,74,83,8
S01006507,1092,761,278,43,10
S01006508,858,738,63,47,10
S01006509,715,475,212,15,13
S01006510,702,506,160,22,14
S01006511,959,777,89,52,41
S01006512,383,333,14,35,1
S01006513,1006,955,3,46,2
S01006514,1076,901,34,108,33
S01006515,1168,1031,12,113,12
S01006516,886,622,12,115,137
S01006517,1049,884,74,72,19
S01006518,1045,788,6,100,151
S01006519,850,747,7,42,54
S01006520,897,670,16,178,33
S01006521,490,441,5,41,3
S01006522,560,522,7,29,2
S01006523,1337,1209,35,83,10
S01006524,1223,784,61,127,251
S01006525,1305,1014,73,100,118
S01006526,1487,779,576,92,40
S01006527,1346,661,608,50,27
S01006528,1125,586,432,69,38
S01006529,1028,597,240,164,27
S01006530,1179,598,476,52,53
S01006531,1273,583,569,72,49
S01006532,776,666,67,30,13
S01006533,823,742,1,72,8
S01006534,944,803,3,122,16
S01006535,1062,863,40,150,9
S01006536,1245,956,42,228,19
S01006537,847,821,8,10,8
S01006538,686,658,8,5,15
S01006539,951,891,6,42,12
S01006540,1254,1099,68,73,14
S01006541,990,860,93,31,6
S01006542,955,855,12,78,10
S01006543,1007,939,10,49,9
S01006544,902,809,16,58,19
S01006545,1108,894,120,84,10
S01006546,1131,1058,7,47,19
S01006547,1409,849,435,91,34
S01006548,770,760,3,4,3
S01006549,808,762,3,31,12
S01006550,1222,1144,5,60,13
S01006551,921,483,373,50,15
S01006552,1099,943,86,53,17
S01006553,978,718,203,30,27
S01006554,907,522,338,20,27
S01006555,840,363,412,23,42
S01006556,1032,501,473,17,41
S01006557,862,338,451,38,35
S01006558,880,713,9,150,8
S01006559,639,552,16,65,6
S01006560,987,849,51,67,20
S01006561,891,841,5,43,2
S01006562,1008,777,160,50,21
S01006563,1026,826,42,139,19
S01006564,1172,473,463,211,25
S01006565,1201,571,234,374,22
S01006566,843,616,23,192,12
S01006567,1149,413,521,186,29
S01006568,1096,716,53,308,19
S01006569,749,485,55,196,13
S01006570,867,698,14,141,14
S01006571,1168,894,7,240,27
S01006572,1284,1100,7,155,22
S01006573,706,580,4,118,4
S01006574,929,761,11,134,23
S01006575,1137,1025,11,86,15
S01006576,869,678,11,173,7
S01006577,919,714,15,170,20
S01006578,1455,973,79,387,16
S01006579,1299,833,37,415,14
S01006580,806,625,25,141,15
S01006581,1222,1111,7,87,17
S01006582,526,254,72,185,15
S01006583,964,542,77,329,16
S01006584,872,571,25,270,6
S01006585,809,245,406,140,18
S01006586,793,303,209,264,17
S01006587,464,167,90,196,11
S01006588,650,298,24,320,8
S01006589,1003,321,320,335,27
S01006590,543,335,37,161,10
S01006591,530,359,14,155,2
S01006592,434,352,11,66,5
S01006593,551,356,33,152,10
S01006594,761,535,59,152,15
S01006595,722,494,44,162,22
S01006596,882,647,31,189,15
S01006597,810,537,30,229,14
S01006598,1053,920,9,110,14
S01006599,1036,616,263,124,33
S01006600,1283,958,137,177,11
S01006601,947,680,116,141,10
S01006602,934,814,13,94,13
S01006603,1369,772,525,15,57
S01006604,936,632,259,17,28
S01006605,868,342,462,16,48
S01006606,1367,1066,226,36,39
S01006607,1302,829,429,16,28
S01006608,869,799,47,20,3
S01006609,1343,862,430,10,41
S01006610,752,323,390,4,35
S01006611,1183,625,501,7,50
S01006612,995,724,166,51,54
S01006613,474,449,0,19,6
S01006614,929,889,6,26,8
S01006615,445,426,3,15,1
S01006616,811,789,5,15,2
S01006617,1018,875,110,27,6
S01006618,568,549,1,17,1
S01006619,995,847,108,29,11
S01006620,1146,987,130,18,11
S01006621,831,719,96,9,7
S01006622,655,629,1,23,2
S01006623,1436,820,524,45,47
S01006624,750,463,160,107,20
S01006625,858,479,319,31,29
S01006626,839,343,454,18,24
S01006627,665,405,172,80,8
S01006628,1110,640,205,238,27
S01006629,882,354,488,5,35
S01006630,824,404,400,3,17
S01006631,1129,542,465,71,51
S01006632,960,218,657,27,58
S01006633,967,352,559,5,51
S01006634,804,145,606,8,45
S01006635,975,294,628,19,34
S01006636,980,188,740,10,42
S01006637,537,270,164,89,14
S01006638,1061,504,321,200,36
S01006639,938,343,352,208,35
S01006640,201,38,142,10,11
S01006641,898,422,252,175,49
S01006642,805,386,173,228,18
S01006643,1026,551,134,315,26
S01006644,590,208,248,113,21
S01006645,1185,321,549,252,63
S01006646,982,365,148,448,21
S01006647,671,172,379,96,24
S01006648,1083,441,271,350,21
