dz_2011,total,employed,unemployed,student,retired,homemaker,sick,inactive_other
S01006506,581,392,14,31,69,38,20,17
S01006507,776,497,21,41,122,55,25,15
S01006508,655,493,20,39,44,36,10,13
S01006509,543,342,15,30,99,21,22,14
S01006510,501,308,12,31,85,25,32,8
S01006511,713,410,7,71,141,40,27,17
S01006512,281,195,10,24,21,22,5,4
S01006513,720,453,12,50,125,56,12,12
S01006514,792,462,6,102,102,94,9,17
S01006515,821,530,11,70,93,82,16,19
S01006516,660,404,5,64,81,62,23,21
S01006517,744,476,5,67,106,63,17,10
S01006518,728,415,11,84,103,75,22,18
S01006519,626,378,14,87,57,64,8,18
S01006520,582,361,6,68,27,106,3,11
S01006521,426,225,6,15,48,37,81,14
S01006522,395,243,6,41,64,33,2,6
S01006523,904,575,11,61,133,72,28,24
S01006524,863,502,12,77,108,62,61,41
S01006525,996,557,21,86,165,87,43,37
S01006526,1136,622,35,169,163,51,61,35
S01006527,1046,565,33,114,173,51,68,42
S01006528,847,473,26,94,126,42,56,30
S01006529,785,489,22,85,116,22,34,17
S01006530,842,488,20,84,133,33,67,17
S01006531,934,470,39,81,160,55,89,40
S01006532,598,368,13,26,116,28,31,16
S01006533,614,411,13,46,84,32,17,11
S01006534,714,478,10,63,93,46,14,10
S01006535,901,683,21,74,60,31,14,18
S01006536,1105,826,32,101,59,31,30,26
S01006537,604,369,4,29,145,28,13,16
S01006538,529,320,8,30,133,17,11,10
S01006539,702,450,9,49,141,27,16,10
S01006540,942,615,12,51,178,37,24,25
S01006541,667,369,4,42,184,41,15,12
S01006542,747,419,5,53,196,48,13,13
S01006543,716,413,10,34,190,43,15,11
S01006544,868,415,9,250,113,49,16,16
S01006545,773,475,13,55,155,34,19,22
S01006546,857,507,9,95,156,47,24,19
S01006547,1025,552,30,77,237,60,53,16
S01006548,578,344,6,30,159,24,7,8
S01006549,599,339,6,47,134,53,8,12
S01006550,928,520,14,68,220,68,23,15
S01006551,675,351,20,42,151,34,57,20
S01006552,966,566,22,123,129,39,67,20
S01006553,706,376,11,38,194,39,30,18
S01006554,666,390,15,29,128,38,41,25
S01006555,736,375,27,63,98,46,93,34
S01006556,762,423,19,42,162,33,59,24
S01006557,600,366,30,40,69,47,33,15
S01006558,695,504,10,72,73,18,10,8
S01006559,463,315,5,54,52,24,8,5
S01006560,675,463,6,67,62,47,11,19
S01006561,653,451,10,72,82,24,4,10
