"dz_2011","total","scotland","ruk","elsewhere"
"S01006506",872,648,138,86
"S01006507",836,702,67,67
"S01006508",643,506,82,55
"S01006509",580,491,52,37
"S01006510",644,550,61,33
"S01006511",751,598,96,57
"S01006512",519,348,100,71
"S01006513",470,379,48,43
"S01006514",1043,680,141,222
"S01006515",762,523,126,113
"S01006516",718,452,134,132
"S01006517",1014,713,172,129
"S01006518",627,408,137,82
"S01006519",865,543,155,167
"S01006520",729,403,122,204
"S01006521",727,442,147,138
"S01006522",574,393,114,67
"S01006523",1016,738,143,135
"S01006524",776,467,151,158
"S01006525",798,577,81,140
"S01006526",902,736,61,105
"S01006527",683,568,34,81
"S01006528",1034,740,66,228
"S01006529",896,644,68,184
"S01006530",684,568,41,75
"S01006531",1030,841,49,140
"S01006532",744,591,70,83
"S01006533",712,555,72,85
"S01006534",910,701,100,109
"S01006535",1105,783,125,197
"S01006536",948,652,114,182
"S01006537",697,575,67,55
"S01006538",569,483,51,35
"S01006539",747,605,80,62
"S01006540",960,741,98,121
"S01006541",858,719,72,67
"S01006542",1001,747,109,145
"S01006543",797,699,51,47
"S01006544",1071,709,145,217
"S01006545",1065,805,100,160
"S01006546",630,549,48,33
"S01006547",1268,1003,111,154
"S01006548",721,624,56,41
"S01006549",811,635,82,94
"S01006550",947,778,95,74
"S01006551",420,343,22,55
"S01006552",870,696,71,103
"S01006553",846,719,54,73
"S01006554",712,569,64,79
"S01006555",814,596,49,169
"S01006556",838,712,50,76
"S01006557",701,587,37,77
"S01006558",722,508,98,116
"S01006559",507,345,50,112
"S01006560",1033,778,124,131
"S01006561",766,592,90,84
"S01006562",718,582,68,68
"S01006563",826,563,101,162
"S01006564",983,670,96,217
"S01006565",988,570,111,307
"S01006566",757,480,102,175
"S01006567",835,553,97,185
"S01006568",923,563,101,259
"S01006569",566,332,77,157
"S01006570",791,518,94,179
"S01006571",888,610,146,132
"S01006572",905,632,122,151
"S01006573",724,489,116,119
"S01006574",1001,670,137,194
"S01006575",951,679,127,145
"S01006576",659,454,82,123
"S01006577",769,481,113,175
"S01006578",1096,706,127,263
"S01006579",1021,598,112,311
"S01006580",717,464,100,153
"S01006581",889,698,85,106
"S01006582",871,497,91,283
"S01006583",712,427,95,190
"S01006584",628,367,100,161
"S01006585",795,539,77,179
"S01006586",1019,635,128,256
"S01006587",453,246,45,162
"S01006588",587,308,58,221
"S01006589",682,390,63,229
"S01006590",649,399,68,182
"S01006591",735,456,88,191
"S01006592",680,448,86,146
"S01006593",768,467,123,178
"S01006594",539,407,50,82
"S01006595",934,608,125,201
"S01006596",725,436,115,174
"S01006597",520,340,72,108
"S01006598",957,659,133,165
"S01006599",807,598,78,131
"S01006600",1100,843,111,146
"S01006601",1002,772,78,152
"S01006602",879,630,102,147
"S01006603",849,743,37,69
"S01006604",678,601,28,49
"S01006605",802,712,36,54
"S01006606",831,691,67,73
"S01006607",934,841,42,51
"S01006608",1199,968,77,154
"S01006609",1063,958,47,58
"S01006610",449,417,9,23
"S01006611",919,796,50,73
"S01006612",861,764,48,49
"S01006613",612,527,55,30
"S01006614",678,581,43,54
"S01006615",329,299,17,13
"S01006616",788,694,46,48
"S01006617",581,524,33,24
"S01006618",514,455,32,27
"S01006619",881,756,78,47
"S01006620",948,857,48,43
"S01006621",520,457,36,27
"S01006622",669,580,44,45
"S01006623",765,622,54,89
"S01006624",959,669,71,219
"S01006625",623,488,35,100
"S01006626",718,586,29,103
"S01006627",1046,621,79,346
"S01006628",910,474,63,373
"S01006629",803,605,46,152
"S01006630",627,571,18,38
"S01006631",933,759,64,110
"S01006632",812,589,49,174
"S01006633",699,564,37,98
"S01006634",634,481,31,122
"S01006635",658,514,36,108
"S01006636",870,680,41,149
"S01006637",753,485,96,172
"S01006638",834,530,112,192
"S01006639",945,605,128,212
"S01006640",723,399,118,206
"S01006641",608,379,61,168
"S01006642",1373,729,236,408
"S01006643",730,431,129,170
"S01006644",963,623,124,216
"S01006645",687,493,49,145
"S01006646",1062,471,241,350
"S01006647",591,442,42,107
"S01006648",1804,1017,184,603
"S01006649",1106,715,118,273
"S01006650",714,368,108,238
"S01006651",635,375,71,189
"S01006652",545,316,81,148
"S01006653",656,422,74,160
"S01006654",914,697,63,154
"S01006655",632,422,74,136
"S01006656",967,629,86,252
"S01006657",536,330,67,139
"S01006658",1212,649,151,412
"S01006659",632,385,117,130
"S01006660",420,200,55,165
"S01006661",729,437,103,189
"S01006662",942,499,112,331
"S01006663",562,308,90,164
"S01006664",223,117,30,76
"S01006665",712,408,93,211
"S01006666",1403,943,112,348
"S01006667",741,488,51,202
"S01006668",908,572,104,232
"S01006669",1219,611,159,449
"S01006670",929,587,147,195
"S01006671",2534,1046,447,1041
"S01006672",810,536,89,185
"S01006673",787,456,76,255
"S01006674",938,662,58,218
"S01006675",712,376,38,298
"S01006676",747,491,45,211
"S01006677",723,486,54,183
"S01006678",1148,739,79,330
"S01006679",654,535,48,71
"S01006680",851,486,50,315
"S01006681",840,700,67,73
