dz_2011,total,non_catholic_christian,catholic_christian,jewish,muslim,none,other
S01006506,872,343,46,0,0,410,73
S01006507,1042,445,48,1,19,442,87
S01006508,888,347,41,0,2,435,63
S01006509,693,300,22,0,12,305,54
S01006510,748,355,27,1,10,294,61
S01006511,1083,490,59,0,16,398,120
S01006512,395,155,20,0,5,135,80
S01006513,1166,475,84,3,23,416,165
S01006514,1240,473,134,2,13,437,181
S01006515,1123,462,90,2,40,421,108
S01006516,910,319,89,4,16,351,131
S01006517,1014,469,61,0,12,374,98
S01006518,957,403,77,1,5,354,117
S01006519,865,361,90,0,24,292,98
S01006520,883,349,102,0,28,327,77
S01006521,743,274,56,0,0,356,57
S01006522,574,265,54,0,6,210,39
S01006523,1501,584,132,0,15,574,196
S01006524,1320,543,93,7,10,429,238
S01006525,1289,596,89,1,26,445,132
S01006526,1404,418,113,0,18,728,127
S01006527,1328,372,96,0,13,723,124
S01006528,1127,298,130,0,38,563,98
S01006529,1086,353,81,0,61,498,93
S01006530,1133,415,50,0,45,554,69
S01006531,1311,340,151,0,34,681,105
S01006532,1002,420,58,1,22,431,70
S01006533,837,332,92,0,4,353,56
S01006534,910,355,71,0,10,392,82
S01006535,1105,337,94,0,22,533,119
S01006536,1347,366,112,0,24,713,132
S01006537,847,444,24,0,10,309,60
S01006538,664,296,46,0,10,236,76
S01006539,1025,473,47,0,17,409,79
S01006540,1264,517,88,0,25,544,90
S01006541,952,452,46,0,12,373,69
S01006542,1001,500,73,0,21,319,88
S01006543,1075,567,63,0,19,346,80
S01006544,1430,613,145,0,38,521,113
S01006545,1276,581,100,2,26,431,136
S01006546,1128,577,76,0,0,378,97
S01006547,1461,641,98,2,16,604,100
S01006548,721,395,26,1,0,238,61
S01006549,927,465,64,0,13,310,75
S01006550,1181,589,75,0,8,415,94
S01006551,1009,411,79,1,9,429,80
S01006552,1252,470,99,0,18,545,120
S01006553,1027,456,69,0,4,382,116
S01006554,942,313,65,1,22,459,82
S01006555,1019,281,87,0,16,528,107
S01006556,976,302,98,0,4,499,73
S01006557,799,245,58,1,11,420,64
S01006558,843,236,81,0,13,425,88
S01006559,703,233,85,1,3,282,99
S01006560,1033,432,69,0,22,399,111
S01006561,852,340,62,0,27,368,55
S01006562,978,420,67,3,11,387,90
S01006563,1023,346,64,0,59,420,134
S01006564,1190,332,92,0,77,575,114
S01006565,1206,274,165,4,49,589,125
S01006566,832,203,73,0,29,446,81
S01006567,1211,279,135,2,79,597,119
S01006568,1135,323,96,3,40,544,129
S01006569,748,211,85,1,27,330,94
S01006570,899,349,70,0,14,357,109
S01006571,1237,407,129,1,17,563,120
S01006572,1371,560,147,1,12,519,132
S01006573,724,294,75,0,7,293,55
S01006574,1001,398,84,0,24,413,82
S01006575,1180,393,120,0,7,552,108
S01006576,902,314,117,0,10,390,71
