"dz_2011","total","llti","no_llti"
"S01006736",892,45,847
"S01006737",578,73,505
"S01006738",660,76,584
"S01006739",525,64,461
"S01006740",758,161,597
"S01006741",718,187,531
"S01006742",507,108,399
"S01006743",439,101,338
"S01006744",606,110,496
"S01006745",795,185,610
"S01006746",768,196,572
"S01006747",916,139,777
"S01006748",826,116,710
"S01006749",1033,185,848
"S01006750",691,135,556
"S01006751",389,80,309
"S01006752",778,160,618
"S01006753",946,163,783
"S01006754",1007,118,889
"S01006755",595,54,541
"S01006756",166,19,147
"S01006757",981,164,817
"S01006758",710,49,661
"S01006759",480,38,442
"S01006760",423,27,396
"S01006761",762,102,660
"S01006762",1048,210,838
"S01006763",633,23,610
"S01006764",867,50,817
"S01006765",632,35,597
"S01006766",666,41,625
"S01006767",750,96,654
"S01006768",746,46,700
"S01006769",866,116,750
"S01006770",854,81,773
"S01006771",262,21,241
"S01006772",937,96,841
"S01006773",975,79,896
"S01006774",745,27,718
"S01006775",678,121,557
"S01006776",465,138,327
"S01006777",739,63,676
"S01006778",721,96,625
"S01006779",771,178,593
"S01006780",604,99,505
"S01006781",733,105,628
"S01006782",690,81,609
"S01006783",680,109,571
"S01006784",482,75,407
"S01006785",614,43,571
"S01006786",612,50,562
"S01006787",934,126,808
"S01006788",922,69,853
"S01006789",646,133,513
"S01006790",708,163,545
"S01006791",514,79,435
"S01006792",577,83,494
"S01006793",579,90,489
"S01006794",621,114,507
"S01006795",452,58,394
"S01006796",265,39,226
"S01006797",778,95,683
"S01006798",769,90,679
"S01006799",661,185,476
"S01006800",610,52,558
"S01006801",613,118,495
"S01006802",679,104,575
"S01006803",656,99,557
"S01006804",326,57,269
"S01006805",940,122,818
"S01006806",964,142,822
"S01006807",524,63,461
"S01006808",561,61,500
"S01006809",779,140,639
"S01006810",906,150,756
"S01006811",881,90,791
"S01006812",663,78,585
"S01006813",504,90,414
"S01006814",651,65,586
"S01006815",537,120,417
"S01006816",674,100,574
"S01006817",709,66,643
"S01006818",672,64,608
"S01006819",819,68,751
"S01006820",400,33,367
"S01006821",771,90,681
"S01006822",943,88,855
"S01006823",724,104,620
"S01006824",775,114,661
"S01006825",897,83,814
"S01006826",831,122,709
"S01006827",746,122,624
"S01006828",916,158,758
"S01006830",736,87,649
"S01006831",607,66,541
"S01006832",1083,174,909
"S01006833",481,64,417
"S01006835",640,188,452
"S01006837",410,39,371
"S01006838",699,67,632
"S01006839",1040,139,901
"S01006840",696,52,644
"S01006841",991,66,925
"S01006842",898,91,807
"S01006843",870,77,793
"S01006844",722,77,645
"S01006845",814,59,755
"S01006846",572,69,503
"S01006847",723,81,642
"S01006848",963,127,836
"S01006849",82,7,75
"S01006850",1065,121,944
"S01006851",763,129,634
"S01006852",581,57,524
"S01006853",730,66,664
"S01006854",380,39,341
"S01006855",810,72,738
"S01006856",614,76,538
"S01006857",1179,178,1001
"S01006858",611,56,555
"S01006859",1083,79,1004
"S01006860",551,117,434
"S01006861",113,20,93
"S01006862",709,110,599
"S01006863",505,88,417
"S01006865",797,113,684
"S01006866",577,60,517
"S01006867",661,107,554
"S01006868",792,128,664
"S01006869",613,101,512
"S01006870",398,52,346
"S01006871",591,79,512
"S01006872",725,83,642
"S01006873",1084,220,864
"S01006874",644,86,558
"S01006875",228,53,175
"S01006876",894,125,769
"S01006877",900,120,780
"S01006878",731,135,596
"S01006879",907,164,743
"S01006880",399,34,365
"S01006881",561,53,508
"S01006882",236,33,203
"S01006883",402,51,351
"S01006884",754,134,620
"S01006885",622,106,516
"S01006886",755,90,665
"S01006887",325,43,282
"S01006888",588,71,517
"S01006889",899,140,759
"S01006890",588,55,533
"S01006891",646,84,562
"S01006892",519,88,431
"S01006893",355,49,306
"S01006894",1024,158,866
"S01006895",629,90,539
"S01006896",797,111,686
"S01006897",756,88,668
"S01006898",709,83,626
"S01006899",513,41,472
"S01006900",666,54,612
"S01006901",658,107,551
"S01006902",688,83,605
"S01006903",727,155,572
"S01006904",636,125,511
"S01006905",857,190,667
"S01006906",940,255,685
"S01006907",510,93,417
"S01006908",705,127,578
"S01006910",1411,212,1199
"S01006912",676,70,606
"S01006913",140,13,127
"S01006914",664,56,608
"S01006915",797,70,727
"S01006916",87,10,77
"S01006917",113,14,99
"S01006918",359,48,311
"S01006919",373,48,325
"S01006920",143,39,104
"S01006921",233,30,203
"S01006922",289,23,266
"S01006923",727,107,620
"S01006924",655,77,578
"S01006925",697,70,627
"S01006926",102,4,98
"S01006928",983,127,856
"S01006929",856,37,819
"S01006930",1030,88,942
"S01006931",420,43,377
"S01006932",263,12,251
"S01006933",682,38,644
"S01006934",606,156,450
"S01006935",798,70,728
"S01006936",588,58,530
"S01006937",816,70,746
"S01006938",592,74,518
"S01006939",544,33,511
"S01006940",1023,80,943
"S01006941",741,98,643
"S01006942",1002,78,924
"S01006945",663,51,612
"S01006946",782,71,711
"S01006947",471,29,442
"S01006948",853,93,760
"S01006949",574,55,519
"S01006951",484,66,418
"S01006952",734,96,638
"S01006953",733,59,674
"S01006954",583,57,526
"S01006955",752,90,662
"S01006956",390,36,354
"S01006957",847,96,751
"S01006958",842,128,714
"S01006959",693,177,516
"S01006960",130,5,125
"S01006962",814,126,688
"S01006963",621,56,565
"S01006964",633,57,576
"S01006965",452,64,388
"S01006966",680,93,587
"S01006967",759,48,711
"S01006968",491,81,410
"S01006969",1024,174,850
"S01006970",689,71,618
"S01006971",347,40,307
"S01006972",474,42,432
"S01006973",711,81,630
"S01006974",796,73,723
"S01006975",946,142,804
"S01006976",705,63,642
"S01006977",1013,104,909
"S01006978",790,105,685
"S01006979",583,78,505
"S01006980",920,100,820
"S01006981",787,77,710
"S01006982",670,78,592
"S01006983",727,93,634
"S01006984",768,73,695
"S01006985",1005,123,882
"S01006986",336,66,270
"S01006987",662,102,560
"S01006988",311,28,283
"S01006989",716,55,661
"S01006990",361,26,335
"S01006991",493,104,389
"S01006992",581,59,522
"S01006993",520,54,466
"S01006994",561,65,496
"S01006995",1037,127,910
"S01006996",312,36,276
"S01006997",601,57,544
"S01006998",974,145,829
"S01006999",808,102,706
"S01007000",509,93,416
"S01007001",725,156,569
"S01007002",428,71,357
"S01007003",454,59,395
"S01007004",723,88,635
"S01007005",824,101,723
"S01007006",871,171,700
"S01007007",741,99,642
"S01007008",871,189,682
"S01007009",1037,172,865
"S01007010",872,206,666
"S01007011",863,187,676
"S01007012",769,142,627
"S01007013",767,138,629
"S01007014",757,131,626
"S01007015",648,75,573
"S01007016",538,57,481
"S01007017",984,188,796
"S01007018",892,115,777
"S01007019",658,102,556
"S01007020",592,101,491
"S01007021",830,145,685
"S01007022",93,25,68
"S01007023",824,146,678
"S01007024",987,222,765
"S01007025",620,172,448
"S01007026",720,182,538
"S01007027",892,228,664
"S01007028",963,250,713
"S01007029",560,106,454
"S01007030",755,124,631
"S01007031",557,115,442
"S01007032",1135,267,868
"S01007033",789,166,623
"S01007034",445,102,343
"S01007035",792,174,618
"S01007036",830,202,628
"S01007037",883,152,731
"S01007038",910,156,754
"S01007039",487,95,392
"S01007040",672,155,517
"S01007041",454,90,364
"S01007042",342,67,275
"S01007043",1327,247,1080
"S01007044",553,91,462
"S01007045",903,171,732
"S01007046",523,114,409
"S01007047",766,152,614
"S01007048",1186,176,1010
"S01007049",773,179,594
"S01007050",386,62,324
"S01007051",630,120,510
"S01007052",556,80,476
"S01007053",460,107,353
"S01007054",735,140,595
"S01007055",620,94,526
"S01007056",815,149,666
"S01007057",383,53,330
"S01007058",621,131,490
"S01007059",871,103,768
"S01007060",607,90,517
"S01007061",853,84,769
"S01007062",629,88,541
"S01007063",584,90,494
"S01007064",662,113,549
"S01007065",498,62,436
"S01007066",1178,191,987
"S01007067",645,80,565
"S01007068",563,110,453
"S01007069",995,141,854
"S01007070",447,116,331
"S01007071",386,60,326
"S01007072",689,61,628
"S01007073",1212,215,997
"S01007074",693,109,584
"S01007075",695,114,581
"S01007076",1028,124,904
"S01007077",777,125,652
"S01007078",967,215,752
"S01007079",920,229,691
"S01007080",972,230,742
"S01007081",954,157,797
"S01007082",566,108,458
"S01007083",817,279,538
"S01007084",677,185,492
"S01007085",886,154,732
"S01007086",815,212,603
"S01007087",630,141,489
"S01007088",593,131,462
"S01007089",707,65,642
"S01007090",541,45,496
"S01007092",703,185,518
"S01007093",1080,95,985
"S01007094",935,159,776
"S01007095",649,97,552
"S01007096",603,77,526
"S01007097",286,35,251
"S01007098",378,57,321
"S01007099",654,106,548
"S01007100",757,114,643
"S01007101",586,102,484
"S01007102",854,160,694
"S01007103",543,75,468
"S01007104",1150,195,955
"S01007105",436,95,341
"S01007106",625,149,476
"S01007107",428,63,365
"S01007108",990,196,794
"S01007109",395,98,297
"S01007110",611,107,504
"S01007111",485,98,387
"S01007112",637,80,557
"S01007113",481,131,350
"S01007114",867,125,742
"S01007115",663,130,533
"S01007116",473,32,441
"S01007117",557,55,502
"S01007118",791,138,653
"S01007119",880,154,726
"S01007120",967,216,751
"S01007121",499,158,341
"S01007122",585,133,452
"S01007123",707,201,506
"S01007124",880,184,696
"S01007125",836,171,665
"S01007126",860,207,653
"S01007127",455,116,339
