dz_2011,total,house,flat,caravan,shared
S01006710,1064,1016,48,0,0
S01006711,1117,826,291,0,0
S01006712,631,623,8,0,0
S01006713,939,803,136,0,0
S01006714,881,701,180,0,0
S01006715,1123,731,392,0,0
S01006716,606,531,75,0,0
S01006717,1067,938,129,0,0
S01006718,627,585,42,0,0
S01006719,1031,1003,28,0,0
S01006720,745,688,57,0,0
S01006721,942,859,83,0,0
S01006722,856,751,105,0,0
S01006723,969,884,85,0,0
S01006724,1316,658,658,0,0
S01006725,950,768,182,0,0
S01006726,1391,358,1017,4,12
S01006727,1311,515,790,0,6
S01006728,887,574,313,0,0
S01006729,986,340,646,0,0
S01006730,778,655,123,0,0
S01006731,503,381,122,0,0
S01006732,1369,1277,66,26,0
S01006733,911,889,22,0,0
S01006734,1081,1011,67,3,0
S01006735,925,909,16,0,0
S01006736,1318,1287,30,1,0
S01006737,1055,1027,27,1,0
S01006738,827,226,550,51,0
S01006739,607,361,220,26,0
S01006740,1039,884,155,0,0
S01006741,754,728,26,0,0
S01006742,460,438,22,0,0
S01006743,1073,837,232,4,0
S01006744,662,319,343,0,0
S01006745,1048,626,422,0,0
S01006746,806,770,36,0,0
S01006747,1016,963,52,1,0
S01006748,1144,926,211,7,0
S01006749,1264,944,320,0,0
S01006750,733,548,185,0,0
S01006751,509,367,137,5,0
S01006752,810,618,190,2,0
S01006753,913,786,127,0,0
S01006754,1124,1017,107,0,0
S01006755,1082,896,175,11,0
S01006756,909,548,361,0,0
S01006757,1206,1125,81,0,0
S01006758,694,596,98,0,0
S01006759,1253,958,295,0,0
S01006760,593,507,86,0,0
S01006761,927,803,124,0,0
S01006762,939,844,95,0,0
S01006763,1100,1051,49,0,0
S01006764,790,713,77,0,0
S01006765,725,604,121,0,0
S01006766,608,576,32,0,0
S01006767,869,817,52,0,0
S01006768,599,590,9,0,0
S01006769,1283,1253,30,0,0
S01006770,655,646,9,0,0
S01006771,563,554,9,0,0
S01006772,1218,1037,181,0,0
S01006773,672,664,8,0,0
S01006774,799,782,17,0,0
S01006775,758,483,275,0,0
S01006776,662,404,258,0,0
S01006777,918,902,16,0,0
S01006778,867,782,85,0,0
S01006779,1058,821,236,1,0
S01006780,868,735,133,0,0
S01006781,972,922,50,0,0
S01006782,1015,816,199,0,0
S01006783,672,568,103,1,0
S01006784,697,543,154,0,0
S01006785,712,646,66,0,0
S01006786,1087,994,93,0,0
S01006787,968,917,51,0,0
S01006788,645,564,53,28,0
S01006789,894,788,106,0,0
S01006790,968,894,74,0,0
S01006791,529,506,21,2,0
S01006792,658,649,9,0,0
S01006793,567,526,41,0,0
S01006794,775,765,10,0,0
S01006795,765,679,86,0,0
S01006796,795,781,14,0,0
S01006797,737,720,16,1,0
S01006798,733,723,7,3,0
S01006799,1025,974,51,0,0
S01006800,960,940,18,2,0
S01006801,1333,1312,21,0,0
S01006802,675,603,69,3,0
S01006803,766,704,62,0,0
S01006804,1274,1183,91,0,0
S01006805,1346,1249,87,10,0
S01006806,1088,1073,15,0,0
S01006807,620,613,5,2,0
S01006808,968,944,11,13,0
S01006809,972,951,21,0,0
S01006810,1008,931,76,1,0
S01006811,1090,1062,28,0,0
S01006812,820,794,23,3,0
S01006813,996,869,127,0,0
S01006814,1105,1057,48,0,0
S01006815,753,570,183,0,0
S01006816,924,836,88,0,0
S01006817,853,809,42,2,0
S01006818,719,716,2,1,0
S01006819,1264,1248,11,5,0
S01006820,640,635,5,0,0
S01006821,1156,1123,33,0,0
S01006822,759,746,10,3,0
S01006823,827,714,111,2,0
S01006824,727,433,294,0,0
S01006825,1017,973,44,0,0
S01006826,1243,1215,25,3,0
S01006827,1025,850,175,0,0
S01006828,1009,560,447,0,2
S01006829,706,652,54,0,0
S01006830,634,610,24,0,0
S01006831,1229,1218,11,0,0
S01006832,1003,798,205,0,0
S01006833,712,618,94,0,0
S01006834,336,336,0,0,0
S01006835,1287,695,590,2,0
S01006836,514,377,137,0,0
S01006837,1004,969,35,0,0
S01006838,979,956,20,3,0
S01006839,933,924,9,0,0
S01006840,1211,1210,1,0,0
S01006841,1332,1302,30,0,0
S01006842,994,968,26,0,0
S01006843,965,943,22,0,0
S01006844,671,546,123,2,0
S01006845,1028,965,63,0,0
S01006846,837,789,48,0,0
S01006847,754,753,1,0,0
S01006848,1336,1258,78,0,0
S01006849,1300,1120,77,103,0
S01006850,1119,1114,5,0,0
S01006851,805,762,43,0,0
S01006852,595,588,7,0,0
