output_area,total,white,nonwhite
60QA000001,58,58,0
60QA000002,174,165,9
60QA000003,76,73,3
60QA000004,66,64,2
60QA000005,82,76,6
60QA000006,198,188,10
60QA000007,73,73,0
60QA000008,108,107,1
60QA000009,153,153,0
60QA000010,65,62,3
60QA000011,71,71,0
60QA000012,84,83,1
60QA000013,212,204,8
60QA000014,99,94,5
60QA000015,77,77,0
60QA000016,130,128,2
60QA000017,144,127,17
60QA000018,123,117,6
60QA000019,62,61,1
60QA000020,65,61,4
60QA000021,55,51,4
60QA000022,54,52,2
60QA000023,85,79,6
60QA000024,90,88,2
60QA000025,72,69,3
60QA000026,59,58,1
60QA000027,73,73,0
60QA000028,119,110,9
60QA000029,56,54,2
60QA000030,63,63,0
60QA000031,71,66,5
60QA000032,92,92,0
60QA000033,115,112,3
60QA000034,170,154,16
60QA000035,164,134,30
60QA000036,124,118,6
60QA000037,62,57,5
60QA000038,100,94,6
60QA000039,178,174,4
60QA000040,129,126,3
60QA000041,71,70,1
60QA000042,57,56,1
60QA000043,121,121,0
60QA000044,143,136,7
60QA000045,117,113,4
60QA000046,101,96,5
60QA000047,137,137,0
60QA000048,112,111,1
60QA000049,114,111,3
60QA000050,131,131,0
60QA000051,71,59,12
60QA000052,98,89,9
60QA000053,85,76,9
60QA000054,116,115,1
60QA000055,164,149,15
60QA000056,128,128,0
60QA000057,69,66,3
60QA000058,95,92,3
60QA000059,81,78,3
60QA000060,97,90,7
60QA000061,82,79,3
60QA000062,68,67,1
60QA000063,67,66,1
60QA000064,99,99,0
60QA000065,96,94,2
60QA000066,81,81,0
60QA000067,71,69,2
60QA000068,68,65,3
60QA000069,120,103,17
60QA000070,60,59,1
60QA000071,69,67,2
60QA000072,61,60,1
60QA000073,87,80,7
60QA000074,97,96,1
60QA000075,59,56,3
60QA000076,160,121,39
60QA000077,82,82,0
60QA000078,190,182,8
60QA000079,66,65,1
60QA000080,123,121,2
60QA000081,78,77,1
60QA000082,211,209,2
60QA000083,94,94,0
60QA000084,102,102,0
60QA000085,131,131,0
60QA000086,119,118,1
60QA000087,141,140,1
60QA000088,155,152,3
60QA000089,90,90,0
60QA000090,80,79,1
60QA000091,88,85,3
60QA000092,62,62,0
