"output_area","total","employed","unemployed","other"
"60QA000001",47,28,1,18
"60QA000002",128,90,3,35
"60QA000003",56,40,2,14
"60QA000004",51,24,1,26
"60QA000005",54,30,0,24
"60QA000006",162,98,1,63
"60QA000007",53,31,0,22
"60QA000008",76,52,1,23
"60QA000009",122,92,0,30
"60QA000010",54,40,1,13
"60QA000011",46,36,1,9
"60QA000012",65,53,0,12
"60QA000013",165,126,2,37
"60QA000014",82,54,6,22
"60QA000015",57,42,2,13
"60QA000016",114,86,5,23
"60QA000017",109,53,8,48
"60QA000018",96,62,2,32
"60QA000019",56,35,3,18
"60QA000020",64,44,2,18
"60QA000021",55,36,2,17
"60QA000022",52,38,1,13
"60QA000023",81,58,3,20
"60QA000024",85,48,4,33
"60QA000025",50,17,1,32
"60QA000026",45,21,2,22
"60QA000027",67,44,2,21
"60QA000028",119,64,2,53
"60QA000029",56,27,3,26
"60QA000030",62,29,6,27
"60QA000031",66,25,2,39
"60QA000032",86,55,3,28
"60QA000033",111,78,2,31
"60QA000034",170,5,1,164
"60QA000035",162,75,1,86
"60QA000036",107,57,5,45
"60QA000037",60,29,2,29
"60QA000038",79,39,3,37
"60QA000039",131,96,3,32
"60QA000040",104,75,1,28
"60QA000041",63,53,3,7
"60QA000042",50,39,4,7
"60QA000043",89,48,6,35
"60QA000044",105,61,0,44
"60QA000045",62,52,1,9
"60QA000046",87,71,1,15
"60QA000047",105,68,2,35
"60QA000048",90,59,3,28
"60QA000049",94,73,2,19
"60QA000050",109,87,5,17
"60QA000051",61,26,2,33
"60QA000052",88,55,5,28
"60QA000053",70,56,2,12
"60QA000054",101,80,4,17
"60QA000055",121,81,1,39
"60QA000056",98,75,4,19
"60QA000057",66,51,0,15
"60QA000058",80,54,3,23
"60QA000059",74,51,0,23
"60QA000060",76,64,0,12
"60QA000061",77,45,1,31
"60QA000062",60,49,2,9
"60QA000063",65,38,3,24
"60QA000064",93,68,6,19
"60QA000065",96,73,3,20
"60QA000066",78,62,3,13
"60QA000067",68,58,2,8
"60QA000068",65,42,4,19
"60QA000069",104,59,5,40
"60QA000070",48,31,4,13
"60QA000071",64,52,1,11
"60QA000072",59,44,0,15
"60QA000073",73,46,4,23
"60QA000074",89,53,4,32
"60QA000075",59,42,0,17
"60QA000076",151,61,8,82
"60QA000077",56,38,4,14
"60QA000078",118,78,4,36
"60QA000079",46,20,8,18
"60QA000080",85,49,4,32
"60QA000081",55,31,2,22
"60QA000082",178,80,6,92
"60QA000083",82,62,1,19
"60QA000084",76,44,3,29
"60QA000085",93,53,1,39
"60QA000086",88,54,0,34
"60QA000087",113,74,2,37
"60QA000088",128,83,1,44
"60QA000089",73,51,4,18
"60QA000090",70,56,1,13
"60QA000091",77,47,5,25
"60QA000092",58,48,2,8
"60QA000093",88,52,7,29
"60QA000094",66,48,1,17
"60QA000095",58,43,3,12
"60QA000096",100,72,5,23
"60QA000097",78,58,5,15
"60QA000098",71,48,7,16
"60QA000099",87,58,4,25
"60QA000100",55,31,5,19
"60QA000101",54,36,3,15
"60QA000102",65,49,3,13
"60QA000103",68,49,3,16
"60QA000104",64,36,4,24
"60QA000105",50,34,1,15
"60QA000106",67,49,1,17
"60QA000107",70,42,7,21
"60QA000108",98,78,3,17
"60QA000109",59,47,3,9
"60QA000110",102,53,6,43
"60QA000111",69,48,4,17
"60QA000112",43,22,0,21
"60QA000113",39,27,0,12
"60QA000114",57,26,6,25
"60QA000115",54,21,1,32
"60QA000116",65,19,3,43
"60QA000117",84,48,2,34
"60QA000118",82,51,1,30
"60QA000119",76,36,6,34
"60QA000120",74,47,2,25
"60QA000121",100,54,3,43
"60QA000122",75,42,4,29
"60QA000123",83,57,6,20
"60QA000124",92,57,4,31
"60QA000125",91,41,7,43
"60QA000126",89,45,8,36
"60QA000127",98,56,7,35
"60QA000128",72,26,11,35
"60QA000129",80,48,6,26
"60QA000130",67,42,3,22
"60QA000131",107,60,16,31
"60QA000132",70,32,3,35
"60QA000133",84,47,1,36
"60QA000134",52,29,3,20
"60QA000135",45,22,3,20
"60QA000136",70,60,0,10
"60QA000137",68,58,1,9
"60QA000138",89,69,1,19
"60QA000139",88,71,0,17
"60QA000140",63,39,4,20
"60QA000141",63,30,2,31
"60QA000142",48,26,3,19
"60QA000143",67,45,1,21
"60QA000144",101,53,6,42
"60QA000145",107,41,7,59
"60QA000146",39,7,0,32
"60QA000147",71,38,1,32
"60QA000148",114,54,14,46
"60QA000149",63,32,5,26
"60QA000150",78,44,8,26
"60QA000151",130,84,2,44
"60QA000152",55,29,2,24
"60QA000153",76,48,2,26
"60QA000154",73,46,5,22
"60QA000155",57,30,1,26
"60QA000156",122,66,9,47
"60QA000157",82,40,4,38
"60QA000158",127,64,5,58
"60QA000159",89,56,4,29
"60QA000160",75,41,5,29
"60QA000161",77,46,5,26
"60QA000162",87,58,3,26
"60QA000163",72,45,5,22
"60QA000164",77,52,2,23
"60QA000165",75,61,1,13
"60QA000166",100,60,3,37
"60QA000167",114,72,4,38
"60QA000168",101,54,0,47
"60QA000169",85,58,0,27
"60QA000170",96,56,1,39
"60QA000171",21,3,0,18
"60QA000172",71,46,0,25
"60QA000173",87,54,1,32
"60QA000174",89,50,2,37
"60QA000175",115,71,3,41
"60QA000176",84,42,7,35
"60QA000177",86,57,2,27
"60QA000178",51,26,2,23
"60QA000179",52,37,0,15
"60QA000180",83,65,2,16
"60QA000181",70,40,3,27
"60QA000182",78,44,3,31
"60QA000183",85,51,3,31
"60QA000184",78,52,5,21
"60QA000185",90,59,2,29
"60QA000186",59,25,2,32
"60QA000187",94,36,2,56
"60QA000188",55,31,1,23
"60QA000189",72,44,0,28
"60QA000190",88,50,4,34
"60QA000191",109,71,0,38
"60QA000192",101,62,4,35
"60QA000193",63,32,2,29
"60QA000194",82,41,1,40
"60QA000195",73,43,0,30
"60QA000196",80,43,5,32
"60QA000197",87,56,3,28
"60QA000198",67,36,1,30
"60QA000199",89,40,0,49
"60QA000200",112,57,3,52
"60QA000201",91,47,4,40
"60QA000202",24,8,0,16
"60QA000203",102,58,8,36
"60QA000204",57,29,0,28
"60QA000205",62,25,1,36
"60QA000206",48,22,1,25
"60QA000207",43,30,0,13
"60QA000208",122,71,6,45
"60QA000209",98,55,5,38
"60QA000210",75,45,4,26
"60QA000211",95,55,2,38
"60QA000212",121,70,2,49
"60QA000213",135,76,3,56
"60QA000214",117,73,1,43
"60QA000215",79,46,2,31
"60QA000216",94,60,5,29
"60QA000217",85,54,3,28
"60QA000218",86,66,1,19
"60QA000219",105,59,1,45
"60QA000220",69,41,0,28
"60QA000221",102,68,1,33
"60QA000222",131,81,2,48
"60QA000223",275,73,3,199
"60QA000224",97,60,3,34
"60QA000225",90,54,1,35
"60QA000226",98,63,2,33
"60QA000227",92,63,0,29
"60QA000228",61,35,1,25
"60QA000229",72,51,2,19
"60QA000230",55,39,0,16
"60QA000231",77,48,2,27
"60QA000232",132,92,5,35
"60QA000233",136,95,3,38
"60QA000234",92,63,4,25
"60QA000235",80,61,4,15
"60QA000236",88,53,4,31
"60QA000237",72,49,0,23
"60QA000238",72,57,0,15
"60QA000239",58,42,1,15
"60QA000240",64,46,4,14
"60QA000241",55,41,4,10
"60QA000242",109,53,4,52
"60QA000243",58,46,1,11
"60QA000244",69,51,0,18
"60QA000245",64,32,4,28
"60QA000246",99,81,1,17
"60QA000247",64,43,2,19
"60QA000248",97,60,9,28
"60QA000249",62,32,2,28
"60QA000250",70,54,5,11
"60QA000251",57,31,4,22
"60QA000252",67,47,2,18
"60QA000253",82,53,5,24
"60QA000254",126,82,1,43
"60QA000255",105,85,1,19
"60QA000256",106,79,4,23
"60QA000257",71,50,0,21
"60QA000258",75,55,1,19
"60QA000259",80,46,2,32
"60QA000260",65,50,0,15
"60QA000261",160,112,3,45
"60QA000262",82,60,1,21
"60QA000263",81,55,3,23
"60QA000264",76,57,1,18
"60QA000265",108,74,2,32
"60QA000266",87,53,1,33
"60QA000267",79,57,1,21
"60QA000268",130,98,3,29
"60QA000269",125,81,2,42
"60QA000270",98,61,2,35
"60QA000271",89,58,2,29
"60QA000272",61,28,0,33
"60QA000273",55,34,1,20
"60QA000274",120,78,3,39
"60QA000275",112,68,5,39
"60QA000276",124,89,3,32
"60QA000277",103,60,2,41
"60QA000278",83,56,2,25
"60QA000279",97,61,2,34
"60QA000280",96,56,1,39
"60QA000281",86,65,4,17
"60QA000282",83,64,2,17
"60QA000283",83,57,1,25
