"output_area","total","pensioner","student","other"
"60QA000213",77,24,0,53
"60QA000214",63,17,1,45
"60QA000215",46,13,0,33
"60QA000216",48,10,1,37
"60QA000217",46,8,1,37
"60QA000218",45,4,0,41
"60QA000219",57,21,0,36
"60QA000220",38,12,0,26
"60QA000221",68,17,0,51
"60QA000222",73,26,1,46
"60QA000223",67,18,0,49
"60QA000224",63,18,0,45
"60QA000225",45,10,0,35
"60QA000226",55,12,0,43
"60QA000227",56,13,0,43
"60QA000228",55,21,0,34
"60QA000229",31,1,1,29
"60QA000230",34,11,0,23
"60QA000231",44,12,0,32
"60QA000232",76,8,2,66
"60QA000233",73,10,0,63
"60QA000234",51,12,0,39
"60QA000235",51,9,0,42
"60QA000236",50,16,0,34
"60QA000237",44,10,1,33
"60QA000238",51,3,0,48
"60QA000239",35,1,3,31
"60QA000240",44,0,2,42
"60QA000241",43,1,0,42
"60QA000242",66,3,13,50
"60QA000243",39,1,2,36
"60QA000244",42,3,1,38
"60QA000245",38,5,7,26
"60QA000246",70,3,2,65
"60QA000247",48,3,2,43
"60QA000248",80,6,3,71
"60QA000249",43,2,1,40
"60QA000250",47,2,1,44
"60QA000251",35,1,1,33
"60QA000252",51,13,0,38
"60QA000253",61,6,0,55
"60QA000254",68,6,4,58
"60QA000255",76,5,0,71
"60QA000256",81,8,0,73
"60QA000257",41,4,2,35
"60QA000258",50,10,0,40
"60QA000259",47,7,1,39
"60QA000260",53,6,0,47
"60QA000261",79,5,2,72
"60QA000262",47,6,0,41
"60QA000263",65,3,2,60
"60QA000264",59,7,1,51
"60QA000265",55,10,0,45
"60QA000266",59,20,0,39
"60QA000267",43,10,0,33
"60QA000268",70,8,0,62
"60QA000269",68,19,0,49
"60QA000270",52,14,0,38
"60QA000271",56,14,0,42
"60QA000272",42,15,0,27
"60QA000273",35,12,0,23
"60QA000274",72,18,0,54
"60QA000275",59,16,0,43
"60QA000276",66,9,0,57
"60QA000277",50,6,0,44
"60QA000278",44,6,0,38
"60QA000279",56,18,1,37
"60QA000280",53,13,1,39
"60QA000281",53,7,0,46
"60QA000282",44,8,0,36
"60QA000283",45,7,0,38
"60QA000284",46,4,2,40
"60QA000285",37,11,1,25
"60QA000286",58,11,0,47
"60QA000287",71,8,0,63
"60QA000288",66,18,0,48
"60QA000289",39,3,0,36
"60QA000290",73,16,0,57
"60QA000291",53,3,2,48
"60QA000292",67,8,1,58
"60QA000293",46,3,1,42
"60QA000294",80,3,0,77
"60QA000295",60,7,0,53
"60QA000296",73,7,0,66
"60QA000297",36,5,0,31
"60QA000298",25,0,0,25
"60QA000299",55,4,1,50
"60QA000300",62,3,1,58
"60QA000301",48,45,0,3
"60QA000302",38,4,2,32
"60QA000303",71,14,0,57
"60QA000304",53,50,0,3
"60QA000305",31,4,1,26
"60QA000306",31,5,0,26
"60QA000307",37,12,0,25
"60QA000308",32,7,3,22
"60QA000309",80,15,0,65
"60QA000310",76,19,4,53
"60QA000311",68,5,2,61
"60QA000312",70,54,0,16
"60QA000313",52,13,1,38
"60QA000314",50,13,0,37
"60QA000315",33,11,0,22
"60QA000316",40,8,0,32
"60QA000317",41,18,0,23
"60QA000318",75,14,3,58
"60QA000319",70,10,7,53
"60QA000320",71,26,1,44
"60QA000321",66,18,0,48
"60QA000322",52,14,0,38
"60QA000323",49,23,0,26
"60QA000324",42,27,0,15
"60QA000325",41,9,1,31
"60QA000326",50,14,0,36
"60QA000327",44,8,0,36
"60QA000328",75,14,2,59
"60QA000329",66,13,2,51
"60QA000330",43,28,0,15
"60QA000331",66,37,0,29
"60QA000332",53,14,1,38
"60QA000333",25,8,0,17
"60QA000334",51,15,0,36
"60QA000335",70,13,2,55
"60QA000336",49,18,0,31
"60QA000337",43,9,0,34
"60QA000338",74,36,0,38
"60QA000339",71,5,0,66
"60QA000340",51,13,0,38
"60QA000341",49,17,0,32
"60QA000342",39,6,0,33
"60QA000343",46,20,0,26
"60QA000344",60,13,0,47
"60QA000345",46,16,0,30
"60QA000346",39,14,0,25
"60QA000347",56,27,0,29
"60QA000348",40,20,0,20
"60QA000349",44,21,0,23
"60QA000350",45,15,0,30
"60QA000351",55,19,0,36
"60QA000352",50,21,0,29
"60QA000353",47,18,0,29
"60QA000354",47,21,0,26
"60QA000355",47,19,0,28
"60QA000356",72,23,0,49
"60QA000357",73,17,0,56
"60QA000358",75,25,0,50
"60QA000359",67,20,0,47
"60QA000360",51,23,0,28
"60QA000361",41,15,0,26
"60QA000362",46,13,0,33
"60QA000363",74,32,0,42
"60QA000364",70,34,0,36
"60QA000365",69,35,0,34
"60QA000366",46,28,1,17
"60QA000367",56,20,0,36
"60QA000368",39,21,0,18
"60QA000369",50,15,0,35
"60QA000370",63,19,0,44
"60QA000371",49,17,0,32
"60QA000372",40,12,0,28
"60QA000373",48,21,0,27
"60QA000374",55,15,0,40
"60QA000375",41,19,0,22
"60QA000376",60,18,0,42
"60QA000377",53,18,0,35
"60QA000378",42,21,0,21
"60QA000379",59,12,0,47
"60QA000380",20,2,0,18
"60QA000381",52,14,2,36
"60QA000382",41,14,1,26
"60QA000383",57,16,0,41
"60QA000384",66,29,0,37
"60QA000385",71,30,1,40
"60QA000386",54,9,0,45
"60QA000387",64,10,2,52
"60QA000388",64,4,1,59
"60QA000389",49,1,2,46
"60QA000390",56,26,0,30
"60QA000391",100,9,2,89
"60QA000392",71,44,0,27
"60QA000393",74,30,1,43
"60QA000394",38,16,0,22
"60QA000395",75,17,1,57
"60QA000396",74,39,0,35
"60QA000397",67,31,0,36
"60QA000398",39,17,0,22
"60QA000399",41,9,0,32
"60QA000400",77,26,0,51
"60QA000401",64,20,0,44
"60QA000402",46,19,0,27
"60QA000403",60,24,0,36
"60QA000404",50,15,0,35
"60QA000405",48,13,0,35
"60QA000406",44,12,0,32
"60QA000407",73,21,0,52
"60QA000408",67,23,0,44
"60QA000409",79,27,0,52
"60QA000410",46,14,0,32
"60QA000411",42,20,0,22
"60QA000412",70,36,0,34
"60QA000413",42,21,0,21
"60QA000414",45,19,0,26
"60QA000415",45,28,0,17
"60QA000416",73,26,0,47
"60QA000417",58,24,0,34
"60QA000418",44,14,0,30
"60QA000419",47,12,1,34
"60QA000420",44,41,0,3
"60QA000421",42,10,0,32
"60QA000422",41,14,1,26
"60QA000423",55,26,1,28
"60QA000424",39,10,0,29
"60QA000425",42,16,0,26
"60QA000426",45,16,0,29
"60QA000427",50,2,0,48
"60QA000428",58,27,0,31
"60QA000429",47,4,0,43
"60QA000430",46,7,0,39
"60QA000431",40,1,0,39
"60QA000432",32,2,0,30
"60QA000433",78,29,0,49
"60QA000434",61,5,0,56
"60QA000435",41,21,0,20
"60QA000436",46,15,0,31
"60QA000437",51,4,0,47
"60QA000438",55,19,0,36
"60QA000439",56,16,0,40
"60QA000440",56,13,0,43
"60QA000441",51,13,0,38
"60QA000442",60,17,0,43
"60QA000443",52,19,0,33
"60QA000444",57,14,0,43
"60QA000445",52,15,0,37
"60QA000446",33,7,0,26
"60QA000447",45,13,0,32
"60QA000448",66,28,0,38
"60QA000449",44,8,0,36
"60QA000450",33,13,0,20
"60QA000451",28,10,0,18
"60QA000452",46,28,0,18
"60QA000453",44,22,0,22
"60QA000454",49,11,0,38
"60QA000455",48,9,0,39
"60QA000456",55,14,0,41
"60QA000457",53,12,0,41
"60QA000458",42,12,0,30
"60QA000459",24,5,0,19
"60QA000460",43,12,0,31
"60QA000461",64,22,0,42
"60QA000462",40,8,1,31
"60QA000463",43,1,1,41
"60QA000464",42,3,0,39
"60QA000465",58,35,2,21
"60QA000466",33,0,0,33
"60QA000467",42,32,0,10
"60QA000468",71,2,1,68
"60QA000469",40,13,0,27
"60QA000470",60,29,0,31
"60QA000471",78,38,2,38
"60QA000472",53,6,2,45
"60QA000473",43,7,3,33
"60QA000474",45,2,4,39
"60QA000475",77,69,0,8
"60QA000476",78,20,2,56
"60QA000477",54,12,3,39
"60QA000478",63,11,6,46
"60QA000479",78,4,4,70
"60QA000480",55,2,4,49
"60QA000481",75,8,3,64
"60QA000482",40,0,2,38
"60QA000483",67,16,1,50
"60QA000484",90,10,2,78
"60QA000485",39,5,1,33
"60QA000486",38,2,2,34
"60QA000487",59,2,6,51
"60QA000488",54,2,11,41
"60QA000489",40,0,5,35
"60QA000490",39,4,4,31
"60QA000491",46,0,4,42
"60QA000492",45,0,7,38
"60QA000493",42,16,0,26
"60QA000494",40,2,3,35
"60QA000495",75,54,0,21
"60QA000496",59,46,0,13
"60QA000497",66,31,12,23
"60QA000498",71,5,15,51
"60QA000499",74,10,4,60
"60QA000500",60,0,18,42
"60QA000501",47,21,0,26
"60QA000502",36,20,3,13
"60QA000503",56,24,0,32
"60QA000504",42,18,0,24
"60QA000505",45,18,0,27
"60QA000506",76,18,12,46
"60QA000507",60,5,2,53
"60QA000508",38,3,1,34
"60QA000509",46,8,1,37
"60QA000510",68,7,2,59
"60QA000511",62,7,0,55
"60QA000512",52,48,0,4
"60QA000513",54,51,0,3
"60QA000514",50,46,0,4
"60QA000515",47,9,0,38
"60QA000516",55,12,0,43
"60QA000517",52,6,0,46
"60QA000518",52,5,3,44
"60QA000519",66,4,0,62
"60QA000520",59,6,0,53
"60QA000521",35,3,1,31
"60QA000522",53,9,26,18
"60QA000523",61,11,1,49
"60QA000524",52,26,2,24
"60QA000525",106,61,1,44
"60QA000526",52,19,0,33
"60QA000527",42,15,0,27
"60QA000528",66,33,0,33
"60QA000529",53,21,1,31
"60QA000530",47,16,1,30
"60QA000531",54,17,1,36
"60QA000532",39,13,0,26
"60QA000533",73,57,1,15
"60QA000534",73,60,0,13
"60QA000535",64,27,0,37
"60QA000536",57,23,1,33
"60QA000537",74,19,2,53
"60QA000538",56,14,0,42
"60QA000539",38,16,0,22
"60QA000540",64,23,0,41
"60QA000541",43,14,0,29
"60QA000542",64,18,0,46
"60QA000543",39,14,0,25
"60QA000544",37,9,0,28
"60QA000545",44,16,2,26
"60QA000546",43,13,1,29
"60QA000547",41,17,0,24
"60QA000548",83,1,0,82
"60QA000549",54,8,1,45
"60QA000550",36,6,0,30
"60QA000551",53,52,0,1
"60QA000552",46,7,1,38
"60QA000553",73,16,1,56
"60QA000554",76,6,1,69
"60QA000555",62,25,0,37
"60QA000556",49,16,1,32
"60QA000557",60,35,2,23
"60QA000558",30,0,3,27
