output_area,total,non_catholic_christian,catholic_christian,jewish,muslim,none,other
S00089122,65,11,4,0,0,45,5
S00089123,151,33,1,0,0,109,8
S00089124,105,29,1,0,0,70,5
S00089125,164,36,2,0,4,106,16
S00089126,116,18,14,0,0,80,4
S00089127,93,25,15,0,0,48,5
S00089128,97,6,3,0,0,80,8
S00089129,197,64,15,0,1,110,7
S00089130,93,38,2,0,0,41,12
S00089131,102,26,0,0,1,66,9
S00089132,87,38,1,0,1,38,9
S00089133,87,40,4,0,0,36,7
S00089134,129,51,7,0,0,68,3
S00089135,144,85,4,0,0,43,12
S00089136,112,45,5,0,1,49,12
S00089137,109,56,3,0,0,37,13
S00089138,55,30,2,0,0,18,5
S00089139,86,29,2,0,10,40,5
S00089140,100,31,10,0,0,55,4
S00089141,120,45,1,0,8,59,7
S00089142,137,34,13,0,0,86,4
S00089143,105,31,19,0,1,51,3
S00089144,91,26,3,0,0,52,10
S00089145,127,46,6,0,4,52,19
S00089146,117,33,8,0,6,66,4
S00089147,96,28,8,0,2,53,5
S00089148,123,24,4,0,0,85,10
S00089149,124,27,10,0,0,81,6
S00089150,151,57,16,0,0,64,14
S00089151,61,19,1,0,0,36,5
S00089152,54,17,2,0,0,27,8
S00089153,63,34,3,0,0,22,4
S00089154,72,16,3,0,0,48,5
S00089155,84,35,1,0,0,40,8
S00089156,129,47,12,0,5,56,9
S00089157,105,36,3,0,0,62,4
S00089158,136,46,2,0,5,63,20
S00089159,90,31,4,0,3,42,10
S00089160,112,45,4,0,0,59,4
S00089161,95,26,4,0,0,58,7
S00089162,77,16,4,0,0,49,8
S00089163,115,28,10,0,1,70,6
S00089164,78,30,3,0,0,38,7
S00089165,105,27,11,0,4,55,8
S00089166,150,43,2,0,0,95,10
S00089167,107,30,3,0,0,70,4
S00089168,64,41,4,0,0,15,4
S00089169,117,35,4,0,5,67,6
S00089170,90,24,11,0,4,51,0
S00089171,74,28,6,0,0,31,9
S00089172,64,14,11,0,0,36,3
S00089173,139,40,10,0,0,74,15
S00089174,161,43,9,0,0,92,17
S00089175,124,32,9,0,0,78,5
S00089176,102,30,1,0,1,64,6
S00089177,129,23,3,0,0,91,12
S00089178,149,47,6,0,1,86,9
S00089179,172,52,10,0,1,101,8
S00089180,134,45,2,0,0,79,8
S00089181,101,35,5,0,0,55,6
S00089182,114,27,6,1,0,71,9
S00089183,98,24,5,0,0,63,6
S00089184,137,67,2,0,0,55,13
S00089185,136,74,3,0,1,46,12
S00089186,114,40,19,0,0,46,9
S00089187,67,19,7,0,6,28,7
S00089188,146,83,11,0,1,42,9
S00089189,152,62,18,0,1,60,11
S00089190,113,41,18,0,5,39,10
S00089191,137,46,13,0,13,57,8
S00089192,111,30,13,0,10,42,16
S00089193,132,42,18,0,5,58,9
S00089194,153,62,15,0,3,56,17
S00089195,135,65,11,0,1,53,5
S00089196,119,58,21,0,0,39,1
S00089197,116,52,10,0,5,36,13
S00089198,83,33,11,0,0,34,5
S00089199,100,28,4,0,0,44,24
S00089200,69,25,1,0,1,33,9
S00089201,98,46,18,0,0,26,8
S00089202,152,44,7,0,0,90,11
S00089203,214,69,22,0,6,104,13
S00089204,149,46,22,0,0,70,11
S00089205,117,50,15,0,0,42,10
S00089206,122,47,11,0,1,52,11
S00089207,100,44,7,0,0,42,7
S00089208,76,13,16,0,1,37,9
S00089209,73,15,7,0,5,41,5
S00089210,76,16,7,0,5,40,8
S00089211,71,13,12,0,1,40,5
S00089212,106,25,15,0,1,57,8
S00089213,68,13,12,0,0,36,7
S00089214,61,15,3,0,0,41,2
S00089215,67,17,8,0,7,27,8
S00089216,97,16,10,0,8,60,3
S00089217,79,16,24,0,2,29,8
S00089218,126,12,28,0,1,74,11
S00089219,84,12,17,0,0,49,6
S00089220,60,16,7,0,2,29,6
S00089221,146,37,20,0,4,75,10
S00089222,89,12,11,0,13,48,5
S00089223,70,23,2,0,1,40,4
S00089224,191,59,25,0,0,93,14
