"output_area","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"60QA000052",98,25,14,0,6,47,6
"60QA000053",85,22,8,0,7,36,12
"60QA000054",116,50,4,0,0,55,7
"60QA000055",164,76,15,0,6,45,22
"60QA000056",128,53,13,0,0,58,4
"60QA000057",69,22,7,0,0,33,7
"60QA000058",95,36,8,0,0,45,6
"60QA000059",81,26,6,0,0,48,1
"60QA000060",97,36,1,0,1,54,5
"60QA000061",82,34,4,0,0,37,7
"60QA000062",68,18,2,0,0,42,6
"60QA000063",67,24,3,0,1,30,9
"60QA000064",99,32,8,0,0,53,6
"60QA000065",96,34,6,0,1,49,6
"60QA000066",81,23,8,0,0,41,9
"60QA000067",71,20,5,0,0,41,5
"60QA000068",68,21,4,0,1,32,10
"60QA000069",120,44,3,0,11,55,7
"60QA000070",60,17,5,0,0,29,9
"60QA000071",69,21,3,0,0,44,1
"60QA000072",61,28,7,0,0,26,0
"60QA000073",87,26,10,0,0,44,7
"60QA000074",97,40,6,0,0,47,4
"60QA000075",59,24,4,0,0,26,5
"60QA000076",160,44,13,0,11,67,25
"60QA000077",82,12,7,0,0,57,6
"60QA000078",190,88,7,0,1,73,21
"60QA000079",66,12,5,0,0,42,7
"60QA000080",123,13,3,0,0,87,20
"60QA000081",78,23,2,0,0,42,11
"60QA000082",211,110,10,0,0,60,31
"60QA000083",94,50,8,0,0,34,2
"60QA000084",102,68,4,0,0,28,2
"60QA000085",131,48,4,0,0,72,7
"60QA000086",119,54,5,0,0,51,9
"60QA000087",141,64,8,0,0,57,12
"60QA000088",155,55,10,0,0,83,7
"60QA000089",90,32,1,0,0,52,5
"60QA000090",80,25,5,0,0,43,7
"60QA000091",88,27,2,0,0,56,3
"60QA000092",62,12,3,0,0,46,1
"60QA000093",104,27,4,0,0,63,10
"60QA000094",71,33,2,0,0,33,3
"60QA000095",64,18,4,0,0,38,4
"60QA000096",104,31,12,0,0,55,6
"60QA000097",90,28,10,0,1,46,5
"60QA000098",84,32,3,0,0,45,4
"60QA000099",93,24,6,0,0,58,5
"60QA000100",63,19,5,0,0,31,8
"60QA000101",62,13,6,0,0,34,9
"60QA000102",75,33,1,0,0,34,7
"60QA000103",76,27,4,0,0,37,8
"60QA000104",74,18,8,0,0,41,7
"60QA000105",76,39,0,0,0,32,5
"60QA000106",70,21,5,0,0,42,2
"60QA000107",77,35,4,1,0,28,9
"60QA000108",119,45,9,0,0,58,7
"60QA000109",62,14,5,0,0,39,4
"60QA000110",123,45,3,0,0,66,9
"60QA000111",71,29,5,0,0,35,2
"60QA000112",54,26,4,0,0,21,3
"60QA000113",56,26,0,0,0,27,3
"60QA000114",92,21,1,0,0,63,7
"60QA000115",73,37,5,0,0,29,2
"60QA000116",79,40,2,0,0,28,9
"60QA000117",133,36,8,0,0,75,14
"60QA000118",108,64,1,0,0,39,4
"60QA000119",103,35,5,0,0,57,6
"60QA000120",107,59,1,0,0,43,4
"60QA000121",129,58,5,0,4,51,11
"60QA000122",101,40,9,0,0,49,3
"60QA000123",106,40,4,0,0,55,7
"60QA000124",128,41,3,0,0,69,15
"60QA000125",160,36,11,0,0,106,7
"60QA000126",156,30,6,0,0,82,38
"60QA000127",133,40,2,0,5,73,13
"60QA000128",100,25,4,0,0,57,14
"60QA000129",108,21,6,0,3,72,6
"60QA000130",89,29,5,0,0,48,7
"60QA000131",147,33,2,0,0,104,8
"60QA000132",110,16,5,0,1,74,14
"60QA000133",101,61,3,0,0,34,3
"60QA000134",74,20,0,0,0,49,5
"60QA000135",68,9,3,0,0,54,2
"60QA000136",78,18,7,0,0,48,5
"60QA000137",79,20,3,0,0,55,1
"60QA000138",110,35,6,0,0,60,9
"60QA000139",106,41,5,0,0,51,9
"60QA000140",81,26,6,0,1,41,7
"60QA000141",88,36,3,0,0,40,9
"60QA000142",54,16,3,0,0,31,4
"60QA000143",95,34,4,0,0,53,4
"60QA000144",153,45,8,0,0,89,11
"60QA000145",121,28,5,0,0,68,20
"60QA000146",59,36,2,0,0,17,4
"60QA000147",119,29,0,0,0,73,17
"60QA000148",145,51,3,0,0,80,11
"60QA000149",103,16,5,0,0,76,6
"60QA000150",111,37,0,0,0,69,5
"60QA000151",168,67,17,0,0,74,10
"60QA000152",64,24,1,0,0,31,8
"60QA000153",93,52,1,0,0,37,3
"60QA000154",149,98,3,0,0,43,5
"60QA000155",69,18,3,0,0,37,11
"60QA000156",159,64,10,0,0,80,5
"60QA000157",107,39,6,0,0,58,4
"60QA000158",178,57,9,0,10,93,9
"60QA000159",133,53,6,0,0,63,11
"60QA000160",96,36,2,0,0,54,4
"60QA000161",113,49,3,0,0,58,3
"60QA000162",134,50,5,0,0,68,11
"60QA000163",101,57,2,0,0,38,4
"60QA000164",111,50,1,0,0,51,9
"60QA000165",99,33,3,0,7,49,7
"60QA000166",143,81,4,0,0,57,1
"60QA000167",143,76,1,0,0,60,6
"60QA000168",121,79,5,0,0,32,5
"60QA000169",112,60,10,0,3,34,5
"60QA000170",116,67,10,0,0,36,3
"60QA000171",57,41,8,0,0,7,1
"60QA000172",96,53,2,0,0,40,1
"60QA000173",110,48,5,0,0,55,2
"60QA000174",117,55,7,0,0,51,4
"60QA000175",163,54,18,0,0,87,4
"60QA000176",109,63,3,0,0,38,5
"60QA000177",119,65,10,0,0,43,1
"60QA000178",69,43,2,0,0,19,5
"60QA000179",72,31,0,0,0,39,2
"60QA000180",108,57,7,0,0,42,2
"60QA000181",108,58,2,0,2,41,5
"60QA000182",110,34,3,0,0,56,17
"60QA000183",145,60,1,0,0,70,14
"60QA000184",122,34,2,0,0,80,6
"60QA000185",120,51,5,0,0,53,11
"60QA000186",75,37,1,0,0,33,4
"60QA000187",123,77,3,0,0,35,8
"60QA000188",76,28,1,0,0,41,6
"60QA000189",90,55,1,0,0,31,3
"60QA000190",113,44,10,0,0,54,5
"60QA000191",131,71,4,0,0,49,7
"60QA000192",133,69,3,0,0,52,9
"60QA000193",89,48,6,0,0,34,1
"60QA000194",116,72,2,0,0,41,1
"60QA000195",100,39,3,0,0,58,0
"60QA000196",107,38,6,0,0,59,4
"60QA000197",123,50,2,0,0,62,9
"60QA000198",92,47,6,0,0,35,4
"60QA000199",112,51,4,0,0,54,3
"60QA000200",160,62,5,0,0,86,7
"60QA000201",126,48,5,0,0,71,2
"60QA000202",76,60,1,0,0,12,3
"60QA000203",131,46,2,0,0,78,5
"60QA000204",81,35,3,0,0,38,5
"60QA000205",90,36,3,0,3,40,8
"60QA000206",68,29,1,0,0,36,2
"60QA000207",62,21,5,0,0,35,1
"60QA000208",179,71,12,0,0,79,17
"60QA000209",146,55,4,0,0,76,11
"60QA000210",103,43,2,0,1,54,3
"60QA000211",139,43,1,0,9,75,11
"60QA000212",150,73,13,0,0,58,6
"60QA000213",177,72,5,0,4,80,16
"60QA000214",151,69,7,0,0,68,7
"60QA000215",101,44,3,0,0,51,3
"60QA000216",126,46,3,0,0,71,6
"60QA000217",117,51,9,0,0,56,1
"60QA000218",123,67,13,0,0,36,7
"60QA000219",136,95,8,0,0,28,5
"60QA000220",94,53,8,0,0,31,2
"60QA000221",138,95,9,0,0,31,3
"60QA000222",180,104,13,1,0,55,7
"60QA000223",315,155,32,0,2,103,23
"60QA000224",147,93,5,0,0,42,7
"60QA000225",125,59,25,0,0,38,3
"60QA000226",135,70,3,0,0,56,6
"60QA000227",129,69,5,2,0,44,9
"60QA000228",83,47,6,0,0,24,6
"60QA000229",91,45,1,0,0,43,2
"60QA000230",73,48,3,0,0,18,4
"60QA000231",106,74,5,0,0,24,3
"60QA000232",165,65,6,0,4,88,2
"60QA000233",190,92,11,0,5,67,15
"60QA000234",140,68,13,0,0,51,8
"60QA000235",104,52,7,0,0,42,3
"60QA000236",127,69,9,0,12,36,1
"60QA000237",106,65,6,0,0,29,6
"60QA000238",78,27,4,0,0,40,7
"60QA000239",61,33,4,0,0,18,6
"60QA000240",67,25,4,0,0,29,9
"60QA000241",56,17,2,0,0,33,4
"60QA000242",117,38,4,0,8,51,16
"60QA000243",65,26,3,0,0,28,8
"60QA000244",75,33,4,0,1,34,3
"60QA000245",67,27,13,0,0,22,5
"60QA000246",103,30,8,0,0,59,6
"60QA000247",68,17,9,1,0,35,6
"60QA000248",105,36,4,1,0,55,9
"60QA000249",63,23,6,0,2,29,3
"60QA000250",71,26,3,0,2,33,7
"60QA000251",65,16,4,0,11,29,5
"60QA000252",84,35,8,0,1,34,6
"60QA000253",92,29,7,0,0,44,12
"60QA000254",199,76,51,0,8,56,8
"60QA000255",113,40,4,0,0,63,6
"60QA000256",114,45,6,0,6,49,8
"60QA000257",89,39,9,0,0,35,6
"60QA000258",91,26,11,0,1,46,7
"60QA000259",96,34,12,0,1,42,7
"60QA000260",69,38,6,0,0,21,4
"60QA000261",210,101,10,0,6,82,11
"60QA000262",98,55,10,0,1,27,5
"60QA000263",87,32,11,0,6,32,6
"60QA000264",86,27,5,0,3,45,6
"60QA000265",145,52,18,0,0,68,7
"60QA000266",131,88,8,0,3,25,7
"60QA000267",115,57,12,0,0,44,2
"60QA000268",178,84,13,0,4,69,8
"60QA000269",179,95,11,0,0,72,1
"60QA000270",144,96,7,0,0,34,7
"60QA000271",121,74,10,0,0,34,3
"60QA000272",82,45,4,0,3,29,1
"60QA000273",81,57,1,0,0,23,0
"60QA000274",149,88,3,0,0,47,11
"60QA000275",144,74,1,0,0,58,11
"60QA000276",147,81,13,0,0,47,6
"60QA000277",127,55,14,0,0,54,4
"60QA000278",126,64,23,0,0,38,1
"60QA000279",124,60,5,0,0,55,4
"60QA000280",133,74,8,0,0,48,3
"60QA000281",101,40,4,0,0,51,6
"60QA000282",97,54,3,0,3,33,4
"60QA000283",126,70,13,0,0,38,5
"60QA000284",91,35,8,0,0,43,5
"60QA000285",100,71,2,0,0,21,6
"60QA000286",145,64,17,0,0,60,4
"60QA000287",152,75,3,0,0,65,9
"60QA000288",86,36,2,0,1,41,6
"60QA000289",56,21,1,0,1,29,4
"60QA000290",119,52,11,0,0,46,10
"60QA000291",85,32,6,0,0,38,9
"60QA000292",109,40,8,0,0,56,5
"60QA000293",65,26,5,0,0,34,0
"60QA000294",111,42,10,0,0,54,5
"60QA000295",82,32,5,0,0,42,3
