"output_area","total","good","not_good"
"S00098340",131,120,11
"S00098341",88,81,7
"S00098342",148,137,11
"S00098343",69,58,11
"S00098344",86,83,3
"S00098345",78,65,13
"S00098346",96,85,11
"S00098347",144,133,11
"S00098348",62,58,4
"S00098349",125,111,14
"S00098350",126,120,6
"S00098351",155,152,3
"S00098352",189,179,10
"S00098353",120,104,16
"S00098354",84,80,4
"S00098355",112,107,5
"S00098356",69,67,2
"S00098357",78,72,6
"S00098358",85,80,5
"S00098359",81,79,2
"S00098360",149,132,17
"S00098361",54,49,5
"S00098362",149,144,5
"S00098363",136,131,5
"S00098364",90,89,1
"S00098365",56,44,12
"S00098366",96,85,11
"S00098367",118,104,14
"S00098368",74,64,10
"S00098369",98,91,7
"S00098370",146,135,11
"S00098371",85,81,4
"S00098372",111,95,16
"S00098373",62,61,1
"S00098374",67,66,1
"S00098375",98,93,5
"S00098376",104,90,14
"S00098377",131,115,16
"S00098378",199,194,5
"S00098379",102,91,11
"S00098380",176,170,6
"S00098381",170,166,4
"S00098382",130,128,2
"S00098383",168,162,6
"S00098384",130,127,3
"S00098385",95,93,2
"S00098386",119,118,1
"S00098387",88,78,10
"S00098388",109,106,3
"S00098389",85,83,2
"S00098390",164,155,9
"S00098391",61,58,3
"S00098392",67,63,4
"S00098393",129,128,1
"S00098394",112,106,6
"S00098395",115,109,6
"S00098396",106,99,7
"S00098397",86,81,5
"S00098398",128,122,6
"S00098399",70,62,8
"S00098400",139,127,12
"S00098401",89,76,13
"S00098402",190,184,6
"S00098403",88,77,11
"S00098404",65,63,2
"S00098405",109,100,9
"S00098406",159,153,6
"S00098407",98,94,4
"S00098408",107,105,2
"S00098409",134,130,4
"S00098410",138,133,5
"S00098411",72,69,3
"S00098412",154,141,13
"S00098413",77,74,3
"S00098414",130,118,12
"S00098415",88,87,1
"S00098416",111,102,9
"S00098417",137,131,6
"S00098418",101,100,1
"S00098419",118,113,5
"S00098420",130,129,1
"S00098421",122,118,4
"S00098422",144,134,10
"S00098423",111,104,7
"S00098424",74,72,2
"S00098425",111,108,3
"S00098426",99,96,3
"S00098427",136,131,5
"S00098428",93,87,6
"S00098429",71,68,3
"S00098430",70,65,5
"S00098431",122,117,5
"S00098432",104,98,6
"S00098433",141,136,5
"S00098434",148,143,5
"S00098435",68,64,4
"S00098436",84,80,4
"S00098437",242,221,21
"S00098438",106,103,3
"S00098439",87,86,1
"S00098440",196,191,5
"S00098441",165,165,0
"S00098442",79,76,3
"S00098443",172,170,2
"S00098444",131,123,8
"S00098445",139,132,7
"S00098446",110,108,2
"S00098447",161,150,11
"S00098448",104,98,6
"S00098449",103,98,5
"S00098450",163,156,7
"S00098451",123,122,1
"S00098452",95,87,8
"S00098453",107,105,2
"S00098454",137,134,3
"S00098455",91,89,2
"S00098456",74,72,2
"S00098457",155,152,3
"S00098458",107,103,4
"S00098459",105,99,6
"S00098460",93,91,2
"S00098461",168,166,2
"S00098462",106,98,8
"S00098463",145,144,1
"S00098464",86,85,1
"S00098465",65,64,1
"S00098466",64,61,3
"S00098467",72,68,4
"S00098468",86,84,2
"S00098469",61,60,1
"S00098470",124,121,3
"S00098471",56,52,4
"S00098472",112,109,3
"S00098473",121,115,6
"S00098474",158,156,2
"S00098475",86,83,3
"S00098476",155,145,10
"S00098477",84,83,1
"S00098478",63,60,3
"S00098479",108,96,12
"S00098480",206,198,8
"S00098481",65,63,2
"S00098482",238,235,3
"S00098483",88,81,7
"S00098484",138,129,9
"S00098485",525,520,5
"S00098486",59,52,7
"S00098487",67,59,8
"S00098488",137,129,8
"S00098489",114,103,11
"S00098490",132,127,5
"S00098491",113,109,4
"S00098492",89,89,0
"S00098493",93,90,3
"S00098494",124,122,2
"S00098495",150,145,5
"S00098496",99,97,2
"S00098497",132,130,2
"S00098498",56,52,4
"S00098499",125,123,2
"S00098500",155,151,4
"S00098501",148,135,13
"S00098502",117,111,6
"S00098503",80,77,3
"S00098504",146,143,3
"S00098505",380,377,3
"S00098506",158,155,3
"S00098507",103,98,5
"S00098508",144,143,1
"S00098509",134,130,4
"S00098510",63,60,3
"S00098511",74,71,3
"S00098512",91,83,8
"S00098513",56,56,0
"S00098514",82,71,11
"S00098515",68,61,7
"S00098516",60,53,7
"S00098517",60,53,7
"S00098518",66,66,0
"S00098519",86,81,5
"S00098520",105,103,2
"S00098521",91,81,10
"S00098522",121,114,7
"S00098523",139,132,7
"S00098524",133,133,0
"S00098525",108,102,6
"S00098526",136,128,8
"S00098527",72,70,2
"S00098528",51,48,3
"S00098529",60,53,7
"S00098530",92,92,0
"S00098531",77,76,1
"S00098532",168,158,10
"S00098533",116,114,2
"S00098534",120,118,2
"S00098535",86,85,1
"S00098536",100,96,4
"S00098537",116,113,3
"S00098538",125,124,1
"S00098539",132,130,2
"S00098540",115,111,4
"S00098541",100,99,1
"S00098542",67,67,0
"S00098543",117,114,3
"S00098544",56,46,10
"S00098545",72,63,9
"S00098546",113,112,1
"S00098547",149,146,3
"S00098548",130,125,5
"S00098549",227,224,3
"S00098550",52,50,2
"S00098551",105,98,7
"S00098552",187,165,22
"S00098553",141,123,18
"S00098554",119,116,3
"S00098555",86,82,4
"S00098556",136,127,9
"S00098557",63,50,13
"S00098558",92,79,13
"S00098559",104,97,7
"S00098560",141,137,4
"S00098561",136,132,4
"S00098562",94,90,4
"S00098563",95,91,4
"S00098564",111,103,8
"S00098565",118,109,9
"S00098566",69,65,4
"S00098567",123,116,7
"S00098568",126,123,3
"S00098569",90,87,3
"S00098570",95,93,2
"S00098571",122,116,6
"S00098572",113,112,1
"S00098573",95,90,5
"S00098574",110,103,7
"S00098575",89,87,2
"S00098576",82,62,20
"S00098577",107,104,3
"S00098578",80,67,13
"S00098579",123,119,4
"S00098580",159,152,7
"S00098581",60,57,3
"S00098582",92,86,6
"S00098583",109,98,11
"S00098584",100,93,7
"S00098585",90,78,12
"S00098586",66,62,4
"S00098587",122,116,6
"S00098588",75,68,7
"S00098589",76,61,15
"S00098590",96,87,9
"S00098591",73,62,11
"S00098592",116,108,8
"S00098593",117,112,5
"S00098594",103,101,2
"S00098595",50,48,2
"S00098596",117,113,4
"S00098597",65,64,1
"S00098598",64,61,3
"S00098599",115,110,5
"S00098600",102,93,9
"S00098601",95,91,4
"S00098602",117,111,6
"S00098603",146,138,8
"S00098604",120,106,14
"S00098605",198,196,2
"S00098606",102,96,6
"S00098607",95,88,7
"S00098608",178,173,5
"S00098609",159,144,15
"S00098610",83,77,6
"S00098611",106,97,9
"S00098612",105,93,12
"S00098613",81,60,21
"S00098614",58,55,3
"S00098615",205,197,8
"S00098616",145,130,15
"S00098617",76,65,11
"S00098618",69,62,7
"S00098619",78,66,12
"S00098620",135,118,17
"S00098621",114,102,12
"S00098622",52,46,6
"S00098623",82,76,6
"S00098624",98,88,10
"S00098625",64,58,6
"S00098626",121,115,6
"S00098627",133,120,13
"S00098628",106,104,2
"S00098629",50,43,7
"S00098630",76,64,12
"S00098631",96,90,6
"S00098632",122,115,7
"S00098633",141,134,7
"S00098634",150,136,14
"S00098635",158,151,7
"S00098636",137,110,27
"S00098637",52,51,1
"S00098638",123,109,14
"S00098639",124,110,14
"S00098640",162,138,24
"S00098641",139,119,20
"S00098642",138,134,4
"S00098643",67,60,7
"S00098644",111,105,6
"S00098645",91,87,4
"S00098646",110,104,6
"S00098647",86,76,10
"S00098648",76,68,8
"S00098649",83,74,9
"S00098650",166,163,3
"S00098651",136,134,2
"S00098652",114,111,3
"S00098653",64,61,3
"S00098654",143,139,4
"S00098655",81,76,5
"S00098656",157,151,6
"S00098657",95,87,8
"S00098658",91,91,0
"S00098659",55,50,5
"S00098660",72,67,5
"S00098661",143,136,7
"S00098662",130,122,8
"S00098663",122,116,6
"S00098664",66,57,9
"S00098665",87,80,7
"S00098666",74,69,5
"S00098667",147,140,7
"S00098668",128,118,10
"S00098669",96,88,8
"S00098670",88,83,5
"S00098671",85,77,8
"S00098672",110,100,10
"S00098673",100,92,8
"S00098674",79,70,9
"S00098675",87,85,2
"S00098676",56,52,4
"S00098677",143,137,6
"S00098678",148,143,5
"S00098679",91,88,3
"S00098680",103,91,12
"S00098681",103,98,5
"S00098682",294,270,24
"S00098683",103,96,7
"S00098684",119,104,15
"S00098685",129,113,16
"S00098686",101,91,10
"S00098687",61,54,7
"S00098688",90,82,8
"S00098689",62,57,5
"S00098690",92,86,6
"S00098691",105,102,3
"S00098692",55,53,2
"S00098693",140,128,12
"S00098694",111,107,4
"S00098695",141,129,12
"S00098696",150,146,4
"S00098697",152,142,10
"S00098698",72,71,1
"S00098699",97,90,7
"S00098700",129,123,6
"S00098701",161,147,14
"S00098702",126,120,6
"S00098703",103,95,8
"S00098704",93,87,6
"S00098705",80,75,5
"S00098706",116,111,5
"S00098707",60,48,12
"S00098708",184,170,14
"S00098709",108,95,13
"S00098710",65,58,7
"S00098711",113,99,14
"S00098712",105,98,7
"S00098713",153,140,13
"S00098714",190,174,16
"S00098715",169,160,9
"S00098716",98,95,3
"S00098717",63,62,1
"S00098718",137,126,11
"S00098719",137,125,12
"S00098720",67,58,9
"S00098721",77,62,15
"S00098722",141,124,17
"S00098723",50,43,7
"S00098724",92,89,3
"S00098725",108,102,6
"S00098726",123,112,11
"S00098727",53,46,7
"S00098728",143,134,9
"S00098729",145,136,9
"S00098730",96,88,8
"S00098731",80,75,5
"S00098732",99,87,12
"S00098733",90,84,6
"S00098734",116,105,11
"S00098735",84,80,4
"S00098736",248,240,8
"S00098737",184,176,8
"S00098738",101,93,8
"S00098739",132,122,10
"S00098740",85,79,6
"S00098741",59,55,4
"S00098742",70,64,6
"S00098743",117,101,16
"S00098744",65,64,1
"S00098745",88,68,20
"S00098746",77,68,9
"S00098747",61,48,13
"S00098748",52,43,9
"S00098749",75,69,6
"S00098750",72,61,11
"S00098751",75,67,8
"S00098752",104,92,12
"S00098753",88,79,9
"S00098754",69,55,14
"S00098755",77,74,3
"S00098756",88,80,8
"S00098757",133,118,15
"S00098758",77,67,10
"S00098759",131,128,3
"S00098760",180,173,7
"S00098761",103,96,7
"S00098762",145,141,4
"S00098763",106,94,12
"S00098764",95,93,2
"S00098765",74,70,4
"S00098766",92,89,3
"S00098767",99,90,9
"S00098768",75,70,5
"S00098769",108,103,5
"S00098770",92,84,8
"S00098771",61,49,12
"S00098772",77,69,8
"S00098773",106,95,11
"S00098774",109,100,9
"S00098775",88,80,8
"S00098776",99,88,11
"S00098777",63,54,9
"S00098778",70,66,4
"S00098779",99,98,1
"S00098780",118,117,1
"S00098781",138,134,4
"S00098782",146,143,3
"S00098783",151,146,5
"S00098784",75,72,3
"S00098785",104,102,2
"S00098786",93,91,2
"S00098787",87,77,10
"S00098788",68,56,12
"S00098789",59,45,14
"S00098790",118,104,14
"S00098791",124,116,8
"S00098792",118,101,17
"S00098793",157,150,7
"S00098794",147,137,10
"S00098795",84,84,0
"S00098796",80,79,1
"S00098797",132,113,19
"S00098798",73,69,4
"S00098799",81,72,9
"S00098800",79,65,14
"S00098801",97,95,2
"S00098802",82,75,7
"S00098803",105,94,11
"S00098804",111,107,4
"S00098805",68,61,7
"S00098806",79,74,5
"S00098807",54,47,7
"S00098808",72,66,6
"S00098809",74,69,5
"S00098810",58,51,7
"S00098811",106,97,9
"S00098812",89,74,15
"S00098813",67,57,10
"S00098814",122,110,12
"S00098815",100,84,16
"S00098816",100,98,2
"S00098817",91,75,16
"S00098818",145,138,7
"S00098819",59,58,1
"S00098820",68,63,5
"S00098821",65,64,1
"S00098822",91,75,16
"S00098823",92,77,15
"S00098824",62,48,14
"S00098825",91,86,5
"S00098826",115,104,11
"S00098827",134,118,16
"S00098828",168,158,10
"S00098829",75,58,17
"S00098830",72,66,6
"S00098831",108,97,11
"S00098832",84,84,0
"S00098833",64,60,4
"S00098834",55,46,9
"S00098835",58,54,4
"S00098836",64,60,4
"S00098837",66,64,2
"S00098838",105,103,2
"S00098839",71,61,10
"S00098840",91,83,8
"S00098841",97,91,6
"S00098842",118,115,3
"S00098843",127,125,2
"S00098844",164,162,2
"S00098845",71,66,5
"S00098846",75,63,12
"S00098847",103,86,17
"S00098848",99,90,9
"S00098849",98,86,12
"S00098850",81,70,11
"S00098851",76,72,4
"S00098852",52,49,3
"S00098853",118,113,5
"S00098854",76,66,10
"S00098855",87,79,8
"S00098856",54,46,8
"S00098857",112,98,14
"S00098858",80,78,2
"S00098859",114,101,13
"S00098860",92,77,15
"S00098861",123,119,4
"S00098862",103,100,3
"S00098863",118,114,4
"S00098864",102,99,3
"S00098865",81,77,4
"S00098866",100,97,3
"S00098867",146,141,5
"S00098868",166,161,5
"S00098869",119,116,3
"S00098870",55,51,4
"S00098871",59,58,1
"S00098872",114,112,2
"S00098873",105,100,5
"S00098874",109,106,3
"S00098875",134,133,1
"S00098876",93,82,11
"S00098877",89,86,3
"S00098878",128,124,4
"S00098879",126,122,4
"S00098880",111,106,5
"S00098881",111,101,10
"S00098882",109,102,7
"S00098883",91,88,3
"S00098884",122,119,3
"S00098885",116,113,3
"S00098886",88,79,9
"S00098887",88,74,14
"S00098888",115,113,2
"S00098889",122,119,3
"S00098890",112,107,5
"S00098891",128,119,9
"S00098892",95,84,11
"S00098893",164,159,5
"S00098894",107,101,6
"S00098895",143,134,9
"S00098896",128,120,8
"S00098897",95,92,3
"S00098898",84,79,5
"S00098899",166,155,11
"S00098900",125,116,9
"S00098901",65,57,8
"S00098902",99,92,7
"S00098903",111,102,9
"S00098904",106,103,3
"S00098905",89,84,5
"S00098906",136,130,6
"S00098907",92,84,8
"S00098908",123,115,8
"S00098909",158,154,4
"S00098910",123,114,9
"S00098911",118,110,8
"S00098912",86,82,4
"S00098913",155,136,19
"S00098914",109,102,7
"S00098915",140,136,4
"S00098916",134,129,5
"S00098917",53,50,3
"S00098918",83,82,1
"S00098919",84,78,6
"S00098920",149,139,10
"S00098921",69,57,12
"S00098922",89,86,3
"S00098923",126,118,8
"S00098924",108,98,10
"S00098925",91,84,7
"S00098926",107,105,2
"S00098927",68,67,1
"S00098928",120,112,8
"S00098929",84,81,3
"S00098930",101,92,9
"S00098931",115,100,15
"S00098932",89,87,2
"S00098933",144,136,8
"S00098934",121,114,7
"S00098935",88,86,2
"S00098936",117,113,4
"S00098937",128,124,4
"S00098938",103,97,6
"S00098939",112,106,6
"S00098940",116,108,8
"S00098941",115,110,5
"S00098942",85,81,4
"S00098943",168,157,11
"S00098944",167,160,7
"S00098945",151,145,6
"S00098946",82,79,3
"S00098947",139,131,8
"S00098948",101,92,9
"S00098949",131,110,21
"S00098950",64,58,6
"S00098951",141,133,8
"S00098952",92,88,4
"S00098953",104,94,10
"S00098954",146,133,13
"S00098955",101,93,8
"S00098956",119,114,5
"S00098957",103,99,4
"S00098958",277,271,6
"S00098959",120,106,14
"S00098960",99,84,15
"S00098961",139,132,7
"S00098962",131,126,5
"S00098963",164,155,9
"S00098964",128,116,12
"S00098965",105,99,6
"S00098966",105,101,4
"S00098967",163,160,3
"S00098968",123,114,9
"S00098969",122,116,6
"S00098970",125,117,8
"S00098971",118,110,8
"S00098972",140,126,14
"S00098973",102,94,8
"S00098974",174,164,10
"S00098975",197,190,7
"S00098976",94,83,11
"S00098977",171,156,15
"S00098978",75,70,5
"S00098979",135,123,12
"S00098980",85,69,16
"S00098981",74,62,12
"S00098982",60,54,6
"S00098983",96,78,18
"S00098984",118,112,6
"S00098985",125,110,15
"S00098986",63,59,4
"S00098987",96,87,9
"S00098988",129,116,13
"S00098989",110,102,8
"S00098990",196,191,5
"S00098991",90,76,14
"S00098992",168,150,18
"S00098993",67,65,2
"S00098994",73,66,7
"S00098995",56,54,2
"S00098996",90,87,3
"S00098997",73,65,8
"S00098998",97,89,8
"S00098999",102,99,3
"S00099000",115,110,5
"S00099001",122,120,2
"S00099002",71,67,4
"S00099003",66,62,4
"S00099004",62,60,2
"S00099005",97,91,6
"S00099006",106,96,10
"S00099007",104,98,6
"S00099008",136,132,4
"S00099009",90,88,2
"S00099010",75,73,2
"S00099011",82,77,5
"S00099012",61,59,2
"S00099013",62,56,6
"S00099014",81,76,5
"S00099015",72,68,4
"S00099016",74,65,9
"S00099017",170,166,4
"S00099018",147,135,12
"S00099019",77,68,9
"S00099020",50,44,6
"S00099021",136,125,11
"S00099022",65,64,1
"S00099023",102,101,1
"S00099024",77,72,5
"S00099025",106,91,15
"S00099026",95,94,1
"S00099027",95,90,5
"S00099028",96,90,6
"S00099029",78,72,6
"S00099030",89,82,7
"S00099031",83,79,4
"S00099032",238,233,5
"S00099033",72,72,0
"S00099034",100,98,2
"S00099035",99,96,3
"S00099036",127,124,3
"S00099037",172,171,1
"S00099038",99,94,5
"S00099039",148,145,3
"S00099040",159,156,3
"S00099041",94,93,1
"S00099042",173,167,6
"S00099043",143,135,8
"S00099044",106,100,6
"S00099045",136,133,3
"S00099046",121,118,3
"S00099047",124,124,0
"S00099048",139,132,7
"S00099049",97,95,2
"S00099050",115,109,6
"S00099051",146,144,2
"S00099052",112,110,2
"S00099053",107,105,2
"S00099054",123,120,3
"S00099055",128,119,9
"S00099056",73,68,5
"S00099057",80,68,12
"S00099058",85,75,10
"S00099059",112,96,16
"S00099060",85,82,3
"S00099061",70,62,8
"S00099062",92,78,14
"S00099063",81,76,5
"S00099064",59,52,7
"S00099065",118,112,6
"S00099066",61,54,7
"S00099067",91,82,9
"S00099068",105,103,2
"S00099069",106,97,9
"S00099070",91,86,5
"S00099071",84,69,15
"S00099072",107,91,16
"S00099073",105,102,3
"S00099074",134,128,6
"S00099075",70,67,3
"S00099076",111,104,7
"S00099077",155,146,9
"S00099078",103,97,6
"S00099079",141,134,7
"S00099080",113,108,5
"S00099081",88,82,6
"S00099082",77,75,2
"S00099083",100,92,8
"S00099084",65,60,5
"S00099085",89,84,5
"S00099086",73,64,9
"S00099087",66,60,6
"S00099088",105,96,9
"S00099089",86,71,15
"S00099090",114,104,10
"S00099091",71,56,15
"S00099092",146,139,7
"S00099093",81,73,8
"S00099094",109,82,27
"S00099095",113,111,2
"S00099096",56,52,4
"S00099097",99,96,3
"S00099098",61,42,19
"S00099099",75,67,8
"S00099100",159,149,10
"S00099101",75,70,5
"S00099102",169,151,18
"S00099103",92,82,10
"S00099104",125,120,5
"S00099105",107,94,13
"S00099106",98,86,12
"S00099107",96,90,6
"S00099108",174,152,22
"S00099109",170,148,22
"S00099110",135,117,18
"S00099111",156,154,2
"S00099112",100,90,10
"S00099113",146,136,10
"S00099114",133,122,11
"S00099115",136,128,8
"S00099116",130,112,18
"S00099117",240,224,16
"S00099118",136,123,13
"S00099119",113,112,1
"S00099120",117,111,6
"S00099121",78,73,5
"S00099122",87,81,6
"S00099123",83,73,10
"S00099124",91,72,19
"S00099125",103,93,10
"S00099126",60,54,6
"S00099127",105,92,13
"S00099128",64,61,3
"S00099129",111,103,8
"S00099130",161,126,35
"S00099131",92,81,11
"S00099132",67,66,1
"S00099133",109,101,8
"S00099134",85,72,13
"S00099135",109,104,5
"S00099136",57,50,7
"S00099137",114,108,6
"S00099138",87,77,10
"S00099139",93,81,12
"S00099140",80,75,5
"S00099141",138,125,13
"S00099142",85,81,4
"S00099143",90,86,4
"S00099144",123,117,6
"S00099145",158,144,14
"S00099146",119,106,13
"S00099147",95,77,18
"S00099148",87,83,4
"S00099149",110,104,6
"S00099150",161,150,11
"S00099151",70,60,10
"S00099152",102,92,10
"S00099153",158,145,13
"S00099154",88,84,4
"S00099155",106,87,19
"S00099156",154,134,20
"S00099157",139,123,16
"S00099158",134,122,12
"S00099159",92,85,7
"S00099160",66,60,6
"S00099161",120,115,5
"S00099162",99,89,10
"S00099163",100,91,9
"S00099164",182,173,9
"S00099165",115,103,12
"S00099166",161,150,11
"S00099167",161,147,14
"S00099168",185,175,10
"S00099169",108,104,4
"S00099170",113,94,19
"S00099171",72,57,15
"S00099172",53,48,5
"S00099173",140,132,8
"S00099174",54,45,9
"S00099175",86,77,9
"S00099176",123,113,10
"S00099177",120,115,5
"S00099178",103,98,5
"S00099179",108,95,13
"S00099180",89,77,12
"S00099181",150,139,11
"S00099182",79,71,8
"S00099183",58,52,6
"S00099184",121,107,14
"S00099185",71,62,9
"S00099186",91,81,10
"S00099187",75,67,8
"S00099188",122,104,18
"S00099189",80,71,9
"S00099190",79,78,1
"S00099191",64,59,5
"S00099192",137,129,8
"S00099193",66,60,6
"S00099194",75,66,9
"S00099195",67,64,3
"S00099196",66,52,14
"S00099197",113,108,5
"S00099198",74,72,2
"S00099199",87,81,6
"S00099200",69,61,8
"S00099201",92,79,13
"S00099202",86,85,1
"S00099203",94,91,3
"S00099204",102,97,5
"S00099205",121,108,13
"S00099206",102,100,2
"S00099207",97,90,7
"S00099208",130,123,7
"S00099209",128,108,20
"S00099210",149,139,10
"S00099211",79,74,5
"S00099212",56,45,11
"S00099213",99,93,6
"S00099214",168,160,8
"S00099215",90,87,3
"S00099216",116,107,9
"S00099217",145,132,13
"S00099218",129,116,13
"S00099219",85,79,6
"S00099220",102,96,6
"S00099221",88,77,11
"S00099222",156,151,5
"S00099223",78,69,9
"S00099224",98,91,7
"S00099225",128,121,7
"S00099226",87,76,11
"S00099227",182,167,15
"S00099228",135,126,9
"S00099229",171,159,12
"S00099230",144,135,9
"S00099231",154,141,13
"S00099232",173,161,12
"S00099233",84,77,7
"S00099234",154,136,18
"S00099235",83,76,7
"S00099236",137,130,7
"S00099237",103,100,3
"S00099238",113,106,7
"S00099239",114,111,3
"S00099240",109,106,3
"S00099241",100,99,1
"S00099242",197,187,10
"S00099243",140,129,11
"S00099244",115,108,7
"S00099245",115,110,5
"S00099246",128,123,5
"S00099247",221,211,10
"S00099248",119,115,4
"S00099249",146,140,6
"S00099250",91,79,12
"S00099251",92,88,4
"S00099252",80,72,8
"S00099253",105,97,8
"S00099254",123,104,19
"S00099255",83,63,20
"S00099256",163,147,16
"S00099257",175,168,7
"S00099258",141,132,9
"S00099259",105,96,9
"S00099260",135,128,7
"S00099261",96,89,7
"S00099262",141,129,12
"S00099263",128,121,7
"S00099264",93,88,5
"S00099265",132,128,4
"S00099266",88,88,0
"S00099267",143,141,2
"S00099268",151,142,9
"S00099269",139,131,8
"S00099270",130,126,4
"S00099271",83,81,2
"S00099272",157,154,3
"S00099273",78,76,2
"S00099274",133,130,3
"S00099275",78,77,1
"S00099276",98,98,0
"S00099277",182,174,8
"S00099278",120,112,8
"S00099279",115,110,5
"S00099280",157,145,12
"S00099281",189,185,4
"S00099282",138,135,3
"S00099283",181,176,5
"S00099284",133,128,5
"S00099285",94,79,15
"S00099286",135,129,6
"S00099287",153,152,1
"S00099288",73,66,7
"S00099289",116,115,1
"S00099290",77,73,4
"S00099291",56,48,8
"S00099292",120,118,2
"S00099293",68,62,6
"S00099294",102,90,12
"S00099295",56,51,5
"S00099296",95,90,5
"S00099297",57,51,6
"S00099298",91,82,9
"S00099299",67,65,2
"S00099300",106,101,5
"S00099301",80,78,2
"S00099302",128,117,11
"S00099303",77,72,5
"S00099304",79,72,7
"S00099305",129,120,9
"S00099306",68,66,2
"S00099307",89,79,10
"S00099308",86,81,5
"S00099309",74,70,4
"S00099310",105,99,6
"S00099311",79,74,5
"S00099312",124,118,6
"S00099313",156,150,6
"S00099314",124,122,2
"S00099315",147,140,7
"S00099316",114,113,1
"S00099317",116,112,4
"S00099318",105,100,5
"S00099319",114,111,3
"S00099320",148,143,5
"S00099321",173,170,3
"S00099322",138,137,1
"S00099323",124,122,2
"S00099324",125,123,2
"S00099325",99,92,7
"S00099326",75,73,2
"S00099327",54,45,9
"S00099328",88,83,5
"S00099329",134,128,6
"S00099330",84,72,12
"S00099331",61,57,4
"S00099332",85,84,1
"S00099333",77,75,2
"S00099334",97,93,4
"S00099335",85,77,8
"S00099336",83,82,1
"S00099337",84,80,4
"S00099338",117,107,10
"S00099339",140,138,2
"S00099340",128,127,1
"S00099341",103,99,4
"S00099342",98,98,0
"S00099343",93,89,4
"S00099344",95,91,4
"S00099345",154,149,5
"S00099346",56,55,1
"S00099347",134,130,4
"S00099348",114,111,3
"S00099349",116,114,2
"S00099350",117,111,6
"S00099351",125,122,3
"S00099352",111,106,5
"S00099353",102,97,5
"S00099354",87,84,3
"S00099355",171,166,5
"S00099356",156,153,3
"S00099357",102,94,8
"S00099358",59,57,2
"S00099359",130,129,1
"S00099360",116,111,5
"S00099361",69,64,5
"S00099362",150,142,8
"S00099363",114,110,4
"S00099364",70,62,8
"S00099365",99,94,5
"S00099366",64,60,4
"S00099367",61,51,10
"S00099368",119,116,3
"S00099369",154,148,6
"S00099370",118,114,4
"S00099371",100,98,2
"S00099372",131,126,5
"S00099373",203,198,5
"S00099374",139,136,3
"S00099375",110,106,4
"S00099376",159,154,5
"S00099377",94,94,0
"S00099378",116,112,4
"S00099379",120,114,6
"S00099380",135,132,3
"S00099381",114,111,3
"S00099382",127,120,7
"S00099383",110,104,6
"S00099384",99,97,2
"S00099385",113,108,5
"S00099386",147,144,3
"S00099387",138,136,2
"S00099388",131,127,4
"S00099389",76,68,8
"S00099390",147,145,2
"S00099391",70,65,5
"S00099392",105,89,16
"S00099393",66,59,7
"S00099394",106,101,5
"S00099395",102,86,16
"S00099396",85,78,7
"S00099397",116,112,4
"S00099398",221,215,6
"S00099399",76,76,0
"S00099400",145,121,24
"S00099401",90,86,4
"S00099402",96,78,18
"S00099403",55,49,6
"S00099404",108,94,14
"S00099405",107,104,3
"S00099406",127,125,2
"S00099407",91,85,6
"S00099408",103,96,7
"S00099409",166,160,6
"S00099410",70,70,0
"S00099411",105,104,1
"S00099412",71,67,4
"S00099413",100,91,9
"S00099414",56,55,1
"S00099415",96,94,2
"S00099416",79,77,2
"S00099417",76,73,3
"S00099418",169,168,1
"S00099419",218,213,5
"S00099420",77,71,6
"S00099421",208,204,4
"S00099422",156,155,1
"S00099423",176,176,0
"S00099424",94,87,7
"S00099425",201,199,2
"S00099426",68,62,6
"S00099427",94,91,3
"S00099428",88,84,4
"S00099429",65,63,2
"S00099430",89,85,4
"S00099431",90,88,2
"S00099432",52,48,4
"S00099433",139,134,5
"S00099434",82,73,9
"S00099435",90,86,4
"S00099436",78,70,8
"S00099437",53,52,1
"S00099438",69,68,1
"S00099439",75,70,5
"S00099440",115,111,4
"S00099441",65,57,8
"S00099442",94,85,9
"S00099443",103,97,6
"S00099444",137,128,9
"S00099445",105,103,2
"S00099446",61,55,6
"S00099447",101,90,11
"S00099448",61,57,4
"S00099449",165,157,8
"S00099450",73,69,4
"S00099451",68,68,0
"S00099452",91,81,10
"S00099453",56,51,5
"S00099454",64,60,4
"S00099455",92,86,6
"S00099456",50,35,15
"S00099457",77,76,1
"S00099458",175,145,30
"S00099459",96,88,8
"S00099460",64,46,18
"S00099461",146,131,15
"S00099462",55,53,2
"S00099463",52,48,4
"S00099464",89,80,9
"S00099465",111,106,5
"S00099466",65,57,8
"S00099467",184,169,15
"S00099468",212,210,2
"S00099469",104,103,1
"S00099470",59,58,1
"S00099471",59,59,0
"S00099472",179,177,2
"S00099473",198,193,5
"S00099474",144,143,1
"S00099475",117,107,10
"S00099476",56,53,3
"S00099477",90,87,3
"S00099478",91,84,7
"S00099479",99,97,2
"S00099480",98,87,11
"S00099481",56,55,1
"S00099482",81,78,3
"S00099483",83,79,4
"S00099484",98,90,8
"S00099485",82,78,4
"S00099486",131,116,15
"S00099487",135,127,8
"S00099488",99,96,3
"S00099489",151,146,5
"S00099490",163,154,9
"S00099491",50,42,8
"S00099492",88,85,3
"S00099493",96,86,10
"S00099494",81,77,4
"S00099495",66,62,4
"S00099496",92,86,6
"S00099497",159,157,2
"S00099498",125,125,0
"S00099499",125,119,6
"S00099500",63,53,10
"S00099501",72,72,0
"S00099502",127,125,2
"S00099503",120,118,2
"S00099504",130,113,17
