"output_area","total","good","not_good"
"S00089221",146,143,3
"S00089222",89,86,3
"S00089223",70,65,5
"S00089224",191,185,6
"S00089225",58,56,2
"S00089226",57,57,0
"S00089227",128,125,3
"S00089228",95,95,0
"S00089229",97,95,2
"S00089230",100,94,6
"S00089231",87,85,2
"S00089232",93,93,0
"S00089233",80,80,0
"S00089234",97,96,1
"S00089235",104,104,0
"S00089236",81,81,0
"S00089237",117,116,1
"S00089238",135,131,4
"S00089239",98,98,0
"S00089240",179,179,0
"S00089241",65,63,2
"S00089242",123,123,0
"S00089243",115,114,1
"S00089244",117,115,2
"S00089245",84,79,5
"S00089246",95,94,1
"S00089247",166,162,4
"S00089248",205,204,1
"S00089249",105,104,1
"S00089250",88,88,0
"S00089251",106,104,2
"S00089252",118,117,1
"S00089253",129,124,5
"S00089254",137,136,1
"S00089255",119,118,1
"S00089256",109,106,3
"S00089257",97,96,1
"S00089258",100,98,2
"S00089259",84,81,3
"S00089260",136,132,4
"S00089261",158,157,1
"S00089262",108,103,5
"S00089263",92,88,4
"S00089264",139,139,0
"S00089265",84,82,2
"S00089266",100,97,3
"S00089267",79,79,0
"S00089268",113,112,1
"S00089269",101,101,0
"S00089270",120,119,1
"S00089271",90,89,1
"S00089272",69,67,2
"S00089273",101,99,2
"S00089274",129,129,0
"S00089275",64,52,12
"S00089276",59,53,6
"S00089277",177,173,4
"S00089278",66,56,10
"S00089279",67,67,0
"S00089280",59,57,2
"S00089281",75,73,2
"S00089282",69,67,2
"S00089283",54,52,2
"S00089284",105,101,4
"S00089285",128,125,3
"S00089286",106,104,2
"S00089287",87,82,5
"S00089288",151,144,7
"S00089289",124,116,8
"S00089290",69,66,3
"S00089291",99,96,3
"S00089292",90,90,0
"S00089293",153,148,5
"S00089294",148,146,2
"S00089295",190,183,7
"S00089296",161,153,8
"S00089297",93,89,4
"S00089298",98,89,9
"S00089299",64,57,7
"S00089300",99,96,3
"S00089301",116,114,2
"S00089302",104,103,1
"S00089303",167,154,13
"S00089304",159,153,6
"S00089305",71,60,11
"S00089306",141,121,20
"S00089307",88,81,7
"S00089308",77,73,4
"S00089309",148,145,3
"S00089310",171,166,5
"S00089311",101,98,3
"S00089312",164,162,2
"S00089313",150,145,5
"S00089314",125,121,4
"S00089315",108,106,2
"S00089316",106,104,2
"S00089317",94,94,0
"S00089318",107,105,2
"S00089319",134,131,3
"S00089320",125,123,2
"S00089321",85,84,1
"S00089322",124,119,5
"S00089323",83,78,5
"S00089324",94,92,2
"S00089325",102,102,0
"S00089326",130,130,0
"S00089327",108,107,1
"S00089328",111,107,4
"S00089329",95,90,5
"S00089330",151,148,3
"S00089331",168,165,3
"S00089332",172,170,2
"S00089333",176,173,3
"S00089334",150,146,4
"S00089335",144,144,0
"S00089336",93,93,0
"S00089337",57,53,4
"S00089338",156,152,4
"S00089339",150,147,3
"S00089340",125,118,7
"S00089341",77,73,4
"S00089342",75,67,8
"S00089343",71,69,2
"S00089344",70,67,3
"S00089345",98,94,4
"S00089346",145,143,2
"S00089347",108,106,2
"S00089348",92,91,1
"S00089349",97,95,2
"S00089350",123,118,5
"S00089351",175,172,3
"S00089352",158,152,6
"S00089353",111,109,2
"S00089354",89,88,1
"S00089355",165,161,4
"S00089356",61,60,1
"S00089357",118,112,6
"S00089358",85,80,5
"S00089359",129,127,2
"S00089360",113,101,12
"S00089361",151,139,12
"S00089362",134,128,6
"S00089363",60,60,0
"S00089364",96,96,0
"S00089365",132,132,0
"S00089366",105,104,1
"S00089367",102,96,6
"S00089368",58,58,0
"S00089369",120,117,3
"S00089370",107,95,12
"S00089371",123,116,7
"S00089372",63,58,5
"S00089373",97,93,4
"S00089374",97,84,13
"S00089375",137,132,5
"S00089376",135,133,2
"S00089377",82,80,2
"S00089378",103,102,1
"S00089379",169,168,1
"S00089380",156,155,1
"S00089381",108,107,1
"S00089382",126,123,3
"S00089383",108,105,3
"S00089384",106,105,1
"S00089385",189,175,14
"S00089386",208,201,7
"S00089387",158,155,3
"S00089388",159,158,1
"S00089389",98,98,0
"S00089390",93,90,3
"S00089391",101,98,3
"S00089392",85,77,8
"S00089393",86,79,7
"S00089394",68,58,10
"S00089395",111,106,5
"S00089396",72,60,12
"S00089397",101,96,5
"S00089398",96,95,1
"S00089399",51,38,13
"S00089400",98,96,2
"S00089401",73,65,8
"S00089402",84,78,6
"S00089403",98,98,0
"S00089404",95,94,1
"S00089405",112,110,2
"S00089406",145,144,1
"S00089407",128,127,1
"S00089408",104,103,1
"S00089409",117,115,2
"S00089410",121,119,2
"S00089411",98,98,0
"S00089412",190,186,4
"S00089413",188,185,3
"S00089414",63,55,8
"S00089415",97,87,10
"S00089416",151,149,2
"S00089417",133,132,1
"S00089418",149,145,4
"S00089419",118,115,3
"S00089420",142,140,2
"S00089421",171,168,3
"S00089422",88,83,5
"S00089423",163,160,3
"S00089424",144,143,1
"S00089425",183,183,0
"S00089426",189,189,0
"S00089427",79,78,1
"S00089428",83,81,2
"S00089429",135,135,0
"S00089430",126,117,9
"S00089431",138,131,7
"S00089432",61,60,1
"S00089433",74,70,4
"S00089434",80,80,0
"S00089435",120,119,1
"S00089436",117,117,0
"S00089437",142,141,1
"S00089438",154,148,6
"S00089439",112,111,1
"S00089440",59,58,1
"S00089441",83,76,7
"S00089442",106,104,2
"S00089443",63,59,4
"S00089444",132,131,1
"S00089445",145,144,1
"S00089446",109,108,1
"S00089447",92,92,0
"S00089448",104,103,1
"S00089449",141,138,3
"S00089450",94,85,9
"S00089451",91,76,15
"S00089452",99,92,7
"S00089453",110,103,7
"S00089454",76,65,11
"S00089455",93,81,12
"S00089456",128,120,8
"S00089457",85,83,2
"S00089458",79,78,1
"S00089459",61,60,1
"S00089460",84,65,19
"S00089461",104,92,12
"S00089462",87,80,7
"S00089463",132,128,4
"S00089464",133,131,2
"S00089465",84,81,3
"S00089466",98,80,18
"S00089467",82,79,3
"S00089468",68,65,3
"S00089469",114,112,2
"S00089470",72,71,1
"S00089471",73,72,1
"S00089472",83,79,4
"S00089473",94,89,5
"S00089474",129,116,13
"S00089475",70,70,0
"S00089476",59,56,3
"S00089477",104,104,0
"S00089478",100,98,2
"S00089479",71,68,3
"S00089480",68,67,1
"S00089481",123,123,0
"S00089482",72,70,2
"S00089483",87,85,2
"S00089484",109,92,17
"S00089485",68,68,0
"S00089486",101,86,15
"S00089487",80,71,9
"S00089488",122,117,5
"S00089489",131,130,1
"S00089490",250,244,6
"S00089491",109,108,1
"S00089492",71,59,12
"S00089493",74,66,8
"S00089494",74,56,18
"S00089495",69,65,4
"S00089496",68,52,16
"S00089497",213,208,5
"S00089498",124,115,9
"S00089499",71,67,4
"S00089500",91,86,5
"S00089501",146,137,9
"S00089502",135,128,7
"S00089503",62,41,21
"S00089504",59,46,13
"S00089505",64,52,12
"S00089506",88,81,7
"S00089507",93,89,4
"S00089508",107,99,8
"S00089509",51,48,3
"S00089510",128,119,9
"S00089511",88,80,8
"S00089512",58,53,5
"S00089513",126,114,12
"S00089514",103,97,6
"S00089515",268,264,4
"S00089516",107,96,11
"S00089517",73,62,11
"S00089518",171,160,11
"S00089519",118,108,10
"S00089520",91,87,4
"S00089521",131,127,4
"S00089522",116,116,0
"S00089523",101,96,5
"S00089524",99,87,12
"S00089525",78,74,4
"S00089526",109,96,13
"S00089527",107,88,19
"S00089528",91,84,7
"S00089529",118,106,12
"S00089530",67,65,2
"S00089531",82,74,8
"S00089532",110,104,6
"S00089533",79,73,6
"S00089534",120,116,4
"S00089535",86,78,8
"S00089536",114,106,8
"S00089537",76,69,7
"S00089538",88,77,11
"S00089539",79,72,7
"S00089540",97,93,4
"S00089541",96,89,7
"S00089542",124,122,2
"S00089543",80,70,10
"S00089544",102,99,3
"S00089545",62,43,19
"S00089546",107,105,2
"S00089547",143,129,14
"S00089548",161,154,7
"S00089549",98,90,8
"S00089550",101,95,6
"S00089551",76,66,10
"S00089552",77,75,2
"S00089553",101,83,18
"S00089554",69,66,3
"S00089555",141,134,7
"S00089556",80,79,1
"S00089557",138,133,5
"S00089558",125,120,5
"S00089559",154,149,5
"S00089560",78,73,5
"S00089561",101,96,5
"S00089562",111,104,7
"S00089563",76,70,6
"S00089564",98,95,3
"S00089565",147,141,6
"S00089566",140,136,4
"S00089567",174,165,9
"S00089568",177,167,10
"S00089569",111,101,10
"S00089570",137,132,5
"S00089571",150,146,4
"S00089572",76,71,5
"S00089573",103,96,7
"S00089574",80,78,2
"S00089575",72,72,0
"S00089576",126,123,3
"S00089577",89,82,7
"S00089578",109,101,8
"S00089579",88,84,4
"S00089580",109,108,1
"S00089581",89,82,7
"S00089582",120,117,3
"S00089583",134,120,14
"S00089584",66,57,9
"S00089585",131,124,7
"S00089586",108,101,7
"S00089587",69,66,3
"S00089588",88,82,6
"S00089589",87,83,4
"S00089590",107,102,5
"S00089591",120,112,8
"S00089592",95,87,8
"S00089593",120,111,9
"S00089594",82,79,3
"S00089595",143,138,5
"S00089596",100,95,5
"S00089597",128,118,10
"S00089598",58,55,3
"S00089599",130,119,11
"S00089600",53,50,3
"S00089601",71,68,3
