output_area,total,llti,no_llti
S00089720,167,14,153
S00089721,179,9,170
S00089722,95,11,84
S00089723,58,2,56
S00089724,86,5,81
S00089725,96,6,90
S00089726,121,16,105
S00089727,100,13,87
S00089728,92,16,76
S00089729,148,15,133
S00089730,78,6,72
S00089731,113,10,103
S00089732,158,40,118
S00089733,100,12,88
S00089734,94,19,75
S00089735,75,4,71
S00089736,84,5,79
S00089737,86,10,76
S00089738,71,11,60
S00089739,91,18,73
S00089740,124,14,110
S00089741,109,13,96
S00089742,172,9,163
S00089743,164,14,150
S00089744,81,7,74
S00089745,130,12,118
S00089746,121,6,115
S00089747,100,8,92
S00089748,115,10,105
S00089749,62,5,57
S00089750,103,3,100
S00089751,110,7,103
S00089752,108,5,103
S00089753,136,12,124
S00089754,124,6,118
S00089755,65,5,60
S00089756,77,9,68
S00089757,122,9,113
S00089758,112,14,98
S00089759,172,29,143
S00089760,80,11,69
S00089761,59,7,52
S00089762,119,8,111
S00089763,108,8,100
S00089764,131,17,114
S00089765,141,16,125
S00089766,104,18,86
S00089767,64,3,61
S00089768,62,3,59
S00089769,57,1,56
S00089770,102,5,97
S00089771,94,5,89
S00089772,93,6,87
S00089773,108,11,97
S00089774,82,3,79
S00089775,73,4,69
S00089776,94,6,88
S00089777,91,6,85
S00089778,139,11,128
S00089779,92,23,69
S00089780,70,7,63
S00089781,89,3,86
S00089782,71,6,65
S00089783,79,42,37
S00089784,59,7,52
S00089785,153,24,129
S00089786,102,13,89
S00089787,81,14,67
S00089788,68,8,60
S00089789,115,10,105
S00089790,282,33,249
S00089791,66,17,49
S00089792,73,10,63
S00089793,77,9,68
S00089794,71,8,63
S00089795,152,26,126
S00089796,121,3,118
S00089797,90,5,85
S00089798,97,7,90
S00089799,141,20,121
S00089800,107,5,102
S00089801,83,50,33
S00089802,182,36,146
S00089803,83,14,69
S00089804,124,30,94
S00089805,73,20,53
S00089806,113,12,101
S00089807,81,24,57
S00089808,82,12,70
S00089809,92,22,70
S00089810,66,15,51
S00089811,77,12,65
S00089812,98,21,77
S00089813,168,37,131
S00089814,69,36,33
S00089815,94,21,73
S00089816,124,29,95
S00089817,124,27,97
S00089818,93,11,82
S00089819,174,25,149
S00089820,124,18,106
S00089821,114,22,92
S00089822,105,18,87
S00089823,104,19,85
S00089824,166,40,126
S00089825,147,41,106
S00089826,114,11,103
S00089827,126,24,102
S00089828,73,57,16
S00089829,93,22,71
S00089830,124,23,101
S00089831,114,23,91
S00089832,87,25,62
S00089833,145,22,123
S00089834,92,20,72
S00089835,90,19,71
S00089836,166,39,127
S00089837,154,37,117
S00089838,142,38,104
S00089839,87,20,67
S00089840,85,22,63
S00089841,131,14,117
S00089842,82,16,66
S00089843,141,23,118
S00089844,113,28,85
S00089845,137,26,111
S00089846,86,20,66
S00089847,82,11,71
S00089848,123,11,112
S00089849,134,20,114
S00089850,149,32,117
S00089851,82,20,62
S00089852,97,63,34
S00089853,130,30,100
S00089854,95,64,31
S00089855,132,34,98
S00089856,152,29,123
S00089857,116,26,90
S00089858,87,18,69
S00089859,116,13,103
S00089860,102,12,90
S00089861,85,13,72
S00089862,121,31,90
S00089863,158,31,127
S00089864,170,27,143
S00089865,137,15,122
S00089866,81,20,61
S00089867,116,14,102
S00089868,60,20,40
S00089869,159,15,144
S00089870,127,21,106
S00089871,126,42,84
S00089872,147,32,115
S00089873,180,22,158
S00089874,130,17,113
S00089875,133,45,88
S00089876,109,13,96
S00089877,106,21,85
S00089878,93,35,58
S00089879,131,15,116
S00089880,151,30,121
S00089881,170,35,135
S00089882,113,21,92
S00089883,91,16,75
S00089884,111,13,98
S00089885,120,33,87
S00089886,98,33,65
S00089887,100,17,83
S00089888,75,7,68
S00089889,58,26,32
S00089890,111,7,104
S00089891,236,108,128
S00089892,130,3,127
S00089893,128,37,91
S00089894,148,14,134
S00089895,82,5,77
S00089896,81,16,65
S00089897,109,33,76
S00089898,129,25,104
S00089899,116,21,95
S00089900,101,10,91
S00089901,93,13,80
S00089902,157,28,129
S00089903,136,26,110
S00089904,99,15,84
S00089905,104,19,85
S00089906,93,22,71
S00089907,109,23,86
S00089908,116,31,85
S00089909,57,16,41
S00089910,116,20,96
S00089911,159,43,116
S00089912,112,24,88
S00089913,85,11,74
S00089914,83,21,62
S00089915,96,44,52
S00089916,113,39,74
S00089917,110,15,95
S00089918,98,6,92
S00089919,100,19,81
S00089920,126,21,105
S00089921,94,27,67
S00089922,87,25,62
S00089923,99,19,80
S00089924,85,16,69
S00089925,93,30,63
S00089926,120,19,101
S00089927,98,19,79
S00089928,142,18,124
S00089929,132,16,116
S00089930,81,19,62
S00089931,101,23,78
S00089932,114,31,83
S00089933,86,21,65
S00089934,93,13,80
S00089935,128,18,110
S00089936,69,22,47
S00089937,82,17,65
S00089938,114,25,89
S00089939,136,44,92
S00089940,104,24,80
S00089941,116,16,100
S00089942,65,27,38
S00089943,97,27,70
S00089944,58,45,13
S00089945,170,40,130
S00089946,113,18,95
S00089947,101,21,80
S00089948,145,12,133
S00089949,115,32,83
S00089950,108,26,82
S00089951,97,23,74
S00089952,125,34,91
S00089953,64,31,33
S00089954,132,44,88
S00089955,173,35,138
S00089956,55,39,16
S00089957,107,19,88
S00089958,102,13,89
S00089959,114,44,70
S00089960,86,17,69
S00089961,84,26,58
S00089962,73,27,46
S00089963,91,25,66
S00089964,87,60,27
S00089965,162,34,128
S00089966,165,30,135
S00089967,115,31,84
S00089968,92,24,68
S00089969,97,32,65
S00089970,93,21,72
S00089971,171,32,139
S00089972,110,23,87
S00089973,108,18,90
S00089974,100,28,72
S00089975,121,28,93
S00089976,107,22,85
S00089977,103,18,85
S00089978,131,49,82
S00089979,104,31,73
S00089980,104,34,70
S00089981,56,43,13
S00089982,94,28,66
S00089983,79,18,61
S00089984,104,14,90
S00089985,114,24,90
S00089986,80,22,58
S00089987,88,28,60
S00089988,113,29,84
S00089989,106,24,82
S00089990,91,28,63
S00089991,105,14,91
S00089992,135,26,109
S00089993,107,14,93
S00089994,107,10,97
S00089995,98,13,85
S00089996,58,12,46
S00089997,136,19,117
S00089998,155,29,126
S00089999,110,15,95
S00090000,105,11,94
S00090001,85,13,72
S00090002,161,36,125
S00090003,130,29,101
S00090004,83,25,58
S00090005,56,16,40
S00090006,99,48,51
S00090007,204,34,170
S00090008,79,35,44
S00090009,108,27,81
S00090010,103,16,87
S00090011,115,16,99
S00090012,138,26,112
S00090013,106,26,80
S00090014,136,21,115
S00090015,106,15,91
S00090016,100,22,78
S00090017,128,19,109
S00090018,136,25,111
S00090019,54,11,43
S00090020,53,11,42
S00090021,117,26,91
S00090022,114,21,93
S00090023,73,16,57
S00090024,137,32,105
S00090025,158,36,122
S00090026,69,22,47
S00090027,145,21,124
S00090028,141,9,132
S00090029,117,21,96
S00090030,102,19,83
S00090031,184,36,148
S00090032,122,19,103
S00090033,161,27,134
S00090034,128,22,106
S00090035,93,17,76
S00090036,156,24,132
S00090037,126,31,95
S00090038,105,26,79
S00090039,141,26,115
S00090040,171,36,135
S00090041,69,19,50
S00090042,118,33,85
S00090043,143,19,124
S00090044,155,25,130
S00090045,201,22,179
S00090046,54,25,29
S00090047,102,18,84
S00090048,130,22,108
S00090049,157,31,126
S00090050,110,24,86
S00090051,151,39,112
S00090052,131,20,111
S00090053,121,26,95
S00090054,188,36,152
S00090055,175,77,98
S00090056,99,9,90
S00090057,104,20,84
S00090058,56,34,22
S00090059,149,36,113
S00090060,119,11,108
S00090061,125,13,112
S00090062,84,29,55
S00090063,106,14,92
S00090064,171,26,145
S00090065,62,11,51
S00090066,81,15,66
S00090067,101,17,84
S00090068,108,12,96
S00090069,154,23,131
S00090070,214,52,162
S00090071,117,9,108
S00090072,130,11,119
S00090073,130,16,114
S00090074,121,19,102
S00090075,133,15,118
S00090076,142,15,127
S00090077,114,12,102
S00090078,155,23,132
S00090079,142,18,124
S00090080,100,16,84
S00090081,118,16,102
S00090082,80,15,65
S00090083,111,33,78
S00090084,148,30,118
S00090085,132,11,121
S00090086,140,8,132
S00090087,107,24,83
S00090088,99,17,82
S00090089,109,25,84
S00090090,63,3,60
S00090091,163,22,141
S00090092,69,17,52
S00090093,55,21,34
S00090094,142,18,124
S00090095,142,21,121
S00090096,103,18,85
S00090097,73,9,64
S00090098,89,31,58
S00090099,189,50,139
S00090100,131,12,119
S00090101,131,15,116
S00090102,113,8,105
S00090103,148,25,123
S00090104,125,10,115
S00090105,93,16,77
S00090106,173,25,148
S00090107,156,22,134
S00090108,125,8,117
S00090109,115,11,104
S00090110,138,12,126
S00090111,76,16,60
S00090112,170,19,151
S00090113,107,21,86
S00090114,129,10,119
S00090115,105,15,90
S00090116,150,11,139
S00090117,140,21,119
S00090118,151,18,133
S00090119,216,14,202
S00090120,141,17,124
S00090121,241,26,215
S00090122,117,16,101
S00090123,99,13,86
S00090124,105,54,51
S00090125,75,51,24
S00090126,134,43,91
S00090127,136,32,104
S00090128,107,13,94
S00090129,135,28,107
S00090130,125,29,96
S00090131,140,12,128
S00090132,150,22,128
S00090133,184,13,171
S00090134,143,14,129
S00090135,143,15,128
S00090136,134,10,124
S00090137,119,7,112
S00090138,111,15,96
S00090139,124,10,114
S00090140,106,6,100
S00090141,94,4,90
S00090142,119,27,92
S00090143,84,11,73
S00090144,87,24,63
S00090145,110,24,86
S00090146,84,34,50
S00090147,85,30,55
S00090148,85,23,62
S00090149,162,39,123
S00090150,82,24,58
S00090151,88,27,61
S00090152,93,25,68
S00090153,119,29,90
S00090154,121,26,95
S00090155,109,17,92
S00090156,140,49,91
S00090157,165,33,132
S00090158,104,12,92
S00090159,135,40,95
S00090160,128,28,100
S00090161,112,25,87
S00090162,138,15,123
S00090163,97,21,76
S00090164,133,11,122
S00090165,128,15,113
S00090166,122,12,110
S00090167,91,4,87
S00090168,97,24,73
S00090169,91,31,60
S00090170,113,18,95
S00090171,58,11,47
S00090172,120,34,86
S00090173,131,26,105
S00090174,144,19,125
S00090175,134,18,116
S00090176,70,15,55
S00090177,118,26,92
S00090178,134,27,107
S00090179,155,34,121
S00090180,132,37,95
S00090181,145,27,118
S00090182,127,22,105
S00090183,158,14,144
S00090184,83,12,71
S00090185,83,18,65
S00090186,114,29,85
S00090187,112,14,98
S00090188,105,16,89
S00090189,68,5,63
S00090190,160,51,109
S00090191,132,20,112
S00090192,99,28,71
S00090193,122,21,101
S00090194,98,15,83
S00090195,109,11,98
S00090196,101,16,85
S00090197,98,11,87
S00090198,104,18,86
S00090199,77,11,66
S00090200,104,19,85
S00090201,123,10,113
S00090202,105,15,90
S00090203,109,15,94
S00090204,128,29,99
S00090205,117,19,98
S00090206,93,16,77
S00090207,96,21,75
S00090208,97,15,82
S00090209,99,12,87
S00090210,84,14,70
S00090211,60,4,56
S00090212,64,14,50
S00090213,71,13,58
S00090214,99,22,77
S00090215,144,27,117
S00090216,110,17,93
S00090217,97,12,85
S00090218,112,9,103
S00090219,119,20,99
