"output_area","total","owned","social","rented","rentfree"
"60QA000001",58,58,0,0,0
"60QA000002",174,153,3,14,4
"60QA000003",76,48,0,26,2
"60QA000004",66,55,0,7,4
"60QA000005",82,48,0,34,0
"60QA000006",198,54,23,16,105
"60QA000007",73,64,0,9,0
"60QA000008",108,102,0,2,4
"60QA000009",151,129,3,11,8
"60QA000010",65,54,1,9,1
"60QA000011",71,46,0,20,5
"60QA000012",84,80,0,2,2
"60QA000013",212,180,3,17,12
"60QA000014",99,81,1,16,1
"60QA000015",77,61,1,12,3
"60QA000016",130,92,8,30,0
"60QA000017",144,18,121,2,3
"60QA000018",123,4,114,0,5
"60QA000019",62,46,10,6,0
"60QA000020",65,35,0,30,0
"60QA000021",55,26,2,27,0
"60QA000022",54,27,0,26,1
"60QA000023",85,37,17,31,0
"60QA000024",90,35,18,30,7
"60QA000025",72,0,70,1,1
"60QA000026",59,18,32,5,4
"60QA000027",73,43,5,24,1
"60QA000028",119,51,1,67,0
"60QA000029",56,16,5,35,0
"60QA000030",63,4,56,1,2
"60QA000031",71,27,4,36,4
"60QA000032",92,55,16,20,1
"60QA000033",115,77,0,34,4
"60QA000034",170,3,9,157,1
"60QA000035",106,73,0,32,1
"60QA000036",124,51,13,59,1
"60QA000037",62,19,0,43,0
"60QA000038",100,28,66,3,3
"60QA000039",178,165,0,13,0
"60QA000040",123,112,2,9,0
"60QA000041",71,44,2,24,1
"60QA000042",57,44,2,11,0
"60QA000043",121,115,3,0,3
"60QA000044",143,99,4,36,4
"60QA000045",70,40,1,29,0
"60QA000046",101,64,2,33,2
"60QA000047",137,126,0,9,2
"60QA000048",107,101,0,4,2
"60QA000049",114,98,0,15,1
"60QA000050",131,114,2,11,4
"60QA000051",65,17,21,26,1
"60QA000052",98,53,1,41,3
"60QA000053",85,47,6,32,0
"60QA000054",116,88,4,22,2
"60QA000055",161,125,2,32,2
"60QA000056",128,89,19,14,6
"60QA000057",69,54,1,14,0
"60QA000058",95,77,3,15,0
"60QA000059",63,43,1,17,2
"60QA000060",97,80,1,14,2
"60QA000061",82,44,2,34,2
"60QA000062",68,46,3,19,0
"60QA000063",67,39,1,27,0
"60QA000064",99,65,0,32,2
"60QA000065",96,65,0,29,2
"60QA000066",81,55,10,16,0
"60QA000067",71,47,2,21,1
"60QA000068",68,25,2,41,0
"60QA000069",106,75,0,29,2
"60QA000070",60,47,2,11,0
"60QA000071",62,45,0,17,0
"60QA000072",61,29,0,30,2
"60QA000073",87,37,33,15,2
"60QA000074",93,42,23,27,1
"60QA000075",59,44,0,14,1
"60QA000076",132,23,13,93,3
"60QA000077",82,6,72,0,4
"60QA000078",147,112,32,0,3
"60QA000079",66,9,53,2,2
"60QA000080",123,26,86,3,8
"60QA000081",78,0,76,0,2
"60QA000082",161,116,35,4,6
"60QA000083",94,85,3,6,0
"60QA000084",102,51,47,0,4
"60QA000085",131,69,57,2,3
"60QA000086",119,71,30,8,10
"60QA000087",141,91,30,14,6
"60QA000088",155,112,35,7,1
"60QA000089",90,42,27,19,2
"60QA000090",80,61,6,13,0
"60QA000091",88,48,18,17,5
"60QA000092",62,38,3,19,2
"60QA000093",104,23,59,19,3
"60QA000094",71,50,9,10,2
"60QA000095",64,48,7,9,0
"60QA000096",104,58,16,29,1
"60QA000097",90,50,13,25,2
"60QA000098",84,51,12,19,2
"60QA000099",93,28,24,39,2
"60QA000100",63,31,17,12,3
"60QA000101",62,32,15,11,4
"60QA000102",75,51,13,11,0
"60QA000103",76,45,13,15,3
"60QA000104",74,33,27,12,2
"60QA000105",76,30,36,6,4
"60QA000106",70,35,28,7,0
"60QA000107",77,51,6,17,3
"60QA000108",119,63,35,20,1
"60QA000109",62,41,4,17,0
"60QA000110",123,35,84,0,4
"60QA000111",71,41,17,10,3
"60QA000112",54,18,35,0,1
"60QA000113",56,32,18,1,5
"60QA000114",92,5,77,2,8
"60QA000115",73,33,33,0,7
"60QA000116",79,15,57,1,6
"60QA000117",133,27,105,0,1
"60QA000118",108,73,27,0,8
"60QA000119",103,32,68,0,3
"60QA000120",107,53,52,0,2
"60QA000121",129,38,86,2,3
"60QA000122",101,63,38,0,0
"60QA000123",106,65,40,1,0
"60QA000124",128,41,76,5,6
"60QA000125",160,15,122,0,23
"60QA000126",156,34,114,4,4
"60QA000127",133,19,112,0,2
"60QA000128",100,7,79,2,12
"60QA000129",108,11,93,0,4
"60QA000130",89,33,56,0,0
"60QA000131",147,2,136,2,7
"60QA000132",110,12,83,4,11
"60QA000133",101,81,14,4,2
"60QA000134",74,0,69,0,5
"60QA000135",68,2,59,2,5
"60QA000136",78,61,4,13,0
"60QA000137",79,72,1,6,0
"60QA000138",110,97,1,12,0
"60QA000139",106,90,9,7,0
"60QA000140",81,27,46,3,5
"60QA000141",88,31,46,5,6
"60QA000142",54,32,17,5,0
"60QA000143",95,28,62,0,5
"60QA000144",153,23,117,1,12
"60QA000145",121,16,95,2,8
"60QA000146",59,2,55,0,2
"60QA000147",119,18,87,0,14
"60QA000148",145,39,96,3,7
"60QA000149",103,0,101,0,2
"60QA000150",111,26,82,0,3
"60QA000151",168,164,4,0,0
"60QA000152",64,64,0,0,0
"60QA000153",86,80,3,1,2
"60QA000154",92,61,0,20,11
"60QA000155",69,24,43,0,2
"60QA000156",159,83,75,0,1
"60QA000157",107,46,59,0,2
"60QA000158",178,58,109,0,11
"60QA000159",133,41,86,1,5
"60QA000160",96,52,41,2,1
"60QA000161",113,46,64,0,3
"60QA000162",134,74,0,22,38
"60QA000163",101,73,27,0,1
"60QA000164",111,93,5,12,1
"60QA000165",99,84,0,15,0
"60QA000166",143,122,21,0,0
"60QA000167",143,91,52,0,0
"60QA000168",121,117,0,0,4
"60QA000169",112,106,1,3,2
"60QA000170",108,99,0,6,3
"60QA000171",57,1,48,2,6
"60QA000172",96,75,18,2,1
"60QA000173",110,86,20,1,3
"60QA000174",117,108,8,0,1
"60QA000175",161,109,46,4,2
"60QA000176",106,79,17,7,3
"60QA000177",119,88,17,3,11
"60QA000178",64,47,13,4,0
"60QA000179",72,63,7,2,0
"60QA000180",108,87,21,0,0
"60QA000181",108,52,50,1,5
"60QA000182",110,39,65,0,6
"60QA000183",145,48,86,4,7
"60QA000184",122,30,81,0,11
"60QA000185",120,46,66,1,7
"60QA000186",75,17,57,0,1
"60QA000187",123,50,67,0,6
"60QA000188",76,27,41,0,8
"60QA000189",90,57,25,0,8
"60QA000190",113,63,44,4,2
"60QA000191",131,98,31,2,0
"60QA000192",133,96,37,0,0
"60QA000193",89,61,27,0,1
"60QA000194",116,68,44,0,4
"60QA000195",100,66,32,0,2
"60QA000196",107,37,54,2,14
"60QA000197",123,81,37,0,5
"60QA000198",92,52,31,4,5
"60QA000199",112,71,37,0,4
"60QA000200",160,88,64,3,5
"60QA000201",126,61,61,0,4
"60QA000202",76,4,68,0,4
"60QA000203",131,63,59,3,6
"60QA000204",81,35,41,0,5
"60QA000205",90,26,51,0,13
"60QA000206",68,19,39,7,3
"60QA000207",62,29,26,0,7
"60QA000208",179,84,83,1,11
"60QA000209",146,38,105,0,3
"60QA000210",103,73,27,0,3
"60QA000211",139,45,79,5,10
"60QA000212",150,113,34,0,3
"60QA000213",177,121,52,0,4
"60QA000214",151,120,28,2,1
"60QA000215",101,72,26,0,3
"60QA000216",126,85,36,4,1
"60QA000217",117,76,30,8,3
"60QA000218",123,119,0,3,1
"60QA000219",136,130,2,4,0
"60QA000220",90,87,0,2,1
"60QA000221",138,127,3,7,1
"60QA000222",180,157,2,19,2
"60QA000223",137,120,1,13,3
"60QA000224",119,98,4,14,3
"60QA000225",119,111,0,2,6
"60QA000226",135,123,0,5,7
"60QA000227",129,113,0,15,1
"60QA000228",83,79,0,3,1
"60QA000229",91,85,0,6,0
"60QA000230",73,70,0,1,2
"60QA000231",106,96,4,4,2
"60QA000232",165,140,3,22,0
"60QA000233",182,177,0,4,1
"60QA000234",140,130,0,10,0
"60QA000235",104,79,1,24,0
"60QA000236",127,113,0,8,6
"60QA000237",106,98,0,8,0
"60QA000238",78,54,0,23,1
"60QA000239",61,45,0,16,0
"60QA000240",67,30,2,35,0
"60QA000241",56,39,2,15,0
"60QA000242",117,55,0,62,0
"60QA000243",65,47,0,18,0
"60QA000244",75,56,3,15,1
"60QA000245",67,39,0,28,0
"60QA000246",103,69,4,28,2
"60QA000247",68,32,2,33,1
"60QA000248",105,56,22,27,0
"60QA000249",63,33,9,20,1
"60QA000250",71,45,2,24,0
"60QA000251",57,32,0,25,0
"60QA000252",84,64,2,16,2
"60QA000253",92,55,26,5,6
"60QA000254",142,115,0,27,0
"60QA000255",113,66,6,41,0
"60QA000256",112,70,4,38,0
"60QA000257",89,68,0,21,0
"60QA000258",91,81,0,9,1
"60QA000259",96,74,12,10,0
"60QA000260",69,46,0,21,2
"60QA000261",210,163,0,39,8
"60QA000262",98,83,0,15,0
"60QA000263",87,49,6,29,3
"60QA000264",86,60,8,18,0
"60QA000265",145,138,0,7,0
"60QA000266",131,121,2,6,2
"60QA000267",115,114,0,0,1
"60QA000268",178,175,0,3,0
"60QA000269",179,176,0,3,0
"60QA000270",144,133,0,7,4
"60QA000271",121,113,0,6,2
"60QA000272",82,78,1,3,0
"60QA000273",81,80,1,0,0
"60QA000274",149,140,2,5,2
"60QA000275",144,131,10,2,1
"60QA000276",147,139,0,3,5
"60QA000277",120,100,0,17,3
"60QA000278",126,87,0,32,7
"60QA000279",124,110,1,12,1
"60QA000280",133,124,0,8,1
"60QA000281",101,91,3,7,0
"60QA000282",97,86,3,8,0
"60QA000283",126,112,3,11,0
"60QA000284",91,48,0,43,0
"60QA000285",61,50,0,11,0
"60QA000286",145,132,1,11,1
