"output_area","total","pensioner","student","other"
"S00088956",74,6,0,68
"S00088957",26,7,0,19
"S00088958",27,1,0,26
"S00088959",32,3,0,29
"S00088960",23,2,0,21
"S00088961",22,6,0,16
"S00088962",26,4,0,22
"S00088963",33,7,0,26
"S00088964",33,3,0,30
"S00088965",58,12,0,46
"S00088966",50,6,1,43
"S00088967",22,3,0,19
"S00088968",21,5,0,16
"S00088969",56,6,0,50
"S00088970",48,4,2,42
"S00088971",41,6,1,34
"S00088972",75,2,6,67
"S00088973",71,20,1,50
"S00088974",59,6,1,52
"S00088975",39,0,4,35
"S00088976",45,5,1,39
"S00088977",40,2,8,30
"S00088978",33,3,6,24
"S00088979",49,0,5,44
"S00088980",45,5,4,36
"S00088981",43,4,2,37
"S00088982",39,4,2,33
"S00088983",44,15,0,29
"S00088984",44,14,0,30
"S00088985",50,2,0,48
"S00088986",77,0,11,66
"S00088987",37,1,4,32
"S00088988",57,3,0,54
"S00088989",51,0,4,47
"S00088990",63,1,4,58
"S00088991",81,3,10,68
"S00088992",72,39,0,33
"S00088993",61,0,6,55
"S00088994",34,0,5,29
"S00088995",36,0,6,30
"S00088996",41,8,8,25
"S00088997",67,10,0,57
"S00088998",57,1,1,55
"S00088999",54,5,0,49
"S00089000",89,6,1,82
"S00089001",55,16,1,38
"S00089002",53,7,0,46
"S00089003",43,5,3,35
"S00089004",51,4,1,46
"S00089005",56,11,0,45
"S00089006",42,3,0,39
"S00089007",62,7,4,51
"S00089008",48,0,1,47
"S00089009",61,1,1,59
"S00089010",67,6,2,59
"S00089011",86,4,4,78
"S00089012",61,9,3,49
"S00089013",41,3,1,37
"S00089014",67,0,5,62
"S00089015",54,0,3,51
"S00089016",54,2,1,51
"S00089017",50,0,1,49
"S00089018",54,10,0,44
"S00089019",70,6,1,63
"S00089020",48,2,2,44
"S00089021",45,3,0,42
"S00089022",52,5,0,47
"S00089023",48,7,2,39
"S00089024",47,5,5,37
"S00089025",48,2,1,45
"S00089026",44,2,1,41
"S00089027",71,3,2,66
"S00089028",59,1,1,57
"S00089029",59,1,1,57
"S00089030",48,1,1,46
"S00089031",80,2,5,73
"S00089032",30,1,0,29
"S00089033",51,2,2,47
"S00089034",34,4,1,29
"S00089035",73,5,2,66
"S00089036",39,1,2,36
"S00089037",54,2,3,49
"S00089038",39,0,2,37
"S00089039",44,0,2,42
"S00089040",39,1,0,38
"S00089041",70,6,0,64
"S00089042",28,1,0,27
"S00089043",59,1,0,58
"S00089044",34,1,0,33
"S00089045",36,12,0,24
"S00089046",43,10,1,32
"S00089047",52,11,1,40
"S00089048",46,15,0,31
"S00089049",53,9,0,44
"S00089050",48,13,0,35
"S00089051",71,6,0,65
"S00089052",70,12,0,58
"S00089053",68,3,0,65
"S00089054",48,3,1,44
"S00089055",57,2,1,54
"S00089056",50,2,0,48
"S00089057",57,5,1,51
"S00089058",70,5,0,65
"S00089059",39,0,0,39
"S00089060",38,1,0,37
"S00089061",41,2,2,37
"S00089062",32,3,0,29
"S00089063",48,1,2,45
"S00089064",55,3,0,52
"S00089065",67,0,1,66
"S00089066",39,2,2,35
"S00089067",52,1,3,48
"S00089068",42,3,0,39
"S00089069",32,2,0,30
"S00089070",71,2,2,67
"S00089071",57,19,0,38
"S00089072",73,3,2,68
"S00089073",63,2,0,61
"S00089074",75,7,0,68
"S00089075",46,1,1,44
"S00089076",75,16,0,59
"S00089077",55,2,0,53
"S00089078",31,16,0,15
"S00089079",25,3,0,22
"S00089080",42,2,0,40
"S00089081",50,20,0,30
"S00089082",44,15,0,29
"S00089083",53,9,0,44
"S00089084",47,13,0,34
"S00089085",54,10,0,44
"S00089086",38,7,0,31
"S00089087",75,11,1,63
"S00089088",45,10,0,35
"S00089089",55,8,0,47
"S00089090",52,9,0,43
"S00089091",49,5,0,44
"S00089092",53,3,0,50
"S00089093",78,5,0,73
"S00089094",40,4,0,36
"S00089095",51,3,0,48
"S00089096",40,2,0,38
"S00089097",47,2,0,45
"S00089098",34,0,1,33
"S00089099",50,3,0,47
"S00089100",45,19,0,26
"S00089101",41,1,0,40
"S00089102",38,4,0,34
"S00089103",52,6,1,45
"S00089104",42,2,0,40
"S00089105",64,7,0,57
"S00089106",51,7,0,44
"S00089107",43,8,0,35
"S00089108",46,6,0,40
"S00089109",32,4,0,28
"S00089110",60,12,0,48
"S00089111",63,6,0,57
"S00089112",91,17,0,74
"S00089113",47,40,0,7
"S00089114",50,7,0,43
"S00089115",72,11,0,61
"S00089116",68,2,0,66
"S00089117",67,3,0,64
"S00089118",61,16,1,44
"S00089119",42,16,0,26
"S00089120",31,7,0,24
"S00089121",66,11,2,53
"S00089122",38,5,0,33
"S00089123",56,9,0,47
"S00089124",39,8,0,31
"S00089125",64,7,0,57
"S00089126",43,7,0,36
"S00089127",41,7,0,34
"S00089128",39,3,0,36
"S00089129",71,4,0,67
"S00089130",43,11,0,32
"S00089131",40,9,0,31
"S00089132",41,4,0,37
"S00089133",41,12,0,29
"S00089134",61,19,0,42
"S00089135",73,26,0,47
"S00089136",52,13,0,39
"S00089137",46,14,1,31
"S00089138",47,46,0,1
"S00089139",37,9,0,28
"S00089140",45,11,0,34
"S00089141",49,7,0,42
"S00089142",53,8,0,45
"S00089143",41,10,0,31
"S00089144",44,8,0,36
"S00089145",52,8,0,44
"S00089146",43,11,0,32
"S00089147",47,6,0,41
"S00089148",44,8,1,35
"S00089149",40,1,0,39
"S00089150",69,15,0,54
"S00089151",37,9,0,28
"S00089152",42,11,0,31
"S00089153",40,18,0,22
"S00089154",37,4,0,33
"S00089155",39,12,0,27
"S00089156",49,16,0,33
"S00089157",48,14,0,34
"S00089158",55,16,0,39
"S00089159",43,14,0,29
"S00089160",50,16,1,33
"S00089161",43,11,0,32
"S00089162",34,5,0,29
"S00089163",51,7,0,44
"S00089164",39,11,0,28
"S00089165",49,16,0,33
"S00089166",71,25,0,46
"S00089167",52,12,0,40
"S00089168",53,49,0,4
"S00089169",46,10,0,36
"S00089170",46,11,0,35
"S00089171",41,15,0,26
"S00089172",31,6,0,25
"S00089173",62,9,0,53
"S00089174",71,16,0,55
"S00089175",64,12,1,51
"S00089176",42,4,0,38
"S00089177",67,14,0,53
"S00089178",66,20,0,46
"S00089179",77,17,0,60
"S00089180",60,18,0,42
"S00089181",45,14,0,31
"S00089182",43,5,0,38
"S00089183",41,9,0,32
"S00089184",46,6,0,40
"S00089185",55,16,0,39
"S00089186",51,5,2,44
"S00089187",38,12,0,26
"S00089188",70,16,0,54
"S00089189",72,17,0,55
"S00089190",59,5,0,54
