"output_area","total","owned","social","rented","rentfree"
"S00088956",230,209,7,12,2
"S00088957",66,55,0,11,0
"S00088958",90,82,0,8,0
"S00088959",83,47,8,21,7
"S00088960",68,62,0,6,0
"S00088961",74,33,0,34,7
"S00088962",86,74,4,2,6
"S00088963",89,80,0,3,6
"S00088964",88,78,0,10,0
"S00088965",144,113,15,14,2
"S00088966",120,81,28,11,0
"S00088967",52,37,0,10,5
"S00088968",56,46,5,5,0
"S00088969",154,134,5,12,3
"S00088970",105,61,0,41,3
"S00088971",78,50,0,25,3
"S00088972",129,63,5,60,1
"S00088973",144,53,73,18,0
"S00088974",120,33,81,6,0
"S00088975",77,43,4,30,0
"S00088976",69,20,5,41,3
"S00088977",60,15,1,43,1
"S00088978",60,30,1,25,4
"S00088979",85,38,6,40,1
"S00088980",66,20,9,35,2
"S00088981",57,21,19,17,0
"S00088982",66,26,6,32,2
"S00088983",65,0,60,5,0
"S00088984",55,11,33,11,0
"S00088985",80,31,5,43,1
"S00088986",131,35,5,87,4
"S00088987",63,17,2,44,0
"S00088988",67,1,56,10,0
"S00088989",95,29,1,60,5
"S00088990",107,39,13,54,1
"S00088991",127,35,5,86,1
"S00088992",86,6,78,2,0
"S00088993",123,28,54,34,7
"S00088994",57,7,3,45,2
"S00088995",62,13,0,49,0
"S00088996",102,40,32,30,0
"S00088997",152,130,0,19,3
"S00088998",126,73,0,49,4
"S00088999",123,98,2,22,1
"S00089000",120,66,2,48,4
"S00089001",115,104,0,10,1
"S00089002",135,109,4,22,0
"S00089003",91,37,2,51,1
"S00089004",97,63,2,32,0
"S00089005",133,118,0,13,2
"S00089006",104,85,1,18,0
"S00089007",122,82,0,40,0
"S00089008",73,48,0,24,1
"S00089009",106,54,5,47,0
"S00089010",129,111,0,18,0
"S00089011",151,38,44,68,1
"S00089012",117,52,1,64,0
"S00089013",69,46,3,20,0
"S00089014",117,73,1,38,5
"S00089015",93,40,0,52,1
"S00089016",90,40,1,49,0
"S00089017",83,33,0,49,1
"S00089018",128,96,0,31,1
"S00089019",134,76,23,35,0
"S00089020",79,33,3,43,0
"S00089021",83,68,0,14,1
"S00089022",78,38,3,35,2
"S00089023",99,66,0,28,5
"S00089024",65,28,2,35,0
"S00089025",63,26,1,34,2
"S00089026",67,34,0,32,1
"S00089027",101,42,3,51,5
"S00089028",78,42,0,36,0
"S00089029",82,39,13,29,1
"S00089030",66,31,2,33,0
"S00089031",143,75,5,59,4
"S00089032",63,41,2,20,0
"S00089033",95,39,9,47,0
"S00089034",58,30,3,25,0
"S00089035",106,32,50,24,0
"S00089036",62,22,5,34,1
