output_area,total,active,inactive
S00088956,152,118,34
S00088957,53,42,11
S00088958,59,42,17
S00088959,62,46,16
S00088960,54,40,14
S00088961,175,85,90
S00088962,54,43,11
S00088963,60,47,13
S00088964,72,60,12
S00088965,110,78,32
S00088966,92,58,34
S00088967,45,39,6
S00088968,46,31,15
S00088969,120,97,23
S00088970,91,68,23
S00088971,62,50,12
S00088972,119,100,19
S00088973,108,75,33
S00088974,100,68,32
S00088975,67,54,13
S00088976,66,56,10
S00088977,58,40,18
S00088978,54,39,15
S00088979,81,69,12
S00088980,63,52,11
S00088981,55,42,13
S00088982,61,48,13
S00088983,47,29,18
S00088984,48,28,20
S00088985,75,65,10
S00088986,130,100,30
S00088987,63,51,12
S00088988,63,47,16
S00088989,87,64,23
S00088990,103,83,20
S00088991,118,93,25
S00088992,504,218,286
S00088993,101,80,21
S00088994,52,37,15
S00088995,60,46,14
S00088996,83,44,39
S00088997,123,97,26
S00088998,98,81,17
S00088999,99,79,20
S00089000,117,105,12
S00089001,91,61,30
S00089002,97,74,23
S00089003,74,68,6
S00089004,77,66,11
S00089005,103,67,36
S00089006,79,60,19
S00089007,106,81,25
S00089008,72,69,3
S00089009,97,88,9
S00089010,109,96,13
S00089011,145,113,32
S00089012,101,82,19
S00089013,64,59,5
S00089014,110,93,17
S00089015,88,81,7
S00089016,85,69,16
S00089017,81,76,5
S00089018,115,96,19
S00089019,119,100,19
S00089020,73,60,13
S00089021,68,55,13
S00089022,84,63,21
S00089023,81,64,17
S00089024,64,57,7
S00089025,61,51,10
S00089026,66,60,6
S00089027,101,92,9
S00089028,77,73,4
S00089029,78,72,6
S00089030,64,59,5
S00089031,126,111,15
S00089032,71,63,8
S00089033,85,72,13
S00089034,52,37,15
S00089035,93,71,22
S00089036,61,50,11
S00089037,79,69,10
S00089038,56,54,2
S00089039,73,58,15
S00089040,69,56,13
S00089041,138,91,47
S00089042,50,34,16
S00089043,105,83,22
S00089044,58,43,15
S00089045,53,34,19
S00089046,231,74,157
S00089047,88,65,23
S00089048,71,48,23
S00089049,108,85,23
S00089050,76,51,25
S00089051,129,104,25
S00089052,126,104,22
S00089053,92,80,12
S00089054,68,62,6
S00089055,83,68,15
S00089056,69,66,3
S00089057,81,58,23
S00089058,92,73,19
S00089059,54,47,7
S00089060,52,46,6
S00089061,64,54,10
S00089062,46,32,14
S00089063,72,66,6
S00089064,76,65,11
S00089065,87,71,16
S00089066,57,47,10
S00089067,91,80,11
S00089068,64,57,7
S00089069,50,43,7
S00089070,112,91,21
S00089071,67,53,14
S00089072,99,87,12
S00089073,89,73,16
S00089074,118,99,19
S00089075,75,66,9
S00089076,92,69,23
S00089077,78,68,10
S00089078,33,22,11
S00089079,47,35,12
S00089080,68,44,24
S00089081,63,40,23
S00089082,56,33,23
S00089083,92,72,20
S00089084,68,46,22
S00089085,86,65,21
S00089086,80,55,25
S00089087,113,83,30
S00089088,71,45,26
S00089089,89,68,21
S00089090,95,63,32
S00089091,94,63,31
S00089092,102,73,29
S00089093,121,85,36
S00089094,65,37,28
S00089095,85,61,24
S00089096,68,52,16
S00089097,68,48,20
S00089098,59,42,17
S00089099,85,68,17
S00089100,63,44,19
S00089101,61,50,11
S00089102,59,46,13
S00089103,77,66,11
S00089104,63,54,9
S00089105,87,75,12
S00089106,79,63,16
S00089107,65,50,15
S00089108,71,59,12
S00089109,47,39,8
S00089110,99,69,30
S00089111,115,92,23
S00089112,118,88,30
S00089113,36,5,31
S00089114,79,52,27
S00089115,121,86,35
S00089116,130,106,24
S00089117,92,54,38
S00089118,119,87,32
S00089119,72,46,26
S00089120,63,46,17
S00089121,109,71,38
S00089122,45,26,19
S00089123,112,76,36
S00089124,73,44,29
S00089125,122,82,40
S00089126,82,56,26
S00089127,73,51,22
S00089128,74,56,18
S00089129,160,132,28
S00089130,70,56,14
S00089131,79,61,18
S00089132,73,61,12
S00089133,60,43,17
S00089134,100,70,30
S00089135,108,68,40
S00089136,89,61,28
S00089137,91,53,38
S00089138,12,4,8
S00089139,64,44,20
S00089140,77,61,16
S00089141,100,81,19
S00089142,115,83,32
S00089143,77,50,27
S00089144,76,52,24
S00089145,106,74,32
S00089146,82,64,18
S00089147,66,49,17
S00089148,85,53,32
S00089149,90,76,14
S00089150,103,67,36
S00089151,43,30,13
S00089152,48,28,20
S00089153,45,28,17
S00089154,56,42,14
S00089155,66,44,22
S00089156,100,49,51
S00089157,80,52,28
S00089158,98,76,22
S00089159,63,48,15
S00089160,79,58,21
S00089161,77,53,24
S00089162,56,43,13
S00089163,84,62,22
S00089164,53,39,14
S00089165,73,56,17
S00089166,98,77,21
S00089167,85,66,19
S00089168,13,1,12
S00089169,85,61,24
S00089170,58,44,14
S00089171,52,35,17
S00089172,45,32,13
S00089173,105,86,19
S00089174,117,77,40
S00089175,96,67,29
S00089176,83,67,16
S00089177,92,72,20
S00089178,101,75,26
S00089179,125,94,31
S00089180,111,84,27
S00089181,71,50,21
S00089182,90,73,17
S00089183,77,52,25
S00089184,96,73,23
S00089185,100,68,32
S00089186,85,71,14
S00089187,55,47,8
S00089188,117,85,32
S00089189,112,86,26
S00089190,97,79,18
S00089191,117,98,19
S00089192,96,85,11
S00089193,120,100,20
S00089194,103,67,36
S00089195,101,64,37
S00089196,89,63,26
S00089197,90,64,26
S00089198,66,53,13
S00089199,70,53,17
S00089200,48,35,13
S00089201,69,47,22
S00089202,118,95,23
S00089203,165,120,45
S00089204,101,84,17
S00089205,93,79,14
S00089206,86,61,25
S00089207,73,55,18
S00089208,69,61,8
S00089209,66,56,10
S00089210,73,60,13
S00089211,67,60,7
S00089212,99,77,22
S00089213,63,52,11
S00089214,60,52,8
S00089215,56,43,13
S00089216,93,73,20
S00089217,71,58,13
S00089218,117,93,24
S00089219,76,61,15
S00089220,59,48,11
S00089221,133,107,26
S00089222,80,75,5
S00089223,60,47,13
S00089224,120,91,29
S00089225,55,51,4
S00089226,52,48,4
S00089227,118,98,20
