dz_2001,total,house,nonhouse
S01000285,719,716,3
S01000286,914,512,402
S01000287,676,567,109
S01000288,807,799,8
S01000289,884,722,162
S01000290,813,500,313
S01000291,884,859,25
S01000292,1003,798,205
S01000293,841,397,444
S01000294,648,630,18
S01000295,538,536,2
S01000296,952,791,161
S01000297,729,700,29
S01000298,1131,1098,33
S01000299,972,914,58
S01000300,759,746,13
S01000301,506,467,39
S01000302,625,619,6
S01000303,566,561,5
S01000304,829,828,1
S01000305,1040,1020,20
S01000306,790,776,14
S01000307,922,910,12
S01000308,1217,1187,30
S01000309,1188,1162,26
S01000310,942,890,52
S01000311,902,608,294
S01000312,512,446,66
S01000313,681,637,44
S01000314,551,514,37
S01000315,659,629,30
S01000316,889,815,74
S01000317,542,487,55
S01000318,549,545,4
S01000319,659,658,1
S01000320,671,546,125
S01000321,595,588,7
S01000322,992,904,88
S01000323,879,856,23
S01000324,835,823,12
S01000325,1291,1277,14
S01000326,805,762,43
S01000327,809,800,9
S01000328,534,534,0
S01000329,836,826,10
S01000330,1317,1279,38
S01000331,560,554,6
S01000332,733,649,84
S01000333,938,921,17
S01000334,875,829,46
S01000335,792,786,6
S01000336,1380,1204,176
S01000337,836,821,15
S01000338,490,468,22
S01000339,1194,1152,42
S01000340,1058,1025,33
S01000341,960,942,18
S01000342,474,466,8
S01000343,566,561,5
S01000344,992,970,22
S01000345,626,596,30
S01000346,643,573,70
S01000347,1544,1527,17
S01000348,730,618,112
S01000349,537,425,112
S01000350,1082,1047,35
S01000351,939,848,91
S01000352,699,650,49
S01000353,508,470,38
S01000354,1576,1405,171
S01000355,615,605,10
S01000356,642,638,4
S01000357,580,579,1
S01000358,889,869,20
S01000359,836,833,3
S01000360,529,506,23
S01000361,678,659,19
S01000362,971,888,83
S01000363,1178,1155,23
S01000364,928,914,14
S01000365,2070,2006,64
S01000366,2123,2092,31
S01000367,845,781,64
S01000368,1286,1147,139
S01000369,938,933,5
S01000370,1511,1489,22
S01000371,916,886,30
S01000372,913,812,101
S01000373,665,606,59
S01000374,647,645,2
S01000375,612,610,2
S01000376,826,811,15
S01000377,852,786,66
S01000378,543,540,3
S01000379,655,653,2
S01000380,957,937,20
S01000381,1604,1562,42
S01000382,733,725,8
S01000383,1166,1095,71
S01000384,704,672,32
S01000385,622,515,107
S01000386,1260,1006,254
S01000387,871,835,36
S01000388,1053,1025,28
S01000389,861,849,12
S01000390,778,612,166
S01000391,694,465,229
S01000392,800,707,93
S01000393,878,750,128
S01000394,693,559,134
S01000395,800,783,17
S01000396,843,665,178
S01000397,934,790,144
S01000398,2408,2357,51
S01000399,594,299,295
S01000400,803,473,330
S01000401,904,895,9
S01000402,751,676,75
S01000403,768,571,197
S01000404,708,639,69
S01000405,522,521,1
S01000406,534,275,259
S01000407,595,491,104
S01000408,609,602,7
S01000409,579,563,16
S01000410,743,731,12
S01000411,702,696,6
S01000412,798,770,28
S01000413,865,837,28
S01000414,694,668,26
S01000415,927,878,49
S01000416,910,875,35
S01000417,1006,943,63
S01000418,718,704,14
S01000419,1517,1504,13
S01000420,1311,1213,98
S01000421,786,775,11
S01000422,906,869,37
S01000423,1026,1018,8
S01000424,743,737,6
S01000425,842,824,18
S01000426,826,813,13
S01000427,741,432,309
S01000428,663,609,54
S01000429,871,776,95
S01000430,488,403,85
S01000431,680,437,243
S01000432,876,848,28
S01000433,510,391,119
S01000434,602,591,11
S01000435,514,491,23
S01000436,629,611,18
S01000437,889,767,122
S01000438,590,590,0
S01000439,823,816,7
S01000440,1091,1075,16
S01000441,898,853,45
S01000442,843,834,9
S01000443,608,607,1
S01000444,2528,2450,78
S01000445,1201,1160,41
S01000446,951,936,15
S01000447,782,759,23
S01000448,859,850,9
S01000449,708,679,29
S01000450,553,481,72
S01000451,855,846,9
S01000452,559,559,0
S01000453,560,553,7
S01000454,443,406,37
S01000455,846,828,18
S01000456,1129,1081,48
S01000457,781,629,152
S01000458,930,916,14
S01000459,1011,787,224
S01000460,707,699,8
S01000461,857,588,269
S01000462,991,885,106
S01000463,731,721,10
S01000464,848,843,5
S01000465,665,654,11
S01000466,880,868,12
S01000467,614,574,40
S01000468,535,525,10
S01000469,641,636,5
S01000470,913,905,8
S01000471,837,802,35
S01000472,759,741,18
S01000473,661,545,116
S01000474,625,615,10
S01000475,727,660,67
S01000476,627,614,13
S01000477,674,668,6
S01000478,790,537,253
S01000479,843,649,194
S01000480,670,654,16
S01000481,2120,2074,46
S01000482,868,409,459
S01000483,978,611,367
S01000484,770,353,417
S01000485,952,895,57
S01000486,1118,380,738
S01000487,559,395,164
S01000488,624,555,69
S01000489,904,484,420
S01000490,540,494,46
S01000491,535,123,412
S01000492,951,664,287
S01000493,641,613,28
S01000494,551,380,171
S01000495,893,866,27
S01000496,529,520,9
S01000497,768,704,64
S01000498,520,508,12
S01000499,1020,994,26
S01000500,604,602,2
S01000501,576,537,39
S01000502,614,604,10
S01000503,494,492,2
S01000504,768,535,233
S01000505,722,702,20
S01000506,996,987,9
S01000507,986,812,174
S01000508,879,863,16
S01000509,1001,946,55
S01000510,665,621,44
S01000511,573,568,5
S01000512,990,928,62
S01000513,881,840,41
S01000514,941,931,10
S01000515,551,543,8
S01000516,883,858,25
S01000517,737,718,19
S01000518,957,913,44
S01000519,515,507,8
S01000520,1129,1103,26
S01000521,945,910,35
S01000522,665,657,8
S01000523,800,778,22
S01000524,697,692,5
S01000525,1014,983,31
S01000526,964,958,6
S01000527,685,674,11
S01000528,904,886,18
S01000529,799,775,24
S01000530,486,479,7
S01000531,574,570,4
S01000532,775,600,175
S01000533,713,710,3
S01000534,760,740,20
S01000535,1020,958,62
S01000536,494,486,8
S01000537,1056,1034,22
S01000538,740,659,81
S01000539,966,707,259
S01000540,713,629,84
S01000541,592,468,124
S01000542,647,589,58
S01000543,832,827,5
S01000544,667,639,28
S01000545,755,614,141
S01000546,860,811,49
S01000547,543,524,19
S01000548,1085,1034,51
S01000549,1168,1148,20
S01000550,471,468,3
S01000551,860,798,62
S01000552,540,522,18
S01000553,888,869,19
S01000554,679,663,16
S01000555,854,800,54
S01000556,812,806,6
S01000557,913,894,19
S01000558,496,328,168
S01000559,644,543,101
S01000560,1078,938,140
S01000561,1012,577,435
S01000562,847,687,160
S01000563,1122,530,592
S01000564,919,562,357
S01000565,796,731,65
S01000566,867,771,96
S01000567,824,756,68
S01000568,525,503,22
S01000569,759,692,67
S01000570,892,840,52
S01000571,776,358,418
S01000572,711,665,46
S01000573,538,532,6
S01000574,700,567,133
S01000575,640,550,90
S01000576,542,532,10
S01000577,543,472,71
S01000578,633,623,10
S01000579,859,833,26
S01000580,956,932,24
S01000581,700,671,29
S01000582,648,611,37
S01000583,939,904,35
S01000584,840,570,270
S01000585,1224,831,393
S01000586,722,711,11
S01000587,658,610,48
S01000588,558,480,78
S01000589,707,652,55
S01000590,788,664,124
S01000591,775,727,48
S01000592,865,798,67
S01000593,1428,1403,25
S01000594,1250,1243,7
S01000595,758,681,77
S01000596,795,784,11
S01000597,965,961,4
S01000598,1348,1275,73
S01000599,1145,1042,103
S01000600,776,769,7
S01000601,1232,1168,64
S01000602,743,692,51
S01000603,1022,1015,7
S01000604,914,893,21
S01000605,739,650,89
S01000606,820,257,563
S01000607,750,665,85
S01000608,1195,468,727
S01000609,1047,592,455
S01000610,804,229,575
S01000611,631,390,241
S01000612,1039,498,541
S01000613,1024,640,384
S01000614,678,599,79
S01000615,768,397,371
S01000616,1389,1234,155
S01000617,665,643,22
S01000618,815,780,35
S01000619,708,568,140
S01000620,1169,526,643
S01000621,1078,718,360
S01000622,768,549,219
S01000623,769,727,42
S01000624,616,498,118
S01000625,641,337,304
S01000626,804,353,451
S01000627,849,737,112
S01000628,580,511,69
S01000629,851,822,29
S01000630,738,570,168
S01000631,612,397,215
S01000632,539,524,15
S01000633,523,495,28
S01000634,735,567,168
S01000635,643,623,20
S01000636,521,511,10
S01000637,648,611,37
S01000638,560,526,34
S01000639,641,613,28
S01000640,717,707,10
S01000641,814,777,37
S01000642,908,861,47
S01000643,673,644,29
S01000644,711,703,8
S01000645,956,923,33
S01000646,782,711,71
S01000647,777,674,103
S01000648,884,740,144
S01000649,594,579,15
S01000650,712,611,101
S01000651,870,577,293
S01000652,744,648,96
S01000653,978,732,246
S01000654,921,555,366
S01000655,792,384,408
S01000656,799,412,387
S01000657,793,440,353
S01000658,606,243,363
S01000659,1321,1138,183
S01000660,970,901,69
S01000661,822,519,303
S01000662,734,720,14
S01000663,798,694,104
S01000664,851,805,46
S01000665,669,626,43
S01000666,528,518,10
S01000667,957,820,137
S01000668,864,428,436
S01000669,826,528,298
S01000670,668,490,178
S01000671,551,486,65
S01000672,713,570,143
S01000673,721,707,14
S01000674,1064,927,137
S01000675,714,707,7
S01000676,457,452,5
