dz_2001,total,religious,nonreligious
S01001261,933,587,346
S01001262,924,710,214
S01001263,511,372,139
S01001264,568,392,176
S01001265,594,427,167
S01001266,766,532,234
S01001267,988,707,281
S01001268,764,558,206
S01001269,544,396,148
S01001270,817,596,221
S01001271,748,626,122
S01001272,706,609,97
S01001273,701,590,111
S01001274,734,528,206
S01001275,702,553,149
S01001276,508,378,130
S01001277,685,525,160
S01001278,503,417,86
S01001279,729,470,259
S01001280,608,438,170
S01001281,835,602,233
S01001282,735,600,135
S01001283,491,370,121
S01001284,790,587,203
S01001285,644,447,197
S01001286,528,414,114
S01001287,901,658,243
S01001288,922,686,236
S01001289,629,437,192
S01001290,549,423,126
S01001291,421,313,108
S01001292,948,593,355
S01001293,787,597,190
S01001294,769,519,250
S01001295,905,687,218
S01001296,694,521,173
S01001297,790,544,246
S01001298,909,666,243
S01001299,943,705,238
S01001300,980,792,188
S01001301,632,480,152
S01001302,694,579,115
S01001303,611,500,111
S01001304,722,569,153
S01001305,693,499,194
S01001306,701,529,172
S01001307,891,665,226
S01001308,999,743,256
S01001309,706,538,168
S01001310,747,575,172
S01001311,606,482,124
S01001312,774,559,215
S01001313,673,499,174
S01001314,724,515,209
S01001315,961,738,223
S01001316,981,710,271
S01001317,932,698,234
S01001318,553,439,114
S01001319,649,530,119
S01001320,935,617,318
S01001321,545,440,105
S01001322,822,648,174
S01001323,623,418,205
S01001324,946,547,399
S01001325,731,455,276
S01001326,985,718,267
S01001327,775,517,258
S01001328,823,597,226
S01001329,603,409,194
S01001330,979,774,205
S01001331,869,654,215
S01001332,908,640,268
S01001333,860,607,253
S01001334,881,588,293
S01001335,985,706,279
S01001336,920,666,254
S01001337,772,610,162
S01001338,814,577,237
S01001339,677,509,168
S01001340,778,585,193
S01001341,920,658,262
S01001342,867,677,190
S01001343,990,767,223
S01001344,833,655,178
S01001345,623,461,162
S01001346,694,548,146
S01001347,813,666,147
S01001348,730,540,190
S01001349,1251,992,259
S01001350,730,518,212
S01001351,504,378,126
S01001352,878,716,162
S01001353,679,520,159
S01001354,794,568,226
S01001355,766,541,225
S01001356,635,520,115
S01001357,663,512,151
S01001358,873,604,269
S01001359,747,600,147
S01001360,854,627,227
S01001361,558,373,185
S01001362,622,519,103
S01001363,595,398,197
S01001364,880,664,216
S01001365,644,444,200
S01001366,969,779,190
S01001367,725,594,131
S01001368,1020,768,252
S01001369,960,681,279
S01001370,735,581,154
S01001371,604,408,196
S01001372,773,555,218
S01001373,635,495,140
S01001374,601,480,121
S01001375,674,489,185
S01001376,741,541,200
S01001377,805,577,228
S01001378,600,476,124
S01001379,998,761,237
S01001380,825,644,181
S01001381,858,657,201
S01001382,618,482,136
S01001383,683,533,150
S01001384,950,717,233
S01001385,785,616,169
S01001386,872,611,261
S01001387,860,682,178
S01001388,917,616,301
S01001389,510,374,136
S01001390,854,631,223
S01001391,828,614,214
S01001392,520,342,178
S01001393,550,419,131
S01001394,545,388,157
S01001395,964,689,275
S01001396,777,516,261
S01001397,827,564,263
S01001398,916,732,184
S01001399,902,605,297
S01001400,927,639,288
S01001401,699,504,195
S01001402,928,726,202
S01001403,990,714,276
S01001404,610,442,168
S01001405,865,646,219
S01001406,607,473,134
S01001407,845,629,216
S01001408,848,588,260
S01001409,908,694,214
S01001410,1058,810,248
S01001411,578,403,175
S01001412,946,703,243
S01001413,763,549,214
S01001414,668,499,169
S01001415,796,570,226
S01001416,685,512,173
S01001417,1034,748,286
S01001418,944,709,235
S01001419,746,529,217
S01001420,604,474,130
S01001421,839,584,255
S01001422,549,421,128
S01001423,812,630,182
S01001424,1085,847,238
S01001425,980,773,207
S01001426,787,613,174
S01001427,930,751,179
S01001428,1014,837,177
S01001429,616,506,110
S01001430,985,788,197
S01001431,1027,859,168
S01001432,731,629,102
S01001433,917,755,162
S01001434,974,835,139
S01001435,1007,840,167
S01001436,990,745,245
S01001437,894,746,148
S01001438,620,494,126
S01001439,784,643,141
S01001440,980,765,215
S01001441,829,690,139
S01001442,744,631,113
S01001443,954,737,217
S01001444,1015,810,205
S01001445,749,558,191
S01001446,912,730,182
S01001447,875,708,167
S01001448,714,592,122
S01001449,602,452,150
S01001450,805,654,151
S01001451,702,530,172
S01001452,797,610,187
S01001453,886,679,207
S01001454,963,703,260
S01001455,798,626,172
S01001456,659,528,131
S01001457,930,702,228
S01001458,974,761,213
S01001459,918,711,207
S01001460,706,587,119
S01001461,915,754,161
S01001462,914,706,208
S01001463,510,414,96
S01001464,924,701,223
S01001465,660,500,160
S01001466,775,629,146
S01001467,898,695,203
S01001468,653,513,140
S01001469,835,647,188
S01001470,1009,716,293
S01001471,747,554,193
S01001472,876,674,202
S01001473,807,650,157
S01001474,1194,969,225
S01001475,579,447,132
S01001476,1063,791,272
S01001477,1060,842,218
S01001478,695,554,141
S01001479,643,504,139
S01001480,532,363,169
S01001481,998,787,211
S01001482,772,585,187
S01001483,906,716,190
S01001484,855,624,231
S01001485,731,573,158
S01001486,848,702,146
S01001487,678,520,158
S01001488,941,748,193
S01001489,949,775,174
S01001490,881,645,236
S01001491,907,699,208
S01001492,1003,765,238
S01001493,841,669,172
S01001494,892,703,189
S01001495,612,470,142
S01001496,910,714,196
S01001497,762,583,179
S01001498,770,624,146
S01001499,1038,743,295
S01001500,733,525,208
S01001501,834,636,198
S01001502,912,732,180
S01001503,911,718,193
S01001504,932,753,179
S01001505,1018,796,222
S01001506,591,441,150
S01001507,962,764,198
S01001508,1005,781,224
S01001509,941,702,239
S01001510,594,465,129
S01001511,624,492,132
S01001512,761,601,160
S01001513,868,668,200
S01001514,836,657,179
S01001515,729,598,131
S01001516,691,563,128
S01001517,887,718,169
S01001518,1014,742,272
S01001519,955,690,265
S01001520,712,567,145
S01001521,1027,769,258
S01001522,995,821,174
S01001523,801,610,191
S01001524,963,761,202
S01001525,844,694,150
S01001526,645,463,182
S01001527,865,658,207
S01001528,1014,725,289
S01001529,661,496,165
S01001530,883,667,216
S01001531,1004,755,249
S01001532,587,426,161
S01001533,848,631,217
S01001534,705,520,185
S01001535,851,653,198
S01001536,842,688,154
S01001537,619,510,109
S01001538,892,656,236
S01001539,869,652,217
S01001540,838,627,211
S01001541,878,658,220
S01001542,740,555,185
S01001543,762,583,179
S01001544,949,694,255
S01001545,799,588,211
S01001546,935,765,170
S01001547,938,760,178
S01001548,700,514,186
S01001549,1048,829,219
S01001550,657,468,189
S01001551,832,614,218
S01001552,862,576,286
S01001553,809,569,240
S01001554,993,679,314
S01001555,781,565,216
S01001556,925,612,313
S01001557,1056,724,332
S01001558,829,553,276
S01001559,514,336,178
S01001560,669,420,249
S01001561,731,523,208
S01001562,664,481,183
S01001563,638,469,169
S01001564,582,462,120
S01001565,774,521,253
S01001566,672,472,200
S01001567,962,653,309
S01001568,675,449,226
S01001569,536,339,197
S01001570,539,357,182
S01001571,752,501,251
S01001572,581,398,183
S01001573,658,421,237
S01001574,924,651,273
S01001575,780,527,253
S01001576,593,416,177
S01001577,776,558,218
S01001578,689,476,213
S01001579,848,541,307
S01001580,601,437,164
S01001581,729,535,194
S01001582,610,429,181
S01001583,484,338,146
S01001584,769,496,273
S01001585,875,570,305
S01001586,518,378,140
S01001587,823,586,237
S01001588,782,456,326
S01001589,784,536,248
S01001590,766,436,330
S01001591,629,445,184
S01001592,768,478,290
S01001593,880,622,258
S01001594,793,522,271
S01001595,733,443,290
S01001596,805,558,247
S01001597,702,448,254
S01001598,637,482,155
S01001599,887,574,313
S01001600,1043,704,339
S01001601,783,531,252
S01001602,449,296,153
S01001603,880,610,270
S01001604,682,391,291
S01001605,607,440,167
S01001606,547,373,174
S01001607,972,613,359
S01001608,900,608,292
S01001609,942,664,278
S01001610,568,395,173
S01001611,777,532,245
S01001612,848,622,226
S01001613,861,564,297
S01001614,634,441,193
S01001615,774,520,254
S01001616,587,435,152
S01001617,714,510,204
S01001618,922,628,294
S01001619,723,554,169
S01001620,813,683,130
S01001621,763,583,180
S01001622,907,602,305
S01001623,725,547,178
S01001624,1051,768,283
S01001625,756,522,234
S01001626,806,536,270
S01001627,715,526,189
S01001628,585,395,190
S01001629,615,476,139
S01001630,548,336,212
S01001631,941,659,282
S01001632,619,425,194
S01001633,941,678,263
S01001634,834,567,267
S01001635,742,532,210
S01001636,575,433,142
S01001637,741,549,192
S01001638,883,586,297
S01001639,675,535,140
S01001640,689,490,199
S01001641,612,450,162
S01001642,950,713,237
S01001643,762,580,182
S01001644,765,576,189
S01001645,919,589,330
S01001646,581,407,174
S01001647,660,499,161
S01001648,776,607,169
S01001649,759,579,180
S01001650,898,686,212
S01001651,908,662,246
S01001652,816,550,266
S01001653,669,396,273
S01001654,601,467,134
S01001655,609,425,184
S01001656,968,747,221
S01001657,512,360,152
S01001658,925,673,252
S01001659,645,479,166
S01001660,652,510,142
S01001661,648,479,169
S01001662,769,568,201
S01001663,782,567,215
S01001664,543,364,179
S01001665,761,591,170
S01001666,612,435,177
S01001667,771,587,184
S01001668,692,521,171
S01001669,639,399,240
S01001670,689,526,163
S01001671,568,438,130
S01001672,589,421,168
S01001673,666,457,209
S01001674,711,547,164
S01001675,677,507,170
S01001676,966,820,146
S01001677,835,646,189
S01001678,942,685,257
S01001679,696,580,116
S01001680,601,470,131
S01001681,649,544,105
S01001682,522,400,122
S01001683,736,585,151
S01001684,575,412,163
S01001685,680,553,127
S01001686,937,777,160
S01001687,992,857,135
S01001688,838,652,186
S01001689,727,639,88
S01001690,545,444,101
S01001691,819,688,131
S01001692,608,503,105
S01001693,808,610,198
S01001694,644,503,141
S01001695,744,638,106
S01001696,762,598,164
S01001697,807,623,184
S01001698,523,407,116
S01001699,666,527,139
S01001700,980,795,185
S01001701,889,709,180
S01001702,954,818,136
S01001703,757,600,157
S01001704,937,821,116
S01001705,590,473,117
S01001706,784,640,144
S01001707,693,503,190
S01001708,943,772,171
S01001709,605,467,138
S01001710,663,471,192
S01001711,765,613,152
S01001712,517,409,108
S01001713,957,743,214
S01001714,707,543,164
S01001715,960,760,200
S01001716,785,637,148
S01001717,776,595,181
S01001718,505,367,138
S01001719,795,609,186
S01001720,690,505,185
S01001721,584,477,107
S01001722,754,608,146
S01001723,709,609,100
S01001724,732,585,147
S01001725,715,563,152
S01001726,662,500,162
S01001727,880,681,199
S01001728,672,520,152
S01001729,970,797,173
S01001730,630,494,136
S01001731,635,509,126
S01001732,596,441,155
S01001733,733,570,163
S01001734,527,423,104
S01001735,506,428,78
S01001736,999,873,126
S01001737,614,487,127
S01001738,619,483,136
S01001739,628,463,165
S01001740,788,573,215
S01001741,650,514,136
S01001742,707,541,166
S01001743,911,701,210
S01001744,616,482,134
S01001745,830,649,181
S01001746,1019,830,189
S01001747,874,703,171
S01001748,640,502,138
S01001749,761,599,162
S01001750,731,536,195
S01001751,914,677,237
S01001752,994,763,231
S01001753,851,623,228
S01001754,820,676,144
S01001755,918,763,155
S01001756,653,540,113
S01001757,762,577,185
S01001758,766,598,168
S01001759,609,420,189
S01001760,698,564,134
S01001761,691,551,140
S01001762,987,812,175
S01001763,840,660,180
S01001764,530,405,125
S01001765,993,780,213
S01001766,696,544,152
S01001767,628,504,124
S01001768,617,467,150
S01001769,718,593,125
S01001770,542,406,136
S01001771,804,664,140
S01001772,539,459,80
S01001773,956,725,231
S01001774,631,478,153
S01001775,751,637,114
S01001776,613,489,124
S01001777,924,683,241
S01001778,904,745,159
S01001779,538,454,84
S01001780,807,623,184
S01001781,669,551,118
S01001782,936,779,157
S01001783,638,454,184
S01001784,587,490,97
S01001785,679,526,153
S01001786,629,473,156
S01001787,642,548,94
S01001788,874,667,207
S01001789,531,389,142
S01001790,762,525,237
S01001791,748,530,218
S01001792,736,529,207
S01001793,851,574,277
S01001794,924,655,269
S01001795,875,654,221
S01001796,813,585,228
S01001797,701,517,184
S01001798,909,658,251
S01001799,1022,509,513
S01001800,999,693,306
S01001801,954,650,304
S01001802,819,508,311
S01001803,1003,650,353
S01001804,1076,667,409
S01001805,784,517,267
S01001806,657,461,196
S01001807,844,619,225
S01001808,633,387,246
S01001809,758,425,333
S01001810,947,626,321
S01001811,716,516,200
S01001812,566,379,187
S01001813,715,567,148
S01001814,753,566,187
S01001815,879,628,251
S01001816,1076,744,332
S01001817,694,445,249
S01001818,767,571,196
S01001819,1032,788,244
S01001820,800,488,312
S01001821,524,411,113
S01001822,1014,693,321
S01001823,798,539,259
S01001824,780,551,229
S01001825,815,552,263
S01001826,571,366,205
S01001827,922,577,345
S01001828,791,559,232
S01001829,705,483,222
S01001830,936,646,290
S01001831,765,538,227
S01001832,677,412,265
S01001833,969,669,300
S01001834,576,391,185
S01001835,645,469,176
S01001836,740,533,207
S01001837,938,653,285
S01001838,583,379,204
S01001839,956,566,390
S01001840,736,523,213
S01001841,740,479,261
S01001842,814,551,263
S01001843,755,482,273
S01001844,2647,1796,851
S01001845,848,582,266
S01001846,943,616,327
S01001847,823,535,288
S01001848,788,531,257
S01001849,631,455,176
S01001850,784,510,274
S01001851,786,504,282
S01001852,808,584,224
S01001853,776,523,253
S01001854,1295,1026,269
S01001855,758,487,271
S01001856,588,434,154
S01001857,806,543,263
S01001858,890,592,298
S01001859,966,617,349
S01001860,1074,746,328
S01001861,895,548,347
S01001862,909,657,252
S01001863,916,602,314
S01001864,894,552,342
S01001865,707,384,323
S01001866,704,470,234
S01001867,548,335,213
S01001868,673,475,198
S01001869,845,583,262
S01001870,733,388,345
S01001871,864,586,278
S01001872,809,536,273
S01001873,809,578,231
S01001874,720,361,359
S01001875,880,582,298
S01001876,1055,685,370
S01001877,986,453,533
S01001878,953,665,288
S01001879,676,362,314
S01001880,745,405,340
S01001881,674,526,148
S01001882,771,503,268
S01001883,569,366,203
S01001884,998,698,300
S01001885,1098,813,285
S01001886,548,339,209
S01001887,795,489,306
S01001888,907,652,255
S01001889,577,404,173
S01001890,927,581,346
S01001891,665,455,210
S01001892,769,415,354
S01001893,973,597,376
S01001894,739,382,357
S01001895,756,512,244
S01001896,844,496,348
S01001897,884,441,443
S01001898,590,386,204
S01001899,796,515,281
S01001900,783,571,212
S01001901,982,676,306
S01001902,902,599,303
S01001903,588,366,222
S01001904,637,416,221
S01001905,920,565,355
S01001906,429,291,138
S01001907,794,556,238
S01001908,884,599,285
S01001909,669,372,297
S01001910,766,459,307
S01001911,760,454,306
S01001912,793,493,300
S01001913,983,666,317
S01001914,603,419,184
S01001915,849,603,246
S01001916,815,498,317
S01001917,724,492,232
S01001918,866,532,334
S01001919,908,604,304
S01001920,720,501,219
S01001921,602,448,154
S01001922,782,470,312
S01001923,341,240,101
S01001924,729,477,252
S01001925,807,539,268
S01001926,644,375,269
S01001927,913,623,290
S01001928,1097,723,374
S01001929,754,500,254
S01001930,772,475,297
S01001931,754,472,282
S01001932,1338,927,411
S01001933,866,589,277
S01001934,793,555,238
S01001935,720,412,308
S01001936,945,622,323
S01001937,900,615,285
S01001938,595,381,214
S01001939,475,252,223
S01001940,740,464,276
S01001941,947,607,340
S01001942,562,368,194
S01001943,621,392,229
S01001944,680,483,197
S01001945,729,502,227
S01001946,838,479,359
S01001947,843,594,249
S01001948,766,370,396
S01001949,724,459,265
S01001950,907,596,311
S01001951,833,590,243
S01001952,764,439,325
S01001953,795,486,309
S01001954,447,301,146
S01001955,800,520,280
S01001956,789,451,338
S01001957,292,146,146
S01001958,876,612,264
S01001959,624,408,216
S01001960,879,497,382
S01001961,955,499,456
S01001962,833,588,245
S01001963,766,519,247
S01001964,778,472,306
S01001965,830,593,237
S01001966,773,451,322
S01001967,675,351,324
S01001968,836,562,274
S01001969,648,418,230
S01001970,614,387,227
S01001971,774,530,244
S01001972,765,368,397
S01001973,704,440,264
S01001974,797,478,319
S01001975,845,575,270
S01001976,753,461,292
S01001977,783,547,236
S01001978,741,447,294
S01001979,630,360,270
S01001980,685,355,330
S01001981,724,415,309
S01001982,302,176,126
S01001983,765,404,361
S01001984,531,275,256
S01001985,777,469,308
S01001986,622,355,267
S01001987,825,492,333
S01001988,794,482,312
S01001989,879,638,241
S01001990,999,611,388
S01001991,792,490,302
S01001992,916,597,319
S01001993,761,459,302
S01001994,845,415,430
S01001995,687,411,276
S01001996,867,489,378
S01001997,744,517,227
S01001998,716,405,311
S01001999,748,417,331
S01002000,762,491,271
S01002001,766,441,325
S01002002,738,399,339
S01002003,827,586,241
S01002004,799,452,347
S01002005,796,568,228
S01002006,938,553,385
S01002007,934,491,443
S01002008,863,491,372
S01002009,799,454,345
S01002010,514,291,223
S01002011,1088,735,353
S01002012,778,464,314
S01002013,796,485,311
S01002014,814,459,355
S01002015,878,589,289
S01002016,550,293,257
S01002017,1069,636,433
S01002018,832,626,206
S01002019,788,437,351
S01002020,431,219,212
S01002021,965,642,323
S01002022,765,541,224
S01002023,760,370,390
S01002024,745,376,369
S01002025,828,442,386
S01002026,680,496,184
S01002027,1047,565,482
S01002028,2692,1731,961
S01002029,756,412,344
S01002030,771,411,360
S01002031,659,385,274
S01002032,711,365,346
S01002033,753,419,334
S01002034,717,384,333
S01002035,772,533,239
S01002036,825,447,378
S01002037,680,384,296
S01002038,580,322,258
S01002039,638,416,222
S01002040,532,288,244
S01002041,929,515,414
S01002042,934,685,249
S01002043,784,519,265
S01002044,703,383,320
S01002045,871,635,236
S01002046,573,318,255
S01002047,761,474,287
S01002048,866,464,402
S01002049,1096,553,543
S01002050,710,509,201
S01002051,818,554,264
S01002052,752,386,366
S01002053,760,416,344
S01002054,595,393,202
S01002055,902,595,307
S01002056,942,654,288
S01002057,858,549,309
S01002058,668,409,259
S01002059,711,372,339
S01002060,742,419,323
S01002061,663,346,317
S01002062,625,399,226
S01002063,984,569,415
S01002064,803,455,348
S01002065,764,391,373
S01002066,703,399,304
S01002067,809,569,240
S01002068,896,513,383
S01002069,600,409,191
S01002070,662,409,253
S01002071,605,336,269
S01002072,1099,683,416
S01002073,634,348,286
S01002074,660,493,167
S01002075,876,538,338
S01002076,838,449,389
S01002077,839,623,216
S01002078,862,622,240
S01002079,751,415,336
S01002080,979,706,273
S01002081,697,352,345
S01002082,835,546,289
S01002083,544,371,173
S01002084,554,330,224
S01002085,654,394,260
S01002086,547,344,203
S01002087,935,573,362
S01002088,908,577,331
S01002089,991,686,305
S01002090,1076,761,315
S01002091,796,443,353
S01002092,1004,753,251
S01002093,767,388,379
S01002094,742,485,257
S01002095,572,455,117
S01002096,832,620,212
S01002097,801,609,192
S01002098,707,509,198
S01002099,851,498,353
S01002100,596,380,216
S01002101,900,497,403
S01002102,655,432,223
S01002103,744,530,214
S01002104,1031,653,378
S01002105,1021,765,256
S01002106,965,595,370
S01002107,546,398,148
S01002108,959,510,449
S01002109,866,487,379
S01002110,687,468,219
S01002111,1023,729,294
S01002112,1044,635,409
S01002113,762,582,180
S01002114,715,484,231
S01002115,1055,648,407
S01002116,804,507,297
S01002117,631,347,284
S01002118,895,546,349
S01002119,602,410,192
S01002120,762,490,272
S01002121,705,490,215
S01002122,986,807,179
S01002123,1268,893,375
S01002124,763,528,235
S01002125,1093,614,479
S01002126,669,466,203
S01002127,728,434,294
S01002128,738,451,287
S01002129,835,570,265
S01002130,656,510,146
S01002131,652,395,257
S01002132,790,525,265
S01002133,1096,698,398
S01002134,618,448,170
S01002135,863,619,244
S01002136,705,439,266
S01002137,885,567,318
S01002138,628,474,154
S01002139,703,458,245
S01002140,906,564,342
S01002141,688,382,306
S01002142,1050,747,303
S01002143,763,583,180
S01002144,721,542,179
S01002145,976,626,350
S01002146,913,543,370
S01002147,965,604,361
S01002148,864,629,235
S01002149,1022,656,366
S01002150,689,398,291
S01002151,1106,565,541
S01002152,821,510,311
S01002153,540,386,154
S01002154,895,621,274
S01002155,1012,639,373
S01002156,759,463,296
S01002157,816,534,282
S01002158,771,456,315
S01002159,754,476,278
S01002160,791,453,338
S01002161,710,401,309
S01002162,1018,627,391
S01002163,1003,516,487
S01002164,854,566,288
S01002165,957,624,333
S01002166,804,506,298
S01002167,660,444,216
S01002168,1005,577,428
S01002169,783,505,278
S01002170,871,628,243
S01002171,624,440,184
S01002172,736,565,171
S01002173,953,627,326
S01002174,913,492,421
S01002175,973,556,417
S01002176,800,590,210
S01002177,790,464,326
S01002178,916,506,410
S01002179,692,497,195
S01002180,504,279,225
S01002181,762,438,324
S01002182,731,384,347
S01002183,842,445,397
S01002184,792,547,245
S01002185,802,506,296
S01002186,737,395,342
S01002187,903,537,366
S01002188,783,513,270
S01002189,732,410,322
S01002190,780,473,307
S01002191,801,526,275
S01002192,866,558,308
S01002193,916,606,310
S01002194,744,506,238
S01002195,909,534,375
S01002196,667,432,235
S01002197,566,334,232
S01002198,852,451,401
S01002199,745,409,336
S01002200,795,590,205
S01002201,888,478,410
S01002202,688,378,310
S01002203,475,257,218
S01002204,711,497,214
S01002205,767,454,313
S01002206,546,293,253
S01002207,844,592,252
S01002208,557,310,247
S01002209,916,494,422
S01002210,610,341,269
S01002211,570,403,167
S01002212,1012,669,343
S01002213,829,521,308
S01002214,768,389,379
S01002215,995,749,246
S01002216,774,444,330
S01002217,914,547,367
S01002218,556,287,269
S01002219,672,450,222
S01002220,792,562,230
S01002221,767,427,340
S01002222,836,614,222
S01002223,719,501,218
S01002224,746,578,168
S01002225,721,411,310
S01002226,1037,604,433
S01002227,835,570,265
S01002228,978,737,241
S01002229,785,608,177
S01002230,972,546,426
S01002231,1136,752,384
S01002232,715,506,209
S01002233,931,485,446
S01002234,783,478,305
S01002235,968,547,421
S01002236,907,535,372
S01002237,1103,716,387
S01002238,567,403,164
S01002239,939,595,344
S01002240,748,471,277
S01002241,890,549,341
S01002242,788,589,199
S01002243,767,446,321
S01002244,724,436,288
S01002245,949,568,381
S01002246,834,493,341
S01002247,866,517,349
S01002248,1169,808,361
S01002249,784,520,264
S01002250,973,585,388
S01002251,744,548,196
S01002252,607,422,185
S01002253,1005,642,363
S01002254,788,441,347
S01002255,1039,576,463
S01002256,768,516,252
S01002257,713,453,260
S01002258,777,463,314
S01002259,537,375,162
S01002260,853,625,228
S01002261,1022,737,285
S01002262,789,561,228
S01002263,794,574,220
S01002264,867,507,360
S01002265,1038,539,499
S01002266,592,347,245
S01002267,972,520,452
S01002268,715,510,205
S01002269,910,583,327
S01002270,914,499,415
S01002271,853,567,286
S01002272,560,313,247
S01002273,792,435,357
S01002274,719,443,276
S01002275,897,489,408
S01002276,813,624,189
S01002277,781,451,330
S01002278,1064,557,507
S01002279,961,534,427
S01002280,797,510,287
S01002281,709,366,343
S01002282,341,195,146
S01002283,744,524,220
S01002284,1023,656,367
S01002285,782,476,306
S01002286,783,469,314
S01002287,772,506,266
S01002288,749,400,349
S01002289,799,537,262
S01002290,795,444,351
S01002291,838,439,399
S01002292,810,470,340
S01002293,874,531,343
S01002294,632,422,210
S01002295,758,512,246
S01002297,929,650,279
S01002298,744,477,267
S01002299,841,579,262
S01002300,792,585,207
S01002301,860,517,343
S01002302,749,410,339
S01002303,832,475,357
S01002304,798,403,395
S01002305,834,438,396
S01002306,475,301,174
S01002307,634,332,302
S01002308,911,596,315
S01002309,741,457,284
S01002310,848,530,318
S01002311,731,527,204
S01002312,653,381,272
S01002313,737,465,272
S01002314,831,531,300
S01002315,558,413,145
S01002316,751,548,203
S01002317,879,512,367
S01002318,845,487,358
S01002319,1105,687,418
S01002320,638,410,228
S01002321,892,449,443
S01002322,689,393,296
S01002323,785,506,279
S01002324,761,427,334
S01002325,577,371,206
S01002326,827,480,347
S01002327,682,481,201
S01002328,765,521,244
S01002329,708,442,266
S01002330,798,552,246
S01002331,709,528,181
S01002332,958,643,315
S01002333,834,557,277
S01002334,827,561,266
S01002335,983,682,301
S01002336,1019,726,293
S01002337,977,647,330
S01002338,579,315,264
S01002339,632,591,41
S01002340,540,506,34
S01002341,560,540,20
S01002342,614,581,33
S01002343,777,713,64
S01002344,532,485,47
S01002345,717,616,101
S01002346,921,815,106
S01002347,736,642,94
S01002348,958,884,74
S01002349,960,879,81
S01002350,965,835,130
S01002351,652,535,117
S01002352,849,730,119
S01002353,745,636,109
S01002354,782,689,93
S01002355,881,761,120
S01002356,774,660,114
S01002357,710,609,101
S01002358,530,452,78
S01002359,948,873,75
S01002360,717,641,76
S01002361,606,550,56
S01002362,691,593,98
S01002363,928,808,120
S01002364,748,654,94
S01002365,544,453,91
S01002366,559,496,63
S01002367,871,774,97
S01002368,867,765,102
S01002369,528,467,61
S01002370,724,624,100
S01002371,644,575,69
S01002372,798,729,69
S01002373,631,551,80
S01002374,710,622,88
S01002375,895,668,227
S01002376,868,577,291
S01002377,850,655,195
S01002378,556,399,157
S01002379,945,644,301
S01002380,702,495,207
S01002381,829,552,277
S01002382,666,442,224
S01002383,544,407,137
S01002384,554,348,206
S01002385,819,525,294
S01002386,995,699,296
S01002387,617,436,181
S01002388,824,619,205
S01002389,746,596,150
S01002390,735,549,186
S01002391,883,662,221
S01002392,897,622,275
S01002393,520,392,128
S01002394,662,479,183
S01002395,768,481,287
S01002396,754,564,190
S01002397,1120,785,335
S01002398,834,596,238
S01002399,1017,728,289
S01002400,887,611,276
S01002401,964,654,310
S01002402,895,592,303
S01002403,773,512,261
S01002404,990,723,267
S01002405,777,582,195
S01002406,790,548,242
S01002407,803,567,236
S01002408,885,618,267
S01002409,715,562,153
S01002410,532,354,178
S01002411,667,496,171
S01002412,1006,705,301
S01002413,703,475,228
S01002414,613,372,241
S01002415,773,601,172
S01002416,533,390,143
S01002417,722,544,178
S01002418,945,673,272
S01002419,542,392,150
S01002420,694,581,113
S01002421,876,634,242
S01002422,604,471,133
S01002423,679,529,150
S01002424,900,645,255
S01002425,811,607,204
S01002426,634,435,199
S01002427,805,600,205
S01002428,532,423,109
S01002429,724,598,126
S01002430,565,378,187
S01002431,760,559,201
S01002432,716,491,225
S01002433,534,379,155
S01002434,923,667,256
S01002435,717,458,259
S01002436,760,554,206
S01002437,501,348,153
S01002438,710,478,232
S01002439,812,627,185
S01002440,913,593,320
S01002441,638,470,168
S01002442,459,324,135
S01002443,573,396,177
S01002444,531,319,212
S01002445,749,482,267
S01002446,818,613,205
S01002447,737,465,272
S01002448,574,417,157
S01002449,480,361,119
S01002450,712,496,216
S01002451,1092,747,345
S01002452,568,358,210
S01002453,799,595,204
S01002454,807,617,190
S01002455,627,447,180
S01002456,1019,764,255
S01002457,822,534,288
S01002458,877,559,318
S01002459,525,333,192
S01002460,846,551,295
S01002461,477,359,118
S01002462,673,478,195
S01002463,1013,659,354
S01002464,545,381,164
S01002465,582,441,141
S01002466,996,683,313
S01002467,454,335,119
S01002468,610,431,179
S01002469,651,463,188
S01002470,856,648,208
S01002471,510,364,146
S01002472,581,345,236
S01002473,847,545,302
S01002474,479,281,198
S01002475,531,355,176
S01002476,827,554,273
S01002477,835,590,245
S01002478,935,677,258
S01002479,739,508,231
S01002480,568,410,158
S01002481,1001,766,235
S01002482,859,517,342
S01002483,701,434,267
S01002484,851,559,292
S01002485,892,662,230
S01002486,557,409,148
S01002487,463,345,118
S01002488,671,485,186
S01002489,553,379,174
S01002490,619,444,175
S01002491,499,374,125
S01002492,634,454,180
S01002493,943,723,220
S01002494,697,515,182
S01002495,696,452,244
S01002496,629,492,137
S01002497,648,433,215
S01002498,723,573,150
S01002499,858,594,264
S01002500,580,411,169
S01002501,497,349,148
S01002502,890,544,346
S01002503,575,426,149
S01002504,914,693,221
S01002505,772,522,250
S01002506,875,675,200
S01002507,607,462,145
S01002508,831,641,190
S01002509,1000,656,344
S01002510,1022,760,262
S01002511,498,346,152
S01002512,544,354,190
S01002513,848,628,220
S01002514,593,404,189
S01002515,615,436,179
S01002516,744,538,206
S01002517,609,478,131
S01002518,729,515,214
S01002519,821,567,254
S01002520,520,335,185
S01002521,582,425,157
S01002522,704,539,165
S01002523,712,569,143
S01002524,590,387,203
