dz_2001,total,religious,nonreligious
S01000288,897,602,295
S01000289,849,569,280
S01000290,775,514,261
S01000291,831,595,236
S01000292,980,655,325
S01000293,765,513,252
S01000294,699,477,222
S01000295,607,431,176
S01000296,532,372,160
S01000297,736,511,225
S01000298,528,345,183
S01000299,953,696,257
S01000300,774,519,255
S01000301,579,422,157
S01000302,566,419,147
S01000303,485,338,147
S01000304,791,520,271
S01000305,1040,676,364
S01000306,746,535,211
S01000307,991,554,437
S01000308,991,639,352
S01000309,646,451,195
S01000310,899,578,321
S01000311,947,626,321
S01000312,646,453,193
S01000313,709,525,184
S01000314,572,350,222
S01000315,661,429,232
S01000316,800,599,201
S01000317,551,387,164
S01000318,577,396,181
S01000319,723,418,305
S01000320,722,410,312
S01000321,581,327,254
S01000322,1083,762,321
S01000323,888,609,279
S01000324,870,545,325
S01000325,618,470,148
S01000326,763,482,281
S01000327,898,580,318
S01000328,601,329,272
S01000329,546,291,255
S01000330,733,530,203
S01000331,621,461,160
S01000332,687,461,226
S01000333,841,576,265
S01000334,823,564,259
S01000335,652,438,214
S01000336,852,571,281
S01000337,690,485,205
S01000338,508,367,141
S01000339,1094,788,306
S01000340,971,679,292
S01000341,748,491,257
S01000342,387,255,132
S01000343,644,439,205
S01000344,894,612,282
S01000345,646,415,231
S01000346,683,430,253
S01000347,478,348,130
S01000348,816,523,293
S01000349,592,372,220
S01000350,1002,628,374
S01000351,1023,685,338
S01000352,798,505,293
S01000353,663,449,214
S01000354,648,480,168
S01000355,707,519,188
S01000356,611,434,177
S01000357,682,480,202
S01000358,1030,662,368
S01000359,856,591,265
S01000360,514,347,167
S01000361,614,416,198
S01000362,920,565,355
S01000363,960,663,297
S01000364,900,589,311
S01000365,677,416,261
S01000366,761,550,211
S01000367,753,526,227
S01000368,797,541,256
S01000369,975,596,379
S01000370,796,492,304
S01000371,931,650,281
S01000372,983,633,350
S01000373,588,360,228
S01000374,611,402,209
S01000375,646,375,271
S01000376,899,550,349
S01000377,721,494,227
S01000378,581,360,221
S01000379,574,335,239
S01000380,748,459,289
S01000381,884,629,255
S01000382,755,511,244
S01000383,655,442,213
S01000384,731,498,233
S01000385,574,350,224
S01000386,766,510,256
S01000387,853,590,263
S01000388,775,497,278
S01000389,667,354,313
S01000390,727,508,219
S01000391,636,416,220
S01000392,723,454,269
S01000393,857,671,186
S01000394,688,459,229
S01000395,588,388,200
S01000396,940,707,233
S01000397,1024,788,236
S01000398,749,473,276
S01000399,577,421,156
S01000400,705,480,225
S01000401,824,515,309
S01000402,709,480,229
S01000403,797,618,179
S01000404,756,506,250
S01000405,474,314,160
S01000406,629,389,240
S01000407,658,442,216
S01000408,513,338,175
S01000409,666,440,226
S01000410,664,438,226
S01000411,631,431,200
S01000412,787,503,284
S01000413,786,514,272
S01000414,721,449,272
S01000415,615,424,191
S01000416,670,442,228
S01000417,1005,703,302
S01000418,723,525,198
S01000419,672,417,255
S01000420,998,692,306
S01000421,601,392,209
S01000422,725,531,194
S01000423,904,630,274
S01000424,727,435,292
S01000425,695,492,203
S01000426,797,496,301
S01000427,785,453,332
S01000428,777,543,234
S01000429,782,580,202
S01000430,570,375,195
S01000431,693,505,188
S01000432,973,669,304
S01000433,468,339,129
S01000434,680,438,242
S01000435,555,373,182
S01000436,695,453,242
S01000437,1024,692,332
S01000438,698,453,245
S01000439,700,419,281
S01000440,868,615,253
S01000441,871,586,285
S01000442,808,544,264
S01000443,581,352,229
S01000444,573,363,210
S01000445,971,616,355
S01000446,946,582,364
S01000447,539,360,179
S01000448,622,430,192
S01000449,784,463,321
S01000450,645,415,230
S01000451,790,503,287
S01000452,561,393,168
S01000453,547,393,154
S01000454,493,335,158
S01000455,870,508,362
S01000456,718,498,220
S01000457,872,678,194
S01000458,853,529,324
S01000459,1037,737,300
S01000460,769,500,269
S01000461,863,585,278
S01000462,1035,711,324
S01000463,816,548,268
S01000464,741,510,231
S01000465,629,397,232
S01000466,799,516,283
S01000467,626,421,205
S01000468,520,316,204
S01000469,689,454,235
S01000470,1263,934,329
S01000471,603,366,237
S01000472,836,447,389
S01000473,745,411,334
S01000474,648,477,171
S01000475,887,440,447
S01000476,581,418,163
S01000477,777,480,297
S01000478,869,547,322
S01000479,967,605,362
S01000480,665,458,207
S01000481,784,525,259
S01000482,837,501,336
S01000483,920,625,295
S01000484,806,484,322
S01000485,1080,741,339
S01000486,798,411,387
S01000487,590,395,195
S01000488,703,439,264
S01000489,904,503,401
S01000490,541,303,238
S01000491,593,268,325
S01000492,954,469,485
S01000493,588,392,196
S01000494,566,256,310
S01000495,935,627,308
S01000496,587,415,172
S01000497,630,449,181
S01000498,548,409,139
S01000499,803,497,306
S01000500,675,395,280
S01000501,621,446,175
S01000502,540,367,173
S01000503,533,384,149
S01000504,708,506,202
S01000505,757,513,244
S01000506,654,428,226
S01000507,1087,743,344
S01000508,877,564,313
S01000509,1058,783,275
S01000510,658,480,178
S01000511,556,345,211
S01000512,892,655,237
S01000513,862,615,247
S01000514,516,349,167
S01000515,484,321,163
S01000516,654,444,210
S01000517,651,460,191
S01000518,879,614,265
S01000519,476,344,132
S01000520,1010,696,314
S01000521,927,569,358
S01000522,612,395,217
S01000523,793,520,273
S01000524,647,402,245
S01000525,987,703,284
S01000526,966,638,328
S01000527,587,388,199
S01000528,843,586,257
S01000529,723,498,225
S01000530,477,310,167
S01000531,523,369,154
S01000532,809,556,253
S01000533,760,496,264
S01000534,813,510,303
S01000535,985,643,342
S01000536,519,347,172
S01000537,559,401,158
S01000538,789,514,275
S01000539,1028,624,404
S01000540,784,524,260
S01000541,552,348,204
S01000542,672,447,225
S01000543,814,581,233
S01000544,733,581,152
S01000545,717,425,292
S01000546,609,396,213
S01000547,544,374,170
S01000548,1012,730,282
S01000549,1136,830,306
S01000550,557,423,134
S01000551,830,588,242
S01000552,554,397,157
S01000553,867,623,244
S01000554,791,356,435
S01000555,904,648,256
S01000556,880,515,365
S01000557,880,609,271
S01000558,564,406,158
S01000559,707,484,223
S01000560,1044,558,486
S01000561,1034,737,297
S01000562,909,573,336
S01000563,640,398,242
S01000564,860,434,426
S01000565,709,459,250
S01000566,759,479,280
S01000567,769,473,296
S01000568,542,384,158
S01000569,742,573,169
S01000570,939,683,256
S01000571,780,588,192
S01000572,800,608,192
S01000573,600,450,150
S01000574,814,655,159
S01000575,608,466,142
S01000576,654,524,130
S01000577,595,446,149
S01000578,706,520,186
S01000579,807,630,177
S01000580,681,481,200
S01000581,707,524,183
S01000582,728,490,238
S01000583,758,541,217
S01000584,781,553,228
S01000585,945,618,327
S01000586,775,532,243
S01000587,702,469,233
S01000588,627,478,149
S01000589,645,445,200
S01000590,773,558,215
S01000591,496,390,106
S01000592,924,702,222
S01000593,571,380,191
S01000594,655,537,118
S01000595,839,637,202
S01000596,945,735,210
S01000597,1065,799,266
S01000598,519,381,138
S01000599,775,620,155
S01000600,742,544,198
S01000601,1072,774,298
S01000602,679,512,167
S01000603,822,622,200
S01000604,1000,748,252
S01000605,871,624,247
S01000606,820,527,293
S01000607,784,619,165
S01000608,972,642,330
S01000609,1009,619,390
S01000610,773,513,260
S01000611,624,418,206
S01000612,995,687,308
S01000613,1004,713,291
S01000614,722,567,155
S01000615,764,560,204
S01000616,1220,973,247
S01000617,634,497,137
S01000618,827,633,194
S01000619,714,525,189
S01000620,819,456,363
S01000621,1009,725,284
S01000622,547,302,245
S01000623,780,519,261
S01000624,604,399,205
S01000625,629,426,203
S01000626,822,487,335
S01000627,931,622,309
S01000628,559,330,229
S01000629,662,472,190
S01000630,732,499,233
S01000631,637,397,240
S01000632,589,411,178
S01000633,632,414,218
S01000634,822,567,255
S01000635,678,491,187
S01000636,501,371,130
S01000637,595,400,195
S01000638,503,391,112
S01000639,606,415,191
S01000640,635,476,159
S01000641,785,578,207
S01000642,807,578,229
S01000643,609,479,130
S01000644,680,507,173
S01000645,898,615,283
S01000646,826,692,134
S01000647,877,662,215
S01000648,910,617,293
S01000649,582,424,158
S01000650,737,535,202
S01000651,806,557,249
S01000652,812,614,198
S01000653,909,635,274
S01000654,943,709,234
S01000655,797,509,288
S01000656,678,459,219
S01000657,760,577,183
S01000658,578,394,184
S01000659,1066,845,221
S01000660,974,774,200
S01000661,765,617,148
S01000662,530,400,130
S01000663,702,513,189
S01000664,774,574,200
S01000665,675,521,154
S01000666,493,383,110
S01000667,981,750,231
S01000668,909,639,270
S01000669,785,525,260
S01000670,566,413,153
S01000671,622,484,138
S01000672,628,428,200
S01000673,750,535,215
S01000674,984,653,331
S01000675,722,545,177
S01000676,501,348,153
S01000677,822,584,238
S01000678,942,631,311
S01000679,750,477,273
S01000680,778,492,286
S01000681,802,527,275
S01000682,644,434,210
S01000683,525,375,150
S01000684,687,464,223
S01000685,843,617,226
S01000686,703,481,222
S01000687,789,534,255
S01000688,792,585,207
S01000689,611,452,159
S01000690,787,589,198
S01000691,772,509,263
S01000692,753,495,258
S01000693,872,634,238
S01000694,724,517,207
S01000695,745,531,214
S01000696,731,561,170
S01000697,492,353,139
S01000698,642,462,180
S01000699,658,492,166
