"dz_2001","total","owned","nonowned"
"S01000262",913,775,138
"S01000263",746,649,97
"S01000264",909,667,242
"S01000265",712,499,213
"S01000266",1240,872,368
"S01000267",641,496,145
"S01000268",813,502,311
"S01000269",626,554,72
"S01000270",1031,797,234
"S01000271",877,622,255
"S01000272",1122,804,318
"S01000273",620,478,142
"S01000274",678,482,196
"S01000275",1435,1005,430
"S01000276",782,730,52
"S01000277",703,579,124
"S01000278",577,338,239
"S01000279",875,706,169
"S01000280",761,529,232
"S01000281",675,359,316
"S01000282",735,536,199
"S01000283",1090,805,285
"S01000284",1264,1084,180
"S01000285",719,604,115
"S01000286",914,613,301
"S01000287",676,577,99
"S01000288",807,691,116
"S01000289",884,550,334
"S01000290",813,414,399
"S01000291",884,728,156
"S01000292",1003,822,181
"S01000293",841,480,361
"S01000294",648,566,82
"S01000295",538,495,43
"S01000296",952,782,170
"S01000297",729,546,183
"S01000298",1131,948,183
"S01000299",972,805,167
"S01000300",759,594,165
"S01000301",506,286,220
"S01000302",625,395,230
"S01000303",566,266,300
"S01000304",829,798,31
"S01000305",1040,841,199
"S01000306",790,612,178
"S01000307",922,856,66
"S01000308",1217,1035,182
"S01000309",1188,774,414
"S01000310",942,889,53
"S01000311",902,693,209
"S01000312",512,364,148
"S01000313",681,515,166
"S01000314",551,485,66
"S01000315",659,572,87
"S01000316",889,552,337
"S01000317",542,301,241
"S01000318",549,489,60
"S01000319",659,643,16
"S01000320",671,625,46
"S01000321",595,535,60
"S01000322",992,923,69
"S01000323",879,606,273
"S01000324",835,797,38
"S01000325",1291,1042,249
"S01000326",805,585,220
"S01000327",809,771,38
"S01000328",534,434,100
"S01000329",836,691,145
"S01000330",1317,892,425
"S01000331",560,417,143
"S01000332",733,577,156
"S01000333",938,729,209
"S01000334",875,613,262
"S01000335",792,609,183
"S01000336",1380,1044,336
"S01000337",836,598,238
"S01000338",490,294,196
"S01000339",1194,966,228
"S01000340",1058,675,383
"S01000341",960,577,383
"S01000342",474,290,184
"S01000343",566,383,183
"S01000344",992,784,208
"S01000345",626,570,56
"S01000346",643,562,81
"S01000347",1544,1236,308
"S01000348",730,654,76
"S01000349",537,429,108
"S01000350",1082,995,87
"S01000351",939,840,99
"S01000352",699,658,41
"S01000353",508,478,30
"S01000354",1576,1217,359
"S01000355",615,584,31
"S01000356",642,553,89
"S01000357",580,558,22
"S01000358",889,861,28
"S01000359",836,776,60
"S01000360",529,255,274
"S01000361",678,439,239
"S01000362",971,802,169
"S01000363",1178,971,207
"S01000364",928,704,224
"S01000365",2070,1743,327
"S01000366",2123,1825,298
"S01000367",845,696,149
"S01000368",1286,1008,278
"S01000369",938,816,122
"S01000370",1511,1332,179
"S01000371",916,692,224
"S01000372",913,686,227
"S01000373",665,592,73
"S01000374",647,562,85
"S01000375",612,344,268
"S01000376",826,452,374
"S01000377",852,713,139
"S01000378",543,336,207
"S01000379",655,606,49
"S01000380",957,874,83
"S01000381",1604,1444,160
"S01000382",733,514,219
"S01000383",1166,944,222
"S01000384",704,451,253
"S01000385",622,420,202
"S01000386",1260,897,363
"S01000387",871,722,149
"S01000388",1053,916,137
"S01000389",861,725,136
"S01000390",778,469,309
"S01000391",694,448,246
"S01000392",800,721,79
"S01000393",878,692,186
"S01000394",693,411,282
"S01000395",800,679,121
"S01000396",843,430,413
"S01000397",934,734,200
"S01000398",2408,2070,338
"S01000399",594,349,245
"S01000400",803,491,312
"S01000401",904,735,169
"S01000402",751,578,173
"S01000403",768,589,179
"S01000404",708,628,80
"S01000405",522,449,73
"S01000406",534,322,212
"S01000407",595,348,247
"S01000408",609,559,50
