"output_area","All people aged 16 to 74","Economically active","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed with employees: Part-time","Economically active: Self-employed with employees: Full-time","Economically active: Self-employed without employees: Part-time","Economically active: Self-employed without employees: Full-time","Economically active: Unemployed","Economically active: Full-time student","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"S00089034",52,37,1,31,1,0,3,1,0,0,15,4,8,2,1,0
"S00089035",93,71,12,46,1,0,0,2,5,5,22,4,10,1,5,2
"S00089036",61,50,3,38,0,2,0,2,1,4,11,2,6,1,1,1
"S00089037",79,69,3,48,0,0,0,3,2,13,10,2,4,3,1,0
"S00089038",56,54,7,32,0,1,0,2,1,11,2,0,0,0,1,1
"S00089039",73,58,6,38,0,0,0,3,2,9,15,0,9,0,2,4
"S00089040",69,56,16,25,0,0,1,1,8,5,13,1,3,1,5,3
"S00089041",138,91,14,60,1,0,2,1,10,3,47,25,6,4,8,4
"S00089042",50,34,5,20,0,0,0,0,7,2,16,1,2,4,5,4
"S00089043",105,83,20,44,0,1,1,0,9,8,22,5,3,4,6,4
"S00089044",58,43,4,28,0,0,2,1,6,2,15,2,3,4,3,3
"S00089045",53,34,11,17,0,1,2,0,3,0,19,12,3,2,1,1
"S00089046",231,74,20,42,0,0,1,3,1,7,157,17,2,2,8,128
"S00089047",88,65,11,41,0,3,1,4,0,5,23,16,4,2,1,0
"S00089048",71,48,11,26,0,1,2,3,1,4,23,15,0,3,1,4
"S00089049",108,85,18,48,0,1,2,5,5,6,23,8,4,1,9,1
"S00089050",76,51,12,37,0,1,0,0,1,0,25,16,2,4,1,2
"S00089051",129,104,12,76,1,1,1,3,2,8,25,11,3,3,4,4
"S00089052",126,104,23,57,0,2,0,9,7,6,22,11,3,2,4,2
"S00089053",92,80,9,58,0,0,0,1,9,3,12,0,4,1,6,1
"S00089054",68,62,5,43,0,1,0,3,5,5,6,1,5,0,0,0
"S00089055",83,68,8,47,0,0,0,2,4,7,15,0,5,1,7,2
"S00089056",69,66,2,53,0,0,2,3,3,3,3,2,0,0,1,0
"S00089057",81,58,9,32,0,1,0,0,10,6,23,5,4,2,8,4
"S00089058",92,73,6,56,0,0,0,3,3,5,19,5,3,1,9,1
"S00089059",54,47,5,33,0,1,1,1,3,3,7,0,2,1,2,2
"S00089060",52,46,4,32,0,0,0,1,5,4,6,0,0,3,2,1
"S00089061",64,54,5,39,0,1,1,1,2,5,10,5,2,2,0,1
"S00089062",46,32,3,19,0,0,0,1,1,8,14,4,6,1,3,0
"S00089063",72,66,7,38,1,0,1,1,7,11,6,0,4,1,1,0
"S00089064",76,65,6,49,0,1,0,0,6,3,11,4,1,1,2,3
"S00089065",87,71,3,53,0,0,0,0,8,7,16,0,2,3,7,4
"S00089066",57,47,2,31,0,1,1,0,7,5,10,0,3,0,5,2
"S00089067",91,80,8,49,0,0,2,0,8,13,11,0,5,0,4,2
"S00089068",64,57,11,36,1,0,0,3,3,3,7,2,1,2,0,2
"S00089069",50,43,9,21,0,0,6,0,4,3,7,2,0,3,0,2
"S00089070",112,91,8,70,0,0,0,0,5,8,21,1,6,4,8,2
"S00089071",67,53,5,41,0,0,0,2,3,2,14,7,2,1,3,1
"S00089072",99,87,7,62,0,0,4,0,8,6,12,3,0,0,8,1
"S00089073",89,73,8,45,0,1,0,2,10,7,16,4,3,3,4,2
"S00089074",118,99,15,72,0,1,1,2,6,2,19,5,4,3,2,5
"S00089075",75,66,8,48,0,0,2,1,4,3,9,0,3,0,2,4
"S00089076",92,69,11,49,0,1,0,0,7,1,23,9,0,6,7,1
"S00089077",78,68,7,49,0,0,0,2,0,10,10,3,1,2,3,1
"S00089078",33,22,6,13,0,0,0,0,2,1,11,7,1,0,2,1
"S00089079",47,35,3,24,0,0,1,4,0,3,12,3,1,1,5,2
"S00089080",68,44,8,25,0,1,0,0,5,5,24,3,7,5,8,1
"S00089081",63,40,9,28,1,0,0,0,2,0,23,18,0,0,3,2
"S00089082",56,33,7,24,0,0,1,1,0,0,23,13,0,2,8,0
"S00089083",92,72,20,39,1,0,2,1,5,4,20,9,5,1,4,1
"S00089084",68,46,12,27,0,1,0,3,1,2,22,12,3,6,1,0
"S00089085",86,65,16,35,0,0,5,1,3,5,21,5,1,9,2,4
"S00089086",80,55,8,38,0,0,0,4,2,3,25,6,4,4,8,3
