"output_area","All people aged 16 to 74","Economically active","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed with employees: Part-time","Economically active: Self-employed with employees: Full-time","Economically active: Self-employed without employees: Part-time","Economically active: Self-employed without employees: Full-time","Economically active: Unemployed","Economically active: Full-time student","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"S00101469",31,16,6,7,0,1,0,2,0,0,15,11,1,1,2,0
"S00101470",127,91,27,51,0,1,0,6,2,4,36,17,15,1,1,2
"S00101471",58,36,8,19,1,3,0,1,2,2,22,17,4,1,0,0
"S00101472",126,104,24,57,0,7,4,6,2,4,22,9,6,0,3,4
"S00101473",125,96,26,51,1,2,2,2,5,7,29,22,3,2,2,0
"S00101474",114,73,21,39,0,0,3,3,0,7,41,34,4,1,2,0
"S00101475",94,63,13,36,2,2,4,2,1,3,31,23,4,2,1,1
"S00101476",129,88,22,48,0,0,4,6,4,4,41,25,9,1,2,4
"S00101477",89,69,18,37,0,2,3,4,1,4,20,12,5,2,1,0
"S00101478",141,103,22,58,0,1,2,8,5,7,38,22,12,2,2,0
"S00101479",93,77,16,42,0,1,2,6,3,7,16,10,4,2,0,0
"S00101480",116,87,23,52,2,1,0,0,1,8,29,18,8,0,3,0
"S00101481",90,69,14,36,0,4,1,4,4,6,21,13,5,0,1,2
"S00101482",127,90,26,45,1,3,2,3,3,7,37,19,9,8,1,0
"S00101483",127,90,18,57,1,3,2,4,2,3,37,24,11,1,1,0
"S00101484",60,49,9,26,0,0,2,6,2,4,11,8,2,0,1,0
"S00101485",128,96,14,54,0,4,4,10,2,8,32,20,4,4,2,2
"S00101486",141,111,18,68,0,2,4,10,0,9,30,19,9,2,0,0
"S00101487",120,80,15,39,1,3,3,6,3,10,40,20,13,2,4,1
"S00101488",96,76,18,44,0,3,3,3,2,3,20,11,6,1,2,0
"S00101489",108,73,17,35,0,2,2,2,11,4,35,19,3,4,5,4
"S00101490",74,51,10,27,0,1,5,6,2,0,23,11,2,3,4,3
"S00101491",131,78,15,39,0,6,0,7,5,6,53,28,12,5,8,0
"S00101492",98,64,7,33,1,3,5,6,3,6,34,29,2,2,1,0
"S00101493",63,37,4,23,0,0,4,1,0,5,26,8,4,7,6,1
"S00101494",85,60,13,29,0,3,1,7,6,1,25,20,4,0,0,1
"S00101495",71,54,4,33,0,3,4,7,0,3,17,10,4,2,1,0
"S00101496",108,92,14,60,0,1,0,10,2,5,16,6,5,3,2,0
"S00101497",90,72,14,41,0,3,3,5,2,4,18,11,5,2,0,0
"S00101498",93,74,15,44,2,1,1,6,2,3,19,10,6,0,2,1
"S00101499",94,71,13,47,0,1,2,1,5,2,23,9,4,2,5,3
"S00101500",80,51,8,35,0,1,0,3,3,1,29,16,3,5,5,0
"S00101501",80,57,16,29,0,4,1,1,6,0,23,14,2,0,6,1
"S00101502",95,54,9,34,0,1,2,0,5,3,41,24,2,7,6,2
"S00101503",56,33,6,20,0,0,0,0,4,3,23,13,2,6,2,0
"S00101504",47,33,8,13,0,0,1,3,6,2,14,8,2,0,2,2
"S00101505",66,49,5,30,1,1,0,4,3,5,17,9,1,3,4,0
"S00101506",166,144,30,83,1,7,3,8,5,7,22,9,10,1,0,2
"S00101507",142,85,17,58,0,0,0,4,5,1,57,36,10,5,3,3
"S00101508",67,56,11,28,0,1,1,5,3,7,11,7,1,1,2,0
"S00101509",92,63,8,43,0,0,2,2,1,7,29,21,2,2,3,1
"S00101510",70,32,7,20,0,0,0,3,1,1,38,31,3,2,1,1
"S00101511",200,145,29,83,2,6,1,3,6,15,55,28,10,3,10,4
"S00101512",109,88,13,54,0,1,2,5,6,7,21,12,3,4,2,0
"S00101513",115,78,10,46,0,3,6,8,3,2,37,31,2,1,3,0
"S00101514",113,75,18,42,1,3,1,2,3,5,38,31,2,4,0,1
"S00101515",55,27,2,18,0,1,0,2,3,1,28,24,2,0,2,0
"S00101516",108,65,9,48,0,0,0,2,3,3,43,33,6,0,1,3
"S00101517",111,85,21,43,0,2,1,5,7,6,26,7,11,0,6,2
"S00101518",86,54,11,32,1,1,1,2,4,2,32,22,5,3,1,1
"S00101519",81,54,10,25,0,3,0,6,4,6,27,16,5,3,2,1
"S00101520",47,21,7,11,0,2,1,0,0,0,26,20,0,2,3,1
"S00101521",105,65,13,40,0,4,0,1,1,6,40,27,5,6,1,1
"S00101522",94,56,12,30,0,0,2,3,6,3,38,19,4,5,7,3
"S00101523",71,44,7,24,1,0,2,2,8,0,27,15,4,5,3,0
"S00101524",72,60,14,31,0,3,1,1,6,4,12,4,0,3,4,1
"S00101525",87,68,14,36,2,1,0,5,6,4,19,14,2,0,3,0
"S00101526",89,69,15,45,0,0,0,2,4,3,20,12,4,2,2,0
"S00101527",129,88,13,57,0,3,4,3,4,4,41,27,7,2,4,1
"S00101528",49,28,8,18,0,0,0,1,1,0,21,11,4,0,4,2
"S00101529",105,79,20,48,0,1,2,2,3,3,26,17,3,0,5,1
"S00101530",108,67,15,37,0,0,2,3,7,3,41,32,3,2,3,1
"S00101531",69,45,7,28,0,0,0,2,4,4,24,8,0,4,5,7
"S00101532",125,89,17,48,0,5,3,8,3,5,36,21,5,6,4,0
"S00101533",150,122,19,83,0,2,4,6,3,5,28,11,4,5,6,2
"S00101534",125,96,19,61,0,1,2,6,5,2,29,12,3,1,10,3
"S00101535",75,54,8,30,0,0,2,3,11,0,21,7,3,4,7,0
"S00101536",78,48,7,23,0,0,1,1,7,9,30,2,7,6,10,5
"S00101537",95,68,9,41,0,2,1,1,12,2,27,9,7,5,5,1
"S00101538",50,30,8,12,0,0,0,0,10,0,20,6,0,4,7,3
"S00101539",86,58,11,35,1,0,1,3,4,3,28,13,3,4,6,2
"S00101540",96,65,11,34,0,2,0,4,10,4,31,9,6,8,7,1
"S00101541",89,57,6,33,0,6,1,4,4,3,32,22,3,4,3,0
"S00101542",124,90,16,51,1,0,1,6,9,6,34,12,3,9,8,2
"S00101543",41,9,0,6,0,1,0,0,0,2,32,21,0,1,10,0
"S00101544",40,23,5,12,0,0,0,1,4,1,17,1,1,3,11,1
"S00101545",148,91,19,49,1,1,1,3,10,7,57,26,9,10,10,2
"S00101546",125,77,16,46,0,1,2,2,6,4,48,23,10,2,10,3
"S00101547",112,85,15,56,0,1,2,5,4,2,27,16,8,2,1,0
"S00101548",64,50,3,36,0,3,0,2,2,4,14,7,4,3,0,0
"S00101549",121,92,11,73,0,0,2,2,3,1,29,20,7,0,2,0
"S00101550",102,82,11,57,0,0,1,6,3,4,20,9,6,3,1,1
"S00101551",174,147,20,93,1,3,3,7,8,12,27,11,7,3,3,3
"S00101552",115,92,15,58,0,2,5,4,4,4,23,11,5,3,2,2
"S00101553",80,54,8,33,0,2,1,7,2,1,26,19,4,2,1,0
"S00101554",48,34,7,19,0,0,1,2,1,4,14,12,1,0,1,0
"S00101555",90,64,16,37,0,3,0,2,4,2,26,18,4,2,1,1
"S00101556",62,42,9,23,1,2,0,0,2,5,20,12,5,3,0,0
"S00101557",85,46,11,22,1,5,1,3,2,1,39,30,5,3,0,1
"S00101558",76,45,7,29,0,2,2,3,0,2,31,18,7,5,0,1
"S00101559",109,68,15,31,1,6,4,4,1,6,41,27,6,7,0,1
"S00101560",41,27,4,17,1,3,0,0,0,2,14,10,1,2,0,1
"S00101561",51,41,19,11,3,0,1,3,2,2,10,4,4,1,1,0
"S00101562",78,65,16,30,2,3,4,6,0,4,13,9,1,2,1,0
"S00101563",49,39,5,29,0,3,1,0,1,0,10,3,6,1,0,0
"S00101564",49,24,2,15,0,3,1,3,0,0,25,12,8,4,1,0
"S00101565",89,57,10,37,1,1,2,0,3,3,32,23,4,3,2,0
"S00101566",147,117,20,52,0,9,10,17,1,8,30,17,7,3,3,0
"S00101567",93,71,15,34,0,4,5,6,2,5,22,11,6,4,1,0
"S00101568",71,47,6,30,0,0,2,4,4,1,24,4,3,2,13,2
"S00101569",49,17,3,7,0,1,2,2,2,0,32,24,1,2,5,0
"S00101570",77,50,14,27,0,3,1,3,0,2,27,14,4,4,4,1
"S00101571",70,51,12,33,0,0,0,2,3,1,19,9,5,1,3,1
"S00101572",55,44,6,24,0,0,3,5,3,3,11,9,0,2,0,0
"S00101573",21,2,0,0,0,0,0,0,1,1,19,17,1,0,0,1
"S00101574",42,29,4,18,0,1,1,1,1,3,13,8,2,0,2,1
"S00101575",65,44,5,29,0,1,1,2,3,3,21,14,5,1,1,0
"S00101576",49,32,3,21,0,0,1,1,2,4,17,14,1,2,0,0
"S00101577",105,76,14,27,2,8,2,18,2,3,29,15,8,3,3,0
"S00101578",89,64,12,39,0,6,1,3,2,1,25,8,4,7,2,4
"S00101579",94,61,9,43,0,1,1,2,3,2,33,19,5,1,6,2
"S00101580",148,105,15,71,0,1,4,7,2,5,43,27,6,5,2,3
"S00101581",47,35,8,17,1,0,3,2,2,2,12,8,3,0,1,0
"S00101582",67,43,14,18,1,0,2,4,1,3,24,11,4,4,4,1
"S00101583",80,56,17,25,0,2,0,2,6,4,24,9,6,3,6,0
"S00101584",100,72,17,41,0,2,1,7,1,3,28,18,1,2,6,1
"S00101585",64,46,12,25,0,0,0,3,5,1,18,12,0,0,5,1
"S00101586",81,79,9,64,1,2,0,0,2,1,2,1,0,1,0,0
"S00101587",94,69,6,46,0,2,2,12,0,1,25,13,2,7,2,1
"S00101588",61,42,11,22,0,0,0,4,2,3,19,9,8,1,1,0
"S00101589",81,51,13,21,1,9,6,0,0,1,30,12,6,10,2,0
"S00101590",45,32,8,17,0,0,1,2,2,2,13,4,0,1,7,1
"S00101591",94,64,3,53,1,1,1,1,2,2,30,16,3,1,8,2
"S00101592",122,93,18,59,0,0,5,2,5,4,29,25,2,1,0,1
"S00101593",59,39,4,23,0,3,3,5,1,0,20,14,2,3,1,0
"S00101594",140,110,24,65,0,0,0,12,5,4,30,7,10,3,5,5
"S00101595",73,59,9,35,0,0,0,3,5,7,14,3,4,3,4,0
"S00101596",55,39,5,26,0,0,0,3,5,0,16,7,0,3,5,1
"S00101597",88,53,15,24,0,0,3,0,8,3,35,7,4,10,11,3
"S00101598",43,31,7,15,0,0,0,3,6,0,12,6,0,2,2,2
"S00101599",57,39,8,29,0,0,1,1,0,0,18,13,4,0,1,0
"S00101600",59,39,9,27,0,0,0,0,2,1,20,11,2,1,5,1
"S00101601",77,46,10,26,0,0,1,4,3,2,31,17,4,2,8,0
"S00101602",53,36,9,16,0,1,1,1,7,1,17,1,1,12,1,2
"S00101603",81,60,14,39,0,0,0,2,0,5,21,15,3,1,2,0
"S00101604",104,67,11,28,0,4,7,12,3,2,37,16,8,3,7,3
"S00101605",75,50,13,26,0,2,2,5,0,2,25,17,3,2,2,1
"S00101606",99,75,19,46,0,0,3,3,0,4,24,15,4,0,4,1
"S00101607",102,67,7,45,0,0,1,3,9,2,35,20,3,4,4,4
"S00101608",69,45,8,15,0,8,0,5,4,5,24,17,4,0,2,1
"S00101609",74,41,9,27,0,1,2,2,0,0,33,29,1,2,1,0
"S00101610",77,47,12,30,0,2,0,0,0,3,30,19,7,2,1,1
"S00101611",65,50,10,30,0,0,1,2,2,5,15,8,5,0,2,0
"S00101612",88,64,13,32,1,2,1,6,3,6,24,16,2,4,1,1
"S00101613",57,32,6,16,0,1,5,2,1,1,25,11,7,4,3,0
"S00101614",49,38,15,16,0,0,0,1,1,5,11,5,4,0,2,0
"S00101615",69,54,12,34,0,1,0,1,2,4,15,9,2,0,3,1
"S00101616",60,35,8,20,0,1,0,1,5,0,25,13,3,2,6,1
"S00101617",81,65,14,37,0,0,5,3,4,2,16,7,5,1,2,1
"S00101618",73,50,12,22,0,1,1,3,4,7,23,8,7,5,3,0
"S00101619",56,34,8,14,0,3,5,1,3,0,22,14,2,1,4,1
"S00101620",39,22,5,12,0,0,0,0,5,0,17,3,1,5,8,0
"S00101621",40,23,3,14,0,0,1,0,4,1,17,9,0,5,3,0
"S00101622",48,30,5,13,0,3,2,3,0,4,18,12,4,1,1,0
"S00101623",37,23,4,13,0,1,0,3,0,2,14,10,0,3,0,1
"S00101624",92,55,11,27,0,7,1,4,1,4,37,25,5,4,3,0
"S00101625",60,41,6,28,0,0,1,2,4,0,19,13,3,2,1,0
"S00101626",89,77,14,45,1,3,5,5,2,2,12,5,4,1,2,0
"S00101627",136,78,16,48,0,1,0,4,2,7,58,40,10,4,2,2
"S00101628",64,41,5,26,1,2,1,1,1,4,23,13,6,3,1,0
"S00101629",110,65,16,34,1,2,3,3,3,3,45,26,5,6,5,3
"S00101630",55,43,9,26,0,1,1,2,1,3,12,5,2,1,3,1
"S00101631",58,43,8,27,0,0,3,1,1,3,15,11,2,0,2,0
"S00101632",112,90,14,52,1,2,0,12,4,5,22,10,4,1,7,0
"S00101633",164,119,19,66,1,14,5,6,2,6,45,13,18,9,2,3
"S00101634",115,78,17,42,0,5,0,8,4,2,37,14,7,9,5,2
"S00101635",55,41,9,23,0,1,0,4,3,1,14,8,4,2,0,0
"S00101636",94,69,6,50,0,1,2,7,1,2,25,13,2,7,1,2
"S00101637",103,60,4,44,0,2,3,3,2,2,43,24,9,5,4,1
"S00101638",72,54,5,37,0,2,1,2,5,2,18,11,3,1,1,2
"S00101639",73,50,6,29,1,8,0,3,0,3,23,14,6,0,1,2
"S00101640",76,52,8,26,0,4,3,3,5,3,24,20,0,1,1,2
"S00101641",125,88,16,42,4,11,2,4,1,8,37,18,11,7,1,0
"S00101642",76,41,10,27,0,0,2,0,0,2,35,30,2,2,1,0
"S00101643",52,37,5,22,0,1,2,2,4,1,15,11,1,1,1,1
"S00101644",44,28,8,13,0,2,1,3,1,0,16,13,0,1,2,0
"S00101645",85,58,6,36,1,4,4,3,1,3,27,18,7,2,0,0
"S00101646",104,78,17,32,0,2,3,9,6,9,26,16,7,2,1,0
"S00101647",68,56,12,30,0,0,3,6,1,4,12,4,6,2,0,0
"S00101648",40,32,4,20,0,1,0,3,1,3,8,6,2,0,0,0
"S00101649",100,70,14,36,2,5,2,6,2,3,30,23,4,2,0,1
"S00101650",99,66,20,28,0,1,0,5,10,2,33,15,5,3,8,2
"S00101651",94,68,17,34,0,2,4,0,7,4,26,5,7,3,9,2
"S00101652",46,35,6,22,2,2,1,1,0,1,11,3,2,3,3,0
"S00101653",105,78,13,48,1,2,4,6,1,3,27,14,6,5,2,0
"S00101654",181,147,32,83,0,8,4,7,3,10,34,9,14,7,1,3
"S00101655",120,92,14,53,1,6,2,3,6,7,28,18,6,3,1,0
"S00101656",58,50,6,35,0,2,0,3,3,1,8,6,0,1,1,0
"S00101657",122,82,14,49,0,2,2,8,2,5,40,29,6,3,2,0
"S00101658",60,48,12,25,1,1,0,2,2,5,12,9,2,1,0,0
"S00101659",147,109,24,54,1,10,7,3,3,7,38,13,17,3,3,2
"S00101660",178,130,24,66,2,14,5,9,3,7,48,24,6,10,2,6
"S00101661",122,83,13,32,4,8,2,11,3,10,39,22,5,10,1,1
"S00101662",80,61,13,24,0,8,3,4,2,7,19,13,3,3,0,0
"S00101663",112,77,22,38,1,3,3,4,1,5,35,27,5,1,1,1
"S00101664",56,47,8,25,0,6,0,2,0,6,9,4,4,1,0,0
"S00101665",44,36,8,18,0,1,2,1,5,1,8,3,1,0,3,1
"S00101666",48,33,8,21,0,1,0,2,1,0,15,2,4,1,4,4
"S00101667",63,46,8,27,0,0,1,4,5,1,17,12,2,0,3,0
"S00101668",112,95,15,62,0,2,2,5,5,4,17,5,4,4,3,1
"S00101669",42,22,7,11,0,1,0,0,3,0,20,1,3,0,11,5
"S00101670",59,46,13,23,0,1,1,1,5,2,13,4,2,4,3,0
"S00101671",61,36,10,21,0,0,2,0,3,0,25,7,4,4,8,2
"S00101672",105,82,14,52,1,1,5,5,2,2,23,20,1,1,1,0
"S00101673",175,146,25,97,0,3,1,5,6,9,29,12,12,3,2,0
"S00101674",102,77,15,36,0,9,0,4,6,7,25,7,11,5,1,1
"S00101675",80,64,6,42,0,1,1,6,4,4,16,2,6,6,0,2
"S00101676",61,54,9,37,0,3,1,2,2,0,7,4,2,1,0,0
"S00101677",130,85,12,39,0,10,8,10,0,6,45,27,8,5,2,3
"S00101678",84,53,9,27,2,4,4,5,2,0,31,23,4,2,2,0
"S00101679",63,39,3,27,0,2,3,1,0,3,24,20,2,1,1,0
"S00101680",26,13,2,7,1,1,1,0,1,0,13,10,1,1,1,0
"S00101681",75,59,18,21,0,3,2,5,5,5,16,5,4,2,5,0
"S00101682",90,58,5,40,0,0,0,3,8,2,32,9,2,7,12,2
"S00101683",192,141,36,69,0,17,4,5,2,8,51,21,18,10,0,2
"S00101684",162,126,16,69,1,10,5,8,2,15,36,11,13,9,1,2
"S00101685",48,35,3,15,1,6,4,3,1,2,13,5,5,3,0,0
"S00101686",196,157,36,82,0,5,10,9,3,12,39,15,16,4,1,3
"S00101687",64,53,7,30,0,4,3,2,2,5,11,4,2,3,1,1
"S00101688",111,90,13,56,0,3,5,5,2,6,21,10,5,3,1,2
"S00101689",131,107,24,58,0,4,5,9,2,5,24,8,11,3,2,0
"S00101690",157,124,22,67,0,5,7,8,4,11,33,11,10,6,1,5
"S00101691",50,36,4,17,0,3,2,4,3,3,14,8,3,3,0,0
"S00101692",33,15,0,10,0,0,0,1,3,1,18,10,2,0,5,1
"S00101693",57,42,11,20,1,1,3,3,3,0,15,10,0,0,5,0
"S00101694",88,64,5,47,0,2,2,3,4,1,24,16,2,1,5,0
"S00101695",62,41,6,24,0,0,0,1,6,4,21,9,2,4,6,0
"S00101696",60,49,11,32,0,0,1,0,4,1,11,5,1,1,3,1
"S00101697",64,40,3,28,1,1,0,2,4,1,24,6,3,2,11,2
"S00101698",100,78,11,54,0,1,2,4,6,0,22,11,5,1,5,0
"S00101699",59,42,8,27,0,0,1,2,3,1,17,10,5,1,1,0
"S00101700",111,58,7,42,0,1,1,2,3,2,53,15,3,3,32,0
"S00101701",37,21,5,9,0,0,0,0,6,1,16,8,1,3,4,0
"S00101702",82,61,10,36,0,0,0,2,8,5,21,12,2,4,3,0
"S00101703",58,43,8,26,0,1,0,1,5,2,15,5,4,1,4,1
"S00101704",55,32,12,14,0,0,0,0,6,0,23,1,2,10,9,1
"S00101705",83,43,9,25,0,0,1,1,5,2,40,11,8,8,13,0
"S00101706",37,15,4,6,0,1,0,2,2,0,22,9,0,1,8,4
"S00101707",74,55,10,34,0,0,0,7,3,1,19,6,7,5,1,0
"S00101708",128,85,18,42,0,0,4,4,11,6,43,22,9,4,6,2
"S00101709",62,44,12,28,0,0,0,2,2,0,18,13,0,0,4,1
"S00101710",107,74,10,53,0,2,1,0,6,2,33,20,5,3,3,2
"S00101711",45,30,5,19,0,0,1,3,0,2,15,13,1,0,1,0
"S00101712",83,62,11,34,0,3,2,5,4,3,21,18,0,1,2,0
"S00101713",64,49,7,29,0,2,1,4,2,4,15,6,2,3,3,1
"S00101714",53,32,4,22,0,1,0,2,2,1,21,11,3,4,3,0
"S00101715",82,51,10,28,0,3,0,1,7,2,31,7,9,6,3,6
"S00101716",106,78,15,48,0,1,0,4,2,8,28,16,4,4,1,3
"S00101717",101,75,13,42,0,5,3,6,4,2,26,19,6,0,1,0
"S00101718",76,63,13,38,0,0,2,2,4,4,13,6,0,2,5,0
"S00101719",87,69,13,40,0,0,3,4,4,5,18,3,3,7,3,2
"S00101720",53,37,7,15,0,0,2,6,3,4,16,10,3,2,0,1
"S00101721",64,35,5,14,0,1,0,0,14,1,29,9,3,3,14,0
"S00101722",117,81,11,51,0,1,6,4,7,1,36,24,9,2,1,0
"S00101723",76,67,10,46,0,0,2,2,0,7,9,2,3,2,1,1
"S00101724",89,60,12,31,1,4,0,2,9,1,29,10,2,9,7,1
"S00101725",76,49,9,27,1,2,0,4,3,3,27,12,11,4,0,0
"S00101726",98,74,15,44,0,2,5,0,4,4,24,11,9,3,1,0
"S00101727",88,64,20,34,1,1,3,3,1,1,24,8,6,4,5,1
"S00101728",49,41,7,27,0,0,1,4,1,1,8,4,3,0,1,0
"S00101729",120,106,18,74,0,3,1,6,3,1,14,6,5,2,1,0
"S00101730",69,51,5,31,0,2,4,5,1,3,18,11,4,1,0,2
"S00101731",115,93,16,47,0,8,2,7,6,7,22,9,6,3,0,4
"S00101732",35,24,4,11,1,1,1,2,2,2,11,8,1,1,1,0
"S00101733",122,105,11,77,0,0,2,5,7,3,17,10,0,1,6,0
"S00101734",48,42,4,32,0,2,0,0,3,1,6,4,1,1,0,0
"S00101735",86,66,17,38,0,2,0,7,2,0,20,8,3,1,6,2
"S00101736",108,92,17,64,1,1,1,1,4,3,16,11,4,1,0,0
"S00101737",77,59,10,31,1,8,5,2,1,1,18,13,1,1,1,2
"S00101738",91,57,15,28,0,4,5,4,1,0,34,26,4,2,1,1
"S00101739",47,32,2,17,0,5,1,3,3,1,15,12,1,2,0,0
"S00101740",133,115,26,60,0,5,5,9,4,6,18,2,5,4,2,5
"S00101741",151,132,19,86,1,3,4,10,3,6,19,3,7,4,2,3
"S00101742",97,73,15,34,0,6,9,4,5,0,24,8,6,4,4,2
"S00101743",164,138,28,94,0,6,1,5,3,1,26,13,5,5,3,0
"S00101744",59,47,8,23,0,5,2,3,3,3,12,4,1,2,3,2
"S00101745",45,43,3,33,0,1,0,1,4,1,2,1,0,0,0,1
"S00101746",126,102,18,54,2,9,9,6,3,1,24,15,4,4,0,1
"S00101747",42,23,6,7,1,2,2,3,2,0,19,15,1,2,0,1
"S00101748",45,34,3,19,0,3,2,5,1,1,11,5,2,3,1,0
"S00101749",111,86,12,46,4,9,3,10,2,0,25,16,4,3,1,1
"S00101750",85,77,20,44,1,3,1,5,1,2,8,5,0,1,1,1
"S00101751",147,117,22,70,0,5,2,7,2,9,30,21,7,1,1,0
"S00101752",100,74,9,38,2,7,5,5,4,4,26,16,4,0,4,2
"S00101753",134,123,13,99,2,0,2,4,2,1,11,4,0,2,3,2
"S00101754",90,78,10,56,0,0,0,2,9,1,12,3,3,3,1,2
"S00101755",91,80,17,52,0,0,1,3,6,1,11,4,0,4,1,2
"S00101756",172,154,24,101,0,3,4,13,5,4,18,2,4,3,7,2
"S00101757",120,100,10,70,0,2,0,4,12,2,20,2,4,2,4,8
"S00101758",124,101,11,81,0,1,3,3,1,1,23,5,8,7,3,0
"S00101759",201,176,34,104,0,6,7,14,3,8,25,6,5,10,0,4
"S00101760",50,41,6,24,1,3,0,5,2,0,9,5,0,2,2,0
"S00101761",121,89,21,46,0,7,4,5,4,2,32,20,8,3,1,0
"S00101762",44,27,2,14,1,1,3,6,0,0,17,13,1,2,1,0
"S00101763",56,43,10,19,0,1,3,5,2,3,13,6,1,1,5,0
"S00101764",70,57,7,34,2,3,5,3,1,2,13,7,3,2,0,1
"S00101765",97,66,8,37,3,5,3,4,2,4,31,19,1,3,6,2
"S00101766",96,70,14,41,1,3,5,2,2,2,26,14,9,1,2,0
"S00101767",103,80,18,48,3,5,0,6,0,0,23,16,1,4,2,0
"S00101768",109,80,10,41,0,5,11,7,2,4,29,14,6,3,5,1
"S00101769",59,49,5,30,0,4,2,4,1,3,10,8,1,0,0,1
"S00101770",94,65,15,22,1,7,7,13,0,0,29,22,2,4,0,1
"S00101771",103,69,13,27,0,9,6,11,0,3,34,26,1,3,3,1
"S00101772",74,58,8,32,0,3,7,4,4,0,16,10,4,2,0,0
"S00101773",104,70,15,27,2,4,5,10,4,3,34,17,4,5,6,2
"S00101774",126,93,15,44,2,12,3,12,4,1,33,14,5,7,3,4
"S00101775",156,114,18,51,2,15,10,12,4,2,42,15,9,14,0,4
"S00101776",65,43,9,19,3,1,3,6,2,0,22,20,0,1,1,0
"S00101777",77,51,14,27,0,4,0,3,3,0,26,18,1,2,3,2
"S00101778",96,53,11,17,6,6,6,5,1,1,43,29,6,6,1,1
"S00101779",131,100,22,62,0,0,4,5,7,0,31,12,4,9,5,1
"S00101780",52,36,7,21,0,7,0,1,0,0,16,11,0,1,2,2
"S00101781",82,64,10,35,0,7,2,6,1,3,18,11,3,2,0,2
"S00101782",61,50,5,27,0,3,4,7,3,1,11,4,3,3,0,1
"S00101783",78,59,18,30,2,4,0,3,2,0,19,9,1,1,6,2
"S00101784",77,55,9,28,2,7,2,5,1,1,22,11,4,2,4,1
"S00101785",83,58,10,25,1,5,3,11,1,2,25,19,3,2,1,0
"S00101786",95,74,12,36,1,6,8,4,4,3,21,18,0,0,3,0
"S00101787",83,68,19,30,1,4,2,5,4,3,15,9,3,3,0,0
"S00101788",74,51,15,29,0,2,0,2,2,1,23,7,4,7,3,2
"S00101789",55,40,6,19,0,4,4,5,0,2,15,9,1,1,3,1
"S00101790",73,55,9,35,0,4,0,7,0,0,18,11,1,6,0,0
"S00101791",94,67,16,22,1,8,6,7,3,4,27,14,7,2,1,3
"S00101792",58,52,13,21,1,4,4,6,3,0,6,4,1,1,0,0
"S00101793",130,96,21,51,0,6,7,9,2,0,34,15,5,11,2,1
"S00101794",100,67,10,34,2,5,7,8,0,1,33,17,9,6,1,0
"S00101795",46,34,0,20,0,1,4,6,3,0,12,5,1,4,0,2
"S00101796",118,93,17,49,0,7,4,9,2,5,25,16,8,0,1,0
"S00101797",55,18,6,10,0,1,0,0,1,0,37,35,0,0,2,0
"S00101798",104,86,14,50,0,8,5,6,1,2,18,5,4,4,5,0
"S00101799",89,61,13,26,0,10,3,8,0,1,28,19,4,4,1,0
"S00101800",146,110,20,57,2,8,8,12,2,1,36,15,6,8,3,4
"S00101801",116,74,16,40,1,6,1,8,2,0,42,19,4,10,5,4
"S00101802",97,79,10,35,4,8,7,11,2,2,18,10,6,0,1,1
"S00101803",57,48,9,28,0,0,3,8,0,0,9,3,1,2,1,2
"S00101804",89,72,15,33,0,8,3,11,0,2,17,7,4,5,1,0
"S00101805",44,29,6,13,0,2,4,3,0,1,15,9,3,0,0,3
"S00101806",79,59,9,33,0,4,5,3,3,2,20,11,3,3,2,1
"S00101807",60,42,6,20,1,5,2,7,0,1,18,10,4,4,0,0
"S00101808",132,99,25,53,0,3,4,10,1,3,33,16,8,4,2,3
"S00101809",107,82,13,40,1,5,4,11,7,1,25,11,7,5,0,2
"S00101810",46,36,3,25,0,2,1,3,2,0,10,4,3,0,2,1
"S00101811",82,60,9,34,0,3,4,6,4,0,22,13,2,4,3,0
"S00101812",84,61,15,25,0,6,4,5,3,3,23,16,3,1,3,0
"S00101813",86,62,12,23,1,9,8,7,2,0,24,15,3,3,1,2
"S00101814",67,47,7,21,2,2,4,7,4,0,20,9,2,8,0,1
"S00101815",55,48,5,23,1,5,2,9,0,3,7,2,3,1,0,1
"S00101816",63,51,9,25,0,3,4,4,5,1,12,6,3,1,2,0
"S00101817",164,134,30,70,0,2,8,8,9,7,30,15,8,3,2,2
"S00101818",85,68,14,32,0,6,0,7,3,6,17,10,2,1,4,0
"S00101819",47,33,10,15,0,0,1,2,4,1,14,10,0,0,4,0
"S00101820",86,57,15,30,1,3,3,5,0,0,29,17,2,5,5,0
"S00101821",149,103,16,58,1,7,3,15,2,1,46,25,6,4,5,6
"S00101822",57,48,10,28,0,1,2,4,2,1,9,2,2,2,1,2
"S00101823",69,52,8,22,0,1,5,7,5,4,17,11,1,3,0,2
"S00101824",79,46,11,24,0,0,2,6,0,3,33,20,6,2,4,1
"S00101825",92,69,11,49,0,0,1,4,3,1,23,18,1,1,1,2
"S00101826",88,69,16,41,1,1,1,3,3,3,19,10,4,2,2,1
"S00101827",93,56,15,31,0,1,2,0,4,3,37,28,1,2,4,2
"S00101828",104,67,11,41,0,1,2,6,4,2,37,22,2,3,7,3
"S00101829",79,47,10,30,0,0,0,2,2,3,32,20,4,3,3,2
"S00101830",90,65,10,37,0,0,5,2,5,6,25,9,3,3,8,2
