"output_area","ALL PEOPLE","Number Church of Scotland","Number Roman Catholic","Number Other Christian","Number Buddhist","Number Hindu","Number Jewish","Number Muslim","Number Sikh","Number Another Religion","Number None","Number Not Answered"
"60QA000179",72,30,0,1,1,0,0,0,0,0,39,1
"60QA000180",108,54,7,3,0,2,0,0,0,0,42,0
"60QA000181",108,53,2,5,0,0,0,2,0,0,41,5
"60QA000182",110,31,3,3,0,0,0,0,0,1,56,16
"60QA000183",145,49,1,11,0,0,0,0,0,0,70,14
"60QA000184",122,30,2,4,0,0,0,0,0,0,80,6
"60QA000185",120,46,5,5,0,0,0,0,0,0,53,11
"60QA000186",75,33,1,4,0,0,0,0,0,0,33,4
"60QA000187",123,69,3,8,1,0,0,0,0,0,35,7
"60QA000188",76,19,1,9,0,0,0,0,0,0,41,6
"60QA000189",90,50,1,5,0,0,0,0,0,0,31,3
"60QA000190",113,42,10,2,0,0,0,0,0,0,54,5
"60QA000191",131,64,4,7,0,0,0,0,0,0,49,7
"60QA000192",133,67,3,2,0,0,0,0,0,1,52,8
"60QA000193",89,46,6,2,0,0,0,0,0,0,34,1
"60QA000194",116,72,2,0,0,0,0,0,0,1,41,0
"60QA000195",100,36,3,3,0,0,0,0,0,0,58,0
"60QA000196",107,31,6,7,0,0,0,0,0,1,59,3
"60QA000197",123,49,2,1,0,0,0,0,0,0,62,9
"60QA000198",92,41,6,6,0,0,0,0,0,0,35,4
"60QA000199",112,48,4,3,0,0,0,0,0,0,54,3
"60QA000200",160,52,5,10,0,0,0,0,0,0,86,7
"60QA000201",126,42,5,6,0,0,0,0,0,0,71,2
"60QA000202",76,58,1,2,0,0,0,0,0,0,12,3
"60QA000203",131,39,2,7,0,0,0,0,0,0,78,5
"60QA000204",81,33,3,2,0,0,0,0,0,0,38,5
"60QA000205",90,33,3,3,0,0,0,3,0,0,40,8
"60QA000206",68,29,1,0,0,0,0,0,0,0,36,2
"60QA000207",62,19,5,2,0,0,0,0,0,0,35,1
"60QA000208",179,65,12,6,0,0,0,0,0,0,79,17
"60QA000209",146,53,4,2,0,0,0,0,0,1,76,10
"60QA000210",103,30,2,13,0,0,0,1,0,0,54,3
"60QA000211",139,41,1,2,1,0,0,9,0,0,75,10
"60QA000212",150,68,13,5,0,0,0,0,0,0,58,6
"60QA000213",177,66,5,6,0,0,0,4,0,0,80,16
"60QA000214",151,66,7,3,0,0,0,0,1,1,68,5
"60QA000215",101,34,3,10,0,0,0,0,0,0,51,3
"60QA000216",126,42,3,4,0,0,0,0,0,0,71,6
"60QA000217",117,41,9,10,0,0,0,0,0,0,56,1
"60QA000218",123,59,13,8,0,0,0,0,0,1,36,6
"60QA000219",136,83,8,12,0,0,0,0,0,0,28,5
"60QA000220",94,49,8,4,0,0,0,0,0,1,31,1
"60QA000221",138,73,9,22,0,1,0,0,1,1,31,0
"60QA000222",180,84,13,20,0,0,1,0,0,2,55,5
"60QA000223",315,97,32,58,6,4,0,2,0,9,103,4
"60QA000224",147,79,5,14,0,0,0,0,0,0,42,7
"60QA000225",125,54,25,5,0,0,0,0,0,0,38,3
"60QA000226",135,63,3,7,0,0,0,0,0,3,56,3
"60QA000227",129,60,5,9,0,0,2,0,0,4,44,5
"60QA000228",83,44,6,3,0,0,0,0,0,2,24,4
"60QA000229",91,31,1,14,2,0,0,0,0,0,43,0
"60QA000230",73,42,3,6,0,0,0,0,0,0,18,4
"60QA000231",106,72,5,2,0,0,0,0,0,0,24,3
"60QA000232",165,58,6,7,1,0,0,4,0,0,88,1
"60QA000233",190,88,11,4,0,0,0,5,0,1,67,14
"60QA000234",140,56,13,12,0,0,0,0,0,0,51,8
"60QA000235",104,45,7,7,0,0,0,0,0,0,42,3
"60QA000236",127,56,9,13,1,0,0,12,0,0,36,0
"60QA000237",106,50,6,15,1,0,0,0,0,1,29,4
"60QA000238",78,20,4,7,0,0,0,0,0,4,40,3
"60QA000239",61,27,4,6,0,0,0,0,1,2,18,3
"60QA000240",67,21,4,4,0,0,0,0,0,4,29,5
"60QA000241",56,16,2,1,0,0,0,0,1,0,33,3
"60QA000242",117,22,4,16,1,0,0,8,0,7,51,8
"60QA000243",65,17,3,9,0,2,0,0,0,3,28,3
"60QA000244",75,29,4,4,1,0,0,1,0,1,34,1
"60QA000245",67,20,13,7,0,1,0,0,0,2,22,2
"60QA000246",103,24,8,6,1,1,0,0,0,3,59,1
"60QA000247",68,15,9,2,0,0,1,0,0,3,35,3
"60QA000248",105,27,4,9,0,0,1,0,0,2,55,7
"60QA000249",63,20,6,3,2,0,0,2,0,0,29,1
"60QA000250",71,14,3,12,0,0,0,2,0,0,33,7
"60QA000251",65,12,4,4,0,0,0,11,0,0,29,5
"60QA000252",84,32,8,3,0,1,0,1,0,4,34,1
"60QA000253",92,24,7,5,0,0,0,0,0,2,44,10
"60QA000254",199,57,51,19,0,0,0,8,0,3,56,5
"60QA000255",113,33,4,7,1,0,0,0,0,1,63,4
"60QA000256",114,30,6,15,0,0,0,6,0,4,49,4
"60QA000257",89,30,9,9,1,0,0,0,0,3,35,2
"60QA000258",91,20,11,6,2,1,0,1,0,1,46,3
"60QA000259",96,25,12,9,1,0,0,1,0,0,42,6
"60QA000260",69,33,6,5,0,1,0,0,0,1,21,2
"60QA000261",210,79,10,22,0,0,0,6,0,1,82,10
"60QA000262",98,50,10,5,0,0,0,1,0,0,27,5
"60QA000263",87,26,11,6,0,0,0,6,0,2,32,4
"60QA000264",86,20,5,7,0,0,0,3,0,5,45,1
"60QA000265",145,35,18,17,1,0,0,0,0,0,68,6
"60QA000266",131,75,8,13,0,0,0,3,0,1,25,6
"60QA000267",115,46,12,11,0,0,0,0,0,0,44,2
"60QA000268",178,80,13,4,0,0,0,4,0,1,69,7
"60QA000269",179,74,11,21,1,0,0,0,0,0,72,0
"60QA000270",144,88,7,8,0,0,0,0,0,2,34,5
"60QA000271",121,63,10,11,1,0,0,0,0,0,34,2
"60QA000272",82,41,4,4,0,0,0,3,0,1,29,0
"60QA000273",81,46,1,11,0,0,0,0,0,0,23,0
"60QA000274",149,80,3,8,0,0,0,0,0,3,47,8
"60QA000275",144,69,1,5,0,0,0,0,0,5,58,6
"60QA000276",147,68,13,13,3,0,0,0,0,0,47,3
"60QA000277",127,48,14,7,0,2,0,0,0,0,54,2
"60QA000278",126,47,23,17,0,0,0,0,0,0,38,1
"60QA000279",124,50,5,10,0,0,0,0,0,0,55,4
"60QA000280",133,61,8,13,0,0,0,0,0,1,48,2
"60QA000281",101,35,4,5,0,0,0,0,0,4,51,2
"60QA000282",97,46,3,8,0,0,0,3,4,0,33,0
"60QA000283",126,59,13,11,0,0,0,0,0,0,38,5
"60QA000284",91,20,8,15,1,0,0,0,0,1,43,3
"60QA000285",100,63,2,8,1,0,0,0,0,1,21,4
"60QA000286",145,56,17,8,0,0,0,0,0,0,60,4
"60QA000287",152,56,3,19,0,0,0,0,0,1,65,8
"60QA000288",86,30,2,6,1,2,0,1,0,1,41,2
"60QA000289",56,17,1,4,1,0,0,1,0,0,29,3
"60QA000290",119,45,11,7,3,0,0,0,0,2,46,5
"60QA000291",85,26,6,6,1,1,0,0,2,5,38,0
"60QA000292",109,33,8,7,0,0,0,0,0,0,56,5
"60QA000293",65,22,5,4,0,0,0,0,0,0,34,0
"60QA000294",111,30,10,12,0,0,0,0,0,0,54,5
"60QA000295",82,28,5,4,0,0,0,0,0,0,42,3
"60QA000296",119,33,13,12,0,0,0,0,0,1,52,8
"60QA000297",93,40,8,10,1,0,0,0,0,0,34,0
"60QA000298",65,23,6,3,0,0,0,0,0,0,30,3
"60QA000299",75,14,4,8,0,0,0,0,0,1,45,3
"60QA000300",140,38,12,17,3,1,0,0,0,3,64,2
"60QA000301",55,37,4,4,0,0,0,0,0,0,8,2
"60QA000302",51,15,3,6,0,0,0,0,0,1,26,0
"60QA000303",183,82,2,4,0,0,0,4,0,2,85,4
"60QA000304",65,45,6,4,0,0,0,0,0,0,8,2
"60QA000305",70,38,3,3,1,0,0,6,0,0,19,0
"60QA000306",70,25,3,10,3,0,0,0,0,0,27,2
"60QA000307",84,45,0,4,0,0,0,0,0,0,34,1
"60QA000308",51,18,3,3,0,0,0,0,1,1,23,2
"60QA000309",161,95,7,9,1,1,0,2,0,1,42,3
"60QA000310",128,50,5,16,0,0,0,0,0,3,44,10
"60QA000311",95,23,2,8,0,0,0,0,0,4,56,2
"60QA000312",88,63,6,8,0,0,0,0,0,1,8,2
"60QA000313",113,59,4,2,0,0,0,0,0,0,45,3
"60QA000314",128,32,6,11,0,0,0,0,0,2,69,8
"60QA000315",115,39,6,13,1,0,0,0,1,0,53,2
"60QA000316",117,49,4,4,0,0,0,0,0,0,47,13
"60QA000317",94,54,6,3,0,0,0,0,1,0,25,5
"60QA000318",143,43,7,3,0,0,1,2,0,1,80,6
"60QA000319",156,61,3,6,0,0,2,0,0,4,74,6
"60QA000320",182,80,9,5,0,0,0,4,0,1,76,7
"60QA000321",163,69,7,6,0,0,0,2,0,0,70,9
"60QA000322",102,45,3,3,0,0,0,0,0,3,45,3
"60QA000323",114,55,4,9,0,0,0,3,0,0,39,4
"60QA000324",69,35,3,9,0,0,0,0,0,0,18,4
"60QA000325",109,56,8,1,0,2,0,0,0,4,33,5
"60QA000326",112,49,3,6,0,0,0,0,0,0,44,10
"60QA000327",123,51,2,9,0,0,0,0,0,1,43,17
"60QA000328",186,72,2,7,7,0,2,6,0,2,84,4
"60QA000329",173,71,12,8,3,0,2,1,0,0,76,0
"60QA000330",76,47,3,1,0,0,0,0,0,0,24,1
"60QA000331",129,58,7,8,0,0,0,0,0,2,47,7
"60QA000332",75,31,8,6,0,1,0,0,0,0,27,2
"60QA000333",63,29,1,3,0,0,0,4,0,0,24,2
"60QA000334",146,68,7,2,0,0,0,0,0,0,68,1
"60QA000335",163,49,10,11,0,4,0,0,0,2,85,2
"60QA000336",107,60,8,4,0,0,0,0,0,0,30,5
"60QA000337",126,70,4,12,0,0,0,0,0,0,39,1
"60QA000338",138,80,9,5,0,0,0,0,0,0,43,1
"60QA000339",120,33,11,12,0,3,0,2,0,1,52,6
"60QA000340",116,55,5,11,0,0,0,0,0,1,41,3
"60QA000341",107,56,5,1,1,0,0,0,0,0,43,1
