"output_area","All households","Number of households comprising: One person Pensioner","Number of households comprising: One person Other","Number of households comprising: One family and no others All pensioners","Number of households comprising: One family and no others Married couple households No children","Number of households comprising: One family and no others Married couple households With dependent children","Number of households comprising: One family and no others Married couple households All children non-dependent ","Number of households comprising: One family and no others Cohabiting couple households No children","Number of households comprising: One family and no others Cohabiting couple households With dependent children","Number of households comprising: One family and no others Cohabiting couple households All children non-dependent","Number of households comprising: One family and no others Lone parent housheolds With dependent children","Number of households comprising: One family and no others Lone parent households All children non-dependent","Number of households comprising: Other households With dependent children","Number of households comprising: Other households All student","Number of households comprising: Other households All pensioner","Number of households comprising: Other households Other"
"60QA000074",65,7,32,1,3,0,0,10,0,0,4,1,0,3,0,4
"60QA000075",43,2,26,0,1,0,0,7,0,0,0,1,0,3,0,3
"60QA000076",80,0,42,0,1,1,0,8,0,0,1,0,1,13,1,12
"60QA000077",34,3,7,2,1,3,1,2,8,0,6,0,1,0,0,0
"60QA000078",68,4,22,3,9,6,6,3,2,0,6,3,2,0,1,1
"60QA000079",35,0,14,0,3,0,0,2,2,0,10,1,2,0,0,1
"60QA000080",60,4,19,0,1,1,1,4,7,0,16,3,1,0,0,3
"60QA000081",35,0,13,1,2,3,0,2,3,1,8,0,2,0,0,0
"60QA000082",74,8,12,10,8,10,11,4,1,0,4,5,0,0,0,1
"60QA000083",54,7,17,8,14,3,3,1,0,0,0,0,1,0,0,0
"60QA000084",47,8,4,9,8,4,2,1,1,1,2,3,0,0,1,3
"60QA000085",53,13,1,6,5,11,3,2,1,2,4,1,2,0,0,2
"60QA000086",50,8,4,8,7,6,3,3,7,0,1,2,0,0,1,0
"60QA000087",66,5,24,5,6,7,5,3,4,0,3,0,2,0,0,2
"60QA000088",68,9,13,4,6,13,5,6,4,1,1,2,0,0,0,4
"60QA000089",54,0,33,2,5,2,0,4,1,0,3,2,1,0,0,1
"60QA000090",57,3,35,3,4,2,0,5,2,0,3,0,0,0,0,0
"60QA000091",58,4,33,3,1,2,0,6,2,0,1,1,0,0,0,5
"60QA000092",46,0,32,1,0,0,0,8,2,0,1,0,0,0,0,2
"60QA000093",64,4,37,1,4,4,0,5,1,1,2,0,2,0,0,3
"60QA000094",50,1,32,1,8,1,0,4,0,0,1,1,0,0,0,1
"60QA000095",44,2,27,0,5,2,0,3,2,0,0,0,1,0,0,2
"60QA000096",76,6,50,0,1,2,1,9,0,0,0,1,3,1,0,2
"60QA000097",66,5,43,1,3,1,0,5,0,0,5,0,0,0,0,3
"60QA000098",51,5,23,4,5,6,0,6,0,0,0,1,0,0,0,1
"60QA000099",71,4,48,0,2,0,0,11,1,0,2,0,0,0,0,3
"60QA000100",48,4,33,2,1,1,0,1,1,0,2,1,0,1,0,1
"60QA000101",39,0,20,0,8,0,0,4,0,0,4,1,1,0,0,1
"60QA000102",46,2,26,2,1,4,1,5,1,0,0,1,0,0,0,3
"60QA000103",54,5,32,2,3,2,0,4,0,0,3,0,1,0,0,2
