"output_area","All households","Number of households comprising: One person Pensioner","Number of households comprising: One person Other","Number of households comprising: One family and no others All pensioners","Number of households comprising: One family and no others Married couple households No children","Number of households comprising: One family and no others Married couple households With dependent children","Number of households comprising: One family and no others Married couple households All children non-dependent ","Number of households comprising: One family and no others Cohabiting couple households No children","Number of households comprising: One family and no others Cohabiting couple households With dependent children","Number of households comprising: One family and no others Cohabiting couple households All children non-dependent","Number of households comprising: One family and no others Lone parent housheolds With dependent children","Number of households comprising: One family and no others Lone parent households All children non-dependent","Number of households comprising: Other households With dependent children","Number of households comprising: Other households All student","Number of households comprising: Other households All pensioner","Number of households comprising: Other households Other"
"60QP001179",41,7,15,2,3,3,0,4,1,0,3,1,0,0,0,2
"60QP001180",41,7,2,4,9,9,4,1,2,0,1,2,0,0,0,0
"60QP001181",48,8,10,8,6,4,0,2,1,0,3,4,0,0,0,2
"60QP001182",58,12,23,2,4,5,1,4,1,0,1,1,0,0,1,3
"60QP001183",74,11,2,7,13,19,13,0,0,0,1,2,2,0,1,3
"60QP001184",47,4,2,6,9,14,2,2,0,1,2,1,4,0,0,0
"60QP001185",57,5,3,7,7,18,7,2,0,0,1,4,2,0,0,1
"60QP001186",78,8,4,17,10,25,8,0,1,0,1,2,1,0,0,1
"60QP001187",62,3,5,11,8,20,8,1,1,0,2,2,1,0,0,0
"60QP001188",60,4,3,2,11,17,10,1,2,2,2,3,1,0,1,1
"60QP001189",41,0,3,4,10,10,6,0,1,0,3,3,1,0,0,0
"60QP001190",44,3,4,2,6,14,6,0,1,0,5,2,0,0,0,1
"60QP001191",41,9,5,5,1,13,3,1,1,0,2,1,0,0,0,0
"60QP001192",47,4,7,3,6,14,4,1,0,0,3,3,0,0,0,2
"60QP001193",50,4,3,2,11,13,8,1,2,0,0,4,1,0,0,1
"60QP001194",40,11,7,3,1,1,2,1,1,0,8,3,1,0,1,0
"60QP001195",38,4,3,4,2,2,5,1,1,0,6,5,5,0,0,0
"60QP001196",67,12,5,6,7,13,8,1,3,0,6,2,2,0,0,2
"60QP001197",39,3,5,3,3,4,0,1,3,0,5,6,4,0,0,2
"60QP001198",40,4,4,4,3,3,1,3,1,0,12,1,2,0,0,2
"60QP001199",77,29,10,7,5,9,4,2,1,0,6,2,0,0,0,2
"60QP001200",47,14,7,9,1,4,2,1,0,1,6,2,0,0,0,0
"60QP001201",33,6,3,5,4,2,2,1,3,0,0,1,2,0,1,3
"60QP001202",49,17,9,3,3,3,1,1,2,0,6,4,0,0,0,0
"60QP001203",45,10,7,5,4,10,1,0,1,0,3,2,1,0,0,1
"60QP001204",51,7,1,11,9,14,6,0,1,0,1,0,0,0,0,1
"60QP001205",53,7,5,3,7,17,8,1,1,0,0,4,0,0,0,0
"60QP001206",70,27,9,5,3,8,0,4,3,0,5,3,1,1,1,0
"60QP001207",66,13,9,11,12,7,5,1,1,0,3,3,1,0,0,0
"60QP001208",45,9,2,3,2,13,1,1,0,0,3,8,0,0,0,3
"60QP001209",47,16,6,3,7,4,2,1,0,0,6,1,0,0,0,1
"60QP001210",57,18,2,6,6,8,2,6,0,0,2,5,0,0,1,1
"60QP001211",48,10,6,9,0,11,0,1,0,2,5,2,0,0,1,1
"60QP001212",42,10,5,8,2,3,3,2,1,0,3,2,0,0,1,2
"60QP001213",45,3,2,10,6,12,3,0,3,0,2,2,1,0,0,1
"60QP001214",50,5,19,2,2,0,2,3,3,0,9,1,1,0,3,0
"60QP001215",77,12,31,1,7,4,1,1,3,0,10,3,1,1,0,2
"60QP001216",41,11,12,2,0,1,1,0,3,0,6,2,1,0,0,2
"60QP001217",47,12,10,2,4,3,0,1,1,0,1,1,1,2,3,6
"60QP001218",41,4,26,0,1,0,0,4,1,0,1,2,0,1,0,1
"60QP001219",39,8,12,3,2,2,0,2,0,0,1,2,0,2,1,4
"60QP001220",61,8,29,3,4,0,1,3,0,0,0,0,2,3,0,8
"60QP001221",31,4,8,2,1,1,2,2,1,0,2,3,2,1,0,2
"60QP001222",51,16,7,5,4,2,6,2,0,0,2,2,1,0,0,4
"60QP001223",68,43,8,2,3,1,0,2,1,0,1,1,0,1,2,3
"60QP001224",58,7,32,1,4,2,0,5,1,0,1,0,1,1,0,3
"60QP001225",37,7,17,1,1,0,2,1,0,0,0,2,0,0,0,6
"60QP001226",62,6,29,1,7,0,0,12,0,0,2,0,1,2,0,2
"60QP001227",65,7,31,1,4,0,1,9,1,0,4,0,0,2,0,5
"60QP001228",60,4,29,1,4,2,1,9,2,0,3,1,0,0,0,4
"60QP001229",28,4,12,0,0,4,1,4,0,0,0,1,0,0,0,2
"60QP001230",35,0,21,0,0,4,0,8,0,0,1,0,0,0,0,1
"60QP001231",66,7,32,2,1,2,1,5,1,1,5,2,0,0,0,7
"60QP001232",90,14,45,2,10,2,0,7,1,0,0,2,1,1,0,5
"60QP001233",64,7,23,3,9,2,1,6,2,0,1,1,0,0,0,9
"60QP001234",48,4,7,0,1,0,0,3,3,0,1,2,2,11,1,13
"60QP001235",71,5,23,1,3,2,1,10,1,0,1,1,0,6,0,17
"60QP001236",36,4,5,0,1,2,0,0,0,0,1,1,1,16,0,5
"60QP001237",36,1,9,0,1,2,1,2,0,0,1,2,0,12,0,5
"60QP001238",77,4,25,2,2,3,1,6,1,0,1,1,1,11,0,19
"60QP001239",67,2,14,1,3,1,0,5,0,0,0,1,1,25,0,14
"60QP001240",64,7,34,1,4,3,0,6,0,0,1,0,1,2,0,5
"60QP001241",64,4,15,0,2,3,0,9,0,0,4,2,0,14,0,11
"60QP001242",56,1,6,4,0,2,3,2,0,0,0,3,2,18,0,15
"60QP001243",43,5,7,1,4,3,0,1,0,0,1,0,1,11,0,9
"60QP001244",37,3,9,4,1,1,0,1,1,0,5,0,0,5,0,7
"60QP001245",62,2,18,0,2,2,2,3,0,0,1,0,2,13,1,16
"60QP001246",77,2,32,2,1,0,1,8,0,0,2,5,2,6,0,16
"60QP001247",63,2,21,2,2,1,2,4,1,0,0,0,1,11,1,15
"60QP001248",49,4,17,1,7,2,0,2,0,0,0,0,0,2,0,14
"60QP001249",60,6,16,3,3,1,1,8,0,0,2,0,0,7,0,13
"60QP001250",61,1,15,1,5,2,1,5,1,0,0,0,0,12,0,18
"60QP001251",53,9,16,2,1,0,0,0,1,0,2,1,0,11,1,9
"60QP001252",62,7,18,3,1,0,0,3,1,0,2,1,2,16,0,8
"60QP001253",49,1,8,0,1,2,0,3,0,0,2,1,2,13,0,16
"60QP001254",45,1,12,2,2,3,1,12,1,0,0,1,0,3,0,7
"60QP001255",44,10,17,1,0,1,0,5,0,0,0,1,0,3,0,6
"60QP001256",51,3,19,3,4,0,3,7,0,0,4,1,0,2,0,5
"60QP001257",53,2,20,0,3,0,0,5,1,0,0,2,2,5,0,13
"60QP001258",78,4,31,1,3,2,1,10,0,0,4,0,1,9,1,11
"60QP001259",62,10,22,1,5,0,0,10,0,0,1,0,0,10,0,3
"60QP001260",53,33,5,6,1,0,0,2,0,0,1,1,0,2,0,2
"60QP001261",61,7,23,2,4,2,0,11,0,0,1,0,1,4,0,6
"60QP001262",35,5,5,1,7,2,2,0,0,0,7,0,0,0,0,6
"60QP001263",56,7,23,3,3,2,0,2,2,0,7,4,0,1,0,2
"60QP001264",52,7,15,0,2,3,2,3,2,0,5,5,0,3,0,5
"60QP001265",61,6,24,0,4,1,2,9,2,0,2,2,1,2,0,6
"60QP001266",52,10,20,2,3,1,1,2,1,1,3,0,1,3,0,4
"60QP001267",43,4,12,0,9,2,2,1,1,0,5,1,4,0,0,2
"60QP001268",38,9,12,1,7,1,2,0,1,0,0,0,0,3,0,2
"60QP001269",47,2,25,0,3,5,1,0,1,0,3,2,1,0,1,3
"60QP001270",52,17,18,4,1,0,0,1,0,0,1,4,0,3,0,3
"60QP001271",57,18,14,3,3,0,0,2,0,0,6,6,0,1,0,4
"60QP001272",65,15,36,2,4,1,0,2,0,0,1,1,0,0,0,3
"60QP001273",58,28,3,6,1,0,0,1,0,0,0,0,1,17,0,1
"60QP001274",49,5,22,1,1,2,1,4,0,0,2,1,0,3,0,7
"60QP001275",48,0,21,1,3,0,0,10,1,0,1,1,2,3,0,5
"60QP001276",46,5,20,1,1,0,0,6,0,0,0,0,0,8,1,4
"60QP001277",56,4,20,0,3,2,1,3,1,1,2,0,1,6,0,12
"60QP001278",68,6,42,1,1,0,2,8,0,0,2,1,0,2,0,3
"60QP001279",57,1,14,0,2,1,0,0,0,0,1,0,1,29,0,8
"60QP001280",63,6,8,2,1,8,2,4,1,0,0,2,0,17,1,11
"60QP001281",64,9,13,2,5,2,1,6,0,0,0,1,0,22,0,3
"60QP001282",75,4,15,0,2,16,1,2,3,0,1,3,1,12,0,15
"60QP001283",37,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0
"60QP001284",61,2,16,0,2,9,3,1,0,0,0,1,1,16,0,10
"60QP001285",73,6,20,2,5,6,0,1,3,0,1,0,0,11,0,18
"60QP001286",68,3,15,0,4,6,0,5,1,0,4,1,1,15,0,13
"60QP001287",49,6,5,0,3,5,2,1,1,0,0,0,0,18,0,8
"60QP001288",33,4,4,0,2,2,0,1,0,0,0,0,0,13,0,7
"60QP001289",75,7,23,0,3,5,1,0,0,0,3,4,0,14,0,15
"60QP001290",71,7,12,4,9,5,2,3,0,0,0,0,1,13,0,15
"60QP001291",50,2,8,2,2,4,1,2,0,0,0,1,0,15,0,13
"60QP001292",49,2,10,2,4,3,1,2,1,0,1,1,1,7,0,14
"60QP001293",40,4,5,0,2,5,2,2,1,0,1,0,0,11,0,7
"60QP001294",39,2,0,0,1,5,3,1,0,0,1,1,0,17,0,8
"60QP001295",57,6,5,3,3,9,1,6,1,0,0,1,1,12,0,9
"60QP001296",64,4,7,1,1,1,1,1,0,0,0,1,1,33,0,13
"60QP001297",67,9,12,1,3,5,2,4,0,0,2,1,1,16,0,11
"60QP001298",58,5,12,3,6,5,0,4,0,0,0,0,1,11,1,10
"60QP001299",71,3,9,2,4,6,3,6,0,0,1,1,1,16,1,18
"60QP001300",68,11,9,3,6,7,0,6,1,0,0,2,1,12,0,10
"60QP001301",80,7,9,0,10,11,1,3,0,0,7,2,1,12,0,17
"60QP001302",58,4,9,1,5,7,0,0,0,0,2,0,0,19,0,11
"60QP001303",78,7,6,3,2,7,0,0,0,1,0,1,1,25,0,25
"60QP001304",62,11,12,2,4,3,2,0,0,0,4,1,0,15,0,8
"60QP001305",42,1,6,1,3,9,1,0,0,1,2,0,1,7,0,10
"60QP001306",69,5,13,0,0,6,2,4,1,0,1,5,0,21,1,10
"60QP001307",54,14,6,4,11,5,3,2,1,0,0,0,1,1,0,6
"60QP001308",58,8,6,9,6,20,3,2,1,0,0,0,0,0,0,3
"60QP001309",53,43,1,4,1,1,0,1,0,0,0,0,0,0,1,1
"60QP001310",56,11,12,7,2,12,1,2,0,0,2,0,0,3,0,4
"60QP001311",59,2,10,0,2,6,0,2,3,0,1,0,0,21,0,12
"60QP001312",50,0,10,1,2,3,0,4,2,0,0,0,0,20,1,7
"60QP001313",38,2,11,0,3,1,0,5,0,0,1,1,0,9,1,4
"60QP001314",38,4,1,1,3,2,0,2,0,0,1,2,1,13,0,8
"60QP001315",50,2,16,0,1,2,0,3,0,0,2,0,0,13,0,11
"60QP001316",43,1,6,1,4,3,0,2,0,0,0,4,0,14,0,8
"60QP001317",38,0,9,0,4,3,2,2,0,0,0,0,0,13,0,5
"60QP001318",71,8,25,0,7,4,1,3,0,1,2,0,0,11,0,9
"60QP001319",37,2,10,1,4,2,0,4,0,0,3,2,0,6,0,3
"60QP001320",52,3,20,0,8,1,0,6,0,0,1,1,0,6,0,6
"60QP001321",53,25,5,2,1,1,0,1,1,0,0,0,1,9,0,7
"60QP001322",45,3,7,0,3,1,1,3,1,1,0,0,0,17,0,8
"60QP001323",43,4,8,0,4,8,1,4,1,0,1,1,0,4,1,6
"60QP001324",46,9,6,1,5,3,0,3,2,0,2,1,2,6,1,5
"60QP001325",40,2,2,1,11,12,3,1,1,0,0,0,1,2,0,4
"60QP001326",80,9,28,2,3,2,0,7,0,0,4,1,1,10,0,13
"60QP001327",56,1,21,0,6,2,0,4,0,0,1,0,0,9,0,12
"60QP001328",54,6,13,1,1,7,1,7,2,0,0,0,1,6,0,9
"60QP001329",40,1,16,2,1,0,1,3,0,0,3,0,0,10,1,2
"60QP001330",48,2,9,2,2,4,0,2,0,0,4,1,0,11,0,11
"60QP001331",75,7,17,2,5,4,0,8,0,0,4,1,2,7,0,18
"60QP001332",57,4,10,5,5,4,1,2,0,0,2,1,0,6,1,16
"60QP001333",39,5,8,3,1,3,2,2,0,0,1,0,0,7,0,7
"60QP001334",66,2,19,2,1,2,0,5,0,0,2,0,0,23,0,10
"60QP001335",71,14,26,1,3,2,2,1,2,1,5,2,0,10,0,2
"60QP001336",62,1,13,1,3,0,0,1,0,0,0,0,1,37,0,5
"60QP001337",48,3,30,0,1,0,0,2,0,0,0,0,0,8,0,4
"60QP001338",71,3,14,0,2,2,1,9,2,0,1,0,0,29,0,8
"60QP001339",45,3,6,0,1,3,1,5,0,0,1,0,0,11,0,14
"60QP001340",31,1,6,0,2,0,0,3,1,0,0,0,0,8,0,10
"60QP001341",79,5,35,0,5,1,0,12,3,0,1,1,0,3,0,13
"60QP001342",68,10,17,2,8,2,2,5,2,0,0,1,0,9,1,9
"60QP001343",55,5,16,3,9,9,2,6,0,0,4,0,0,1,0,0
"60QP001344",52,5,15,1,6,1,0,9,1,0,1,0,0,7,0,6
"60QP001345",56,1,21,0,3,4,0,3,0,0,4,0,1,13,0,6
"60QP001346",37,3,14,0,2,2,0,3,0,0,0,0,1,3,0,9
"60QP001347",48,5,21,0,2,2,0,4,0,0,2,0,0,3,1,8
"60QP001348",53,4,20,1,4,2,0,9,0,0,1,1,0,0,0,11
"60QP001349",64,4,24,5,3,0,0,10,0,0,1,0,1,9,0,7
"60QP001350",56,8,20,1,6,2,0,6,1,0,0,0,0,3,0,9
"60QP001351",53,6,5,11,14,5,1,4,1,0,0,0,0,3,0,3
"60QP001352",45,0,4,2,5,22,0,2,3,0,2,1,1,0,0,3
"60QP001353",36,3,4,3,8,5,1,3,0,0,2,0,2,1,0,4
"60QP001354",41,13,3,1,5,5,1,3,0,0,0,0,2,6,0,2
"60QP001355",23,3,6,0,3,6,0,1,0,0,2,0,1,0,0,1
"60QP001356",63,5,18,1,6,8,0,4,3,0,1,4,1,1,1,10
"60QP001357",75,14,12,3,9,19,4,0,2,0,3,0,1,1,0,7
"60QP001358",45,10,6,8,9,3,1,3,0,0,1,0,1,0,1,2
"60QP001359",51,33,3,6,4,3,0,0,1,0,0,0,0,0,0,1
"60QP001360",32,11,2,5,6,3,0,1,0,0,1,2,1,0,0,0
"60QP001361",26,2,6,1,4,9,1,1,0,0,0,1,0,0,0,1
"60QP001362",24,3,4,7,6,1,0,1,1,0,1,0,0,0,0,0
"60QP001363",48,9,6,4,14,4,1,4,0,0,0,0,1,0,1,4
"60QP001364",35,6,2,8,3,13,1,1,0,0,1,0,0,0,0,0
"60QP001365",58,4,8,0,2,8,2,0,1,0,0,1,2,17,0,13
"60QP001366",63,7,9,0,5,6,2,1,1,0,1,0,1,17,0,13
"60QP001367",74,70,0,3,1,0,0,0,0,0,0,0,0,0,0,0
"60QP001368",51,7,5,4,15,13,2,0,0,0,0,1,3,1,0,0
"60QP001369",68,9,4,11,8,21,5,1,1,0,0,2,2,0,1,3
"60QP001370",74,28,6,11,9,3,4,6,1,0,1,0,1,0,2,2
"60QP001371",50,18,3,9,1,8,4,1,0,0,0,0,4,0,0,2
"60QP001372",49,8,1,4,9,13,8,0,1,0,3,0,0,0,1,1
"60QP001373",60,39,4,9,2,1,0,2,0,0,0,2,1,0,0,0
"60QP001374",49,8,3,3,7,19,2,0,2,0,1,1,2,1,0,0
"60QP001375",50,5,5,6,10,12,5,0,1,0,3,1,0,0,0,2
"60QP001376",47,9,4,2,5,13,7,0,1,0,1,1,1,1,0,2
"60QP001377",70,10,5,14,19,12,2,0,2,0,0,2,0,0,1,3
"60QP001378",67,34,2,12,4,6,3,2,0,0,0,2,0,0,2,0
"60QP001379",40,7,3,4,7,11,0,0,0,0,2,0,1,0,0,5
"60QP001380",59,12,5,9,14,10,5,0,0,0,1,0,0,0,1,2
"60QP001381",51,4,9,5,8,13,2,1,2,1,1,0,1,0,1,3
"60QP001382",54,18,1,5,2,12,4,1,2,1,1,2,2,0,0,3
"60QP001383",41,4,17,2,4,4,1,2,0,0,0,0,1,2,0,4
"60QP001384",70,8,14,3,8,8,0,5,1,0,2,3,0,6,0,12
"60QP001385",59,6,10,2,9,17,2,3,1,1,3,0,0,0,0,5
"60QP001386",71,9,10,8,3,12,3,0,1,2,1,1,4,11,0,6
"60QP001387",46,2,18,0,4,4,1,4,0,0,1,1,0,5,0,6
"60QP001388",48,6,5,3,8,13,6,0,4,0,0,0,0,2,0,1
"60QP001389",55,7,11,6,7,10,7,1,0,0,3,1,1,0,0,1
"60QP001390",48,3,4,3,11,15,6,0,0,0,1,1,1,0,2,1
"60QP001391",58,14,8,1,7,11,4,3,1,0,3,3,1,2,0,0
"60QP001392",69,2,16,1,7,12,7,4,0,0,3,2,2,4,0,9
"60QP001393",42,9,6,1,5,4,5,1,1,0,3,0,0,0,1,6
"60QP001394",49,9,8,3,6,14,2,2,1,0,0,0,1,0,0,3
"60QP001395",61,9,9,3,9,15,5,1,0,0,3,0,1,1,0,5
"60QP001396",53,6,1,5,5,25,2,0,2,0,2,0,3,0,0,2
"60QP001397",46,8,2,2,11,15,3,1,0,0,2,0,1,0,0,1
"60QP001398",46,2,3,14,10,8,5,1,0,0,0,1,1,0,0,1
"60QP001399",53,7,4,8,15,10,3,3,0,0,1,2,0,0,0,0
"60QP001400",37,9,1,2,11,7,0,2,1,0,2,0,0,0,0,2
"60QP001401",53,5,13,1,11,7,1,4,0,0,2,3,0,2,0,4
"60QP001402",64,17,6,10,8,10,3,0,1,0,3,1,0,1,1,3
"60QP001403",61,19,4,9,10,7,0,1,0,0,2,5,1,2,1,0
"60QP001404",52,6,6,1,4,23,1,3,0,0,2,1,0,0,0,5
"60QP001405",71,20,20,1,7,8,0,5,0,0,1,3,0,2,2,2
"60QP001406",47,4,13,1,3,6,1,8,3,0,1,1,1,1,0,4
"60QP001407",68,15,5,8,8,16,3,1,0,0,4,0,3,1,1,3
"60QP001408",74,19,11,10,5,12,4,2,2,0,1,3,0,1,1,3
"60QP001409",51,10,4,7,4,14,1,4,3,0,0,0,1,1,0,2
"60QP001410",38,14,2,2,3,1,0,1,0,0,3,2,0,1,1,8
"60QP001411",43,7,6,9,4,3,3,0,3,0,3,2,1,1,0,1
"60QP001412",56,21,7,5,2,2,1,1,1,0,3,2,4,2,0,5
"60QP001413",39,13,7,6,1,0,2,0,3,0,3,3,0,1,0,0
"60QP001414",45,18,4,9,1,1,1,0,3,0,1,6,0,0,0,1
"60QP001415",45,8,5,10,4,9,2,1,2,0,1,1,0,1,0,1
"60QP001416",55,5,2,8,5,12,3,2,1,0,1,1,1,11,0,3
"60QP001417",65,11,3,6,10,15,5,4,2,0,2,0,2,2,1,2
"60QP001418",40,9,1,5,9,8,3,1,0,0,1,1,0,0,0,2
"60QP001419",80,5,14,1,15,8,2,8,0,0,1,1,1,12,0,12
"60QP001420",53,4,9,3,10,20,3,2,0,0,0,1,1,0,0,0
"60QP001421",53,5,3,6,8,19,4,0,2,0,1,1,1,0,1,2
"60QP001422",43,3,4,3,7,18,3,1,0,0,1,0,2,0,0,1
"60QP001423",57,4,11,0,7,8,1,3,1,0,1,3,1,6,0,11
"60QP001424",66,16,17,3,4,4,3,6,1,0,2,0,0,1,1,8
"60QP001425",67,6,37,3,4,2,0,4,1,0,2,0,1,0,1,6
"60QP001426",50,2,12,2,5,1,1,8,0,0,0,1,1,3,0,14
"60QP001427",53,6,23,2,4,1,0,1,0,0,2,0,1,5,1,7
"60QP001428",39,2,3,1,3,0,1,4,1,0,0,0,2,7,0,15
"60QP001429",46,5,19,0,2,3,1,7,1,0,2,1,0,1,0,4
"60QP001430",48,3,20,0,2,4,0,9,1,0,0,0,0,1,1,7
"60QP001431",46,3,25,1,3,1,0,9,0,0,2,0,0,0,0,2
"60QP001432",40,4,21,1,3,1,0,6,0,0,0,1,0,1,0,2
"60QP001433",75,6,34,0,6,2,0,17,0,0,4,0,0,1,0,5
"60QP001434",65,12,31,0,2,3,1,6,2,1,2,1,0,0,0,4
"60QP001435",67,6,10,3,5,5,0,4,1,0,2,0,2,10,0,19
"60QP001436",57,4,15,4,1,4,0,8,2,0,4,0,0,4,0,11
"60QP001437",47,26,10,3,1,2,0,1,0,0,1,1,0,1,0,1
"60QP001438",78,10,16,8,9,12,1,1,0,0,1,1,1,5,2,11
"60QP001439",61,14,8,5,3,8,0,1,1,0,1,0,1,4,1,14
"60QP001440",55,13,9,3,5,5,1,0,1,0,2,1,0,7,1,7
"60QP001441",37,13,7,2,2,2,1,3,0,0,1,0,1,2,0,3
"60QP001442",75,34,11,3,11,5,2,0,0,0,0,2,0,0,1,6
"60QP001443",51,13,11,2,8,7,0,2,0,0,1,1,1,0,1,4
"60QP001444",29,12,2,4,5,1,2,0,0,0,0,1,0,0,0,2
"60QP001445",46,13,1,11,5,8,2,1,1,0,0,2,0,0,1,1
"60QP001446",43,15,4,3,10,5,1,0,0,0,2,0,0,1,0,2
"60QP001447",41,5,18,0,3,6,0,2,0,0,1,0,0,3,0,3
"60QP001448",39,1,2,0,4,2,0,1,1,0,0,1,2,7,0,18
"60QP001449",77,8,27,1,3,6,0,9,0,0,1,1,1,4,0,16
"60QP001450",22,1,0,1,5,8,1,2,1,0,2,0,0,0,1,0
"60QP001451",39,6,13,2,5,5,3,1,0,0,2,0,0,0,0,2
"60QP001452",74,4,16,4,9,5,0,2,2,0,3,1,2,7,0,19
"60QP001453",63,10,12,3,3,12,1,1,1,0,4,0,1,6,1,8
"60QP001454",72,5,14,3,8,6,0,5,0,0,6,0,1,8,0,16
"60QP001455",69,3,6,4,6,7,1,2,0,0,1,1,1,11,1,25
"60QP001456",51,5,15,2,3,1,0,2,0,0,2,1,0,10,0,10
"60QP001457",53,5,19,2,3,3,1,7,0,0,2,0,0,7,0,4
"60QP001458",43,2,5,0,1,3,1,7,0,0,1,2,0,9,0,12
"60QP001459",31,3,4,0,3,0,0,2,0,0,0,0,0,10,0,9
"60QP001460",67,5,24,0,6,2,0,3,0,0,2,1,1,11,0,12
"60QP001461",55,1,15,0,7,1,0,8,1,0,1,0,1,8,0,12
"60QP001462",67,2,27,0,2,3,0,4,2,0,0,1,1,10,0,15
"60QP001463",49,5,13,3,5,3,0,7,1,0,0,1,0,2,0,9
"60QP001464",27,0,5,1,2,0,3,2,0,0,0,2,0,3,0,9
"60QP001465",65,2,6,1,2,2,0,1,0,0,1,2,0,33,0,15
"60QP001466",61,7,18,1,6,9,1,4,1,0,1,1,1,1,0,10
"60QP001467",53,30,3,14,1,1,0,1,0,0,0,1,0,0,2,0
"60QP001468",33,3,8,1,1,0,0,1,0,0,1,0,0,10,0,8
"60QP001469",63,5,14,1,4,9,5,2,5,0,3,0,1,8,0,6
"60QP001470",67,2,25,0,7,10,0,4,1,0,1,0,0,10,0,7
"60QP001471",42,4,5,0,1,5,2,1,0,0,0,1,3,8,0,12
"60QP001472",51,1,23,1,3,1,1,4,1,1,7,0,0,2,0,6
"60QP001473",54,4,19,2,5,3,1,7,0,0,1,0,0,4,0,8
"60QP001474",34,2,6,3,5,3,1,4,0,0,0,0,2,2,0,6
"60QP001475",38,4,13,1,1,2,0,7,0,0,1,0,0,2,0,7
"60QP001476",40,1,17,0,4,3,2,3,0,0,0,1,1,2,0,6
"60QP001477",72,6,16,0,5,14,2,5,2,0,1,2,4,2,0,13
"60QP001478",65,5,19,2,7,8,0,5,2,0,3,0,0,4,0,10
"60QP001479",61,8,19,2,5,7,0,3,2,1,1,2,1,6,1,3
"60QP001480",78,1,23,1,3,4,1,10,0,0,1,1,1,14,0,18
"60QP001481",62,4,22,0,1,3,1,5,2,1,5,1,0,8,0,9
"60QP001482",61,10,11,4,8,11,3,6,0,1,0,2,0,1,0,4
"60QP001483",58,3,23,0,4,3,1,5,2,0,0,1,2,7,0,7
"60QP001484",56,3,16,7,8,16,1,1,2,0,1,1,0,0,0,0
"60QP001485",70,6,17,1,5,8,0,10,1,0,2,1,2,6,0,11
"60QP001486",63,9,5,3,10,19,1,3,2,0,3,0,1,3,1,3
"60QP001487",54,10,2,4,11,13,6,1,1,0,1,0,2,0,1,2
"60QP001488",57,11,1,4,5,21,7,1,1,0,2,1,1,0,2,0
"60QP001489",26,6,0,2,2,11,2,0,0,0,1,1,0,0,1,0
"60QP001490",31,1,6,3,5,11,0,1,2,0,2,0,0,0,0,0
"60QP001491",54,9,2,3,11,20,0,1,0,0,3,3,2,0,0,0
"60QP001492",53,7,4,5,15,13,3,2,1,0,0,1,0,0,0,2
"60QP001493",53,11,3,3,13,14,5,0,1,0,1,0,1,0,1,0
"60QP001494",50,7,2,15,9,8,3,3,0,0,0,1,0,0,1,1
"60QP001495",45,2,0,11,14,14,2,0,0,0,0,1,0,0,0,1
"60QP001496",40,23,2,1,4,3,0,1,1,0,1,1,0,0,2,1
"60QP001497",64,8,4,8,12,21,3,1,1,0,2,2,0,0,2,0
"60QP001498",42,3,9,0,7,13,2,3,1,0,3,0,0,0,0,1
"60QP001499",76,11,14,3,8,24,2,3,1,0,2,3,1,0,1,3
"60QP001500",60,5,3,6,6,23,8,0,2,0,2,0,2,0,1,2
"60QP001501",53,10,3,5,10,18,2,0,2,0,0,1,1,0,0,1
"60QP001502",47,3,0,8,9,17,2,0,2,1,1,1,0,0,1,2
"60QP001503",44,6,5,3,8,12,3,0,1,0,1,2,0,0,0,3
"60QP001504",42,8,4,1,9,12,5,0,0,0,0,2,0,0,0,1
"60QP001505",49,5,4,4,5,15,4,0,4,0,1,2,2,0,2,1
"60QP001506",44,2,3,5,9,18,3,1,2,0,0,0,1,0,0,0
"60QP001507",55,6,1,7,5,23,6,0,1,0,2,2,1,1,0,0
"60QP001508",45,3,4,4,5,18,2,3,1,0,0,1,0,0,0,4
"60QP001509",35,5,5,1,7,8,0,1,1,0,3,2,1,0,0,1
"60QP001510",51,8,18,2,8,5,0,2,0,0,2,3,0,1,0,2
"60QP001511",61,5,21,1,4,9,2,6,0,1,3,2,1,3,1,2
"60QP001512",73,18,26,3,3,4,2,4,0,0,5,0,0,5,0,3
"60QP001513",60,6,18,5,3,6,1,5,0,0,3,1,1,3,0,8
"60QP001514",55,10,7,4,6,22,0,1,0,0,3,1,1,0,0,0
"60QP001515",40,5,3,1,7,16,1,2,2,0,1,1,0,0,1,0
"60QP001516",60,0,41,2,3,0,0,10,0,0,1,0,1,0,0,2
"60QP001517",63,15,28,4,1,1,1,9,0,0,1,0,0,0,0,3
"60QP001518",53,4,26,2,1,0,1,6,1,0,0,0,0,2,0,10
"60QP001519",46,3,17,3,3,5,2,5,2,0,1,1,0,0,1,3
"60QP001520",53,7,31,0,3,3,0,3,0,0,3,3,0,0,0,0
"60QP001521",55,6,29,2,3,0,0,6,1,0,1,1,1,1,0,4
"60QP001522",51,7,22,1,0,2,0,5,0,2,3,0,1,4,0,4
"60QP001523",45,16,14,6,1,2,0,4,0,0,0,1,0,0,0,1
"60QP001524",38,2,4,2,9,15,1,2,0,0,0,0,2,0,0,1
"60QP001525",26,1,0,4,3,12,2,0,1,0,0,0,2,0,0,1
"60QP001526",50,5,4,5,6,21,3,2,1,0,3,0,0,0,0,0
"60QP001527",55,7,22,1,3,6,0,4,1,0,1,0,1,2,0,7
"60QP001528",40,3,14,0,7,4,1,3,2,0,0,0,0,1,0,5
