"output_area","ALL PEOPLE","No qualifications or qualifications outwith these groups","Group 1","Group 2","Group 3","Group 4"
"60QA000336",88,33,30,9,2,14
"60QA000337",89,13,20,20,12,24
"60QA000338",106,17,24,20,9,36
"60QA000339",101,3,16,15,5,62
"60QA000340",83,11,14,17,7,34
"60QA000341",81,11,19,11,11,29
"60QA000342",75,10,15,10,7,33
"60QA000343",82,19,8,14,11,30
"60QA000344",114,15,14,19,9,57
"60QA000345",82,15,17,16,5,29
"60QA000346",74,18,15,7,4,30
"60QA000347",78,18,18,13,5,24
"60QA000348",52,15,7,7,6,17
"60QA000349",71,19,23,3,5,21
"60QA000350",76,17,11,11,5,32
"60QA000351",91,14,12,17,3,45
"60QA000352",76,20,12,11,8,25
"60QA000353",81,21,17,9,6,28
"60QA000354",72,11,15,5,9,32
"60QA000355",72,12,13,11,5,31
"60QA000356",117,12,30,12,11,52
"60QA000357",132,15,24,27,15,51
"60QA000358",113,14,15,20,14,50
"60QA000359",115,12,26,19,12,46
"60QA000360",72,16,17,9,11,19
"60QA000361",55,10,7,4,7,27
"60QA000362",75,10,13,14,10,28
"60QA000363",119,24,19,16,11,49
"60QA000364",117,28,29,13,13,34
"60QA000365",91,21,20,18,1,31
"60QA000366",40,8,8,5,2,17
"60QA000367",53,7,10,11,6,19
"60QA000368",39,17,7,6,1,8
"60QA000369",68,7,16,7,6,32
"60QA000370",113,8,16,21,9,59
"60QA000371",78,7,17,11,12,31
"60QA000372",76,4,15,14,7,36
"60QA000373",72,11,20,8,7,26
"60QA000374",81,3,14,20,7,37
"60QA000375",58,7,8,10,5,28
"60QA000376",112,23,21,15,6,47
"60QA000377",93,15,20,21,8,29
"60QA000378",66,9,13,8,5,31
"60QA000379",114,17,14,16,11,56
"60QA000380",52,15,16,13,3,5
"60QA000381",81,34,23,11,3,10
"60QA000382",70,32,22,8,4,4
"60QA000383",108,54,28,13,4,9
"60QA000384",83,40,20,12,7,4
"60QA000385",98,38,23,20,8,9
"60QA000386",104,14,19,17,10,44
"60QA000387",73,12,8,9,12,32
"60QA000388",90,8,16,15,15,36
"60QA000389",79,12,14,17,8,28
"60QA000390",74,36,26,4,0,8
"60QA000391",129,16,16,31,19,47
"60QA000392",75,37,19,6,3,10
"60QA000393",96,28,27,17,11,13
"60QA000394",53,21,20,6,4,2
"60QA000395",125,28,8,20,12,57
"60QA000396",99,23,26,12,10,28
"60QA000397",109,28,30,20,2,29
"60QA000398",65,12,15,11,5,22
"60QA000399",80,9,9,14,11,37
"60QA000400",141,19,23,29,16,54
"60QA000401",124,17,13,23,13,58
"60QA000402",86,11,17,13,8,37
"60QA000403",101,12,20,13,6,50
"60QA000404",97,13,8,27,4,45
"60QA000405",125,7,18,26,18,56
"60QA000406",74,17,16,7,11,23
"60QA000407",145,18,23,34,3,67
"60QA000408",135,20,27,23,11,54
"60QA000409",134,30,23,24,9,48
"60QA000410",79,7,23,6,5,38
"60QA000411",62,25,19,7,7,4
"60QA000412",68,31,21,5,6,5
"60QA000413",51,20,23,1,1,6
"60QA000414",57,22,21,3,1,10
"60QA000415",46,25,13,3,1,4
"60QA000416",98,44,20,12,9,13
"60QA000417",49,21,10,7,4,7
"60QA000418",75,19,23,10,6,17
"60QA000419",100,19,20,16,8,37
"60QA000420",19,12,6,0,0,1
"60QA000421",69,8,14,6,6,35
"60QA000422",60,25,18,9,2,6
"60QA000423",66,25,20,13,5,3
"60QA000424",72,8,12,6,4,42
"60QA000425",82,9,3,16,7,47
"60QA000426",85,9,12,14,5,45
"60QA000427",117,8,12,23,4,70
"60QA000428",85,29,24,6,3,23
"60QA000429",96,12,28,14,4,38
"60QA000430",82,9,11,14,11,37
"60QA000431",90,4,13,20,12,41
"60QA000432",74,4,20,13,8,29
"60QA000433",163,23,23,27,12,78
"60QA000434",142,17,15,28,12,70
"60QA000435",47,9,14,8,4,12
"60QA000436",78,29,17,17,3,12
"60QA000437",113,18,15,19,8,53
"60QA000438",95,7,16,17,7,48
"60QA000439",103,19,22,12,4,46
"60QA000440",74,13,8,9,13,31
"60QA000441",93,10,13,17,10,43
"60QA000442",107,4,18,15,10,60
"60QA000443",78,14,15,12,5,32
"60QA000444",124,13,16,20,6,69
"60QA000445",97,4,14,8,4,67
"60QA000446",152,84,8,13,8,39
"60QA000447",79,3,13,10,5,48
"60QA000448",99,14,10,11,5,59
"60QA000449",75,9,13,5,7,41
"60QA000450",49,10,7,3,3,26
"60QA000451",45,4,3,3,1,34
"60QA000452",36,5,7,5,1,18
"60QA000453",53,7,6,6,2,32
"60QA000454",100,6,15,15,5,59
"60QA000455",91,9,14,12,7,49
"60QA000456",104,13,14,20,8,49
"60QA000457",113,9,17,18,3,66
"60QA000458",81,5,17,8,7,44
"60QA000459",44,6,3,6,2,27
"60QA000460",58,30,16,11,0,1
"60QA000461",100,24,28,11,5,32
"60QA000462",63,4,18,7,7,27
"60QA000463",71,19,20,12,7,13
"60QA000464",79,43,20,6,4,6
"60QA000465",58,22,15,8,4,9
"60QA000466",50,13,20,4,4,9
"60QA000467",35,15,10,4,4,2
"60QA000468",84,13,25,15,11,20
"60QA000469",60,28,14,6,2,10
"60QA000470",59,30,12,7,1,9
"60QA000471",96,44,25,16,5,6
"60QA000472",71,11,9,19,9,23
"60QA000473",55,2,15,12,11,15
"60QA000474",72,6,17,25,9,15
"60QA000475",36,25,8,1,0,2
"60QA000476",91,29,16,25,9,12
"60QA000477",61,10,7,12,12,20
"60QA000478",88,23,10,25,7,23
"60QA000479",128,15,23,33,7,50
"60QA000480",68,6,7,22,6,27
"60QA000481",110,29,22,24,7,28
"60QA000482",62,2,13,13,9,25
"60QA000483",99,34,34,9,10,12
"60QA000484",94,21,26,15,8,24
"60QA000485",58,8,9,21,5,15
"60QA000486",53,8,13,18,5,9
"60QA000487",84,12,13,23,15,21
"60QA000488",89,3,18,39,9,20
"60QA000489",64,11,4,18,9,22
"60QA000490",58,7,8,21,4,18
"60QA000491",71,6,10,15,8,32
"60QA000492",87,10,4,31,8,34
"60QA000493",51,25,14,4,3,5
"60QA000494",59,6,13,16,6,18
"60QA000495",74,54,11,3,0,6
"60QA000496",45,31,10,1,1,2
"60QA000497",95,32,7,37,3,16
"60QA000498",179,14,14,81,13,57
"60QA000499",108,17,25,29,9,28
"60QA000500",110,3,10,52,9,36
"60QA000501",59,38,10,3,4,4
"60QA000502",49,24,10,8,3,4
"60QA000503",63,40,8,6,1,8
"60QA000504",45,29,5,1,3,7
"60QA000505",61,39,14,2,2,4
"60QA000506",163,25,15,60,7,56
"60QA000507",97,44,22,13,11,7
"60QA000508",61,26,18,9,6,2
"60QA000509",77,28,21,15,3,10
"60QA000510",103,41,33,18,4,7
"60QA000511",97,50,28,7,4,8
"60QA000512",28,23,4,0,1,0
"60QA000513",29,24,4,1,0,0
"60QA000514",30,23,4,1,0,2
"60QA000515",69,29,20,6,1,13
"60QA000516",67,24,20,9,9,5
"60QA000517",87,40,24,9,5,9
"60QA000518",94,37,29,19,2,7
"60QA000519",92,49,16,11,3,13
"60QA000520",102,44,31,14,4,9
"60QA000521",54,32,11,6,1,4
"60QA000522",157,6,5,101,7,38
"60QA000523",314,23,15,222,10,44
"60QA000524",50,16,8,13,2,11
"60QA000525",107,50,33,13,3,8
"60QA000526",97,21,20,15,7,34
"60QA000527",66,16,14,12,5,19
"60QA000528",92,33,27,11,6,15
"60QA000529",93,8,20,20,11,34
"60QA000530",75,29,24,15,5,2
"60QA000531",77,33,19,12,8,5
"60QA000532",56,20,16,5,4,11
"60QA000533",59,39,8,5,2,5
"60QA000534",50,22,18,7,2,1
"60QA000535",92,46,24,5,7,10
"60QA000536",91,39,29,10,7,6
"60QA000537",108,32,48,11,9,8
"60QA000538",93,35,34,8,2,14
"60QA000539",50,27,13,5,1,4
"60QA000540",97,45,28,18,2,4
"60QA000541",65,27,20,8,0,10
"60QA000542",95,52,21,11,6,5
"60QA000543",53,19,17,10,2,5
"60QA000544",66,28,20,7,2,9
"60QA000545",67,30,22,11,1,3
"60QA000546",61,29,18,9,4,1
"60QA000547",63,26,25,4,2,6
"60QA000548",110,8,36,22,14,30
"60QA000549",70,26,21,8,4,11
"60QA000550",47,22,18,4,1,2
"60QA000551",30,26,3,1,0,0
"60QA000552",72,32,28,5,3,4
"60QA000553",106,40,30,13,9,14
"60QA000554",101,29,31,19,9,13
"60QA000555",72,37,13,7,7,8
"60QA000556",71,26,20,13,5,7
"60QA000557",65,39,12,6,2,6
"60QA000558",52,5,8,14,7,18
"60QA000559",57,8,9,10,8,22
"60QA000560",46,11,10,11,3,11
"60QA000561",110,37,20,19,14,20
"60QA000562",66,21,19,7,7,12
"60QA000563",114,23,29,31,11,20
"60QA000564",55,5,16,16,5,13
"60QA000565",101,36,22,13,6,24
"60QA000566",77,16,17,12,11,21
"60QA000567",66,19,20,7,5,15
"60QA000568",70,27,23,7,3,10
"60QA000569",61,23,10,7,7,14
"60QA000570",70,20,14,17,5,14
"60QA000571",120,32,30,15,10,33
"60QA000572",122,29,39,24,5,25
"60QA000573",79,24,30,14,6,5
"60QA000574",103,37,34,14,5,13
"60QA000575",71,32,14,11,5,9
"60QA000576",97,43,15,12,6,21
"60QA000577",107,24,13,37,5,28
"60QA000578",65,16,17,13,3,16
"60QA000579",70,17,11,23,1,18
"60QA000580",66,10,18,18,5,15
"60QA000581",62,21,10,14,6,11
"60QA000582",98,14,19,24,12,29
"60QA000583",60,16,17,5,6,16
"60QA000584",51,19,13,6,2,11
"60QA000585",58,15,22,7,4,10
"60QA000586",53,12,17,6,2,16
"60QA000587",48,7,12,6,8,15
"60QA000588",77,23,21,12,9,12
"60QA000589",60,23,21,7,4,5
"60QA000590",51,30,9,8,0,4
"60QA000591",58,17,21,7,2,11
"60QA000592",89,31,29,11,8,10
"60QA000593",92,35,33,12,5,7
"60QA000594",82,28,22,9,6,17
"60QA000595",90,32,20,16,7,15
"60QA000596",77,30,32,7,1,7
"60QA000597",61,21,16,9,5,10
"60QA000598",111,53,39,11,3,5
"60QA000599",155,59,59,24,7,6
"60QA000600",73,24,21,15,1,12
"60QA000601",45,18,16,5,1,5
"60QA000602",41,12,15,7,3,4
"60QA000603",49,15,17,5,3,9
"60QA000604",45,10,17,8,6,4
"60QA000605",36,8,15,5,1,7
"60QA000606",68,21,25,8,3,11
"60QA000607",64,25,19,6,5,9
"60QA000608",59,30,16,6,1,6
"60QA000609",59,32,12,6,2,7
"60QA000610",48,21,17,4,6,0
"60QA000611",157,67,48,18,11,13
"60QA000612",115,39,41,20,5,10
"60QA000613",80,20,24,11,6,19
"60QA000614",104,40,38,12,4,10
"60QA000615",58,24,22,8,0,4
"60QA000616",72,43,16,8,1,4
"60QA000617",59,25,20,11,0,3
"60QA000618",60,22,15,14,5,4
"60QA000619",107,35,46,9,6,11
"60QA000620",85,39,22,14,5,5
"60QA000621",76,31,25,9,5,6
"60QA000622",64,21,25,10,7,1
"60QA000623",75,29,30,10,1,5
"60QA000624",73,24,11,14,7,17
"60QA000625",52,24,15,7,3,3
"60QA000626",31,16,6,2,1,6
"60QA000627",75,37,21,8,4,5
"60QA000628",97,38,42,6,3,8
"60QA000629",166,32,27,54,10,43
"60QA000630",173,20,12,96,9,36
"60QA000631",55,5,10,12,5,23
"60QA000632",88,11,16,29,10,22
"60QA000633",80,24,13,16,7,20
"60QA000634",130,39,37,17,9,28
"60QA000635",58,15,22,8,3,10
"60QA000636",180,34,22,64,17,43
"60QA000637",146,24,22,40,8,52
"60QA000638",112,17,22,37,12,24
"60QA000639",129,17,18,58,7,29
"60QA000640",84,8,15,29,8,24
"60QA000641",108,19,13,31,7,38
"60QA000642",58,7,10,14,7,20
"60QA000643",54,9,9,17,6,13
"60QA000644",99,29,13,27,5,25
"60QA000645",99,29,25,18,7,20
"60QA000646",103,33,21,20,6,23
"60QA000647",108,52,28,13,5,10
"60QA000648",86,2,10,35,5,34
"60QA000649",91,13,9,35,5,29
"60QA000650",80,33,15,10,1,21
"60QA000651",106,10,11,35,9,41
"60QA000652",436,27,11,294,14,90
"60QA000653",115,11,12,36,7,49
"60QA000654",66,6,8,35,4,13
"60QA000655",79,4,3,43,5,24
"60QA000656",119,8,11,47,7,46
"60QA000657",63,7,14,13,9,20
"60QA000658",121,21,17,24,12,47
"60QA000659",166,18,11,32,13,92
"60QA000660",141,10,16,59,8,48
"60QA000661",103,21,12,32,14,24
"60QA000662",72,14,14,17,3,24
"60QA000663",111,11,18,34,13,35
"60QA000664",62,24,15,10,5,8
"60QA000665",97,10,8,26,19,34
"60QA000666",53,20,5,16,1,11
"60QA000667",99,9,20,24,13,33
"60QA000668",84,30,19,12,8,15
"60QA000669",100,12,18,22,12,36
"60QA000670",68,9,15,20,7,17
"60QA000671",98,35,42,6,6,9
"60QA000672",95,63,11,5,3,13
"60QA000673",72,11,22,14,12,13
"60QA000674",56,13,15,7,7,14
"60QA000675",59,7,11,10,5,26
"60QA000676",51,2,8,15,6,20
"60QA000677",82,11,10,27,8,26
"60QA000678",98,18,24,25,11,20
"60QA000679",119,7,17,61,6,28
"60QA000680",44,4,6,16,3,15
"60QA000681",67,6,13,19,5,24
"60QA000682",54,8,9,11,7,19
"60QA000683",106,14,16,41,13,22
"60QA000684",51,8,7,15,4,17
"60QA000685",56,12,10,16,4,14
"60QA000686",74,16,26,13,11,8
"60QA000687",63,17,16,10,2,18
"60QA000688",128,24,29,25,13,37
"60QA000689",102,43,25,16,5,13
"60QA000690",53,10,6,14,7,16
"60QA000691",62,11,9,22,8,12
"60QA000692",265,13,20,165,13,54
"60QA000693",97,14,16,26,13,28
"60QA000694",79,7,8,37,6,21
"60QA000695",101,10,19,31,8,33
"60QA000696",82,16,14,19,5,28
"60QA000697",47,7,13,3,3,21
"60QA000698",104,9,18,18,7,52
"60QA000699",81,5,10,14,7,45
"60QA000700",82,10,7,15,6,44
"60QA000701",79,8,11,12,6,42
"60QA000702",88,45,23,7,6,7
"60QA000703",45,22,15,5,1,2
"60QA000704",90,6,12,19,7,46
"60QA000705",100,48,17,13,7,15
"60QA000706",100,45,26,10,5,14
"60QA000707",83,9,21,11,7,35
"60QA000708",98,13,12,20,6,47
"60QA000709",118,13,15,16,9,65
"60QA000710",71,12,8,14,4,33
"60QA000711",29,7,4,2,3,13
"60QA000712",58,6,5,8,2,37
"60QA000713",118,12,18,21,5,62
"60QA000714",142,7,13,25,16,81
"60QA000715",129,2,20,21,9,77
"60QA000716",119,8,10,13,11,77
"60QA000717",78,9,10,13,6,40
"60QA000718",64,5,4,15,8,32
"60QA000719",70,7,15,7,11,30
"60QA000720",96,8,11,20,15,42
"60QA000721",83,6,9,14,5,49
"60QA000722",75,8,12,8,7,40
"60QA000723",136,14,19,26,9,68
"60QA000724",71,4,13,19,10,25
"60QA000725",98,9,16,16,4,53
"60QA000726",103,11,10,19,4,59
"60QA000727",71,5,10,11,5,40
"60QA000728",64,13,9,9,2,31
"60QA000729",63,2,7,13,5,36
"60QA000730",75,6,10,12,9,38
"60QA000731",86,12,3,22,5,44
