"output_area","ALL PEOPLE","No qualifications or qualifications outwith these groups","Group 1","Group 2","Group 3","Group 4"
"60QA000001",47,12,11,3,5,16
"60QA000002",128,29,27,20,8,44
"60QA000003",56,13,13,3,5,22
"60QA000004",51,7,8,11,3,22
"60QA000005",54,3,6,5,4,36
"60QA000006",162,75,23,22,4,38
"60QA000007",53,9,6,7,4,27
"60QA000008",76,6,14,18,6,32
"60QA000009",122,34,35,13,5,35
"60QA000010",54,6,13,10,0,25
"60QA000011",46,11,13,11,3,8
"60QA000012",65,11,13,12,6,23
"60QA000013",165,43,50,25,11,36
"60QA000014",82,7,7,10,7,51
"60QA000015",57,7,6,9,6,29
"60QA000016",114,13,15,19,22,45
"60QA000017",109,57,27,6,7,12
"60QA000018",96,40,30,13,4,9
"60QA000019",56,10,6,11,5,24
"60QA000020",64,5,7,5,7,40
"60QA000021",55,8,5,13,6,23
"60QA000022",52,6,6,14,6,20
"60QA000023",81,10,11,10,10,40
"60QA000024",85,14,13,17,11,30
"60QA000025",50,29,10,4,6,1
"60QA000026",45,15,8,6,5,11
"60QA000027",67,9,11,16,9,22
"60QA000028",119,6,13,47,10,43
"60QA000029",56,1,12,27,4,12
"60QA000030",62,23,18,12,2,7
"60QA000031",66,5,10,23,7,21
"60QA000032",86,10,20,21,11,24
"60QA000033",111,9,9,22,23,48
"60QA000034",170,8,1,129,14,18
"60QA000035",162,10,17,50,23,62
"60QA000036",107,11,22,33,7,34
"60QA000037",60,2,5,24,11,18
"60QA000038",79,39,19,10,1,10
"60QA000039",131,11,11,18,15,76
"60QA000040",104,23,22,13,8,38
"60QA000041",63,7,10,11,11,24
"60QA000042",50,1,6,9,12,22
"60QA000043",89,19,30,16,6,18
"60QA000044",105,9,9,23,12,52
"60QA000045",62,5,8,5,3,41
"60QA000046",87,6,9,19,3,50
"60QA000047",105,10,21,17,2,55
"60QA000048",90,14,22,17,8,29
"60QA000049",94,10,11,17,8,48
"60QA000050",109,10,29,21,10,39
"60QA000051",61,21,16,11,7,6
"60QA000052",88,7,15,19,12,35
"60QA000053",70,7,13,3,12,35
"60QA000054",101,12,16,15,16,42
"60QA000055",121,13,27,19,8,54
"60QA000056",98,11,11,20,14,42
"60QA000057",66,8,12,13,12,21
"60QA000058",80,5,13,21,10,31
"60QA000059",74,21,14,7,10,22
"60QA000060",76,15,15,12,13,21
"60QA000061",77,8,10,19,16,24
"60QA000062",60,7,15,9,9,20
"60QA000063",65,5,12,18,12,18
"60QA000064",93,8,19,18,10,38
"60QA000065",96,3,15,26,13,39
"60QA000066",78,13,9,21,12,23
"60QA000067",68,8,8,9,6,37
"60QA000068",65,6,16,19,8,16
"60QA000069",104,33,20,9,12,30
"60QA000070",48,13,10,7,6,12
"60QA000071",64,10,6,17,3,28
"60QA000072",59,10,6,10,5,28
"60QA000073",73,17,15,14,8,19
"60QA000074",89,13,20,21,7,28
"60QA000075",59,1,6,12,9,31
"60QA000076",151,28,30,31,24,38
"60QA000077",56,24,17,10,2,3
"60QA000078",118,40,35,14,9,20
"60QA000079",46,15,15,9,3,4
"60QA000080",85,28,32,15,5,5
"60QA000081",55,23,17,5,6,4
"60QA000082",178,72,56,26,10,14
"60QA000083",82,32,21,5,5,19
"60QA000084",76,36,20,7,5,8
"60QA000085",93,40,37,7,2,7
"60QA000086",88,26,26,16,8,12
"60QA000087",113,23,37,23,13,17
"60QA000088",128,48,37,18,7,18
"60QA000089",73,10,25,15,7,16
"60QA000090",70,11,20,17,4,18
"60QA000091",77,8,26,14,9,20
"60QA000092",58,8,15,14,9,12
"60QA000093",88,39,18,13,7,11
"60QA000094",66,15,25,10,8,8
"60QA000095",58,10,13,12,5,18
"60QA000096",100,22,22,21,14,21
"60QA000097",78,14,25,11,7,21
"60QA000098",71,18,20,11,8,14
"60QA000099",87,19,29,13,10,16
"60QA000100",55,16,17,8,3,11
"60QA000101",54,16,20,7,3,8
"60QA000102",65,20,25,5,5,10
"60QA000103",68,17,14,17,7,13
"60QA000104",64,18,11,14,4,17
"60QA000105",50,16,16,7,2,9
"60QA000106",67,16,12,11,7,21
"60QA000107",70,13,24,10,8,15
"60QA000108",98,21,28,19,6,24
"60QA000109",59,6,16,16,8,13
"60QA000110",102,58,27,12,2,3
"60QA000111",69,12,20,19,8,10
"60QA000112",43,32,7,2,0,2
"60QA000113",39,22,11,4,1,1
"60QA000114",57,19,28,2,4,4
"60QA000115",54,29,14,6,0,5
"60QA000116",65,40,15,1,1,8
"60QA000117",84,42,25,6,4,7
"60QA000118",82,37,28,9,2,6
"60QA000119",76,36,23,7,4,6
"60QA000120",74,33,22,9,4,6
"60QA000121",100,58,30,5,2,5
"60QA000122",75,35,22,10,5,3
"60QA000123",83,29,30,13,3,8
"60QA000124",92,35,41,6,5,5
"60QA000125",91,43,29,8,4,7
"60QA000126",89,38,30,9,5,7
"60QA000127",98,51,29,12,4,2
"60QA000128",72,36,21,11,1,3
"60QA000129",80,31,26,8,6,9
"60QA000130",67,31,22,9,3,2
"60QA000131",107,40,43,9,6,9
"60QA000132",70,32,23,8,1,6
"60QA000133",84,39,23,9,7,6
"60QA000134",52,22,18,7,2,3
"60QA000135",45,16,15,4,3,7
"60QA000136",70,13,25,7,6,19
"60QA000137",68,12,19,12,7,18
"60QA000138",89,18,28,12,8,23
"60QA000139",88,22,23,15,12,16
"60QA000140",63,20,25,1,6,11
"60QA000141",63,26,22,5,1,9
"60QA000142",48,23,11,5,1,8
"60QA000143",67,27,22,11,3,4
"60QA000144",101,55,29,13,2,2
"60QA000145",107,55,35,6,3,8
"60QA000146",39,25,7,2,0,5
"60QA000147",71,29,23,13,5,1
"60QA000148",114,60,34,4,11,5
"60QA000149",63,32,24,3,1,3
"60QA000150",78,31,31,11,2,3
"60QA000151",130,31,42,24,11,22
"60QA000152",55,12,17,8,4,14
"60QA000153",76,22,25,8,4,17
"60QA000154",73,26,17,14,5,11
"60QA000155",57,35,19,2,1,0
"60QA000156",122,75,29,8,4,6
"60QA000157",82,51,23,4,1,3
"60QA000158",127,71,33,15,3,5
"60QA000159",89,49,29,7,4,0
"60QA000160",75,37,19,7,3,9
"60QA000161",77,51,16,3,3,4
"60QA000162",87,13,18,16,10,30
"60QA000163",72,31,23,10,3,5
"60QA000164",77,26,18,15,8,10
"60QA000165",75,10,22,11,8,24
"60QA000166",100,36,34,17,3,10
"60QA000167",114,36,43,16,11,8
"60QA000168",101,23,25,17,5,31
"60QA000169",85,17,21,19,5,23
"60QA000170",96,20,25,16,1,34
"60QA000171",21,15,3,0,0,3
"60QA000172",71,27,31,6,3,4
"60QA000173",87,28,24,21,5,9
"60QA000174",89,32,21,17,6,13
"60QA000175",115,35,44,14,5,17
"60QA000176",84,40,18,8,6,12
"60QA000177",86,32,22,16,4,12
"60QA000178",51,21,17,7,2,4
"60QA000179",52,24,19,4,2,3
"60QA000180",83,28,36,6,6,7
"60QA000181",70,22,30,6,6,6
"60QA000182",78,28,27,15,3,5
"60QA000183",85,29,36,9,4,7
"60QA000184",78,29,34,9,2,4
"60QA000185",90,40,39,3,3,5
"60QA000186",59,26,19,8,3,3
"60QA000187",94,46,25,15,1,7
"60QA000188",55,27,12,6,4,6
"60QA000189",72,40,18,9,1,4
"60QA000190",88,36,36,15,1,0
"60QA000191",109,47,32,16,4,10
"60QA000192",101,40,42,9,4,6
"60QA000193",63,28,21,4,3,7
"60QA000194",82,46,17,10,2,7
"60QA000195",73,35,21,10,0,7
"60QA000196",80,42,24,4,3,7
"60QA000197",87,34,37,6,3,7
"60QA000198",67,32,20,5,4,6
"60QA000199",89,49,33,4,3,0
"60QA000200",112,52,37,10,4,9
"60QA000201",91,47,31,6,2,5
"60QA000202",24,15,5,0,4,0
"60QA000203",102,43,33,11,5,10
"60QA000204",57,25,22,3,5,2
"60QA000205",62,31,17,10,1,3
"60QA000206",48,23,20,1,3,1
"60QA000207",43,20,15,4,1,3
"60QA000208",122,43,49,15,6,9
"60QA000209",98,36,41,9,6,6
"60QA000210",75,32,26,4,5,8
"60QA000211",95,41,32,9,5,8
"60QA000212",121,55,38,15,6,7
"60QA000213",135,64,49,13,3,6
"60QA000214",117,43,42,21,4,7
"60QA000215",79,22,32,9,8,8
"60QA000216",94,35,33,17,5,4
"60QA000217",85,30,31,15,3,6
"60QA000218",86,7,13,12,8,46
"60QA000219",105,15,18,16,10,46
"60QA000220",69,12,18,7,6,26
"60QA000221",102,11,25,18,5,43
"60QA000222",131,13,21,31,10,56
"60QA000223",275,21,16,138,30,70
"60QA000224",97,11,13,15,8,50
"60QA000225",90,5,11,11,9,54
"60QA000226",98,13,15,21,1,48
"60QA000227",92,12,7,12,3,58
"60QA000228",61,6,6,13,4,32
"60QA000229",72,11,17,9,8,27
"60QA000230",55,4,10,7,3,31
"60QA000231",77,12,18,16,3,28
"60QA000232",132,15,26,26,15,50
"60QA000233",136,17,20,20,9,70
"60QA000234",92,9,7,13,6,57
"60QA000235",80,9,21,10,5,35
"60QA000236",88,18,13,11,8,38
"60QA000237",72,6,13,16,7,30
"60QA000238",72,5,8,14,8,37
"60QA000239",58,2,5,16,5,30
"60QA000240",64,5,10,10,15,24
"60QA000241",55,5,11,12,7,20
"60QA000242",109,8,12,40,15,34
"60QA000243",58,3,5,12,4,34
"60QA000244",69,6,15,14,10,24
"60QA000245",64,4,6,25,10,19
"60QA000246",99,13,20,17,14,35
"60QA000247",64,2,9,16,15,22
"60QA000248",97,13,24,25,7,28
"60QA000249",62,10,13,19,5,15
"60QA000250",70,7,12,14,6,31
"60QA000251",57,13,10,11,11,12
"60QA000252",67,6,13,11,6,31
"60QA000253",82,19,18,9,5,31
"60QA000254",126,16,32,26,13,39
"60QA000255",105,5,19,21,26,34
"60QA000256",106,17,22,13,9,45
"60QA000257",71,6,10,16,9,30
"60QA000258",75,6,14,13,2,40
"60QA000259",80,16,8,15,7,34
"60QA000260",65,2,7,20,8,28
"60QA000261",160,16,19,32,12,81
"60QA000262",82,8,10,13,6,45
"60QA000263",81,4,11,16,9,41
"60QA000264",76,7,9,11,11,38
"60QA000265",108,7,14,13,9,65
"60QA000266",87,9,14,5,13,46
"60QA000267",79,11,7,15,7,39
"60QA000268",130,11,27,26,14,52
"60QA000269",125,12,23,18,10,62
"60QA000270",98,12,17,14,5,50
"60QA000271",89,12,21,12,8,36
"60QA000272",61,12,11,10,2,26
"60QA000273",55,8,7,8,6,26
"60QA000274",120,24,25,24,9,38
"60QA000275",112,24,32,21,7,28
"60QA000276",124,12,11,21,19,61
"60QA000277",103,20,20,18,6,39
"60QA000278",83,7,8,6,6,56
"60QA000279",97,11,19,23,10,34
"60QA000280",96,14,13,19,5,45
"60QA000281",86,10,14,13,13,36
"60QA000282",83,9,13,16,5,40
"60QA000283",83,6,15,13,8,41
"60QA000284",72,2,10,17,5,38
"60QA000285",48,6,10,6,6,20
"60QA000286",114,7,21,21,10,55
"60QA000287",121,7,24,23,14,53
"60QA000288",69,6,17,9,10,27
"60QA000289",53,5,15,10,8,15
"60QA000290",105,14,10,19,10,52
"60QA000291",79,6,24,17,10,22
"60QA000292",93,12,10,12,6,53
"60QA000293",62,9,5,14,8,26
"60QA000294",101,7,9,24,17,44
"60QA000295",70,4,9,11,13,33
"60QA000296",99,5,15,13,20,46
"60QA000297",71,9,14,8,6,34
"60QA000298",52,9,16,7,1,19
"60QA000299",72,8,12,14,19,19
"60QA000300",120,13,24,26,14,43
"60QA000301",9,6,1,0,0,2
"60QA000302",50,7,16,11,6,10
"60QA000303",137,25,41,20,10,41
"60QA000304",15,10,4,1,0,0
"60QA000305",57,4,19,8,7,19
"60QA000306",58,10,13,11,2,22
"60QA000307",59,9,16,11,5,18
"60QA000308",43,8,11,12,6,6
"60QA000309",137,31,36,18,9,43
"60QA000310",105,14,16,27,8,40
"60QA000311",91,11,20,19,14,27
"60QA000312",52,16,9,8,2,17
"60QA000313",96,41,21,15,4,15
"60QA000314",96,52,28,8,3,5
"60QA000315",98,30,15,29,10,14
"60QA000316",74,32,24,9,3,6
"60QA000317",68,22,26,10,4,6
"60QA000318",110,39,23,16,15,17
"60QA000319",128,27,28,29,18,26
"60QA000320",138,67,41,18,3,9
"60QA000321",122,53,32,20,6,11
"60QA000322",69,41,13,7,2,6
"60QA000323",78,34,19,6,6,13
"60QA000324",46,29,9,3,1,4
"60QA000325",80,33,27,11,5,4
"60QA000326",91,33,30,15,0,13
"60QA000327",86,32,35,8,4,7
"60QA000328",142,58,36,18,11,19
"60QA000329",131,51,33,18,10,19
"60QA000330",39,15,13,7,2,2
"60QA000331",88,38,32,12,2,4
"60QA000332",63,22,14,8,7,12
"60QA000333",45,26,8,5,3,3
"60QA000334",100,49,24,12,2,13
"60QA000335",118,51,34,15,6,12
