"dz_2011","la_name","year","total","rest_uk","rest_eu","outside_europe"
"S01006506","Aberdeen City",2001,1008,165,25,53
"S01006507","Aberdeen City",2001,898,87,19,48
"S01006508","Aberdeen City",2001,663,89,13,37
"S01006509","Aberdeen City",2001,584,44,3,14
"S01006510","Aberdeen City",2001,626,60,7,17
"S01006511","Aberdeen City",2001,924,123,14,38
"S01006512","Aberdeen City",2001,512,108,20,34
"S01006513","Aberdeen City",2001,531,66,8,28
"S01006514","Aberdeen City",2001,918,156,62,116
"S01006515","Aberdeen City",2001,805,158,35,91
"S01006516","Aberdeen City",2001,763,141,80,121
"S01006517","Aberdeen City",2001,1049,207,29,94
"S01006518","Aberdeen City",2001,663,128,23,77
"S01006519","Aberdeen City",2001,874,202,55,103
"S01006520","Aberdeen City",2001,742,140,81,121
"S01006521","Aberdeen City",2001,634,116,26,50
"S01006522","Aberdeen City",2001,560,105,11,41
"S01006523","Aberdeen City",2001,1029,164,32,99
"S01006524","Aberdeen City",2001,1065,206,85,96
"S01006525","Aberdeen City",2001,815,96,8,63
"S01006526","Aberdeen City",2001,942,42,16,15
"S01006527","Aberdeen City",2001,744,32,8,17
"S01006528","Aberdeen City",2001,1009,NA,8,40
"S01006529","Aberdeen City",2001,976,90,14,46
"S01006530","Aberdeen City",2001,951,NA,7,32
"S01006531","Aberdeen City",2001,951,NA,11,13
"S01006532","Aberdeen City",2001,780,71,10,30
"S01006533","Aberdeen City",2001,1016,100,28,80
"S01006534","Aberdeen City",2001,983,132,26,41
"S01006535","Aberdeen City",2001,1112,142,26,39
"S01006536","Aberdeen City",2001,927,113,23,46
"S01006537","Aberdeen City",2001,768,66,17,26
"S01006538","Aberdeen City",2001,581,51,3,31
"S01006539","Aberdeen City",2001,764,77,17,32
"S01006540","Aberdeen City",2001,925,92,10,54
"S01006541","Aberdeen City",2001,777,57,14,37
"S01006542","Aberdeen City",2001,963,117,16,87
"S01006543","Aberdeen City",2001,788,60,2,20
"S01006544","Aberdeen City",2001,1765,273,134,148
"S01006545","Aberdeen City",2001,1068,108,20,70
"S01006546","Aberdeen City",2001,619,39,3,23
"S01006547","Aberdeen City",2001,1262,179,36,83
"S01006548","Aberdeen City",2001,770,65,4,33
"S01006549","Aberdeen City",2001,916,91,14,42
"S01006550","Aberdeen City",2001,1003,108,20,67
"S01006551","Aberdeen City",2001,706,45,6,28
"S01006552","Aberdeen City",2001,1114,86,8,59
"S01006553","Aberdeen City",2001,986,65,11,34
"S01006554","Aberdeen City",2001,788,67,8,26
"S01006555","Aberdeen City",2001,1230,92,30,24
"S01006556","Aberdeen City",2001,873,47,5,17
"S01006557","Aberdeen City",2001,764,44,4,15
"S01006558","Aberdeen City",2001,659,109,20,45
"S01006559","Aberdeen City",2001,646,87,12,56
"S01006560","Aberdeen City",2001,1056,148,15,63
"S01006561","Aberdeen City",2001,798,81,13,33
"S01006562","Aberdeen City",2001,796,NA,3,25
"S01006563","Aberdeen City",2001,945,103,19,95
"S01006564","Aberdeen City",2001,1159,138,19,112
"S01006565","Aberdeen City",2001,1118,156,41,88
"S01006566","Aberdeen City",2001,784,128,20,65
"S01006567","Aberdeen City",2001,916,136,19,46
"S01006568","Aberdeen City",2001,901,167,48,49
"S01006569","Aberdeen City",2001,742,121,21,47
"S01006570","Aberdeen City",2001,762,121,33,52
"S01006571","Aberdeen City",2001,988,181,51,77
"S01006572","Aberdeen City",2001,1015,138,39,82
"S01006573","Aberdeen City",2001,706,145,45,74
"S01006574","Aberdeen City",2001,1291,199,51,143
"S01006575","Aberdeen City",2001,917,132,18,48
"S01006576","Aberdeen City",2001,757,120,34,40
"S01006577","Aberdeen City",2001,1010,190,40,87
"S01006578","Aberdeen City",2001,1021,140,34,65
"S01006579","Aberdeen City",2001,964,145,22,71
"S01006580","Aberdeen City",2001,703,92,22,58
"S01006581","Aberdeen City",2001,924,105,22,44
"S01006582","Aberdeen City",2001,760,125,22,52
"S01006583","Aberdeen City",2001,637,134,15,38
"S01006584","Aberdeen City",2001,603,109,19,56
"S01006585","Aberdeen City",2001,832,93,15,62
"S01006586","Aberdeen City",2001,985,137,20,73
"S01006587","Aberdeen City",2001,565,91,10,88
"S01006588","Aberdeen City",2001,428,78,9,33
"S01006589","Aberdeen City",2001,611,81,12,23
"S01006590","Aberdeen City",2001,974,180,23,71
"S01006591","Aberdeen City",2001,499,55,14,65
"S01006592","Aberdeen City",2001,800,129,43,58
"S01006593","Aberdeen City",2001,866,157,30,63
"S01006594","Aberdeen City",2001,547,75,13,13
"S01006595","Aberdeen City",2001,715,115,28,61
"S01006596","Aberdeen City",2001,745,117,32,64
"S01006597","Aberdeen City",2001,555,60,13,27
"S01006598","Aberdeen City",2001,1055,153,30,46
"S01006599","Aberdeen City",2001,835,83,12,37
"S01006600","Aberdeen City",2001,1285,120,38,80
"S01006601","Aberdeen City",2001,1114,131,20,41
"S01006602","Aberdeen City",2001,1021,152,25,75
"S01006603","Aberdeen City",2001,1053,NA,6,14
"S01006604","Aberdeen City",2001,684,NA,6,8
"S01006605","Aberdeen City",2001,796,NA,9,12
"S01006606","Aberdeen City",2001,838,55,9,20
"S01006607","Aberdeen City",2001,970,44,6,13
"S01006608","Aberdeen City",2001,598,35,6,10
"S01006609","Aberdeen City",2001,1089,43,5,7
"S01006610","Aberdeen City",2001,500,11,1,12
"S01006611","Aberdeen City",2001,969,NA,1,10
"S01006612","Aberdeen City",2001,862,41,22,36
"S01006613","Aberdeen City",2001,641,53,7,24
"S01006614","Aberdeen City",2001,687,70,7,19
"S01006615","Aberdeen City",2001,734,45,8,25
"S01006616","Aberdeen City",2001,838,60,2,17
"S01006617","Aberdeen City",2001,710,49,1,12
"S01006618","Aberdeen City",2001,568,39,5,18
"S01006619","Aberdeen City",2001,1097,94,12,26
"S01006620","Aberdeen City",2001,937,54,3,16
"S01006621","Aberdeen City",2001,577,25,9,3
"S01006622","Aberdeen City",2001,869,65,5,16
"S01006623","Aberdeen City",2001,800,46,8,22
"S01006624","Aberdeen City",2001,1011,90,13,14
"S01006625","Aberdeen City",2001,648,36,6,12
"S01006626","Aberdeen City",2001,684,NA,8,8
"S01006627","Aberdeen City",2001,791,52,24,16
"S01006628","Aberdeen City",2001,1087,112,30,22
"S01006629","Aberdeen City",2001,754,51,5,14
"S01006630","Aberdeen City",2001,677,23,4,4
"S01006631","Aberdeen City",2001,954,70,12,14
"S01006632","Aberdeen City",2001,887,48,11,18
"S01006633","Aberdeen City",2001,700,29,6,13
"S01006634","Aberdeen City",2001,577,31,9,8
"S01006635","Aberdeen City",2001,646,36,5,10
"S01006636","Aberdeen City",2001,1058,72,8,11
"S01006637","Aberdeen City",2001,845,97,28,61
"S01006638","Aberdeen City",2001,771,97,20,43
"S01006639","Aberdeen City",2001,867,90,26,38
"S01006640","Aberdeen City",2001,564,18,6,18
"S01006641","Aberdeen City",2001,1447,103,61,63
"S01006642","Aberdeen City",2001,901,144,21,36
"S01006643","Aberdeen City",2001,711,104,44,55
"S01006644","Aberdeen City",2001,900,NA,9,39
"S01006645","Aberdeen City",2001,721,45,8,20
"S01006646","Aberdeen City",2001,549,102,38,41
"S01006647","Aberdeen City",2001,859,67,14,48
"S01006648","Aberdeen City",2001,1645,169,96,153
"S01006649","Aberdeen City",2001,943,143,12,44
"S01006650","Aberdeen City",2001,790,116,23,44
"S01006651","Aberdeen City",2001,631,92,10,46
"S01006652","Aberdeen City",2001,445,49,10,31
"S01006653","Aberdeen City",2001,502,64,10,27
"S01006654","Aberdeen City",2001,861,59,11,25
"S01006655","Aberdeen City",2001,1297,73,20,50
"S01006656","Aberdeen City",2001,1208,147,45,91
"S01006657","Aberdeen City",2001,528,74,9,21
"S01006658","Aberdeen City",2001,970,140,39,102
"S01006659","Aberdeen City",2001,886,139,30,39
"S01006660","Aberdeen City",2001,495,64,15,52
"S01006661","Aberdeen City",2001,915,129,25,36
"S01006662","Aberdeen City",2001,685,80,22,93
"S01006663","Aberdeen City",2001,511,85,30,44
"S01006664","Aberdeen City",2001,421,70,11,13
"S01006665","Aberdeen City",2001,763,152,54,75
"S01006666","Aberdeen City",2001,757,35,10,32
"S01006667","Aberdeen City",2001,698,52,4,32
"S01006668","Aberdeen City",2001,833,111,35,52
"S01006669","Aberdeen City",2001,1203,186,64,75
"S01006670","Aberdeen City",2001,547,43,9,19
"S01006671","Aberdeen City",2001,1232,283,140,134
"S01006672","Aberdeen City",2001,767,84,25,47
"S01006673","Aberdeen City",2001,1068,175,48,80
"S01006674","Aberdeen City",2001,1006,62,19,56
"S01006675","Aberdeen City",2001,536,42,7,77
"S01006676","Aberdeen City",2001,892,61,20,37
"S01006677","Aberdeen City",2001,697,51,6,15
"S01006678","Aberdeen City",2001,1191,71,26,31
"S01006679","Aberdeen City",2001,619,43,3,11
"S01006680","Aberdeen City",2001,698,53,13,40
"S01006681","Aberdeen City",2001,897,57,8,26
"S01006682","Aberdeen City",2001,716,49,25,37
"S01006683","Aberdeen City",2001,745,75,32,58
"S01006684","Aberdeen City",2001,696,54,11,14
"S01006685","Aberdeen City",2001,672,NA,2,15
"S01006686","Aberdeen City",2001,654,NA,7,19
