"dz_2011","la_name","year","total","rest_uk","rest_eu","outside_europe"
"S01006687","Aberdeen City",2001,996,NA,9,33
"S01006688","Aberdeen City",2001,957,50,12,7
"S01006689","Aberdeen City",2001,1375,87,13,51
"S01006690","Aberdeen City",2001,576,47,7,32
"S01006691","Aberdeen City",2001,554,NA,9,22
"S01006692","Aberdeen City",2001,793,55,13,34
"S01006693","Aberdeen City",2001,888,70,12,23
"S01006694","Aberdeen City",2001,907,31,5,4
"S01006695","Aberdeen City",2001,761,32,6,16
"S01006696","Aberdeen City",2001,811,40,9,24
"S01006697","Aberdeen City",2001,933,43,6,12
"S01006698","Aberdeen City",2001,692,NA,4,12
"S01006699","Aberdeen City",2001,501,NA,2,15
"S01006700","Aberdeen City",2001,886,56,16,29
"S01006701","Aberdeen City",2001,762,32,6,5
"S01006702","Aberdeen City",2001,813,48,5,4
"S01006703","Aberdeen City",2001,706,32,2,12
"S01006704","Aberdeen City",2001,694,NA,3,10
"S01006705","Aberdeen City",2001,784,32,2,3
"S01006706","Aberdeen City",2001,636,32,1,6
"S01006707","Aberdeen City",2001,772,30,2,12
"S01006708","Aberdeen City",2001,817,31,7,14
"S01006709","Aberdeen City",2001,874,61,7,12
"S01006710","Aberdeen City",2001,943,62,4,9
"S01006711","Aberdeen City",2001,1052,49,7,17
"S01006712","Aberdeen City",2001,557,28,0,3
"S01006713","Aberdeen City",2001,1022,38,5,12
"S01006714","Aberdeen City",2001,712,38,3,10
"S01006715","Aberdeen City",2001,624,27,3,10
"S01006716","Aberdeen City",2001,654,23,3,2
"S01006717","Aberdeen City",2001,1080,34,7,16
"S01006718","Aberdeen City",2001,713,NA,2,7
"S01006719","Aberdeen City",2001,873,30,4,1
"S01006720","Aberdeen City",2001,610,19,2,6
"S01006721","Aberdeen City",2001,1005,50,7,13
"S01006722","Aberdeen City",2001,760,39,4,5
"S01006723","Aberdeen City",2001,900,40,4,6
"S01006724","Aberdeen City",2001,924,NA,9,9
"S01006725","Aberdeen City",2001,802,30,5,5
"S01006726","Aberdeen City",2001,1291,96,14,27
"S01006727","Aberdeen City",2001,1200,92,9,21
"S01006728","Aberdeen City",2001,788,36,0,12
"S01006729","Aberdeen City",2001,746,46,4,17
"S01006730","Aberdeen City",2001,926,76,6,8
"S01006731","Aberdeen City",2001,622,17,3,7
"S01006732","Aberdeen City",2001,1375,186,9,96
"S01006733","Aberdeen City",2001,873,122,17,103
"S01006734","Aberdeen City",2001,1014,90,12,85
"S01006735","Aberdeen City",2001,633,76,13,49
"S01006736","Aberdeen City",2001,1007,99,8,65
"S01006737","Aberdeen City",2001,831,99,19,44
"S01006738","Aberdeen City",2001,763,60,9,13
"S01006739","Aberdeen City",2001,622,36,2,5
"S01006740","Aberdeen City",2001,758,32,6,9
"S01006741","Aberdeen City",2001,718,24,3,4
"S01006742","Aberdeen City",2001,507,30,3,5
"S01006743","Aberdeen City",2001,586,25,2,4
"S01006744","Aberdeen City",2001,606,44,6,4
"S01006745","Aberdeen City",2001,795,NA,5,4
"S01006746","Aberdeen City",2001,966,34,4,7
"S01006747","Aberdeen City",2001,1110,54,11,33
"S01006748","Aberdeen City",2001,1020,74,3,17
"S01006749","Aberdeen City",2001,1232,88,10,37
"S01006750","Aberdeen City",2001,691,43,8,12
"S01006751","Aberdeen City",2001,583,36,2,9
"S01006752","Aberdeen City",2001,942,32,2,20
"S01006753","Aberdeen City",2001,946,76,8,33
"S01006754","Aberdeen City",2001,1007,80,10,18
"S01006755","Aberdeen City",2001,876,86,2,30
"S01006756","Aberdeen City",2001,830,90,20,65
"S01006757","Aberdeen City",2001,888,59,8,21
"S01006758","Aberdeen City",2001,710,50,0,16
"S01006759","Aberdeen City",2001,646,61,6,27
"S01006760","Aberdeen City",2001,516,40,4,18
"S01006761","Aberdeen City",2001,762,55,6,16
"S01006762","Aberdeen City",2001,919,79,3,29
"S01006763","Aberdeen City",2001,890,78,5,33
"S01006764","Aberdeen City",2001,867,61,11,12
"S01006765","Aberdeen City",2001,632,40,6,9
"S01006766","Aberdeen City",2001,666,67,5,31
"S01006767","Aberdeen City",2001,750,41,4,13
"S01006768","Aberdeen City",2001,1138,132,17,50
"S01006769","Aberdeen City",2001,953,84,4,13
"S01006770","Aberdeen City",2001,767,55,2,9
"S01006771","Aberdeen City",2001,501,51,3,24
"S01006772","Aberdeen City",2001,937,55,7,20
"S01006773","Aberdeen City",2001,736,54,3,30
"S01006774","Aberdeen City",2001,745,43,2,36
"S01006775","Aberdeen City",2001,881,68,4,31
"S01006776","Aberdeen City",2001,567,32,1,12
"S01006777","Aberdeen City",2001,739,40,3,15
"S01006778","Aberdeen City",2001,721,31,2,10
"S01006779","Aberdeen City",2001,669,27,7,16
"S01006780","Aberdeen City",2001,595,44,5,9
"S01006781","Aberdeen City",2001,733,33,6,24
"S01006782","Aberdeen City",2001,690,40,6,206
"S01006783","Aberdeen City",2001,680,42,4,14
"S01006784","Aberdeen City",2001,618,65,10,14
"S01006785","Aberdeen City",2001,863,60,15,16
"S01006786","Aberdeen City",2001,808,86,6,37
"S01006787","Aberdeen City",2001,738,79,9,21
"S01006788","Aberdeen City",2001,794,65,5,35
"S01006789","Aberdeenshire",2001,995,167,20,61
"S01006790","Aberdeenshire",2001,975,133,21,16
"S01006791","Aberdeenshire",2001,514,119,8,12
"S01006792","Aberdeenshire",2001,485,118,20,17
"S01006793","Aberdeenshire",2001,579,118,9,16
"S01006794","Aberdeenshire",2001,819,130,2,22
"S01006795","Aberdeenshire",2001,1000,280,15,58
"S01006796","Aberdeenshire",2001,349,98,16,9
"S01006797","Aberdeenshire",2001,715,219,26,18
"S01006798","Aberdeenshire",2001,748,166,9,28
"S01006799","Aberdeenshire",2001,1126,189,14,24
"S01006800","Aberdeenshire",2001,1009,264,11,71
"S01006801","Aberdeenshire",2001,1203,181,5,17
"S01006802","Aberdeenshire",2001,679,108,7,13
"S01006803","Aberdeenshire",2001,656,50,8,7
"S01006804","Aberdeenshire",2001,778,51,9,3
"S01006805","Aberdeenshire",2001,1020,114,6,30
"S01006806","Aberdeenshire",2001,964,136,12,16
"S01006807","Aberdeenshire",2001,524,92,2,13
"S01006808","Aberdeenshire",2001,830,178,2,21
"S01006809","Aberdeenshire",2001,979,124,15,9
"S01006810","Aberdeenshire",2001,906,181,17,24
"S01006811","Aberdeenshire",2001,1044,186,13,22
"S01006812","Aberdeenshire",2001,663,96,7,19
"S01006813","Aberdeenshire",2001,669,63,4,11
"S01006814","Aberdeenshire",2001,972,188,14,18
"S01006815","Aberdeenshire",2001,537,33,2,9
"S01006816","Aberdeenshire",2001,674,99,4,13
"S01006817","Aberdeenshire",2001,620,80,7,10
"S01006818","Aberdeenshire",2001,846,166,6,12
"S01006819","Aberdeenshire",2001,819,158,12,10
"S01006820","Aberdeenshire",2001,800,148,12,16
"S01006821","Aberdeenshire",2001,591,99,26,23
"S01006822","Aberdeenshire",2001,917,180,24,22
"S01006823","Aberdeenshire",2001,724,133,14,21
"S01006824","Aberdeenshire",2001,955,94,6,11
"S01006825","Aberdeenshire",2001,897,83,9,14
"S01006826","Aberdeenshire",2001,1277,171,8,22
"S01006827","Aberdeenshire",2001,1003,104,5,28
"S01006828","Aberdeenshire",2001,880,120,11,21
"S01006829","Aberdeenshire",2001,492,96,3,9
"S01006830","Aberdeenshire",2001,736,88,8,14
"S01006831","Aberdeenshire",2001,607,82,6,7
"S01006832","Aberdeenshire",2001,1118,149,17,34
"S01006833","Aberdeenshire",2001,481,86,7,24
"S01006834","Aberdeenshire",2001,371,70,6,5
"S01006835","Aberdeenshire",2001,890,123,6,26
"S01006836","Aberdeenshire",2001,204,20,4,4
"S01006837","Aberdeenshire",2001,511,65,7,9
"S01006838","Aberdeenshire",2001,699,83,10,24
"S01006839","Aberdeenshire",2001,1423,163,17,30
"S01006840","Aberdeenshire",2001,967,149,18,39
"S01006841","Aberdeenshire",2001,991,152,9,26
"S01006842","Aberdeenshire",2001,898,79,10,24
"S01006843","Aberdeenshire",2001,870,91,4,10
"S01006844","Aberdeenshire",2001,722,69,8,15
"S01006845","Aberdeenshire",2001,899,86,4,29
"S01006846","Aberdeenshire",2001,572,63,7,10
"S01006847","Aberdeenshire",2001,956,95,8,20
"S01006848","Aberdeenshire",2001,963,165,48,74
"S01006849","Aberdeenshire",2001,976,102,4,36
"S01006850","Aberdeenshire",2001,1286,136,22,35
"S01006851","Aberdeenshire",2001,989,NA,6,15
"S01006852","Aberdeenshire",2001,729,96,12,32
"S01006853","Aberdeenshire",2001,1131,246,46,85
"S01006854","Aberdeenshire",2001,839,100,12,30
"S01006855","Aberdeenshire",2001,746,159,21,43
"S01006856","Aberdeenshire",2001,614,91,11,15
"S01006857","Aberdeenshire",2001,907,115,10,31
"S01006858","Aberdeenshire",2001,818,173,13,37
"S01006859","Aberdeenshire",2001,1190,336,21,62
"S01006860","Aberdeenshire",2001,551,65,0,15
"S01006861","Aberdeenshire",2001,452,68,12,8
"S01006862","Aberdeenshire",2001,709,132,7,14
"S01006863","Aberdeenshire",2001,618,57,4,8
"S01006864","Aberdeenshire",2001,321,39,6,24
"S01006865","Aberdeenshire",2001,1210,281,21,69
"S01006866","Aberdeenshire",2001,577,157,12,21
"S01006867","Aberdeenshire",2001,784,176,14,61
"S01006868","Aberdeenshire",2001,888,120,9,21
"S01006869","Aberdeenshire",2001,508,134,10,13
"S01006870","Aberdeenshire",2001,398,74,2,3
"S01006871","Aberdeenshire",2001,696,123,8,25
"S01006872","Aberdeenshire",2001,704,164,11,38
"S01006873","Aberdeenshire",2001,986,254,21,43
"S01006874","Aberdeenshire",2001,644,134,6,25
"S01006875","Aberdeenshire",2001,701,111,8,14
"S01006876","Aberdeenshire",2001,1055,204,14,32
"S01006877","Aberdeenshire",2001,1118,249,22,29
"S01006878","Aberdeenshire",2001,731,134,10,28
"S01006879","Aberdeenshire",2001,906,191,20,35
"S01006880","Aberdeenshire",2001,543,108,7,9
"S01006881","Aberdeenshire",2001,780,125,11,19
"S01006882","Aberdeenshire",2001,438,36,5,5
"S01006883","Aberdeenshire",2001,402,36,2,14
"S01006884","Aberdeenshire",2001,839,100,13,16
"S01006885","Aberdeenshire",2001,493,69,2,10
"S01006886","Aberdeenshire",2001,755,173,14,30
"S01006887","Aberdeenshire",2001,668,160,8,8
"S01006888","Aberdeenshire",2001,694,128,5,19
"S01006889","Aberdeenshire",2001,1112,111,17,18
"S01006890","Aberdeenshire",2001,695,104,11,23
"S01006891","Aberdeenshire",2001,1514,196,20,31
"S01006892","Aberdeenshire",2001,646,70,4,5
"S01006893","Aberdeenshire",2001,581,57,7,3
"S01006894","Aberdeenshire",2001,1165,111,7,8
"S01006895","Aberdeenshire",2001,629,45,4,10
"S01006896","Aberdeenshire",2001,939,71,13,7
"S01006897","Aberdeenshire",2001,756,71,7,12
"S01006898","Aberdeenshire",2001,1021,85,11,13
"S01006899","Aberdeenshire",2001,907,103,6,15
"S01006900","Aberdeenshire",2001,666,77,1,17
"S01006901","Aberdeenshire",2001,658,44,3,2
"S01006902","Aberdeenshire",2001,688,43,3,14
"S01006903","Aberdeenshire",2001,1073,52,6,18
"S01006904","Aberdeenshire",2001,773,58,8,13
"S01006905","Aberdeenshire",2001,1031,92,5,20
"S01006906","Aberdeenshire",2001,940,42,4,4
"S01006907","Aberdeenshire",2001,577,38,6,13
"S01006908","Aberdeenshire",2001,939,72,5,13
"S01006909","Aberdeenshire",2001,874,172,6,24
"S01006910","Aberdeenshire",2001,1054,214,17,40
"S01006911","Aberdeenshire",2001,560,84,0,8
"S01006912","Aberdeenshire",2001,609,136,10,32
"S01006913","Aberdeenshire",2001,420,63,0,6
"S01006914","Aberdeenshire",2001,664,181,9,33
"S01006915","Aberdeenshire",2001,797,120,18,24
"S01006916","Aberdeenshire",2001,320,46,1,13
"S01006917","Aberdeenshire",2001,678,90,0,30
"S01006918","Aberdeenshire",2001,472,51,2,11
"S01006919","Aberdeenshire",2001,481,61,1,12
"S01006920","Aberdeenshire",2001,480,55,1,11
"S01006921","Aberdeenshire",2001,664,74,12,16
"S01006922","Aberdeenshire",2001,587,72,9,10
"S01006923","Aberdeenshire",2001,873,115,16,17
"S01006924","Aberdeenshire",2001,525,97,14,19
"S01006925","Aberdeenshire",2001,553,67,3,14
"S01006926","Aberdeenshire",2001,438,41,4,19
"S01006927","Aberdeenshire",2001,384,36,0,30
"S01006928","Aberdeenshire",2001,1223,126,14,32
"S01006929","Aberdeenshire",2001,856,192,20,37
"S01006930","Aberdeenshire",2001,1249,173,10,69
"S01006931","Aberdeenshire",2001,333,44,8,14
"S01006932","Aberdeenshire",2001,400,68,12,104
"S01006933","Aberdeenshire",2001,682,79,4,8
"S01006934","Aberdeenshire",2001,606,73,11,10
"S01006935","Aberdeenshire",2001,798,78,5,21
"S01006936","Aberdeenshire",2001,683,74,7,14
"S01006937","Aberdeenshire",2001,816,80,13,32
"S01006938","Aberdeenshire",2001,592,64,10,34
"S01006939","Aberdeenshire",2001,707,91,3,33
"S01006940","Aberdeenshire",2001,1023,103,12,52
"S01006941","Aberdeenshire",2001,646,59,12,12
"S01006942","Aberdeenshire",2001,1002,108,8,29
"S01006943","Aberdeenshire",2001,343,40,4,10
"S01006944","Aberdeenshire",2001,425,53,8,17
"S01006945","Aberdeenshire",2001,663,82,2,28
"S01006946","Aberdeenshire",2001,885,101,16,14
"S01006947","Aberdeenshire",2001,667,70,3,20
"S01006948","Aberdeenshire",2001,1067,91,9,19
"S01006949","Aberdeenshire",2001,574,108,8,26
"S01006950","Aberdeenshire",2001,288,64,4,8
"S01006951","Aberdeenshire",2001,484,30,3,5
"S01006952","Aberdeenshire",2001,908,111,4,33
"S01006953","Aberdeenshire",2001,1186,160,7,38
"S01006954","Aberdeenshire",2001,812,108,11,33
"S01006955","Aberdeenshire",2001,574,74,4,7
"S01006956","Aberdeenshire",2001,988,131,15,23
"S01006957","Aberdeenshire",2001,1114,133,17,24
"S01006958","Aberdeenshire",2001,973,154,7,32
"S01006959","Aberdeenshire",2001,1187,99,10,12
"S01006960","Aberdeenshire",2001,690,95,0,0
"S01006961","Aberdeenshire",2001,690,95,0,0
"S01006962","Aberdeenshire",2001,927,NA,16,13
"S01006963","Aberdeenshire",2001,777,122,7,22
"S01006964","Aberdeenshire",2001,785,91,8,12
"S01006965","Aberdeenshire",2001,570,62,10,11
"S01006966","Aberdeenshire",2001,680,61,3,12
"S01006967","Aberdeenshire",2001,695,69,6,10
"S01006968","Aberdeenshire",2001,555,33,2,3
"S01006969","Aberdeenshire",2001,1539,124,13,15
"S01006970","Aberdeenshire",2001,836,118,4,13
"S01006971","Aberdeenshire",2001,578,51,2,5
"S01006972","Aberdeenshire",2001,474,74,3,10
"S01006973","Aberdeenshire",2001,667,98,10,21
"S01006974","Aberdeenshire",2001,1015,164,18,31
"S01006975","Aberdeenshire",2001,1159,261,16,29
"S01006976","Aberdeenshire",2001,435,83,6,10
"S01006977","Aberdeenshire",2001,700,125,14,12
"S01006978","Aberdeenshire",2001,1062,205,7,18
"S01006979","Aberdeenshire",2001,780,152,13,20
"S01006980","Aberdeenshire",2001,962,179,15,21
"S01006981","Aberdeenshire",2001,787,101,7,8
"S01006982","Aberdeenshire",2001,776,65,7,21
"S01006983","Aberdeenshire",2001,1443,185,18,31
"S01006984","Aberdeenshire",2001,631,106,10,25
"S01006985","Aberdeenshire",2001,1148,107,2,22
"S01006986","Aberdeenshire",2001,564,64,8,9
"S01006987","Aberdeenshire",2001,662,79,9,19
"S01006988","Aberdeenshire",2001,535,79,20,10
"S01006989","Aberdeenshire",2001,1082,171,15,19
"S01006990","Aberdeenshire",2001,857,167,9,25
"S01006991","Aberdeenshire",2001,493,54,0,4
"S01006992","Aberdeenshire",2001,773,146,7,25
"S01006993","Aberdeenshire",2001,520,127,2,15
"S01006994","Aberdeenshire",2001,561,90,3,14
"S01006995","Aberdeenshire",2001,985,210,10,37
"S01006996","Aberdeenshire",2001,743,54,5,8
"S01006997","Aberdeenshire",2001,804,168,14,18
"S01006998","Aberdeenshire",2001,1124,142,15,33
"S01006999","Aberdeenshire",2001,1219,214,8,12
"S01007000","Aberdeenshire",2001,913,150,10,17
"S01007001","Aberdeenshire",2001,844,87,5,25
"S01007002","Aberdeenshire",2001,538,85,4,6
"S01007003","Aberdeenshire",2001,454,89,9,4
"S01007004","Aberdeenshire",2001,723,176,14,14
"S01007005","Aberdeenshire",2001,1029,176,18,13
"S01007006","Aberdeenshire",2001,871,156,13,15
"S01007007","Aberdeenshire",2001,906,238,12,18
"S01007008","Aberdeenshire",2001,1035,80,8,16
"S01007009","Aberdeenshire",2001,1037,76,10,13
"S01007010","Aberdeenshire",2001,872,61,7,14
"S01007011","Aberdeenshire",2001,863,57,3,22
"S01007012","Aberdeenshire",2001,769,30,2,11
"S01007013","Aberdeenshire",2001,516,64,3,5
"S01007014","Aberdeenshire",2001,858,NA,6,11
"S01007015","Aberdeenshire",2001,648,162,3,11
"S01007016","Aberdeenshire",2001,538,117,8,14
"S01007017","Aberdeenshire",2001,1190,50,5,14
"S01007018","Aberdeenshire",2001,1044,81,3,19
"S01007019","Aberdeenshire",2001,805,31,3,9
"S01007020","Aberdeenshire",2001,845,67,11,6
"S01007021","Aberdeenshire",2001,1256,67,3,19
"S01007022","Aberdeenshire",2001,516,31,1,4
"S01007023","Aberdeenshire",2001,519,118,7,5
"S01007024","Aberdeenshire",2001,987,253,7,13
"S01007025","Aberdeenshire",2001,904,54,6,10
"S01007026","Aberdeenshire",2001,955,98,1,9
"S01007027","Aberdeenshire",2001,1227,121,5,15
"S01007028","Aberdeenshire",2001,843,155,4,11
"S01007029","Aberdeenshire",2001,684,189,9,14
"S01007030","Aberdeenshire",2001,930,118,4,5
"S01007031","Aberdeenshire",2001,611,95,13,16
"S01007032","Aberdeenshire",2001,1181,129,9,24
"S01007033","Aberdeenshire",2001,789,51,0,7
"S01007034","Aberdeenshire",2001,552,45,2,6
"S01007035","Aberdeenshire",2001,1000,58,7,9
"S01007036","Aberdeenshire",2001,1022,87,5,11
"S01007037","Aberdeenshire",2001,1156,NA,9,5
"S01007038","Aberdeenshire",2001,717,62,7,7
"S01007039","Aberdeenshire",2001,723,50,3,4
"S01007040","Aberdeenshire",2001,672,28,4,7
"S01007041","Aberdeenshire",2001,977,62,1,9
"S01007042","Aberdeenshire",2001,993,174,8,10
"S01007043","Aberdeenshire",2001,1157,206,20,29
"S01007044","Aberdeenshire",2001,733,87,3,10
"S01007045","Aberdeenshire",2001,1138,321,6,34
"S01007046","Aberdeenshire",2001,701,125,3,5
