"dz_2011","la_name","year","total","nonretired","employed","unemployed","student","sick_disabled"
"S01006614","Aberdeen City",2001,518,503,448,5,14,7
"S01006615","Aberdeen City",2001,568,515,415,14,27,23
"S01006616","Aberdeen City",2001,595,577,496,8,24,10
"S01006617","Aberdeen City",2001,539,475,383,11,18,30
"S01006618","Aberdeen City",2001,442,415,359,8,19,8
"S01006619","Aberdeen City",2001,825,763,622,17,38,38
"S01006620","Aberdeen City",2001,740,669,541,19,38,24
"S01006621","Aberdeen City",2001,483,453,380,5,24,22
"S01006622","Aberdeen City",2001,673,663,583,17,25,7
"S01006623","Aberdeen City",2001,584,529,371,24,40,52
"S01006624","Aberdeen City",2001,870,784,524,33,36,54
"S01006625","Aberdeen City",2001,498,424,308,7,34,30
"S01006626","Aberdeen City",2001,523,424,283,20,15,45
"S01006627","Aberdeen City",2001,677,651,500,31,34,44
"S01006628","Aberdeen City",2001,974,923,699,54,52,50
"S01006629","Aberdeen City",2001,516,470,314,25,28,49
"S01006630","Aberdeen City",2001,502,422,279,28,14,56
"S01006631","Aberdeen City",2001,663,573,392,22,36,53
"S01006632","Aberdeen City",2001,657,588,351,51,22,52
"S01006633","Aberdeen City",2001,483,435,260,27,30,47
"S01006634","Aberdeen City",2001,413,379,198,37,29,46
"S01006635","Aberdeen City",2001,481,417,287,18,19,32
"S01006636","Aberdeen City",2001,722,651,381,57,24,76
"S01006637","Aberdeen City",2001,631,567,349,15,137,21
"S01006638","Aberdeen City",2001,659,589,366,16,130,40
"S01006639","Aberdeen City",2001,688,611,346,22,149,56
"S01006640","Aberdeen City",2001,426,402,240,18,72,24
"S01006641","Aberdeen City",2001,1044,1022,603,29,200,137
"S01006642","Aberdeen City",2001,816,779,417,27,253,46
"S01006643","Aberdeen City",2001,677,669,319,24,288,22
"S01006644","Aberdeen City",2001,764,703,402,34,147,52
"S01006645","Aberdeen City",2001,583,504,284,22,56,71
"S01006646","Aberdeen City",2001,525,522,222,12,272,3
"S01006647","Aberdeen City",2001,689,624,363,41,87,46
"S01006648","Aberdeen City",2001,1579,1549,553,38,831,86
"S01006649","Aberdeen City",2001,819,789,438,45,159,85
"S01006650","Aberdeen City",2001,714,686,389,28,188,53
"S01006651","Aberdeen City",2001,570,500,251,23,178,18
"S01006652","Aberdeen City",2001,419,400,237,9,117,24
"S01006653","Aberdeen City",2001,447,424,302,4,84,12
"S01006654","Aberdeen City",2001,637,546,334,26,61,65
"S01006655","Aberdeen City",2001,837,686,241,26,67,302
"S01006656","Aberdeen City",2001,1017,970,659,15,177,55
"S01006657","Aberdeen City",2001,470,454,268,14,123,26
"S01006658","Aberdeen City",2001,809,782,340,35,276,62
"S01006659","Aberdeen City",2001,778,733,385,10,307,7
"S01006660","Aberdeen City",2001,399,388,184,20,108,24
"S01006661","Aberdeen City",2001,813,745,399,13,278,22
"S01006662","Aberdeen City",2001,529,509,209,24,157,44
"S01006663","Aberdeen City",2001,457,432,201,5,204,4
"S01006664","Aberdeen City",2001,372,345,175,4,139,13
"S01006665","Aberdeen City",2001,696,656,310,11,272,35
"S01006666","Aberdeen City",2001,519,431,243,17,46,64
"S01006667","Aberdeen City",2001,570,472,262,26,54,61
"S01006668","Aberdeen City",2001,751,710,301,10,347,19
"S01006669","Aberdeen City",2001,1090,913,291,14,482,86
"S01006670","Aberdeen City",2001,402,294,200,5,32,34
"S01006671","Aberdeen City",2001,1148,1105,217,6,846,11
"S01006672","Aberdeen City",2001,599,540,254,26,152,45
"S01006673","Aberdeen City",2001,940,902,322,31,432,45
"S01006674","Aberdeen City",2001,715,610,367,48,55,55
"S01006675","Aberdeen City",2001,383,373,174,45,48,40
"S01006676","Aberdeen City",2001,618,526,285,50,60,65
"S01006677","Aberdeen City",2001,576,514,300,41,60,59
"S01006678","Aberdeen City",2001,913,815,477,55,76,95
"S01006679","Aberdeen City",2001,505,437,339,6,30,26
"S01006680","Aberdeen City",2001,511,468,267,39,59,43
"S01006681","Aberdeen City",2001,603,532,380,19,29,50
"S01006682","Aberdeen City",2001,487,451,207,36,58,52
"S01006683","Aberdeen City",2001,553,529,240,36,126,40
"S01006684","Aberdeen City",2001,565,523,298,41,52,66
"S01006685","Aberdeen City",2001,514,420,256,19,47,53
"S01006686","Aberdeen City",2001,486,376,250,11,33,44
"S01006687","Aberdeen City",2001,734,613,415,16,47,61
"S01006688","Aberdeen City",2001,665,502,349,26,50,39
"S01006689","Aberdeen City",2001,1212,1152,302,11,799,13
"S01006690","Aberdeen City",2001,474,390,254,7,73,27
"S01006691","Aberdeen City",2001,466,414,297,2,79,8
"S01006692","Aberdeen City",2001,633,525,349,9,84,39
"S01006693","Aberdeen City",2001,673,604,429,19,79,29
"S01006694","Aberdeen City",2001,629,453,301,17,23,47
"S01006695","Aberdeen City",2001,599,483,341,11,28,57
"S01006696","Aberdeen City",2001,570,484,325,16,53,37
"S01006697","Aberdeen City",2001,668,543,385,17,35,48
"S01006698","Aberdeen City",2001,488,372,235,15,25,52
"S01006699","Aberdeen City",2001,364,292,231,7,19,13
"S01006700","Aberdeen City",2001,670,550,360,23,67,32
"S01006701","Aberdeen City",2001,541,460,303,23,26,47
"S01006702","Aberdeen City",2001,628,527,370,25,29,49
"S01006703","Aberdeen City",2001,487,419,267,24,32,30
"S01006704","Aberdeen City",2001,467,399,232,15,20,49
"S01006705","Aberdeen City",2001,579,457,333,8,32,40
"S01006706","Aberdeen City",2001,432,362,261,20,9,25
"S01006707","Aberdeen City",2001,546,474,298,22,28,56
"S01006708","Aberdeen City",2001,613,477,NA,16,28,53
"S01006709","Aberdeen City",2001,640,547,410,23,27,40
"S01006710","Aberdeen City",2001,744,645,486,19,47,44
"S01006711","Aberdeen City",2001,779,653,482,26,26,65
"S01006712","Aberdeen City",2001,452,348,256,11,18,32
"S01006713","Aberdeen City",2001,771,628,458,21,26,54
"S01006714","Aberdeen City",2001,526,444,296,16,29,53
"S01006715","Aberdeen City",2001,426,387,221,24,21,44
"S01006716","Aberdeen City",2001,464,421,269,20,24,36
"S01006717","Aberdeen City",2001,798,697,504,33,33,56
"S01006718","Aberdeen City",2001,499,429,296,20,23,43
"S01006719","Aberdeen City",2001,648,577,398,20,32,64
"S01006720","Aberdeen City",2001,461,403,282,21,31,29
"S01006721","Aberdeen City",2001,748,644,440,21,44,54
"S01006722","Aberdeen City",2001,560,494,338,15,31,51
"S01006723","Aberdeen City",2001,655,567,408,18,42,51
"S01006724","Aberdeen City",2001,572,539,291,32,32,59
"S01006725","Aberdeen City",2001,581,520,358,21,28,53
"S01006726","Aberdeen City",2001,784,731,328,75,52,95
"S01006727","Aberdeen City",2001,774,709,377,53,24,122
"S01006728","Aberdeen City",2001,568,467,331,20,22,43
"S01006729","Aberdeen City",2001,530,462,271,29,35,56
"S01006730","Aberdeen City",2001,667,596,431,18,53,44
"S01006731","Aberdeen City",2001,478,437,291,22,21,49
"S01006732","Aberdeen City",2001,1053,983,633,16,224,35
"S01006733","Aberdeen City",2001,586,563,433,7,32,9
"S01006734","Aberdeen City",2001,686,652,502,11,48,22
"S01006735","Aberdeen City",2001,476,389,290,3,34,9
"S01006736","Aberdeen City",2001,728,718,627,15,28,4
"S01006737","Aberdeen City",2001,615,522,396,5,51,23
"S01006738","Aberdeen City",2001,645,597,483,11,47,17
"S01006739","Aberdeen City",2001,513,464,382,19,16,21
"S01006740","Aberdeen City",2001,568,446,329,11,23,43
"S01006741","Aberdeen City",2001,556,421,323,11,19,33
"S01006742","Aberdeen City",2001,365,293,224,10,13,19
"S01006743","Aberdeen City",2001,430,333,269,4,8,31
"S01006744","Aberdeen City",2001,479,415,339,5,26,16
"S01006745","Aberdeen City",2001,588,477,349,17,23,46
"S01006746","Aberdeen City",2001,683,536,403,16,34,41
"S01006747","Aberdeen City",2001,901,697,570,12,48,23
"S01006748","Aberdeen City",2001,817,697,543,7,57,28
"S01006749","Aberdeen City",2001,944,857,665,21,49,57
"S01006750","Aberdeen City",2001,555,482,391,13,27,26
"S01006751","Aberdeen City",2001,416,353,271,14,21,11
"S01006752","Aberdeen City",2001,716,614,469,12,36,44
"S01006753","Aberdeen City",2001,734,599,479,13,38,25
"S01006754","Aberdeen City",2001,826,718,577,18,46,31
"S01006755","Aberdeen City",2001,660,596,487,11,38,18
"S01006756","Aberdeen City",2001,630,525,400,15,30,25
"S01006757","Aberdeen City",2001,624,579,483,7,30,20
"S01006758","Aberdeen City",2001,559,531,447,6,45,7
"S01006759","Aberdeen City",2001,484,438,361,5,21,14
"S01006760","Aberdeen City",2001,412,386,335,4,26,4
"S01006761","Aberdeen City",2001,609,520,430,6,28,20
"S01006762","Aberdeen City",2001,696,571,449,6,45,28
"S01006763","Aberdeen City",2001,641,635,541,12,38,3
"S01006764","Aberdeen City",2001,655,632,526,14,44,11
"S01006765","Aberdeen City",2001,489,474,386,7,42,6
"S01006766","Aberdeen City",2001,498,473,388,11,39,3
"S01006767","Aberdeen City",2001,557,500,398,17,40,10
"S01006768","Aberdeen City",2001,849,813,623,8,95,7
"S01006769","Aberdeen City",2001,707,649,507,15,41,35
"S01006770","Aberdeen City",2001,632,584,475,6,63,13
"S01006771","Aberdeen City",2001,355,349,265,7,39,6
"S01006772","Aberdeen City",2001,767,695,556,23,64,19
"S01006773","Aberdeen City",2001,544,506,402,5,54,12
"S01006774","Aberdeen City",2001,567,557,432,7,85,4
"S01006775","Aberdeen City",2001,659,601,469,15,35,37
"S01006776","Aberdeen City",2001,392,329,246,11,23,20
"S01006777","Aberdeen City",2001,608,567,461,6,53,14
"S01006778","Aberdeen City",2001,565,509,411,12,37,25
"S01006779","Aberdeen City",2001,466,375,276,15,22,32
"S01006780","Aberdeen City",2001,462,396,298,12,36,20
"S01006781","Aberdeen City",2001,558,458,374,7,30,20
"S01006782","Aberdeen City",2001,502,456,302,6,95,12
"S01006783","Aberdeen City",2001,535,417,324,7,21,20
"S01006784","Aberdeen City",2001,514,441,360,3,37,17
"S01006785","Aberdeen City",2001,607,573,481,12,20,22
"S01006786","Aberdeen City",2001,633,586,481,14,43,13
"S01006787","Aberdeen City",2001,597,522,410,10,37,19
"S01006788","Aberdeen City",2001,613,591,492,14,30,18
"S01006789","Aberdeenshire",2001,711,567,447,11,23,23
"S01006790","Aberdeenshire",2001,680,520,421,11,15,32
"S01006791","Aberdeenshire",2001,374,312,230,16,7,16
"S01006792","Aberdeenshire",2001,379,326,268,10,14,12
"S01006793","Aberdeenshire",2001,429,357,303,8,4,10
"S01006794","Aberdeenshire",2001,593,479,356,20,28,24
"S01006795","Aberdeenshire",2001,722,572,419,8,38,11
"S01006796","Aberdeenshire",2001,256,194,146,12,6,8
"S01006797","Aberdeenshire",2001,500,453,364,11,25,17
"S01006798","Aberdeenshire",2001,529,484,384,8,33,14
"S01006799","Aberdeenshire",2001,710,607,455,22,31,41
"S01006800","Aberdeenshire",2001,732,631,458,13,49,9
"S01006801","Aberdeenshire",2001,812,705,568,17,48,14
"S01006802","Aberdeenshire",2001,484,416,268,41,33,20
"S01006803","Aberdeenshire",2001,454,359,286,10,20,12
"S01006804","Aberdeenshire",2001,551,472,356,7,32,26
"S01006805","Aberdeenshire",2001,712,633,485,18,38,23
"S01006806","Aberdeenshire",2001,708,622,480,27,37,24
"S01006807","Aberdeenshire",2001,377,348,252,19,21,14
"S01006808","Aberdeenshire",2001,592,528,391,10,33,16
"S01006809","Aberdeenshire",2001,675,576,399,39,38,31
"S01006810","Aberdeenshire",2001,624,544,379,29,34,36
"S01006811","Aberdeenshire",2001,728,653,486,30,48,24
"S01006812","Aberdeenshire",2001,498,461,352,18,22,18
