"dz_2011","la_name","year","total","nonretired","employed","unemployed","student","sick_disabled"
"S01009122","Falkirk",2001,730,627,452,24,33,48
"S01009123","Falkirk",2001,355,331,246,9,13,20
"S01009124","Falkirk",2001,414,370,254,15,18,30
"S01009125","Falkirk",2001,596,493,323,32,20,65
"S01009126","Falkirk",2001,440,384,209,31,16,56
"S01009127","Falkirk",2001,577,493,273,65,18,60
"S01009128","Falkirk",2001,649,545,298,36,26,103
"S01009129","Falkirk",2001,375,337,197,18,19,46
"S01009130","Falkirk",2001,445,386,180,52,20,55
"S01009131","Falkirk",2001,489,384,247,18,25,55
"S01009132","Falkirk",2001,589,558,465,16,30,11
"S01009133","Falkirk",2001,426,362,222,17,16,58
"S01009134","Falkirk",2001,714,597,420,14,36,50
"S01009135","Falkirk",2001,462,442,370,21,13,14
"S01009136","Falkirk",2001,203,168,128,0,3,29
"S01009137","Falkirk",2001,156,131,84,5,5,31
"S01009138","Falkirk",2001,752,683,546,20,53,28
"S01009139","Falkirk",2001,383,352,261,21,16,27
"S01009140","Falkirk",2001,632,574,395,35,42,46
"S01009141","Falkirk",2001,600,545,393,30,21,57
"S01009142","Falkirk",2001,470,424,289,28,17,53
"S01009143","Falkirk",2001,404,336,174,29,15,63
"S01009144","Falkirk",2001,1050,882,651,42,35,126
"S01009145","Falkirk",2001,953,801,561,26,39,107
"S01009146","Falkirk",2001,743,614,372,37,42,90
"S01009147","Falkirk",2001,592,480,269,31,34,69
"S01009148","Falkirk",2001,527,458,306,22,24,52
"S01009149","Falkirk",2001,511,399,301,11,21,27
"S01009150","Falkirk",2001,838,365,134,33,6,133
"S01009151","Falkirk",2001,512,374,263,8,21,41
"S01009152","Falkirk",2001,586,436,296,34,12,45
"S01009153","Falkirk",2001,376,313,229,11,20,31
"S01009154","Falkirk",2001,973,805,602,6,55,63
"S01009155","Falkirk",2001,421,360,263,4,30,31
"S01009156","Falkirk",2001,429,333,248,13,31,11
"S01009157","Falkirk",2001,666,549,413,17,26,44
"S01009158","Falkirk",2001,388,284,208,18,9,26
"S01009159","Falkirk",2001,567,490,258,51,25,86
"S01009160","Falkirk",2001,566,479,313,28,20,75
"S01009161","Falkirk",2001,485,378,246,24,16,47
"S01009162","Falkirk",2001,677,586,375,33,20,85
"S01009163","Falkirk",2001,349,273,194,8,20,29
"S01009164","Falkirk",2001,601,516,333,24,29,70
"S01009165","Falkirk",2001,497,427,256,38,22,37
"S01009166","Falkirk",2001,603,519,277,27,24,103
"S01009167","Falkirk",2001,398,354,209,13,16,53
"S01009168","Falkirk",2001,633,480,375,12,21,19
"S01009169","Falkirk",2001,516,389,244,14,16,72
"S01009170","Falkirk",2001,508,472,323,28,19,47
"S01009171","Falkirk",2001,552,518,337,45,35,45
"S01009172","Falkirk",2001,542,422,338,8,37,13
"S01009173","Falkirk",2001,767,670,544,14,41,20
"S01009174","Falkirk",2001,189,173,148,1,8,4
"S01009175","Falkirk",2001,693,650,565,11,35,6
"S01009176","Falkirk",2001,772,602,462,8,50,22
"S01009177","Falkirk",2001,668,620,388,46,54,53
"S01009178","Falkirk",2001,687,655,379,63,31,71
"S01009179","Falkirk",2001,603,557,388,27,51,40
"S01009180","Falkirk",2001,767,678,444,39,41,67
"S01009181","Falkirk",2001,780,674,454,32,41,65
"S01009182","Falkirk",2001,710,642,508,10,35,40
"S01009183","Falkirk",2001,926,881,746,8,59,31
"S01009184","Falkirk",2001,608,496,316,34,18,67
"S01009185","Falkirk",2001,658,585,335,48,26,84
"S01009186","Falkirk",2001,622,530,376,19,30,41
"S01009187","Falkirk",2001,425,378,286,7,30,17
"S01009188","Falkirk",2001,625,535,360,30,25,48
"S01009189","Falkirk",2001,583,500,321,31,20,71
"S01009190","Falkirk",2001,655,568,442,9,40,34
"S01009191","Falkirk",2001,328,328,312,0,0,0
"S01009192","Falkirk",2001,847,758,413,9,26,24
"S01009193","Falkirk",2001,170,152,118,4,16,4
"S01009194","Falkirk",2001,919,812,636,20,75,22
"S01009195","Falkirk",2001,1013,875,510,23,10,48
"S01009196","Falkirk",2001,549,462,328,13,30,47
"S01009197","Falkirk",2001,529,457,337,12,36,27
"S01009198","Falkirk",2001,557,478,371,9,38,25
"S01009199","Falkirk",2001,527,444,340,18,18,26
"S01009200","Falkirk",2001,822,728,525,27,43,49
"S01009201","Falkirk",2001,495,450,338,29,26,26
"S01009202","Falkirk",2001,397,362,293,6,14,21
"S01009203","Falkirk",2001,453,399,204,27,21,76
"S01009204","Falkirk",2001,661,607,433,31,27,46
"S01009205","Falkirk",2001,592,559,448,18,47,12
"S01009206","Falkirk",2001,684,635,531,12,42,10
"S01009207","Falkirk",2001,701,600,474,15,45,16
"S01009208","Falkirk",2001,541,437,304,19,35,30
"S01009209","Falkirk",2001,513,403,331,8,26,8
"S01009210","Falkirk",2001,412,353,296,4,17,11
"S01009211","Falkirk",2001,515,442,315,19,23,31
"S01009212","Falkirk",2001,648,551,351,17,25,79
"S01009213","Falkirk",2001,681,593,391,33,35,59
"S01009214","Falkirk",2001,888,788,619,21,58,29
"S01009215","Falkirk",2001,686,559,379,31,31,57
"S01009216","Falkirk",2001,678,593,417,28,44,52
"S01009217","Falkirk",2001,429,378,187,21,17,69
"S01009218","Falkirk",2001,618,469,340,16,33,40
"S01009219","Falkirk",2001,515,414,282,20,28,40
"S01009220","Falkirk",2001,392,312,224,17,16,21
"S01009221","Falkirk",2001,383,300,208,12,17,29
"S01009222","Falkirk",2001,400,338,213,20,17,39
"S01009223","Falkirk",2001,378,308,197,14,24,39
"S01009224","Falkirk",2001,503,435,272,23,27,55
"S01009225","Falkirk",2001,493,382,246,14,18,59
"S01009226","Falkirk",2001,913,718,425,36,23,141
"S01009227","Falkirk",2001,439,337,228,12,14,45
"S01009228","Falkirk",2001,441,335,206,24,15,42
"S01009229","Falkirk",2001,441,348,265,15,16,19
"S01009230","Falkirk",2001,480,434,351,10,22,26
"S01009231","Falkirk",2001,770,633,494,29,29,30
"S01009232","Falkirk",2001,442,384,234,45,17,41
"S01009233","Falkirk",2001,476,341,227,11,20,52
"S01009234","Falkirk",2001,687,598,329,58,26,85
"S01009235","Falkirk",2001,647,533,328,56,28,43
"S01009236","Falkirk",2001,384,277,189,8,27,17
"S01009237","Falkirk",2001,617,498,409,8,28,15
"S01009238","Falkirk",2001,667,529,349,32,31,57
"S01009239","Falkirk",2001,930,827,574,43,39,59
"S01009240","Falkirk",2001,544,451,252,54,23,49
"S01009241","Falkirk",2001,722,593,345,56,33,69
"S01009242","Falkirk",2001,617,498,373,16,31,32
"S01009243","Falkirk",2001,833,766,561,25,63,41
"S01009244","Falkirk",2001,659,577,475,6,30,21
"S01009245","Falkirk",2001,714,606,477,19,34,35
"S01009246","Falkirk",2001,598,504,364,13,21,52
"S01009247","Falkirk",2001,708,600,417,28,29,54
"S01009248","Falkirk",2001,627,521,402,11,33,37
"S01009249","Falkirk",2001,605,512,323,27,26,63
"S01009250","Falkirk",2001,500,418,294,14,23,38
"S01009251","Falkirk",2001,474,418,321,11,31,16
"S01009252","Falkirk",2001,348,332,282,2,15,6
"S01009253","Falkirk",2001,362,277,178,17,5,44
"S01009254","Falkirk",2001,626,541,304,30,24,76
"S01009255","Falkirk",2001,417,355,245,24,10,36
"S01009256","Falkirk",2001,373,298,224,8,16,18
"S01009257","Falkirk",2001,445,370,246,17,15,28
"S01009258","Falkirk",2001,549,464,357,13,24,23
"S01009259","Falkirk",2001,855,648,500,9,50,40
"S01009260","Falkirk",2001,855,762,589,15,22,55
"S01009261","Falkirk",2001,676,533,318,20,20,82
"S01009262","Falkirk",2001,493,388,226,24,17,52
"S01009263","Falkirk",2001,917,791,651,14,35,7
"S01009264","Fife",2001,424,344,262,14,25,13
"S01009265","Fife",2001,541,439,346,24,19,23
"S01009266","Fife",2001,645,498,359,18,24,44
"S01009267","Fife",2001,602,501,359,20,21,59
"S01009268","Fife",2001,753,660,451,41,32,72
"S01009269","Fife",2001,773,672,380,48,57,72
"S01009270","Fife",2001,440,350,212,23,13,51
"S01009271","Fife",2001,863,808,665,20,52,33
"S01009272","Fife",2001,529,475,291,35,25,49
"S01009273","Fife",2001,356,299,231,5,22,13
"S01009274","Fife",2001,547,456,324,18,36,29
"S01009275","Fife",2001,499,441,330,11,12,51
"S01009276","Fife",2001,841,737,576,27,43,29
"S01009277","Fife",2001,449,406,318,9,28,12
"S01009278","Fife",2001,547,481,380,13,26,25
"S01009279","Fife",2001,558,494,357,26,21,40
"S01009280","Fife",2001,660,532,283,41,23,99
"S01009281","Fife",2001,612,521,307,35,18,83
"S01009282","Fife",2001,579,500,359,20,29,32
"S01009283","Fife",2001,329,291,217,10,11,24
"S01009284","Fife",2001,569,526,411,13,44,14
"S01009285","Fife",2001,713,662,536,19,51,22
"S01009286","Fife",2001,559,472,372,14,30,22
"S01009287","Fife",2001,590,474,361,7,32,16
"S01009288","Fife",2001,705,543,412,15,30,24
"S01009289","Fife",2001,856,683,539,7,47,34
"S01009290","Fife",2001,509,404,320,8,33,9
"S01009291","Fife",2001,972,872,686,28,73,25
"S01009292","Fife",2001,350,290,202,17,3,35
"S01009293","Fife",2001,543,459,326,24,28,52
"S01009294","Fife",2001,379,319,250,18,19,15
"S01009295","Fife",2001,559,507,419,14,28,13
"S01009296","Fife",2001,324,292,224,6,16,17
"S01009297","Fife",2001,844,790,654,23,54,14
"S01009298","Fife",2001,676,566,378,38,19,71
"S01009299","Fife",2001,721,623,482,23,32,38
"S01009300","Fife",2001,410,357,253,17,20,31
"S01009301","Fife",2001,695,614,432,53,29,42
"S01009302","Fife",2001,772,676,407,55,37,107
"S01009303","Fife",2001,591,495,366,13,40,44
"S01009304","Fife",2001,801,690,510,26,46,54
"S01009305","Fife",2001,609,499,369,25,31,38
"S01009306","Fife",2001,815,731,547,36,28,65
"S01009307","Fife",2001,752,680,507,42,40,32
"S01009308","Fife",2001,640,618,454,44,28,48
"S01009309","Fife",2001,516,442,353,15,33,12
"S01009310","Fife",2001,685,597,479,14,39,23
"S01009311","Fife",2001,686,602,391,34,37,60
"S01009312","Fife",2001,514,454,365,17,18,22
"S01009313","Fife",2001,388,317,206,22,8,51
"S01009314","Fife",2001,529,472,375,11,29,15
"S01009315","Fife",2001,388,315,215,9,19,44
"S01009316","Fife",2001,660,589,452,25,45,16
"S01009317","Fife",2001,708,622,503,15,47,11
"S01009318","Fife",2001,466,412,322,11,42,16
"S01009319","Fife",2001,839,603,476,12,45,20
"S01009320","Fife",2001,540,456,364,12,20,29
"S01009321","Fife",2001,667,607,509,14,29,13
"S01009322","Fife",2001,663,558,428,14,31,34
"S01009323","Fife",2001,513,417,302,18,20,42
"S01009324","Fife",2001,422,366,277,21,15,21
"S01009325","Fife",2001,575,516,423,17,23,23
"S01009326","Fife",2001,319,307,247,2,16,28
"S01009327","Fife",2001,435,334,255,10,16,23
"S01009328","Fife",2001,312,268,196,8,20,8
"S01009329","Fife",2001,480,456,360,4,32,4
"S01009330","Fife",2001,480,456,360,4,32,4
"S01009331","Fife",2001,234,201,147,6,15,6
"S01009332","Fife",2001,857,776,604,9,33,75
"S01009333","Fife",2001,524,475,346,29,21,31
"S01009334","Fife",2001,468,380,255,18,13,47
"S01009335","Fife",2001,613,548,336,42,32,71
"S01009336","Fife",2001,457,390,221,49,19,49
"S01009337","Fife",2001,504,449,271,32,28,45
"S01009338","Fife",2001,590,478,264,62,22,55
"S01009339","Fife",2001,639,557,327,51,34,63
"S01009340","Fife",2001,508,424,279,37,22,33
"S01009341","Fife",2001,464,389,260,28,18,44
"S01009342","Fife",2001,597,494,355,26,24,41
"S01009343","Fife",2001,468,416,320,21,19,23
"S01009344","Fife",2001,480,383,247,30,20,43
"S01009345","Fife",2001,749,667,512,25,39,46
"S01009346","Fife",2001,480,456,360,4,32,4
"S01009347","Fife",2001,480,456,360,4,32,4
"S01009348","Fife",2001,360,342,270,3,24,3
"S01009349","Fife",2001,480,456,360,4,32,4
"S01009350","Fife",2001,360,342,270,3,24,3
"S01009351","Fife",2001,360,342,270,3,24,3
"S01009352","Fife",2001,526,497,402,4,33,6
"S01009353","Fife",2001,360,342,270,3,24,3
"S01009354","Fife",2001,537,522,465,2,19,2
"S01009355","Fife",2001,753,653,534,15,49,20
"S01009356","Fife",2001,838,714,579,14,58,20
"S01009357","Fife",2001,325,321,261,11,16,12
"S01009358","Fife",2001,554,517,422,16,31,5
"S01009359","Fife",2001,389,379,354,1,5,1
"S01009360","Fife",2001,761,644,512,20,49,23
"S01009361","Fife",2001,575,498,399,16,25,22
"S01009362","Fife",2001,801,685,568,10,41,20
"S01009363","Fife",2001,654,563,437,17,23,29
"S01009364","Fife",2001,751,706,554,25,47,31
"S01009365","Fife",2001,428,360,272,14,10,25
"S01009366","Fife",2001,559,445,321,16,25,42
"S01009367","Fife",2001,486,404,280,21,20,38
"S01009368","Fife",2001,445,418,304,17,22,26
"S01009369","Fife",2001,437,376,266,21,18,31
"S01009370","Fife",2001,673,584,429,27,24,44
"S01009371","Fife",2001,390,339,252,15,21,18
"S01009372","Fife",2001,431,377,266,18,20,24
"S01009373","Fife",2001,596,524,346,34,16,71
"S01009374","Fife",2001,657,569,416,29,25,53
"S01009375","Fife",2001,669,592,426,31,20,55
"S01009376","Fife",2001,429,369,259,16,13,43
"S01009377","Fife",2001,768,753,563,53,40,32
"S01009378","Fife",2001,848,807,605,31,42,36
"S01009379","Fife",2001,738,732,444,48,66,42
"S01009380","Fife",2001,558,541,415,23,52,20
"S01009381","Fife",2001,519,471,388,16,19,12
"S01009382","Fife",2001,623,515,361,23,32,40
"S01009383","Fife",2001,851,743,539,60,23,49
"S01009384","Fife",2001,436,373,299,11,14,8
"S01009385","Fife",2001,382,343,246,19,26,19
"S01009386","Fife",2001,506,432,302,20,24,35
"S01009387","Fife",2001,538,453,304,45,19,31
"S01009388","Fife",2001,709,629,360,61,33,67
"S01009389","Fife",2001,956,811,621,17,58,42
"S01009390","Fife",2001,683,643,518,19,35,6
"S01009391","Fife",2001,494,483,433,6,13,3
"S01009392","Fife",2001,327,311,269,3,11,3
"S01009393","Fife",2001,450,411,352,12,21,9
"S01009394","Fife",2001,761,659,561,19,17,12
"S01009395","Fife",2001,573,461,364,9,35,14
"S01009396","Fife",2001,610,523,410,13,50,9
"S01009397","Fife",2001,747,660,520,17,39,14
"S01009398","Fife",2001,562,524,412,15,30,22
"S01009399","Fife",2001,599,508,404,15,45,12
"S01009400","Fife",2001,386,336,250,15,23,24
"S01009401","Fife",2001,572,465,349,9,44,24
"S01009402","Fife",2001,739,624,477,16,48,21
"S01009403","Fife",2001,431,408,322,6,29,17
"S01009404","Fife",2001,406,361,222,26,24,37
"S01009405","Fife",2001,386,365,294,13,8,30
"S01009406","Fife",2001,848,739,525,37,45,64
"S01009407","Fife",2001,382,311,238,10,19,21
"S01009408","Fife",2001,552,478,357,20,16,38
"S01009409","Fife",2001,586,496,335,26,23,65
"S01009410","Fife",2001,624,560,341,47,26,58
"S01009411","Fife",2001,630,546,370,24,31,69
"S01009412","Fife",2001,698,580,384,36,25,71
"S01009413","Fife",2001,783,682,488,34,34,54
"S01009414","Fife",2001,553,483,354,27,34,42
"S01009415","Fife",2001,530,454,327,23,28,29
"S01009416","Fife",2001,398,353,289,8,16,15
"S01009417","Fife",2001,236,200,144,10,12,16
"S01009418","Fife",2001,683,573,371,43,25,71
"S01009419","Fife",2001,405,350,220,32,18,41
"S01009420","Fife",2001,466,420,221,42,28,58
"S01009421","Fife",2001,498,456,260,45,21,57
"S01009422","Fife",2001,719,596,416,23,33,61
"S01009423","Fife",2001,708,600,432,30,36,48
"S01009424","Fife",2001,403,351,263,4,20,39
"S01009425","Fife",2001,664,525,383,28,21,43
"S01009426","Fife",2001,554,455,292,47,17,38
"S01009427","Fife",2001,554,457,282,24,11,75
"S01009428","Fife",2001,406,367,224,16,20,55
"S01009429","Fife",2001,526,426,228,36,22,73
"S01009430","Fife",2001,539,456,267,29,22,70
"S01009431","Fife",2001,493,391,225,27,15,64
"S01009432","Fife",2001,761,656,338,55,45,100
"S01009433","Fife",2001,636,562,287,46,41,79
"S01009434","Fife",2001,428,345,193,25,18,58
"S01009435","Fife",2001,583,515,230,43,33,92
"S01009436","Fife",2001,486,415,253,26,18,52
"S01009437","Fife",2001,558,471,317,14,24,78
"S01009438","Fife",2001,607,507,312,27,26,74
"S01009439","Fife",2001,714,635,333,46,36,124
"S01009440","Fife",2001,492,402,232,31,20,66
"S01009441","Fife",2001,603,509,299,46,25,66
"S01009442","Fife",2001,655,595,441,6,35,54
"S01009443","Fife",2001,581,512,373,22,30,44
"S01009444","Fife",2001,695,628,482,13,40,26
"S01009445","Fife",2001,707,606,376,28,42,101
"S01009446","Fife",2001,612,534,296,41,16,86
"S01009447","Fife",2001,380,325,196,17,24,46
"S01009448","Fife",2001,700,606,436,19,32,62
"S01009449","Fife",2001,416,324,208,8,25,43
"S01009450","Fife",2001,440,388,224,29,15,65
"S01009451","Fife",2001,711,606,337,42,29,114
"S01009452","Fife",2001,403,340,216,20,17,45
"S01009453","Fife",2001,808,663,454,31,20,86
"S01009454","Fife",2001,653,558,441,24,33,14
"S01009455","Fife",2001,652,521,388,11,47,15
"S01009456","Fife",2001,505,402,261,29,16,54
"S01009457","Fife",2001,458,399,312,15,21,23
"S01009458","Fife",2001,572,458,330,30,21,31
"S01009459","Fife",2001,598,502,336,39,30,36
"S01009460","Fife",2001,559,490,270,53,33,60
"S01009461","Fife",2001,216,200,176,0,8,4
"S01009462","Fife",2001,492,409,282,22,29,32
"S01009463","Fife",2001,534,426,296,34,27,19
"S01009464","Fife",2001,671,567,449,15,31,26
"S01009465","Fife",2001,405,334,237,20,18,26
"S01009466","Fife",2001,438,347,268,6,20,28
"S01009467","Fife",2001,548,447,365,7,28,14
"S01009468","Fife",2001,533,419,269,30,21,47
"S01009469","Fife",2001,599,481,360,20,21,44
"S01009470","Fife",2001,364,304,229,18,9,20
"S01009471","Fife",2001,527,384,215,40,26,43
"S01009472","Fife",2001,637,571,336,58,38,50
"S01009473","Fife",2001,705,621,414,66,29,49
"S01009474","Fife",2001,760,689,423,61,48,53
"S01009475","Fife",2001,740,660,508,20,24,56
"S01009476","Fife",2001,555,495,381,15,18,42
"S01009477","Fife",2001,545,453,345,24,31,26
"S01009478","Fife",2001,841,759,554,61,38,66
"S01009479","Fife",2001,791,679,505,40,57,35
"S01009480","Fife",2001,601,476,378,19,21,17
"S01009481","Fife",2001,745,648,516,16,38,33
"S01009482","Fife",2001,497,453,326,31,32,28
"S01009483","Fife",2001,572,506,421,23,31,11
"S01009484","Fife",2001,626,498,321,19,70,42
"S01009485","Fife",2001,580,461,286,26,27,59
"S01009486","Fife",2001,585,389,257,17,35,34
"S01009487","Fife",2001,597,465,313,32,17,47
"S01009488","Fife",2001,495,421,280,30,35,28
"S01009489","Fife",2001,572,493,298,39,17,76
"S01009490","Fife",2001,627,559,341,38,19,74
"S01009491","Fife",2001,582,464,289,38,21,69
"S01009492","Fife",2001,563,488,325,35,25,45
"S01009493","Fife",2001,650,482,367,9,45,9
"S01009494","Fife",2001,751,701,571,15,39,23
"S01009495","Fife",2001,898,819,690,9,34,31
"S01009496","Fife",2001,637,512,373,23,34,42
"S01009497","Fife",2001,894,786,626,30,37,42
"S01009498","Fife",2001,531,459,386,8,24,13
"S01009499","Fife",2001,755,622,427,50,44,43
"S01009500","Fife",2001,553,459,295,36,19,49
"S01009501","Fife",2001,613,500,304,46,29,45
"S01009502","Fife",2001,663,562,354,51,32,50
"S01009503","Fife",2001,578,485,349,39,33,25
"S01009504","Fife",2001,512,470,277,49,26,39
"S01009505","Fife",2001,672,585,286,76,36,68
"S01009506","Fife",2001,542,484,266,61,28,56
"S01009507","Fife",2001,999,892,617,45,44,65
"S01009508","Fife",2001,730,628,348,64,49,68
"S01009509","Fife",2001,669,544,337,51,32,49
"S01009510","Fife",2001,583,489,399,12,42,12
"S01009511","Fife",2001,508,387,303,14,31,9
"S01009512","Fife",2001,655,574,476,13,44,14
"S01009513","Fife",2001,503,414,336,9,40,9
"S01009514","Fife",2001,619,566,445,15,54,22
"S01009515","Fife",2001,558,428,287,26,27,34
"S01009516","Fife",2001,814,671,464,32,50,70
"S01009517","Fife",2001,732,642,510,24,12,48
"S01009518","Fife",2001,732,642,510,24,12,48
"S01009519","Fife",2001,406,375,278,21,26,11
"S01009520","Fife",2001,622,587,438,28,47,25
"S01009521","Fife",2001,597,507,275,32,37,80
"S01009522","Fife",2001,661,591,302,69,43,65
"S01009523","Fife",2001,462,381,196,33,40,44
"S01009524","Fife",2001,400,343,188,40,24,42
"S01009525","Fife",2001,422,350,209,28,26,36
"S01009526","Fife",2001,720,591,417,16,114,10
"S01009527","Fife",2001,549,472,348,43,31,24
"S01009528","Fife",2001,361,239,166,10,9,27
"S01009529","Fife",2001,419,352,280,4,15,19
"S01009530","Fife",2001,406,321,258,3,17,11
"S01009531","Fife",2001,679,557,347,49,26,55
"S01009532","Fife",2001,755,579,370,38,26,77
"S01009533","Fife",2001,560,455,282,32,23,53
"S01009534","Fife",2001,571,476,219,66,14,83
"S01009535","Fife",2001,436,396,186,68,21,53
"S01009536","Fife",2001,477,439,265,53,32,35
"S01009537","Fife",2001,412,334,208,28,17,41
"S01009538","Fife",2001,607,535,311,50,29,83
"S01009539","Fife",2001,668,566,358,36,30,60
"S01009540","Fife",2001,625,527,336,45,31,49
"S01009541","Fife",2001,538,476,361,17,23,42
"S01009542","Fife",2001,475,405,219,48,22,54
"S01009543","Fife",2001,418,323,223,11,14,35
"S01009544","Fife",2001,854,726,471,46,50,82
"S01009545","Fife",2001,753,623,432,26,41,51
"S01009546","Fife",2001,719,620,445,24,31,55
"S01009547","Fife",2001,657,575,411,28,31,55
"S01009548","Fife",2001,480,414,305,19,27,29
"S01009549","Fife",2001,725,621,469,27,49,27
"S01009550","Fife",2001,422,356,278,7,28,10
"S01009551","Fife",2001,423,362,273,18,24,20
"S01009552","Fife",2001,683,536,378,28,28,41
"S01009553","Fife",2001,615,520,312,62,29,53
"S01009554","Fife",2001,535,451,316,25,27,31
"S01009555","Fife",2001,560,470,340,21,38,30
"S01009556","Fife",2001,664,598,389,62,43,35
"S01009557","Fife",2001,527,473,276,47,39,46
"S01009558","Fife",2001,517,461,279,44,19,47
"S01009559","Fife",2001,640,582,390,37,38,50
"S01009560","Fife",2001,583,522,361,40,34,37
"S01009561","Fife",2001,482,420,247,52,24,42
"S01009562","Fife",2001,586,485,343,24,32,35
"S01009563","Fife",2001,595,462,346,21,17,43
"S01009564","Fife",2001,513,386,292,18,27,21
"S01009565","Fife",2001,458,388,258,22,25,42
"S01009566","Fife",2001,887,783,580,38,50,53
"S01009567","Fife",2001,722,642,479,39,40,36
"S01009568","Fife",2001,560,472,334,16,34,51
"S01009569","Fife",2001,647,523,380,19,28,42
"S01009570","Fife",2001,413,338,243,15,17,27
"S01009571","Fife",2001,604,535,315,58,33,57
"S01009572","Fife",2001,788,664,384,74,35,64
"S01009573","Fife",2001,557,461,248,46,25,81
"S01009574","Fife",2001,753,612,387,46,33,67
"S01009575","Fife",2001,412,365,262,14,14,45
"S01009576","Fife",2001,591,521,412,16,37,22
"S01009577","Fife",2001,571,532,424,8,42,24
"S01009578","Fife",2001,585,533,373,25,45,39
"S01009579","Fife",2001,865,790,579,32,55,52
"S01009580","Fife",2001,820,742,600,18,52,27
"S01009581","Fife",2001,471,413,306,13,22,31
"S01009582","Fife",2001,389,339,257,17,18,21
"S01009583","Fife",2001,615,545,382,39,34,40
"S01009584","Fife",2001,365,248,177,9,13,24
"S01009585","Fife",2001,769,702,505,29,35,64
"S01009586","Fife",2001,502,415,290,22,17,50
"S01009587","Fife",2001,525,413,279,37,27,39
"S01009588","Fife",2001,757,620,421,27,31,74
"S01009589","Fife",2001,642,549,386,31,33,48
"S01009590","Fife",2001,550,458,349,12,33,40
"S01009591","Fife",2001,606,533,449,10,37,17
"S01009592","Fife",2001,461,377,302,6,19,22
"S01009593","Fife",2001,467,411,324,10,37,15
"S01009594","Fife",2001,549,517,422,18,36,12
"S01009595","Fife",2001,307,259,164,6,10,29
"S01009596","Fife",2001,633,579,397,37,53,45
"S01009597","Fife",2001,607,567,316,57,56,54
"S01009598","Fife",2001,467,418,224,37,33,55
"S01009599","Fife",2001,919,842,548,53,62,81
"S01009600","Fife",2001,521,488,255,53,43,69
"S01009601","Fife",2001,625,560,378,42,27,48
"S01009602","Fife",2001,654,614,528,9,32,6
"S01009603","Fife",2001,495,450,340,18,45,27
"S01009604","Fife",2001,792,719,493,37,53,63
"S01009605","Fife",2001,546,484,281,35,36,65
"S01009606","Fife",2001,419,390,285,11,16,48
"S01009607","Fife",2001,524,435,328,11,40,12
"S01009608","Fife",2001,541,465,341,28,28,31
"S01009609","Fife",2001,538,463,370,15,25,31
"S01009610","Fife",2001,761,602,450,25,23,44
"S01009611","Fife",2001,557,490,371,7,30,30
"S01009612","Fife",2001,527,428,317,18,11,41
"S01009613","Fife",2001,413,351,295,15,16,7
"S01009614","Fife",2001,400,338,264,10,19,23
"S01009615","Fife",2001,306,249,190,8,13,22
"S01009616","Fife",2001,518,440,332,14,21,32
"S01009617","Fife",2001,708,636,488,30,30,38
"S01009618","Fife",2001,539,468,319,22,23,52
"S01009619","Fife",2001,448,374,229,21,15,65
"S01009620","Fife",2001,572,449,257,44,24,65
"S01009621","Fife",2001,712,631,365,68,30,73
"S01009622","Fife",2001,572,502,261,71,29,56
"S01009623","Fife",2001,514,417,248,36,28,56
"S01009624","Fife",2001,751,631,384,50,35,85
"S01009625","Fife",2001,670,540,304,58,33,63
"S01009626","Fife",2001,426,375,164,45,18,64
"S01009627","Fife",2001,585,472,256,43,25,73
"S01009628","Fife",2001,493,340,208,21,15,45
"S01009629","Fife",2001,756,663,394,51,41,78
"S01009630","Fife",2001,573,499,250,48,30,75
"S01009631","Fife",2001,723,635,347,89,38,91
"S01009632","Fife",2001,416,348,173,19,13,61
"S01009633","Fife",2001,502,449,214,52,26,69
"S01009634","Fife",2001,352,259,149,24,5,40
"S01009635","Fife",2001,688,598,388,42,38,71
"S01009636","Fife",2001,696,616,360,60,31,76
"S01009637","Fife",2001,540,468,261,36,39,58
"S01009638","Fife",2001,476,408,198,44,26,52
"S01009639","Fife",2001,549,439,329,13,36,33
"S01009640","Fife",2001,369,264,160,28,16,34
"S01009641","Fife",2001,550,438,286,37,20,56
"S01009642","Fife",2001,822,703,466,61,43,57
"S01009643","Fife",2001,284,256,208,4,8,16
"S01009644","Fife",2001,550,462,322,17,20,54
"S01009645","Fife",2001,470,385,256,24,16,48
"S01009646","Fife",2001,433,374,219,36,22,44
"S01009647","Fife",2001,443,360,195,31,15,53
"S01009648","Fife",2001,669,517,355,44,27,45
"S01009649","Fife",2001,699,600,365,36,34,95
"S01009650","Fife",2001,608,440,335,13,35,29
"S01009651","Fife",2001,878,715,559,23,43,43
"S01009652","Fife",2001,702,507,375,19,41,38
"S01009653","Fife",2001,553,419,333,13,24,14
"S01009654","Fife",2001,397,319,228,7,20,22
"S01009655","Fife",2001,646,573,327,42,47,78
"S01009656","Fife",2001,565,468,239,44,24,76
"S01009657","Fife",2001,567,491,329,24,36,51
"S01009658","Fife",2001,751,682,444,50,40,63
"S01009659","Fife",2001,424,371,240,17,23,43
"S01009660","Fife",2001,765,679,446,44,32,79
"S01009661","Fife",2001,463,411,314,12,22,20
"S01009662","Fife",2001,557,496,379,19,35,24
"S01009663","Fife",2001,584,519,399,17,29,29
"S01009664","Fife",2001,625,537,439,16,23,31
"S01009665","Fife",2001,462,372,294,14,16,26
"S01009666","Fife",2001,536,455,353,19,21,23
"S01009667","Fife",2001,428,361,295,7,20,18
"S01009668","Fife",2001,461,400,330,8,12,18
